{'短评内容': '位置不错.房间性价比很高', '短评打分': 5}
{'短评内容': '设施好，唯一不足是停车收费！', '短评打分': 3}
{'短评内容': '这是新酒店，房间温馨舒适，室内面积也不小，居闹市中而不吵，此酒店性价比比较高！值得推荐！！', '短评打分': 5}
{'短评内容': '酒店还不错，装修设施都挺新的，,环境也很好，价格适中，值得入住', '短评打分': 5}
{'短评内容': '真一般，早点很一般，房间隔音也不好，卫生间味道很不好', '短评打分': 1}
{'短评内容': '整体还不错', '短评打分': 3}
{'短评内容': '在成都做工程，从去年12月初入住，一直住到3月中旬离开。在成都这3个月，除了春节回上海过年外，一直住在瑞熙。说实话，这里的确是旅行者的理想驿站。房间很干净，设施也不差。服务水平满高的，春节前退房，因为我说放假回来还要住1个多月，于是暂时不带走的瓶瓶罐罐、拖鞋衣物等东西在酒店免费存放了2周。而且初八回来入住时，原来的房间还保留着，用了一个多月的伸缩衣架，在重新入住的当天就送到房间来了。凡事不怕做不到', '短评打分': 5}
{'短评内容': '  还不错，主要是交通比价魔方便，对面就是王府井百货，朋友住的觉得可以', '短评打分': 5}
{'短评内容': '新酒店，环境很好，也很干净，挨着立交桥，确实有点吵闹！', '短评打分': 3}
{'短评内容': '酒店不错，是一家经济型商务酒店，硬件设施不错，门口打的也很方便，下次去还打算住这儿', '短评打分': 5}
{'短评内容': '房间干净，但是楼下开了一间KTV，晚上有点儿吵', '短评打分': 5}
{'短评内容': '大堂在4楼，设施和卫生还行好。停车要收费，不是很理解，难道不能算在房费中么。早餐除了抄手不错，其它较简陋。半夜2点居然有按门铃声，第一次遇到此莫名其妙的事', '短评打分': 5}
{'短评内容': '价格相对环境和装修贵了，房间一般。但早晨打车容易。', '短评打分': 5}
{'短评内容': '房间还是可以，设施和卫生也行，就是周边环境不是很好。停车要收费，开车的朋友就不是很方便了。早餐一般。', '短评打分': 1}
{'短评内容': '还是和一年前一样，干净、安全。感觉很好。', '短评打分': 3}
{'短评内容': '地段很赞，出门几步路就是王府井~周边吃的也很多~酒店坏境不错，很新~ 楼上是写字楼~入住的时候洗手间的感应灯坏了，维修不好就换了另一间。唯一的遗憾就是没找到电吹风，超级奔溃~', '短评打分': 5}
{'短评内容': '客房环境条件不错，隔音稍差，部分房间wifi信号较差\n自助早餐品种尚可，吃饱没有问题\n从前台接待，客房服务，餐厅服务态度都很好，礼貌而亲切', '短评打分': 5}
{'短评内容': '酒店房间没有描述的那么大气，早餐相对简单，花样不多。\n其他的都还马马虎虎了', '短评打分': 5}
{'短评内容': '每次到成都出差的首选，出行方便，性价比高，早餐不错。', '短评打分': 5}
{'短评内容': '房间还可以，价格相对合理，早餐品种少了点。', '短评打分': 5}
{'短评内容': '位置不错，安静，设施装修都比较满意！下次还会再来！', '短评打分': 5}
{'短评内容': '不错 比较安静，出行也很方便，房间面积和用具可以接受，下次来还会选择。', '短评打分': 5}
{'短评内容': '1、房间比较精细；\n2、整体档次感觉很好；\n3、电梯的确是公用，所谓专用也很难等。', '短评打分': 5}
{'短评内容': '酒店内部设施高雅大方，工作人员服务热情，配送的早餐很有水准，值得去住的酒店，强烈推荐！', '短评打分': 3}
{'短评内容': '住了几次 还 可以 .....有机会还去 .', '短评打分': 5}
{'短评内容': '很好，每次出差都住在这里，地理位置方便，房间也大，早晨不错。\n\n', '短评打分': 5}
{'短评内容': '很好，每次出差都住在这里，地理位置方便，房间也大，早晨不错。', '短评打分': 5}
{'短评内容': '莲花主题，房间宽敞，服务热情，是出差旅游很好的选择', '短评打分': 3}
{'短评内容': '大堂不在一楼，而且没有明确的指示牌。仅在这一点上就降低了酒店的档次。', '短评打分': 5}
{'短评内容': '    二环路边,交通方便,街对面餐饮很多,酒吧多.', '短评打分': 5}
{'短评内容': '位置,房间都不错,只是电梯比较慢,早餐很一般.', '短评打分': 5}
{'短评内容': '不错，价格不贵，设施齐全，装修也不错。隔音稍微有点差，可以听到楼下夜总会的声音，建议住高楼层比较安静。', '短评打分': 5}
{'短评内容': '服务一般，位置可以', '短评打分': 3}
{'短评内容': '酒店设施很好，服务态度也好。尤其值得推荐的是早餐很不错。在四川住了好几次，感觉这次性价比很高。下次还会来住的。', '短评打分': 5}
{'短评内容': '房间大，性价比高，交通很方面，卫生条件和服务都比较好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店总得来说不错，服务也很周到，预订还享受了13点退房的优惠，早餐比较一般，不过够吃了，就是酒店没有免费停车的地方，入住时间长的话，停车费是一个问题。', '短评打分': 5}
{'短评内容': '不错，干净，卫生，安静，这个价位很超值了，交通也便利。', '短评打分': 5}
{'短评内容': '酒店很干净，硬件设施也不错。就是跟夜总会什么的共用一栋楼，大堂要去4楼，行李多了不方便。', '短评打分': 5}
{'短评内容': '酒店位置尚可，离机场较近。大堂不太好，餐厅还可以。酒店打车还比较方便', '短评打分': 5}
{'短评内容': '也是朋友推荐才去的，水平没有描述的好，\n可能过节的原因，洗手间不是很清洁，而且一些功能没有，整体一般。', '短评打分': 5}
{'短评内容': '酒店内环境和服务都还不错,交通方便,性价比较高,有机会还会入住。', '短评打分': 3}
{'短评内容': '交通便利 位置好 酒店设施也不错 值得入住 很满意', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '曾经属于性价比较高的酒店，但现在的价格除了设施尚可外，服务和价格则不太成正比了。', '短评打分': 1}
{'短评内容': '反正一直都住这里，觉得还不错~就是早餐能再丰富点嘛！', '短评打分': 5}
{'短评内容': '酒店位置不错，房间也很干净。接近30平米的大房间', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店还是很不错的。早餐也挺好。就是电梯有点不方便，因为是跟大厦写字楼共用的。', '短评打分': 5}
{'短评内容': '不推荐，该酒店零星级，软件方面完全无服务可言，前台员工表情僵硬，打电话到客服中心咨询问题，回答像你欠她家很多钱没还似的。软件方面，过道乃至房间都有异味儿，所谓的星级酒店无停车场，停车场属该栋写字楼，每晚另需缴纳停车费。上下班，开会的人特别多，酒店专用电梯仅一部，启动停靠模式设置很变态...', '短评打分': 1}
{'短评内容': '一直帮同事订这家酒店，来成都住在这里，位置好，交通方便，而且酒店住的很舒服，又干净，吃饭也很方便。喜欢这里，呵呵', '短评打分': 5}
{'短评内容': '很不错的酒店环境好干净', '短评打分': 3}
{'短评内容': '帮家人定的酒店，家人很满意的，以后还会继续入住呢。\n旁边交通吃饭什么的都很方便，酒店房间也不错的。性价比蛮高的', '短评打分': 5}
{'短评内容': '非常不错的酒店，出行方便，到机场20分钟左右 ，酒店房间很大，设施新，因为时间原因没有享用早餐服务，但是从酒店的服务来看还是非常满意的，以后还会入住', '短评打分': 5}
{'短评内容': '非常不错,房间很大,交通也很方便,早餐也挺好.下次去还会住那', '短评打分': 5}
{'短评内容': '内部环境优雅，床和洗手间都很不错，早餐品种有点少，餐厅服务人员不会英文，交流有点麻烦。', '短评打分': 5}
{'短评内容': '瑞熙房间设施好，国际标准，没说的。早餐品种多，有滋味。就是服务员的素质显得不够，好像很土，她们之间基本上都是四川话。', '短评打分': 5}
{'短评内容': '网上订了这家店。从机场到酒店大约半小时路程，很好找。总体很好，交通蛮方便，设施也不错，附近就餐也方便。', '短评打分': 5}
{'短评内容': '定了多次了，代人定的，不错。有机会再定吧。', '短评打分': 5}
{'短评内容': '客房确实不错，已帮公司客户预定过很多次了，住宿上大家都很满意，只是希望酒店在人员服务上更上一层楼。', '短评打分': 5}
{'短评内容': '服务一般，交通不是很便利，但是酒店是新装修的，室内环境还可以，往科华北路走有不少好吃的。总的来说，还不错。', '短评打分': 5}
{'短评内容': '房间还行。大堂在四楼稍差。 早餐一般，希望改进。', '短评打分': 5}
{'短评内容': '这个地点这个价位性价比超高，已推荐公司所有客户入住该酒店，只要酒店服务不变，那我们的选择也不会变！', '短评打分': 5}
{'短评内容': '环境算是不错，总体上还是比较舒适的，下次有机会再入住。', '短评打分': 5}
{'短评内容': '环境不错，隔音也很好，性价比高，房间布置很漂亮，尤其值得夸奖的是房里准备有针线和纽扣以备不时之需，酒店在服务细节做得很好感觉很人性化。', '短评打分': 5}
{'短评内容': '不错，还会推荐朋友来住。门头感觉很小气，不过房间里面不错，会继续支持！', '短评打分': 5}
{'短评内容': '不错，这个地段这个价位非常值得推荐！干净、整齐', '短评打分': 5}
{'短评内容': '因为来看朋友，订了这家酒店，跟朋友家据走路十分种路程，而且在二环边上，出行非常方便，因为订房较晚，所以第一天没有订到高级大床间，订的行政大床间。房间非常好，工作人员也非常耐心热情，落地大窗让晚上的夜景感觉非常宜人。洗手间也是我喜欢的透明式，第一天的行政大床间热水器有点不太好调，第二天换房间以后就没有这个问题了！因为来成都就是为了享受美食，所以没有吃过酒店提供的早餐，没有办法给出评价。但是还是推荐入', '短评打分': 5}
{'短评内容': '不错 除了价位稍高 其他还是比较满意 下次还会再去的', '短评打分': 5}
{'短评内容': '很好，我喜欢＆服务周到，干净，方便！', '短评打分': 3}
{'短评内容': '房间设备均可', '短评打分': 3}
{'短评内容': '我每次都选择这家酒店，非常好，就是早餐再丰富点就好了。', '短评打分': 5}
{'短评内容': '房间设施还行,比较干净卫生,性价比比较高.但是上下班高峰时间电梯太忙.等电梯比较费时间.还有,床似乎太软...', '短评打分': 5}
{'短评内容': '交通便利，环境也还可以。离川大较近，附近美食较多。', '短评打分': 5}
{'短评内容': '房间没有写的那么大。周围太偏了。其他还好。', '短评打分': 1}
{'短评内容': ' 房间宽敞，干净，唯一不足就是这次给安排了临十字路口的房间，有点儿吵', '短评打分': 3}
{'短评内容': '这个酒店开张后，每次来蓉都入住这个酒店，比较喜欢的是它整体的装修风格，雅致清爽，房间面积和洗手间面积都很大，比较舒服。交通还是比较方便，离磨子桥很近。唯一缺点是电梯比较少，也比较慢。', '短评打分': 5}
{'短评内容': '位置一般，住宿条件不错，价位合理，是个不错的选择。', '短评打分': 5}
{'短评内容': '装修外表豪华，但实际就是一般的酒店，酒店大堂在楼上。早餐一般般，位置比较好，周边有宜必思和7天，和宜必思比较价格贵30%。', '短评打分': 5}
{'短评内容': '因出公差，第二次住在这里，也是第二次被酒店可怕的叫早服务给闹醒，经常交错房间，这就是瑞熙酒店的服务！', '短评打分': 1}
{'短评内容': '很好的房间布置和舒适度。虽然早餐一般，但是房间很好！推荐~', '短评打分': 5}
{'短评内容': '早餐和预订服务均已改善，值得推荐！给力推荐！', '短评打分': 5}
{'短评内容': '早餐和预订服务已改善，值得称赞，值得推荐！', '短评打分': 5}
{'短评内容': '还不错，性价比高', '短评打分': 3}
{'短评内容': '非常好，之前价格上涨，出差标准过了所以才没有住的，只要价格合适会一直住。', '短评打分': 5}
{'短评内容': '不错的酒店，值得推荐！下次还会再来住的。', '短评打分': 5}
{'短评内容': '性价比很高。距离机场打车只要36元。早餐质量也不错。', '短评打分': 5}
{'短评内容': '房间较大，卫生较好，靠路边的较吵，早餐环可以，品种不太多。性价比很高，下次还住', '短评打分': 5}
{'短评内容': '客房基本达到四星，大堂三星，预订服务二星。', '短评打分': 1}
{'短评内容': '我也有同感，订了好几次，写一个名字时，就给你安排单人房，结果不能住两个人。真的要订单人间了，写了一个名字，倒跟你说只有标间。就不知道它们怎么想的，是否把客户的需求放在心上。', '短评打分': 1}
{'短评内容': '这个酒店始终没有把客户的预订感受放在第一位，单人间和标间就不能分开让客户网上预订吗？订房选择的主动性始终在酒店，就是为了方便它们排房间。', '短评打分': 1}
{'短评内容': '每次来成都都住这里, 房间设施很好, 卫生条件也不错.', '短评打分': 5}
{'短评内容': '酒店设施不错，适合出差商务人士.大堂不在街面上稍微有点不方便', '短评打分': 5}
{'短评内容': '首先，酒店的位置不是非常好，周边感觉什么都没有。\n然后，酒店大堂在4楼这点确实有失大气，难免会找不到。\n最后，可能是成都的酒店房价相对要高一点，400多只有这个水平，不然我怎么觉得这房型对不起400多 的价格呢？', '短评打分': 1}
{'短评内容': '房间中规中矩，只是淋浴间流水不畅顺，每天站在水里洗澡，有点儿不爽。', '短评打分': 5}
{'短评内容': '酒店硬件方面不好，作为挂四的酒店标准不够！', '短评打分': 1}
{'短评内容': '性价比高。周边还算可以。电梯在高峰期太慢。', '短评打分': 5}
{'短评内容': '下订单是写的是双床/大床6间，也没特别说明。\n结果到前台时就说没有双床房了，我们最终只住了1天，后面自己找朋友才订到酒店。\n\n不推荐。', '短评打分': 1}
{'短评内容': '性价比比较高，整体比较满意，以后还会去住。', '短评打分': 5}
{'短评内容': '环境非常不错，住着也舒服。就是大厅里等待的时候上不了网。', '短评打分': 5}
{'短评内容': '酒店内部还行，就是大门口太不显眼了，另外，服务台竟然不是在一楼，还要坐电梯到四楼，不是很方便。其他来说还可以，位置也不错！', '短评打分': 5}
{'短评内容': '房间挺有特色的，很有家的感觉！旁边有很多吃饭的地方，很方便。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '房间一般，电梯慢，总台服务人手不够（可能是周末的原因）显得比较乱。不过性价比在成都的这个区域算是不错的了', '短评打分': 5}
{'短评内容': '大床 很舒服，不远处有一个加气站，据说是在出租车难打出名的城市是一个相对比较好打车的地方，但是我住了几天都没打着，还好的是走去地铁站也不过15分钟的路程', '短评打分': 5}
{'短评内容': '性价比高。周边还算可以。电梯在高峰期太慢。环保购物袋收费。', '短评打分': 5}
{'短评内容': '酒店的设施很好，赶紧，也很安静，离川大也不是太远\n如果不喜欢都市的喧闹，住在这里是个不错的选择\n下次来还住在这里', '短评打分': 5}
{'短评内容': '该酒店环境非常不错，房间很舒服，硬件设施到位，唯一美中不足的有早餐食物简单了点，还有电梯速度慢了点，其他的都很好', '短评打分': 5}
{'短评内容': '地理位置很好，价格很适中，建议选择，因为周边酒店都比较贵。', '短评打分': 5}
{'短评内容': '同比价格稍贵 飘窗很大很漂亮 望向成都世纪城方向的房间很舒服 前台在4楼 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '一般，周围吃饭的地方走较远，宽带联不上，说是我网卡的问题，但在别的地方就可以。', '短评打分': 1}
{'短评内容': '总体来说还是很值得推荐的，只是为什么388的行政房也只是单早呢？', '短评打分': 5}
{'短评内容': '酒店客房挺不错的，装修感觉很新。我住的房间有一个很大的飘窗，感觉房间很宽敞明亮。美中不足的是大堂设在四层，不事先了解很难找到，而且电梯太慢了，慢的让人等得着急。', '短评打分': 5}
{'短评内容': '挺不错的 有机会再来住，推荐朋友也过来。只是价位适合中高层人员去住，交通也便利。', '短评打分': 5}
{'短评内容': '酒店不错，唯一不满意的，是 酒店的电梯，太少，经常等很久，并且有的电梯不到地下停车场，很麻烦\n', '短评打分': 5}
{'短评内容': '一般化吧，西博会时订房困难订的。性价比一般', '短评打分': 1}
{'短评内容': '酒店就在四川大学旁边，到春熙路打车也就10块钱，方便很干净，就是停车还要收费不合理', '短评打分': 5}
{'短评内容': '＋在同地区是性价比最高的酒店，酒店设施和服务都让人惊奇于他的价格，一定还会住', '短评打分': 3}
{'短评内容': '简单舒适，很干净，只是缺少乐趣', '短评打分': 3}
{'短评内容': '性价比很高的酒店..唯一不足就是打扫卫生的大姐动作太慢了', '短评打分': 5}
{'短评内容': '整体感觉挺好的。性价比高。推荐之。....', '短评打分': 5}
{'短评内容': '很不错，酒店很新、房间大、服务到位、现代化，强烈推荐！\n\n', '短评打分': 5}
{'短评内容': '酒店地理位置不错，设施也挺好，价格合理，值得推荐', '短评打分': 5}
{'短评内容': '交通方便，房间也很宽敞，就是房间里没有抽纸不方便', '短评打分': 5}
{'短评内容': '房间不错，比三星好一些。地下停车场收费感觉不好。早餐过的去。距离机场14公里还不远。', '短评打分': 5}
{'短评内容': '卫生不错，马路边的房间有点吵', '短评打分': 3}
{'短评内容': '酒店装修很新, 服务也还不错, 就是电梯慢了点, 总体来讲值得推荐.', '短评打分': 5}
{'短评内容': '科华路附近也没什么好的酒店了，电梯不是很方便，房间够大，也没什么缺点，就是空调噪音太大，而且出风口正对写字台，吹着难受。另外早餐很差', '短评打分': 5}
{'短评内容': '酒店比较新，房间装修挺好的，感觉很舒服。在成都市的南边，离机场比较近。唯一美中不足的是沐浴间排水有点问题，洗澡时有点水淹。由于只住一晚就没有叫酒店服务员上来修理。', '短评打分': 5}
{'短评内容': '房间环境还不错，就是外部装修不好找，不明白为啥前台设置在4层。。。', '短评打分': 5}
{'短评内容': '饭店蛮新的，也干净，但早餐普通。\n附近没餐厅或商店可吃饭或逛。\n但整体饭店服务及及卫生算不错的。\n\n', '短评打分': 5}
{'短评内容': '入住的时候酒店在装修，位置在高架旁边，有点偏，不过酒店房间内部住的还是挺舒服的', '短评打分': 5}
{'短评内容': '酒店装修比较休闲，交通方便，适合出差人士居住。', '短评打分': 5}
{'短评内容': '酒店很干净,价位合理,打车也很方便', '短评打分': 5}
{'短评内容': '成都瑞熙城市酒店早餐品质和价格不符，网速很慢，商务客户不适合住此酒店。', '短评打分': 1}
{'短评内容': '地点还可以,去机场方便.现在是会议期间,似乎房价有些高.', '短评打分': 5}
{'短评内容': '酒店交通方便，装修休闲，环境还可以，适合出差人的住宿。', '短评打分': 5}
{'短评内容': '挺好的，打的也还算方便，附近吃饭也有地方，以后还是会住！', '短评打分': 5}
{'短评内容': '早餐太差，没有配套服务如晚上送餐只到9点，网线几乎不能用，商务客户不适合住在这个酒店', '短评打分': 3}
{'短评内容': '淋浴间出水口有点塞，只好洗一会就出来，等水退了再进去冲。因为已经在洗澡了才发现，而且只住一晚，懒得打电话叫人上来修理。', '短评打分': 5}
{'短评内容': '+配套服务不好', '短评打分': 5}
{'短评内容': '还可以,可以继续考虑入住。还可以,可以继续考虑入住。', '短评打分': 5}
{'短评内容': '入住行政间，房间设施普通，早餐样式少，酒店整体环境一般。服务员打扫房间忘记清洁水杯。15层走廊内有难忍的腥臭味，房间内也有气味，一定要开窗透气。\r\n体验较差，不考虑再次入住。', '短评打分': 1}
{'短评内容': '价格太贵，不会待老顾客，当接待会议时对常住客提出涨价……，不管你已经入住多久，分明是赶你走……', '短评打分': 3}
{'短评内容': '酒店设施太旧，服务不规范，已经是落后的4星级了，3星还可以。', '短评打分': 3}
{'短评内容': ' 酒店位置还可以，就是不靠地铁站，早餐结束太早。最主要的是住店没有保障，你还在住着，就通知你酒店有会议继续住要涨价，这不是变相赶人吗？新价位你承受不起只好走人了……下次没敢再来了', '短评打分': 1}
{'短评内容': '还不错，很好！适合我出差的住宿条件，交通方便，就是吃饭地方不多。', '短评打分': 3}
{'短评内容': '还不错！好！好！好！好！好！好！好！好！好！', '短评打分': 5}
{'短评内容': '住得非常舒服，早餐有待改进！另外退房时有点慢，也希望可以改进！', '短评打分': 5}
{'短评内容': '感觉环境还不错，~特别是餐厅的菜都很好吃~，服务员送餐也比较快~', '短评打分': 5}
{'短评内容': '多次入住了。。没什么好评的了  已经很有亲切感了  但有个问题是整个写字楼的问题。。 早上的时候  写字楼上班的人和酒店退房的人特别多。。电梯就感觉不够用了  有时候等很久 到酒店楼层都不停。。。', '短评打分': 3}
{'短评内容': '多次入住了。。没什么好评的了  已经很有亲切感了 ', '短评打分': 5}
{'短评内容': '该酒店去机场很方便，住店也感觉很舒适，值得推荐。', '短评打分': 5}
{'短评内容': '非常不错的酒店，4星的档次，3星的价格，而且床还非常舒服呢，就是入住的时候低楼层在装修，看上去不是那么好，还有周边的环境相对比较差，没有地段好的酒店那么繁华，没什么饭店可以吃饭，不过呆在房间里的话还是很舒适的，下次还会考虑入住', '短评打分': 5}
{'短评内容': '住了几次了，感觉还不错~就是前台办理慢了点儿~', '短评打分': 3}
{'短评内容': '住了几次了，感觉还不错~就是前台办理有点慢~', '短评打分': 5}
{'短评内容': '可以下次还会来大家可以选择来这里入住价格也不是很高', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '最近都住的这里了。。连每次来住香格里拉的姐姐也被我推荐过来了  性价比高  房间温馨。。 只是很多房间进去的时候烟味较重 希望能改善', '短评打分': 5}
{'短评内容': '新装修的，房间气味太大。大堂没在一楼。地理位置还不错，性价比还可以。', '短评打分': 5}
{'短评内容': '就是退房时太慢~~标间的水太小了，希望改进~', '短评打分': 5}
{'短评内容': '蛮不错的酒店，但好像马上就要涨价了，性价比会有所下降。', '短评打分': 5}
{'短评内容': '非常好的酒店，300多可以住行政房，而且在市中心。推荐。', '短评打分': 5}
{'短评内容': '\r\n豪华单间不错~~~\r\n\r\n要是窗户能开就好了~~ ', '短评打分': 5}
{'短评内容': '不错 ', '短评打分': 3}
{'短评内容': '酒店的透气性差一点，装修的味道至今很重，对眼睛的刺激也大', '短评打分': 5}
{'短评内容': '又一次入住了  也推荐朋友来过  都觉得还可以  温馨 舒适 性价比高', '短评打分': 5}
{'短评内容': '性价比哼很高', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店很新, 设施都不错, 服务态度也挺好. 唯一缺点是位置稍偏, 购物就餐都不太方便. 另外就是旁边不知道是什么单位, 每天早上都喊大喇叭, 有点吵.', '短评打分': 5}
{'短评内容': '装修较新,性价比较高,推荐.', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '总体不错的酒店，装修好\r\n我住单人床，床很大,很舒适，柔软', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '经常住', '短评打分': 5}
{'短评内容': '酒店设施还是比较好的.性价比很高.服务也很周到.', '短评打分': 5}
{'短评内容': '很不错，尤其是套间很舒服。酒店大堂不在一楼，员工很Nice。', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 5}
{'短评内容': '房间很干净，服务也蛮到位的，地理位置交通方便，设施完善，就是价格偏高。', '短评打分': 5}
