{'短评内容': '酒店位置还行，就是整体卫浴那个马桶设计不合理', '短评打分': 5}
{'短评内容': '应该是我住过的经济型酒店里感觉最温馨的了，宜家风格嘛。房间里如果有吹风机就更好了。\n\n看看连锁地址名单，走的是工业区/郊区包围城市的地段路线，跟我的业务地段一般不重合，所以即使我想再住也不容易啊。', '短评打分': 5}
{'短评内容': '位置不错，干净，就是吃饭要出去解决。价格合理', '短评打分': 5}
{'短评内容': '对得起这个价钱，性价比高，简约而舒服，安静！', '短评打分': 5}
{'短评内容': '这家店大大超出我对酒店价格的预期，之前没有300元的价格，心理想不会很好。但不得不说，这是我全国各地住过的200元价位最好的酒店了~~环境和房间公间都非常满意，比同住在当地东城国际大酒店（五星）的同事来比，他们那反而无法和我们的酒店住宿环境比。真的不错，若是再来东莞，还是希望能住在这里。还有，谢谢这里的工作人员，服务态度很好，谢谢你们！', '短评打分': 5}
{'短评内容': '和其他地区的宜必思一样满意，就是吃饭要出去解决，附近就一家湘菜馆', '短评打分': 5}
{'短评内容': '酒店性价比非常高，房间很大！早餐要二十，贵了点，不过还不错！', '短评打分': 3}
{'短评内容': '1. 早餐需要多樣化，會吸引多一點客戶。 2. 電視頻道要多一點電影頻道如:HBO 等等，好讓客戶得到适當的最少娛樂。謝謝 胡生', '短评打分': 5}
{'短评内容': '性价比高，干净，环境也不错，就是电视频道少，推荐的', '短评打分': 5}
{'短评内容': '地理位置不是很好，地理位置不是很好，衛生條件一般，下次不會來住了', '短评打分': 1}
{'短评内容': '住宿环境可以，交通方便。隔音差。不能使用银联信用卡作预授权，须用万事达或VISA。', '短评打分': 5}
{'短评内容': '安静、整洁、舒适、喜欢。。。。。。。。。。。。。。。。。。。。。。。。。就是贵店', '短评打分': 5}
{'短评内容': '环境挺好的，价格也很公道，出行也很方便，附近餐厅也还好', '短评打分': 5}
{'短评内容': '装潢感觉很清新，但设备稍感觉简陋些；价位上还算可以。', '短评打分': 5}
{'短评内容': ' 东城宜必思酒店入住环境不错,房间是木质地板显得干净,洗浴时热水也很足,而且比较安静.总体感觉不错.就是网上定房不带早餐这点不太好.', '短评打分': 3}
{'短评内容': '很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住', '短评打分': 5}
{'短评内容': '第一次住 还可以啊 很好 下次还来住很好 下次还来住很好 下次还来住', '短评打分': 5}
{'短评内容': '非常安静，交通便利，结账迅速，房间精巧！', '短评打分': 5}
{'短评内容': '酒店环境好，服务态度很好', '短评打分': 3}
{'短评内容': '比我想象中大和漂亮。一切都很整齐很舒服。简单而不失品质。', '短评打分': 3}
{'短评内容': '环境不错，就是大堂有点怪。', '短评打分': 3}
{'短评内容': '环境很好，卫生条件也不错，很有特点，值得再次光顾。', '短评打分': 5}
{'短评内容': '订的是大床房，12月的时候入住，由于是中央空调，因此一点都不冷。房间很热，浴室没有梳子，浴室里面的毛巾由于是循环再用，看上去很久。作为一个连锁式的酒店来说188元/晚，对比起上面的情况，一点都不值', '短评打分': 1}
{'短评内容': '不错~ 环境很有格调~价格还算合理~ 就是觉得窗太高太小', '短评打分': 5}
{'短评内容': '设计感不错，位置也可以，只是房间没风筒，还要去柜台借，很麻烦。', '短评打分': 5}
{'短评内容': '其他的都不错，只是为什么宣传中说早餐是到12点都有的，可我在那的时候还不到10点就已经开始没什么早餐可吃了呢？', '短评打分': 5}
{'短评内容': '雅高集团就是不一样,管理，设施，环境，装饰都比较好！', '短评打分': 5}
{'短评内容': 'yijiabucuodehotelhenhao', '短评打分': 5}
{'短评内容': '环境~服务~均有欧洲风格~品位高雅~价格实惠~非常满意', '短评打分': 5}
{'短评内容': 'henhaodeyijiajiudian', '短评打分': 5}
{'短评内容': '昨晚订的房，来晚了，居然没取消我的房。服务也很好。是个不错的酒店', '短评打分': 5}
{'短评内容': '+入住了，还可以！', '短评打分': 5}
{'短评内容': '感觉比较温馨，住的很舒适，但是地板很容易打滑', '短评打分': 5}
{'短评内容': 'very good,各方面都不错,应该是著名酒店集团的管理吧', '短评打分': 5}
{'短评内容': '卫生设施都挺好的。位置也很好找的，性价比还是非常好的。酒店也是蛮新的环境也很好。', '短评打分': 5}
{'短评内容': '房间设计的很独特，很人性化，卫生打扫也很好，住的很满意。', '短评打分': 5}
{'短评内容': '很干净，房间也很大', '短评打分': 5}
{'短评内容': '现代化的简约风格，很有品位，设施很齐全，打扫也很干净，感觉很舒适。', '短评打分': 5}
{'短评内容': '服务很周到，房间也很干净，隔音效果非常很好，睡得很踏实。', '短评打分': 5}
{'短评内容': '房间非常干净非常安静，布置的很有品位，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店很好，感觉比7天如家之类要档次高些，下次还愿意住。', '短评打分': 5}
{'短评内容': '性价比蛮好的，房间很干净，硬件设施齐全，服务周到，下次如果在附近外出会考虑住的。', '短评打分': 5}
{'短评内容': '房间很大，电源是24小时的，就是餐厅只能提供早餐，但是介绍可以提供24小时便餐比较不好，方便面10块一碗', '短评打分': 5}
{'短评内容': '酒店早餐太贵，品种太少', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，比如家莫泰这种连锁型酒店配置要好，卫生服务也很达标，价格合理适中，那个位置出行交通方便，性价比很好的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店住的挺满意的，各方面都挺不错的，感觉挺整洁挺舒适的，性价比也不错，值得推荐。', '短评打分': 5}
{'短评内容': '干净，位置好', '短评打分': 5}
