{'短评内容': '环境还可以，离车站近，出差挺方便', '短评打分': 5}
{'短评内容': '环境还可以，就是隔音很差啊。。。。。。。房间服务阿姨态度很不耐烦的样子。。。。。。', '短评打分': 5}
{'短评内容': '房间等相当不错,但空调很不给力,盥洗设备偏老化', '短评打分': 3}
{'短评内容': '没有电吹风，没有一次性拖鞋，感觉不怎样。。。', '短评打分': 1}
{'短评内容': '非常干净整洁！服务也很好！最主要的还是干净整洁！……', '短评打分': 3}
{'短评内容': '整体感觉还可以，离火车站 汽车站都很近，但是服务态度还好，早餐比较差一点。最后结账告知机器坏了，不能刷。', '短评打分': 5}
{'短评内容': '不错，离汽车站和火车站最近的宾馆！环境也很好！价格也便宜，期待明天的早饭，希望能满意…', '短评打分': 3}
{'短评内容': '酒店临近火车站 环境尚可 交通还算便利 可以推荐', '短评打分': 5}
{'短评内容': '卫生还可以吧。。就是周边比较空旷，离市中心有距离。总的来说不错，为什么我还定的那个入住了却说我么入住。请回复。', '短评打分': 5}
{'短评内容': '这个酒店不错，交通便利，离汽车站跟火车站都很近。房间干净，住的房间在11到13楼，安静。是间性价比较高的酒店。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '太方便啦,就在盐城车站边上,房间大.敞亮干净 卫生,大堂经理很好客.特此表扬一下.下次过来还会住这边!', '短评打分': 5}
{'短评内容': '这家酒店在10层到13层，窗户特大，晚上的夜景很不错哦。就是设施不是太新的', '短评打分': 5}
{'短评内容': '服务态度太差了，入住不到2个小时才发现床单很脏，让他们换，前台居然说你们住了这么长时间才发现，真是差劲，最后居然挂电话。', '短评打分': 1}
{'短评内容': '很不错同，虽然离市区远，但交通很方便，环境也很安静。', '短评打分': 5}
{'短评内容': '离车站进   环境挺好  餐厅服务员服务非常周到   值得推荐', '短评打分': 5}
{'短评内容': '环境不错，隔音效果不好', '短评打分': 3}
{'短评内容': '房间大小正好,20平方左右,就在汽车站边上,对于赶车的人来说很方便,缺点是没有电吹风,早餐供应太晚,希望能在六点左右开始供应,如果刚才这两点完善的话,下次会再住这里.', '短评打分': 5}
{'短评内容': '酒店交通方便，紧靠汽车站火车站，但是空调不给力，夏天居住很难受。', '短评打分': 1}
{'短评内容': '每次预定的房间都安排在靠马路，不知道为什么？早饭有待提高。其它还行。', '短评打分': 5}
{'短评内容': '酒店很干净，入住很舒适，而且乘坐交通工具也很便捷。', '短评打分': 3}
{'短评内容': '环境不行，外面车躁音大，房间隔音效果也不好，总之很不好不会来了', '短评打分': 3}
{'短评内容': '多次入住了，房间很大，配置齐全，楼层高视野好，楼下吃饭还算方便，就在五星车站旁边', '短评打分': 5}
{'短评内容': '到盐城出差常住尚客，房价大，交通方便，还不错。', '短评打分': 5}
{'短评内容': '经常住，离车站近，方便，早餐丰富一点就好了。', '短评打分': 5}
{'短评内容': '夏天绝对不会！那么热的天，不开中央空调，美其名曰 天不热，且屋内有电扇！！！蚊子超级多！', '短评打分': 1}
{'短评内容': '每次都是在这家店住，房间比较宽敞，和很多知名的连锁快捷酒店相比要大很多。还是很划算的，楼下就是长途汽车站。', '短评打分': 5}
{'短评内容': '住了很多次了，还是不错的，这个价钱算是比较超值了。下次还是住这里。', '短评打分': 5}
{'短评内容': '每次到盐城都是住这家店，位置很便利，到汽车站就到了，很容易找到，楼下吃饭的味道也还不错。', '短评打分': 5}
{'短评内容': '每次到盐城都是住这家店，交通方便，楼下就有吃饭的，从房间可以看见盐城的市区全景。还是蛮划算的。', '短评打分': 5}
{'短评内容': '住了这个酒店最好的房间，结果大热天不开空调，有天开了，半天就给关了，弄的大热天屋子温度比室外高！睡觉都睡不着！美其名曰开空调很麻烦，我看关空调的时候很利索嘛', '短评打分': 1}
{'短评内容': '感觉还不错的说，紧靠汽车站火车站，交通方便。房间也安静', '短评打分': 5}
{'短评内容': '不错，房间比较宽敞。卫生也好，唯一的遗憾就是早餐简单了点。', '短评打分': 5}
{'短评内容': '不错，干净。很方便。推荐大家来住。谢谢。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '交通方便就不说了，打车也很方便，酒店员工服务热情，因新装修，设施比较好，推荐乘车旅行的人入住。但附近餐馆很少，夜间治安好像也有问题，住了两次，晚上都有警车在宾馆楼下坐镇，能是靠近车站的原因', '短评打分': 5}
{'短评内容': '楼层价高，整体感觉还算干净，118的特价房没有早餐，附件吃东西不是很方便。不过旁边就是火车站和汽车站，交通比较方便', '短评打分': 5}
{'短评内容': '房间不错,服务也好。\n空调效果不太好,房间里也要外套。\n到了春天,应该没问题了。', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 3}
{'短评内容': '酒店很不错，住的很舒适，床也不小，设施齐全，不错不错', '短评打分': 3}
{'短评内容': '还蛮好的，就是那个墙怎么不隔音呢？？？哎哎', '短评打分': 5}
{'短评内容': '还不错，就是位置有点偏，但这个和酒店本身没关系', '短评打分': 5}
{'短评内容': '房间的卫生设施还行，价格也很合适。地理位置还好。环境还是蛮不错的。', '短评打分': 5}
{'短评内容': '环境不错，离车站很近，很干净，很舒适，房间也蛮大', '短评打分': 5}
{'短评内容': '酒店认真贯彻党中央节能减排的号召，在天气阴冷的情况下，在多次和酒店交涉的情况下，在众多旅客的要求下， 酒店仍然坚持晚上7点以后才开空调。这种固执和坚持让人很失望……', '短评打分': 1}
{'短评内容': '很干净的样子~房间也很大、比之前住的其他酒店好', '短评打分': 5}
{'短评内容': '挺干净，宽敞，隔音也还可以，就是没有一次性拖鞋其余都挺好的', '短评打分': 5}
{'短评内容': '第3次住了，交通很方便，跟新长途客运站一个大楼，离火车站走路5分钟路程', '短评打分': 5}
{'短评内容': '已经是第二次入住了，干净，宽敞，明亮，价格合理', '短评打分': 5}
{'短评内容': '房间宽敞、明亮、干净，是个性价比很高的快捷酒店，服务也很好', '短评打分': 5}
