{'descr': '位置好，行驶方便，安全放心', 'star': 5}
{'descr': '挺方便得，很好很强大，只是不知道为什么不返现了啊\n', 'star': 3}
{'descr': '环境很好,服务也很好,住的很开心.', 'star': 3}
{'descr': ' 酒店很好', 'star': 3}
{'descr': '性价比较高，就是旁边不热闹', 'star': 3}
{'descr': '地理位置很好，离购物中心很近。特价房就在一楼，只有三间，晚上外面还有电焊的，有点吵。还送了2瓶矿泉水，很贴心。这个价，住的很不错了。', 'star': 5}
{'descr': '服务不错。房间有点小。烧开水的自来水有点奇怪的味道。气氛蛮好的。建议入住。价钱适中，可以接受。电视节目，没有喜欢的台，没有湖南台（反正我没找到）。哈哈。 ', 'star': 5}
{'descr': '酒店位置不错，服务一般，到店显示无房间，等待30分钟才有房间', 'star': 1}
{'descr': '物超所值啊！赞一个！', 'star': 3}
{'descr': '酒店隔音不好，入住期间刚好酒店外边有施工，比较吵。', 'star': 1}
{'descr': '酒店不错，干净卫生，服务也很好。位置也不错\n', 'star': 5}
{'descr': '离火车站和汽车站都不远，但是周围比较破~其他都挺好。', 'star': 5}
{'descr': '整体感觉不错，但是前台服务人员的服务质量有待提高！', 'star': 5}
{'descr': '房间卫生好，服务热情周到，管理规范，价格实惠，交通便利（邻街，距离火车站及汽车客运站比较近），楼下有小停车场。', 'star': 5}
{'descr': '服务态度挺好，比较干净，安静程度还行。。。。。。', 'star': 5}
{'descr': '离车站很近，里面的服务也很好，也很干净。', 'star': 5}
{'descr': '如家在哪里都一样，就不说什么了，住就一个字。。。。。。。', 'star': 5}
{'descr': '还可以，就是有时不知道怎么回事.老停电跳闸,希望下次能更好', 'star': 5}
{'descr': '挺好的,很方便,不用预交定金,省事,真的还可以', 'star': 5}
{'descr': '酒店位置很好，早餐简单了点，房间有漏水现象。整体感觉还可以。\n', 'star': 5}
{'descr': '住的二楼，环境不错,就是水池不好放水，应该是坏掉了', 'star': 5}
{'descr': '服务员态度很好，打扫卫生很及时，就是在报修电视的时候催促了几次才给修理', 'star': 5}
{'descr': '不错  如家还有数码房  非常方便 交通也十分便利', 'star': 5}
{'descr': ' 环境挺好 服务员非常棒 随便走廊遇见都会主动说声先生中午好、下午好 很难得 ', 'star': 3}
{'descr': '环境还行', 'star': 3}
{'descr': '饭店服务很好。', 'star': 3}
{'descr': '饭店服务可以。', 'star': 3}
{'descr': '我已经入住，再加一天，可以用代金卷。22—26。饭店服务可以。谢谢。', 'star': 3}
{'descr': '环境静中带旺，卫生不错。服务员的态度非常好，下次过来还是住这里!', 'star': 3}
{'descr': '比想象中好很多', 'star': 3}
{'descr': '一直住的 挺好的  哈哈 。。。。。。/////////', 'star': 5}
{'descr': '整体感觉不错，服务人员热情，不过电梯实在有些陈旧。', 'star': 5}
{'descr': '服务态度相当好，就是毛巾什么的不太干净，早餐单调了些', 'star': 5}
{'descr': '服务水平可以，店里设施一般。', 'star': 3}
{'descr': '十酒店不错,干净,温馨', 'star': 3}
{'descr': ':房间宽敞洁净，性价比高。', 'star': 3}
{'descr': '环境不错，干净整洁！', 'star': 3}
{'descr': '交通便利，服务好，早餐品种齐全，味道也好，不错！', 'star': 5}
{'descr': '这家酒店距离火车站非常近，走路就可以到，太方便了，下次还要 住在这里', 'star': 5}
{'descr': ' 公共卫生还不错,卫生间下水管声音大……', 'star': 3}
{'descr': '酒店离火车站很近。很方便。装修和空间是如家统一的风格。', 'star': 5}
{'descr': '推荐！！\n各方面都很令人满意，首先是服务态度特别的好，前台小姐很尽职尽责；房间很宽敞，特别干净，卫生间很大，很有家的氛围，床也很舒服，周边环境也算很安静', 'star': 5}
{'descr': '酒店的总体环境还可以，就是七楼的热水真是不恒温，而且毛巾也比较脏，空调制热效果不好，房间隔音效果不好！不过性价比较高', 'star': 5}
{'descr': '服务不错，如家就是都一个样，离开火车站是比较近的', 'star': 5}
{'descr': '挺好的。挺温馨的。就是窗户有时候不好关上', 'star': 5}
{'descr': '服务很好', 'star': 3}
{'descr': '还可以，不过毛巾不干净', 'star': 3}
{'descr': '位置一般，服务态度不错。卫生环境和其他如家一样。暖气响了一夜，比较烦，另外12元的早餐很一般。', 'star': 5}
{'descr': '酒店服务好，比较干净！位置也比较好,我下次还住这里!\n', 'star': 5}
{'descr': '帮别人定的，说是可以，位置很方便的，就在火车站旁边', 'star': 5}
{'descr': '这个地方还算是可以吧，但不是很容易找到！~旧房子装修的！~还有就是价格在沧州这种城市来说贵了！~ ', 'star': 5}
{'descr': '房间总体来说很好，就是隔音不好，这是如家的通病，不算什么。', 'star': 5}
{'descr': '交通方便，设施齐全，服务好，在这个小城市能有这种服务，值得推荐。', 'star': 5}
{'descr': '其它都不错，就是暖气11点以后就没有了，有点冷', 'star': 5}
{'descr': '有些细节做的不错,但是暖气的水声音太大了,并且暖气不热,不过服务还不错,我问沧州大化在哪儿,能主动帮我打电话问,并马上告诉我,虽然没多大用处,但是服务意识还是有的.', 'star': 5}
{'descr': '服务不错。位置不是太好早，其实离火车站也比较近，沧州就那点事', 'star': 5}
{'descr': '出差一直住如家，挺不错的，全国连锁标准。。。', 'star': 5}
{'descr': '挺温馨的 服务员态度也很好 有家的感觉。价钱也不高', 'star': 5}
{'descr': '服务态度不错，早餐也很可口，唯一不足之处就是我住的房间暖气晚上哗哗响，吵得睡不着觉。', 'star': 5}
{'descr': '还不错吧，基本的如家配置，就是没有餐厅，准确的说不能提供晚餐有点遗憾', 'star': 5}
{'descr': '总的来说酒店还不错，比较干净，也不是很乱，就是没有暖气，晚上睡觉有点冷。', 'star': 5}
{'descr': '还可以的！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '很好，跟其他地方的如家一样，可惜餐厅只能提供早餐，周边环境不是太好', 'star': 5}
{'descr': '跟国内其他如家差不多，一切都好，就是吃饭不怎么方便，不知什么时候能在酒店吃饭？', 'star': 3}
{'descr': '环境很好   服务也热情   推荐大家去', 'star': 5}
{'descr': '环境不错，服务员很热情，也没有出现上次去时候的噪音，总体满意。', 'star': 5}
{'descr': '沧州这家酒店位置离火车站很近，相比之下房间还较大也安静', 'star': 5}
{'descr': '房间干净整洁，服务员也很热情礼貌，整体满意，只是附近不知是不是有地方施工，早晨六点就特别吵，其他的都比较满意。', 'star': 5}
{'descr': '酒店房间很干净，就是周边靠近长途汽车站环境太差', 'star': 3}
{'descr': '不错，空调挺好；网速有限制，不能畅游网络，且不能下载电影等。', 'star': 3}
{'descr': '不错价格实惠，个环境交通很便利，房间很温馨，喜欢，以后好到这里住，希望再接再励', 'star': 3}
{'descr': '位置还好，在汽车站后面，就是隔音不是太好，总体性价比还不错。', 'star': 5}
{'descr': '和第一天一样，服务不错，早餐一般（不值10元钱），毛巾的卫生状态较差，不过河北地区的酒店都不注重卫生，所以综合来看，给予推荐', 'star': 3}
{'descr': '+如家酒店很干净，就是靠近汽车站，周边环境不好', 'star': 5}
{'descr': '服务很不错，就是手巾有点脏，洗不出来的，但在沧州算性价比不错的了', 'star': 5}
{'descr': '这个位置并不是离火车站很近，而且也不是很容易找到。卫生还可以。因为靠近马路楼后是个私体汽车站所以有点乱。但总体来说还算可以吧！', 'star': 1}
{'descr': '酒店的被罩是粉红色的，很温馨，洗澡水很大，大床有2米，足够舒服，就是每天只有早上有自助餐，中午和晚上餐厅不开，如果要下大雨或雪的话周围还真没什么吃饭的地方', 'star': 3}
{'descr': '酒店的位置离火车站还是比较远的，厕所冲水的声音比较大，房间隔音效果不是很好，餐厅在三楼，房间面积感觉大于20平米，尤其是卫生间感觉比较大，总体比当地的金狮100快捷酒店环境好的多，推荐！', 'star': 3}
{'descr': '酒店离火车站还是有点远的，厕所马桶冲水声音较大，房间感觉大于20平米，卫生间很宽敞', 'star': 5}
{'descr': '位置在长途汽车总站旁边，交通方便，房间隔音差', 'star': 5}
{'descr': '9很好', 'star': 5}
{'descr': '房间有点小，毛巾旧了，相对于徐州的收入，这样的价格高了20%', 'star': 1}
{'descr': '卫生间声音很大。服务员态度非常好！！！推荐', 'star': 5}
{'descr': '经济型酒店还行吧。就是楼上好像有家舞厅早上就开始放音乐。 出差还凑合着~~', 'star': 5}
{'descr': '  如家快捷沧州火车坫店:  卫生好 、服务态度好、价格合理、位置较好。 但停车位仅十个左右,太少了,另外房间之间隔音差、影响', 'star': 5}
{'descr': '一如既往的如家风格，干净卫生，就是有点吵，隔音不是很好', 'star': 3}
{'descr': '该酒店非常不安全。发生安全事件该酒店管理人员只是旁观。不推荐。', 'star': 1}
{'descr': '  挺干净，挺不错的一家酒店，服务员的态度非常好！', 'star': 5}
{'descr': '我到沧州已经几次住这个酒店了，值得推荐。', 'star': 5}
{'descr': '我们住的房间有很难闻的潮味，服务员说是刷的漆味，但应该就是发霉的潮味。服务很不错，坚持了如家一贯的风格。走廊地毯有很显眼的污渍，感觉清洁不够彻底。卫生间宽敞明亮，是我经常选择如家的原因。酒店位置不错，就是周围吃的不如戏马台如家方便，下次估计还会选戏马台的那家。', 'star': 5}
{'descr': '位置还算不错，想要去的几个地方都在附近。只是中间停了会水，比较讨厌。另外是住店二个人，非得要二个身份证。不知道是怎么回事。', 'star': 5}
{'descr': '性价比不错，环境挺好。下次还会选择。不过房间稍小了一点呵呵，感觉上吧。', 'star': 5}
{'descr': '酒店的服务员很好，帮我留了比较安静的房间。据说里沃尔玛很近，问了路，大概要15分钟走过去，出门右拐、左拐、右拐、直行~~~~~~~~~~(&gt;_&lt;)~~~~ 。茶餐厅很可爱，只对着门外的花店哦，', 'star': 5}
{'descr': ' 跟同事分别入住之前预订的420和421，如家还是一如继往的整洁，不错', 'star': 5}
{'descr': '感觉有点旧，毛巾发黑。', 'star': 5}
{'descr': '这酒店是我住过的最划算的了，很解闷，可以同时听周围三个房间的动静！别的房间一冲马桶或洗澡我还以为是自己的厕所漏了呢！千万别住！', 'star': 5}
{'descr': '环境不错，很干净，也很安静，服务也可以，就是有点慢，打了2个电话要吹风机，很久才给送到，不过总得来说还是很满意的，推荐给大家。', 'star': 3}
{'descr': '位置其实不算太好，主干道上往里望看不见明显的标识，标准化方面是没的说，设施卫生啥的都挺不错的，服务员的态度尤为热情，确实让人感觉如家的感受，不过没有餐厅提供中餐晚餐有点遗憾，早餐也不是免费的，且品种一般，网速人多的时候比较卡，下东西的时候也是有点卡，其它的都还好，下次还会来的', 'star': 5}
{'descr': '整体来看还不错，就是隔音稍微有点欠缺，推荐', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '这个酒店确实很不错，价格合适，交通也很方便', 'star': 5}
{'descr': '除了没有烟以外，其他的各个方面都很好，下次还会入住', 'star': 5}
{'descr': '服务 态度很好，装修很有家的感觉', 'star': 5}
{'descr': '这是我住过的如家感觉最好的一家店了，服务非常好，其它也不错', 'star': 5}
{'descr': '如家快捷酒店沧州火车站店，卫生一流，服务不错，设施完善，位置好找，非常舒适，具有较高的性价比。特此推荐！', 'star': 5}
{'descr': '还不错，房间挺整洁，服务人员很热情。', 'star': 5}
{'descr': '还不错 交通比较方便 也是市中心吧 步行就可以到 金鹰了 \r\n还不错 ～～', 'star': 5}
{'descr': '。。。。。。。。。不错，值得推荐。。。。。', 'star': 5}
{'descr': '卫生干净，但隔音效果一般，房间内只有网线但无电脑，相对其他酒店价格较高。', 'star': 3}
{'descr': '酒店周围环境不好，但是内部较干净，前台服务员态度很好，房间也较卫生', 'star': 3}
{'descr': '酒店离开火车站估计500米左右，附近店还是蛮多的。服务员态度很热情，卫生条件不错。值得入住', 'star': 5}
{'descr': '服务态度一般，价格在当地偏贵，但是很干净。', 'star': 5}
{'descr': '布置和环境都挺好，唯一的缺点是感觉空间有点小', 'star': 5}
{'descr': '第二次入住，总的来说很好。但是隔音稍稍差了点，这个是快捷酒店的通病。另外就是我定的房间给我的是最里面角落的，而且墙上有点潮，没有上次入住的房间好', 'star': 5}
{'descr': '周边环境较乱，但是这个价格可以了！\r\n性价比和服务都不错，值得推荐！\r\n', 'star': 3}
{'descr': '酒店位置很好，离火车站和汽车站很近，出门办事很方便。前台服务热情，下次还会入住', 'star': 5}
{'descr': '位置很好，性价比不错，隔音普通，床有些硬', 'star': 5}
{'descr': '地方周围环境差了点，但是出差这个地方，住在如家还是比较舒心的。', 'star': 5}
{'descr': '每间大床房大小不一样，住了个角落里的，不舒服。', 'star': 5}
{'descr': '算不错的了，值得推荐！', 'star': 5}
{'descr': '可能因为工作人员少，节省成本，可人多的情况下，呼叫服务台，答复和服务速度非常的慢，我可以理解为节约成本，减少员工数量，降低客人的花费，可我作为住客，对服务部不及时，提出不满！', 'star': 5}
{'descr': '整体不错，卫生到位，带电梯！房间很大！交通出席特别方便，离汽车站步行3分钟，火车站步行6分钟的样子！缺点是后面的院子是个货运站，估计大清晨的就会开始吵了！', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '周围环境太差', 'star': 1}
{'descr': '不错 推荐', 'star': 3}
{'descr': '离电脑城很很近 很方便 ', 'star': 3}
{'descr': '一般', 'star': 1}
{'descr': '如家快捷很不错，性价比很高，不比一些挂三星的酒店差。\r\n预定的人太多，导致入住的时候等了很久，希望能快速处理一些经常入住如家的客户。', 'star': 5}
{'descr': '感觉位置还可以 稍稍有些不方便 不过没有大碍 房间比较宽敞 设施性价比不错 不过晚上有蚊子...', 'star': 5}
{'descr': '出行很方便，交通也不错，性价比不错的快捷酒店！', 'star': 3}
{'descr': '不错，出行比较方便', 'star': 5}
{'descr': '晚上到的火车站，很近，去住很方便', 'star': 5}
{'descr': '服务员很是热情 很不错 但隔音效果不是很好  不过是不是有不知名的虫子 我被咬了3个大包 ', 'star': 5}
{'descr': '酒店很干净，屋子也很清静，很不错！', 'star': 5}
{'descr': '环境不错  服务也还可以，很热情，推荐有需要的朋友住这里吧   你应该不会失望的   很温馨。。。', 'star': 5}
{'descr': '服务不错，周围环境差了点，没有合适的吃饭的地方。', 'star': 5}
{'descr': '每次出差必住', 'star': 5}
{'descr': '非常便捷，实惠的酒店，经常住。', 'star': 5}
{'descr': '这家酒店基本上海不错，位置距离火车站和汽车站很近，交通方便。', 'star': 5}
{'descr': '服务比起天津那个红旗路的如家好的不知道到哪去了', 'star': 5}
{'descr': '位置和服务都不错，总体还算好', 'star': 5}
{'descr': '网速慢，应该提高网速。', 'star': 3}
{'descr': '网速很慢，视频都不流畅。', 'star': 5}
{'descr': '酒店干净整洁，服务很好。硬件设施很好。', 'star': 3}
{'descr': '很好，很干净。下次还住在这里！', 'star': 3}
{'descr': '位置佳，性价比好！', 'star': 5}
{'descr': '如家，如在家般舒适', 'star': 3}
{'descr': '在如家，就如在家般舒适自在！', 'star': 5}
{'descr': '卫生较好，性价比不错。', 'star': 5}
{'descr': 'NICE', 'star': 5}
{'descr': '酒店卫生服务还行，怎么没有晚餐了，很不方便', 'star': 3}
{'descr': '如家是是每次出差的首选，比较信赖', 'star': 5}
{'descr': '下次还会来！', 'star': 5}
{'descr': '本来说住两天的，结果警察同志找了个奇怪的理由把宾馆封了，该封的不去封，老封这种最干净的地方。', 'star': 5}
{'descr': '酒店周边环境差，服务还不错！', 'star': 3}
{'descr': '一般的酒店，距离汽车东站和火车站都很近，出差住一两晚尚可。', 'star': 1}
{'descr': '服务态度非常好，值得推荐！', 'star': 5}
{'descr': '很不错，去沧州的首选入住地^_^', 'star': 3}
{'descr': '非常不错，去沧州的首选O(∩_∩)O', 'star': 5}
{'descr': '餐厅只有早餐，中餐和晚餐不供应，附近没有什么像样点的饭店，吃饭很成问题，就只有一个四星的酒店。还有，热水基本不热，很愁人。。。', 'star': 1}
{'descr': '我很喜欢他们家的服务，有种宾至如归的感觉。就像酒店的名字，如家。\r\n卫生环境也很好，美中不足的一点就是床单不太舒服，有点粗糙。', 'star': 5}
{'descr': '床很舒服', 'star': 5}
{'descr': '好 不错！就是酒店的经理拉着个脸 像个傻&#215;', 'star': 5}
{'descr': '隔音效果太差了，走廊上和马路上的声音吵得晚上睡不好。其他一般。', 'star': 1}
{'descr': '酒店附近环境较乱，但是酒店环境不错，性价比可以！', 'star': 3}
{'descr': '还是挺不错的，地段也也好，出门就是户部山步行街，离金鹰走路也就五分钟。', 'star': 5}
{'descr': '很温馨，就是隔音不太理想', 'star': 5}
{'descr': '服务好，性价比不错！值得推荐！', 'star': 5}
{'descr': '床单有味道, 感觉挺脏. 不过服务不错, 我们提的要求都能很快满足.', 'star': 1}
{'descr': '非常可以', 'star': 5}
{'descr': '价格合理，房间还是挺大的。', 'star': 5}
{'descr': '住宿感觉很好，这个价位还是可以的。早餐也很好12元的自助餐。', 'star': 5}
{'descr': '距离商业中心很近，最重要的是可以免费停车。房间有点儿稍小，不过快捷酒店只是住宿而已，无伤大雅。总体来讲，值得推荐。', 'star': 5}
{'descr': '酒店卫生状况较好，性价比还不是最佳，所处的位置是徐州彭城广场，周边地方交通方便。服务员偏少一些。', 'star': 5}
{'descr': '各方面都很好，还未发现不足之处。', 'star': 5}
{'descr': '沧州地面能住得舒舒服服很不错了，一如既往得简洁布置', 'star': 5}
{'descr': '我喜欢如家。', 'star': 5}
{'descr': '酒店设施相对来说还是不错的，性价比高', 'star': 5}
{'descr': '该连锁如家 比较舒适 比起一般连锁 还是不错的 房间也不错 只是房间那个地暖会叫的很响', 'star': 5}
{'descr': '挺干净就是冷点', 'star': 3}
{'descr': '很整洁', 'star': 5}
{'descr': '卫生尚可，就是噪音太大', 'star': 3}
{'descr': '卫生干净，性价比高', 'star': 5}
{'descr': '如家酒店非常干净，在汽车站旁边，价格很便宜。但是屋里的暖气声音比较大。', 'star': 5}
{'descr': '暖气太差了，白天一点都不热，而且水管里流水声音很大。', 'star': 1}
{'descr': '早餐很好', 'star': 5}
{'descr': '还可以。。。', 'star': 5}
{'descr': '酒店的内部环境还是不错的,房间打扫的挺干净的,就是浴室里再多个浴缸就更好了,前台服务也还不错的,周边的交通也蛮方便的,价格方面还是比较合适的.', 'star': 3}
{'descr': '位置还可以，这边交通还是很方便的，房间的隔音不太好，卫生和设施还不错，服务也还行，整体感觉这家酒店的性价比还是比较高的', 'star': 3}
{'descr': '房间外隔音不太好，总是听到火车站的广播。暖气也不太好，声音太响', 'star': 5}
{'descr': '不错的酒店 值得推荐', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '酒店在当地来讲价格还是稍微偏高些了,其它方面还是不错的,整体感觉还可以值得推荐.', 'star': 3}
{'descr': '环境不错，交通便捷，下次还会去', 'star': 5}
{'descr': '房间很大，很宽敞，但设施一般。', 'star': 5}
{'descr': '感觉还不错！', 'star': 5}
{'descr': '卫生搞的不错，挺干净的 。舒适度也不错，整体感觉性价比可以', 'star': 3}
{'descr': '位置还可以，就是道路前后夹击，比较吵', 'star': 5}
{'descr': '一般,房间有点小,隔音不太好,不过位置还可以.', 'star': 3}
{'descr': '这家如家的设施已经陈旧了,尤其是厕所里的毛巾简直是太脏了,又黑又硬,上面还有明显的污点.以后应该不会住这里了', 'star': 1}
{'descr': '感觉还不错，就是房间太小了啊！', 'star': 5}
{'descr': '地理位置非常好,出行很方便,房间的卫生和设施方面都很不错,住着很舒适,是一家性价比很高的酒店.', 'star': 3}
{'descr': '酒店就是卫生条件方面差了点,住着不是很舒服,位置还可以,服务一般.', 'star': 3}
{'descr': '不错,床够大', 'star': 5}
{'descr': '这家酒店的性价比很高,我很蚂艺,地理位置也非常好,位于市中心,出行都很方便,但就是房间的硬件设施有点陈旧了.', 'star': 3}
{'descr': '还可以，就是隔音不是很好', 'star': 5}
{'descr': '还不错吧,设施差一点', 'star': 3}
{'descr': '卫生间设施不好..', 'star': 1}
{'descr': '房间里面的设施有些简陋，但是卫生还是很干净的，地理位置很好靠近火车站很近很方便，服务很一般。', 'star': 3}
{'descr': '各方面很一般，价格也不是很优惠，唯一的优惠就是位置，在火车站附近', 'star': 3}
{'descr': '服务不错,什么都好!就是宾馆隔音效果有点说不过去!早上8点我还正在呼呼大睡的时候,突然隔壁传来一阵非常具有穿透力的声音,顿时,睡意全无,唉!怎奈,饶有兴趣才听了三分钟不到声音就结束了!呵呵!下次还会去的!', 'star': 5}
{'descr': '离市中心商业中心很近，购物方便，旁边户部山步行街夜文化丰富，价格稍贵。', 'star': 5}
{'descr': '酒店位置黄黄金，服务不错。房价稍贵，同等条件比肩上海如家了。徐州消费水平还达不到！', 'star': 5}
{'descr': '酒店的位置挺好的，价格也比较合适，在这个价格上他的硬件条件和服务都比较不错，还是可以推荐的。', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '酒店服务很好,卫生也很干净,主要是地理位置离我办事地点很方便,设施也没完善,就是房间里有些味道,总体来说是间不错的酒店,值得推荐.', 'star': 3}
{'descr': '如家快捷酒店（徐州彭城路店交通方便，在市中心，距离火车站、长途汽车站很近，很方便。房间简洁卫生，很舒心，下次还会再住。', 'star': 3}
{'descr': '房间的卫生和设施都还不错，不足的就是隔音不是很好，有噪音，会吵一些，酒店的服务还是不错的，周到热情，我觉得这家酒店在性价比方面还是值得推荐的', 'star': 3}
{'descr': '经济型酒店，从门面来看，低调；从知名度看，如家快捷略有所闻；只是一直没有入住过。这次入住如家快捷酒店（徐州彭城路店），让我出乎意料。首先交通方便，在市中心，旁边有一个全市最大的广场（彭城广场），晚上散散步、看看夜景，早晨跑跑、吸吸新鲜空气，很是惬意。这儿距离火车站、长途汽车站很近，打的均为起步价，很方便。其次，房间简洁卫生，善意提醒均有小的装饰和贴画，显得很舒心。再次，服务热情，尤其是餐厅的两个服', 'star': 5}
{'descr': '性价比还不错，卫生也挺好', 'star': 5}
{'descr': '条件、设施、服务态度、地理位置都不错，就是稍微有点贵，学生承受能力有限！', 'star': 3}
{'descr': '就是有点贵，再降点就完美了！', 'star': 5}
{'descr': '我住过很多住过如家快捷酒店这家酒店还继承了如家的优点但比其他城市水平要低一些包括房间大小干净成度,它的早餐要12元上海只要10元', 'star': 3}
{'descr': '酒店的位置还可以，硬件条件，环境服务都还不错，而且价格也能接受，整体感觉挺舒服的。', 'star': 3}
{'descr': '房间是在一楼的,非常潮湿,如果下次入住也只要一楼房间的话就不会选择了,其它方面都不错.', 'star': 3}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，位于市中心的。性价比不错酒店', 'star': 5}
{'descr': '酒店环境挺好的，位置也不错，外出方便，就是感觉在徐州当地来说价格稍微有点贵 ', 'star': 5}
{'descr': '总体来说还行吧', 'star': 5}
{'descr': '距离火车站和汽车站比较近，但离高客客运站较远。由于楼后就是客运站，无论晚上还是白天都有一些噪音。', 'star': 5}
{'descr': '环境很好，位置在市中心，去什么地方都很方便，服务也不错，价格也很合适 ，酒店整体我是比较满意的', 'star': 5}
