{'短评内容': '已是第二次住了，酒店交通便利，设备齐全，好评！', '短评打分': 5}
{'短评内容': '还不错/.房间是比同价位的显大些.因为是国庆去的,房价贵了些.', '短评打分': 5}
{'短评内容': '个人认为房间舒适安静，酒店服务态度好，居住在这里感觉不错。', '短评打分': 5}
{'短评内容': '这家酒店改变了我对西安脏乱的感觉，周边环境不错，离大雁塔、陕西博物馆很近。', '短评打分': 5}
{'短评内容': '客房清洁，安静，舒适，', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，房间也够大，但惟独美中不足的是那儿的早餐。因为住在那里的人很多，但早餐的样式很单一，对于住店客人的数量来说，可供进餐的位子也不够。服务态度还是比较不错的，总的来说还比较满意！', '短评打分': 5}
{'短评内容': '房间大，整洁，地理位置佳，附近就是大雁塔文化园，初次进速8酒店，没想到有这么好\n很值得\n', '短评打分': 5}
{'短评内容': '酒店靠大雁塔很近，就在翠华路上，我们8月7日入住，感觉酒店很安静，房间很大，很干净，洗浴用品质量也不错，我们一起的老人睡得很好，赞一个！！下次来西安还会选择这家酒店的！！！', '短评打分': 5}
{'短评内容': '地理位置好，就在大雁塔旁边，去美术馆、山西历史博物馆、大唐不夜城、大雁塔公园、海洋公园、大唐芙蓉园都很近，我和老婆都是走路过去的。走遍美食不少，楼下旁边的一家肉夹馍点，每天清晨早早就有人排队买，我几乎天天买，很好吃。附近的音乐喷泉广场的天下第一面也非常有特色。住宿条件很好，安静，酒店服务也非常好。值得向朋友推荐', '短评打分': 5}
{'短评内容': '推荐！ 建议：早餐时间延长到10：30， 多为游客，很累，休息的时间要长些，所以早起的有的吃，晚起的没饭吃。', '短评打分': 5}
{'短评内容': '位置佳，服务好。我们当时住了2间房，空调很好，很静哦。下次还住！', '短评打分': 5}
{'短评内容': '位置不错，距离陕西博物馆和大雁塔都很近。房间很大，也很干净。\n每天来往的人很多，前台非常忙碌，所以办理入住和退房都等了不短的时间。\n旁边一家肉夹馍店人气很旺，吃了两次，物美价廉！', '短评打分': 5}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '服务周到 房间内卫生干净 就是没有冰箱 夏天有些不方便', '短评打分': 5}
{'短评内容': '刚刚入住，房间很大，也很干净；初步感觉不错，应该还会入住！', '短评打分': 5}
{'短评内容': '酒店不错 干净 离市中心景区都很近', '短评打分': 3}
{'短评内容': '到店等了近一小时，服务员要开会不扫除房间让客人等待，真是岂有此理，卫生间奇臭无比', '短评打分': 3}
{'短评内容': '比想象的要好的太多了，家人很满意，首先地理卫生极佳，穿过酒吧一条街到大雁塔步行只需五分钟，夜晚的音乐喷泉很美，值得向所有人推荐；大雁塔一侧都是饭店和小吃、大排档，包括贾三包子和老孙家；速8前台服务很正规，有四星的风范；房间很整洁，床大而舒服，热水浴有回到家的感觉；酒店门前就是公交车站，到大唐芙蓉园只需三、四站，我是打车去的，八元，南门有去世园会的五号始发车，太方便了，走在路上你就知道坐始发车的必要', '短评打分': 5}
{'短评内容': '地址好房间大不错', '短评打分': 3}
{'短评内容': '主力多次，发了多次评论，还要发，唉。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很满意！', '短评打分': 3}
{'短评内容': '房间还算干净,临大唐通易坊,吃饭很方便.', '短评打分': 3}
{'短评内容': '位置好，房间大，干净，服务好，好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '位置很好,态度一般,房间干净,没有小姐,早餐结束的太早了,', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间大、位置好、价格便宜、不错、好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境服务尚可,谢谢!', '短评打分': 3}
{'短评内容': '干净卫生，总起来说还不错', '短评打分': 3}
{'短评内容': '酒店房间很大，很舒服，在大雁塔旁边，出去玩和吃东西很方便，旁边就是有名的李老三牛肉夹馍，真的很方便。', '短评打分': 5}
{'短评内容': '位置很不错的一家酒店，出游很方便。价格也比较适中，下次去了还是会选择这里的', '短评打分': 5}
{'短评内容': '房间里空间挺大的，卫生做得很好，感觉干净整洁，挺舒适。 \n', '短评打分': 5}
{'短评内容': '房间挺大，就是厕所有点小。窗户外窗台未清理干净。被褥挺新挺干净。必须自带电脑才能上网。', '短评打分': 5}
{'短评内容': '环境不错  性价比较高 值得推荐……呵呵', '短评打分': 3}
{'短评内容': '环境可以 性价比较高  值得推荐………………', '短评打分': 3}
{'短评内容': '己入住谢谢', '短评打分': 5}
{'短评内容': '酒店条件不错，也很干净，服务也很好。距离大雁塔很近，但是离市区还是不大方便。', '短评打分': 5}
{'短评内容': '8月31,9月2日住了两晚。还不错，地理位置好。下次还住。要是带早点就完美了', '短评打分': 5}
{'短评内容': '地理位置优越，价格还算不错，就是客人较多，入住登记等很长时间。总体值得推荐', '短评打分': 5}
{'短评内容': '酒店房间还行', '短评打分': 5}
{'短评内容': '四个字：很棒 很棒        房间很大  卫生很好.', '短评打分': 5}
{'短评内容': '这次入住感觉还可以。效率比较高。特别是服务员的态度较好，停车场空间大。', '短评打分': 3}
{'短评内容': '服务有待改进，延迟了20分来分钟退房，竟然试图要我半天的房费,有看人下菜的嫌疑', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '住房空间很大，这次感觉要好一些，希望能够生意兴隆。', '短评打分': 5}
{'短评内容': '服务员反映不够机敏，动作较慢。', '短评打分': 1}
{'短评内容': '不错 楼下的餐厅稍差些  希望改进', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间非常大，性价比非常高。', '短评打分': 5}
{'短评内容': '这个速8店的服务不怎么样，而且楼下的早餐很差，15元，一点都不值。离店时让服务员帮忙做个水单，请示了经理后，说是不能提供。而且服务员说“你要是不满意的话，可以投诉我们”。这叫什么回答啊！你这个烂店不愁客人啊！投诉你说明我对你还有希望，我根本就不选择你这个店了，知道吗？\r\n网速非常慢，根本无法打开网页，问服务员后，说是五天前已经报修了，至今还是没有解决。是没有解决呢，还是根本不想解决啊！管理简直是太', '短评打分': 3}
{'短评内容': '房间比较大，但是有很大的装修材料的味道。', '短评打分': 5}
{'短评内容': '去了西安几次，这次的选择最正确，房间大，设施齐，关键是没有异味，很好，下次去还会住这里，而且毫不犹豫的买了速８的VIP卡．', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，卫生干净，服务也很热情周到，设施很新，价格中含早餐会更好。', '短评打分': 5}
{'短评内容': '周边环境比较好，对面就是饮食一条街。另外酒店里洗手间的水很大，温度也够。不错了', '短评打分': 3}
{'短评内容': '很不错的酒店，位置非常好，就靠近大雁塔，卫生一般，服务还可以，价位，舒适度都不错，值得推荐。', '短评打分': 5}
{'短评内容': '房间面积蛮大的，布置的也挺温馨的，卫生服务方面都挺不错的，酒店的位置也不错，位于繁华地带，出行挺房的，整体感觉性价比还是蛮不错的。', '短评打分': 5}
{'短评内容': '4月18日住了一晚房间大很舒服，服务也好', '短评打分': 3}
{'短评内容': '4月18日住了一晚房间大很舒服服务也好，下次去还要住在这', '短评打分': 5}
{'短评内容': '冲凉水大，温度也刚好。房间内挺舒适的，就是枕头睡的不是很舒服，太高了。另外临近大唐通易坊，有很多吃的东西，另外还可以直通大雁塔和大唐芙蓉园。感觉还是很方便的，打车在西安城内转，都没有超过20元的。', '短评打分': 5}
{'短评内容': '性价比很好的一个酒店，推荐入住', '短评打分': 5}
{'短评内容': '帮老外定的酒店，老外对本酒店很满意的。卫生，服务，设施都很不错。位置没有在市中心，不过离大雁塔比较近，交通还是方便。', '短评打分': 5}
