{'短评内容': '东西很好，送货很快，必须满意，好评满分', '短评打分': 5}
{'短评内容': '又老又旧，号称4星级，客房水平3星，早餐水平快捷酒店。唯一说得过去的是洗澡水还算痛快。', '短评打分': 5}
{'短评内容': '酒店位置很好。服务也不错。晚餐时间较早了一些，如果能推迟到10:00会更好。不过酒店停车要收费，感觉怪怪。', '短评打分': 5}
{'短评内容': '酒店的卫生很差，非吸烟房的烟味很浓，地毯有明显的烟头烫伤的痕迹，早餐质量很差，就想三星的标准，不够四星的水准。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '酒店环境还行，沙发有点脏好像很久没洗过。\n床单还算干净。\n\n居然有国外的有线电视，意外哈。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，出行很方便，酒店算是经济舒适，停车位充足．', '短评打分': 5}
{'短评内容': '一进门礼宾员一动不动，前台连头的不抬的问客人有没有预定。告诉后，被告知没大床、没高层，也没有任何歉意的意思。进入房间，装修比较老，还是几年前的装修风格，地毯都变了色，沙发也脏兮兮的，还有烟头烫的洞。卫生间有浴缸，防滑垫都发霉了。空调到时很暖和，房间能上网，但是没敢动网线，因为已经快折了，也就作罢。退房花费10分钟，依旧爱搭不理，礼宾员依旧傻傻的戳在一角发呆。酒店除了位置好，其他什么都没有，性价比很', '短评打分': 1}
{'短评内容': '很好的酒店 服务到位，设施比较好，地理位置合适，关键是有停车场。', '短评打分': 5}
{'短评内容': '环境十分好，客房十分干净，饭菜价格合理好吃！！！！', '短评打分': 5}
{'短评内容': '承德最好的四星酒店 建议住高楼层的房间 比较安静 景色好', '短评打分': 5}
{'短评内容': '环境很好，服务不错,值得再去,开车去住是个很好的选择', '短评打分': 5}
{'短评内容': '帮朋友订的，他感觉还不错，值得一住，出去旅游的好地方', '短评打分': 5}
{'短评内容': '承德最好的酒店，环境和服务都不错！房间卫生很好', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '这家是承德最好的酒店 四星 但上网需要收费 其他都还好', '短评打分': 5}
{'短评内容': ' 酒店位置不错，房间不错，就是价格贵了点，还有最好能含早餐。', '短评打分': 5}
{'短评内容': '下次去，还住这家宾馆，在承德这种旅游点，已经算是不错的了', '短评打分': 5}
{'短评内容': '停车场管理混乱。', '短评打分': 3}
{'短评内容': '酒店位置很好找，是承德比较高的建筑，房间挺干净的\r\n酒店停车场较小，还要收费', '短评打分': 5}
{'短评内容': '位置很好，在南营子大街南端，离商业区和避暑山庄都不远，周围有裘翠楼、新乾隆、KFC、MAC等，吃饭方便\r\n房间比较干净，洗漱用具配备齐全\r\n电视可以看的台比较少，房间门隔音较差，走廊声音听的很清楚\r\n配有荞麦皮和羽绒两种枕头，这个不错\r\n酒店工作人员很热情，有问必答\r\nPS：裘翠楼三层和四层的菜单不一样，三层的价格很离谱，四层的平价', '短评打分': 5}
{'短评内容': '酒店的位置,很不好停车,门口比较乱.房间和卫生间都还比较大,洁具是TOTO,床不是很舒服,没有咖啡,没有抽纸,早餐不行,总体来说,性价比还行,坐出租车,都是这是承德最好的酒店!', '短评打分': 5}
{'短评内容': '前台效率较高，入住和查房快；若干菜品味道不错，如农家丸子；餐厅服务差，大堂服务员脸色难看，似乎客人给她们带来极大麻烦，泡茶之水仅比体温高，并被告之无法解决，后厨传菜喇叭声音极大，很闹心。', '短评打分': 5}
{'短评内容': '还不错就是有点不象四星', '短评打分': 5}
{'短评内容': '承德作为旅游城市，酒店和餐饮服务的管理有待提高。天宝假日对外号称四星，距标准差距很大，特别是酒店的停车场，对进出车辆没有引导，导致住店客人的车在停车场被刮蹭，没有人承担责任。客房服务不送报，找理由说由于放假。酒店内餐厅由于国庆假期承办婚宴，客人醉酒，导致大堂混乱，电梯很脏。看不到大堂的管理人员出面解决。', '短评打分': 1}
{'短评内容': ' 比网上评价好很多。服务很好，卫生不错，酒店环境也不错，属于老式酒店四星级。餐厅饭菜不错价格适中，15至30元的菜品有很多选择。', '短评打分': 5}
{'短评内容': '超出预期了', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 5}
{'短评内容': '酒店装修比较新，就是停车比较紧张，性价比一般，但承德的酒店都如此。', '短评打分': 5}
{'短评内容': '我们在本酒店住了两天感觉不错，酒店位置很好，距避暑山庄和外八庙都很近，下次来承德还会住这家酒店。', '短评打分': 3}
{'短评内容': '最好的是有停车场，在承德停车很难，很方便！', '短评打分': 5}
{'短评内容': '国庆节第三天入住，11层无烟层，房间设施比较齐全，地毯有少许污点。在承德应该是比较不错的酒店，总体满意。', '短评打分': 5}
{'短评内容': '酒店环境好，交通便利，住宿安全，服务质量好。', '短评打分': 5}
{'短评内容': '位置很不错，吃饭、购物都很方便。酒店的设施也还说得过去，大床房比标准间看上去更好一些，虽然价钱一样。只是在承德这样的城市，那么贵的房价竟然不含早餐，有点儿意外。不知是不是旅游城市的共性。', '短评打分': 5}
{'短评内容': '在当地是最好的酒店了，只是配套服务比较单一。', '短评打分': 5}
{'短评内容': '感觉不错，值得一住，服务也还可以，以后还会考虑', '短评打分': 3}
{'短评内容': '除了价格贵了些，总体还不错。', '短评打分': 3}
{'短评内容': '感觉还可以，我的朋友比较满意，位置不错，值得推荐', '短评打分': 5}
{'短评内容': '很舒适的酒店，棋牌室收费稍贵，并且没有应有的服务', '短评打分': 5}
{'短评内容': '价格偏贵，可以免费上网，位置在市区中心，总体还不错。', '短评打分': 3}
{'短评内容': '酒店位置不错，设施太一般了，还说是承德最好的酒店', '短评打分': 1}
{'短评内容': '很好 觉得在承德已经很不错的酒店 比想像中好', '短评打分': 5}
{'短评内容': '除了价格偏高，总体来说还不错，值得推荐。', '短评打分': 5}
{'短评内容': '总体还可以。但是两点要说明的，1是比较吵，2停车要单收费。', '短评打分': 5}
{'短评内容': '+感觉还不错! 住朝北的房间。', '短评打分': 5}
{'短评内容': '不错，地毯脏了一点，好像酒店设施也不是像评价里说的那么差，反正我觉得还是够4星', '短评打分': 5}
{'短评内容': '看了一些介绍，总体来说，承德的酒店水平都不高，换句话说性价比比较低。天宝好像是四星，但从设施来说大概也就北京三星强一点或等同于三星的水平。因为就住了一天，没对服务有太多感受，就和前台聊了几句，感觉还算可以。酒店设施虽然不到四星，但也基本算得上干净、整洁，出来玩么，有这一点就足够了，也不能要求太高。总体来说，应该还算可以，就是价格真是不便宜，就其水平来说，480的标间高了，但像承德这种旅游城市都这样', '短评打分': 5}
{'短评内容': '假日酒店还算不错。在市中心，服务总体一般。中餐厅的饭菜很便宜，菜量也大，值得推荐', '短评打分': 5}
{'短评内容': '华侨大厦地理位置好，去北京各处都很方面，酒店好象最近装修过，感觉不错。价格是合适的。', '短评打分': 5}
{'短评内容': '1、北边施工吵。2、房卡有问题，害得我们去前台换来换去。3、上网收费每天30元，不能按小时收费。4、前台说宾馆有餐厅，结果上去，餐厅说晚9：00关门，贵贱不给做。5、有饮用水还不错。 \r\n', '短评打分': 5}
{'短评内容': '这个酒店性价比高，周围环境不错。下次还会入住。', '短评打分': 5}
{'短评内容': '承德最好的酒店了，很好！暑期价格偏高了点。位置很好，在附属医院对面', '短评打分': 5}
{'短评内容': '有点贵了 不过还是不错 电视 频道多 没有吃早饭 不含 贵啊 离饺子馆近 离乾隆也近 吃饭很方便啊', '短评打分': 5}
{'短评内容': '可能是因为之前看了很多评价，所以早有心里准备，比想像的还是要好些的。除了屋子里面有点潮味，地毯看上去不是很干净以外，其他的还不错～标间里面有小冰箱、吹风机等，还不错～位置也还好，承德本身就不大，另外后面还有免费停车场，值得推荐～', '短评打分': 5}
{'短评内容': '酒店不错！', '短评打分': 5}
{'短评内容': '这属承德好的酒店了，位置在市中心，有点吵，服务非常一般，价格偏高。', '短评打分': 3}
{'短评内容': '房间无法上网', '短评打分': 1}
{'短评内容': '在闹市区，不太安静，价格有点高。', '短评打分': 3}
{'短评内容': '管理有些问题，设施一般，价格偏高。', '短评打分': 1}
{'短评内容': '地理位置一般，根本达不到四星的标准，洗手间毛巾很旧，床单也不洁白。酒店大堂check in 和check out 标示都没有，现场很混乱。', '短评打分': 1}
{'短评内容': '我去过承德很多酒店但是我认为这家是承德软硬件最好的,服务也不错,卫生也好。', '短评打分': 5}
{'短评内容': '该饭店在承德地区还可以，就是上网收费不太好，应该改为免费上网。', '短评打分': 5}
{'短评内容': '不推荐', '短评打分': 3}
{'短评内容': '据说是承德最好的酒店，但就上网收费实在不敢恭维', '短评打分': 3}
{'短评内容': '1、北边施工吵。2、房卡有问题，害得我们去前台换来换去。3、上网收费每天30元，不能按小时收费。4、前台说宾馆有餐厅，结果上去，餐厅说晚9：00关门，贵贱不给做。5、有饮用水还不错。\n', '短评打分': 1}
{'短评内容': '不错的酒店，下次还会去住！', '短评打分': 5}
{'短评内容': '硬件还不错，服务一般，有待提高。', '短评打分': 5}
{'短评内容': '房间很干净，位置不错。', '短评打分': 5}
{'短评内容': '其他都不错，就是床和被子硬了一点，不是很柔软。期待该进。。。', '短评打分': 5}
{'短评内容': '房间还不错，很干净，设施也不旧，服务态度一般，是市中心，离离宫有点远', '短评打分': 5}
{'短评内容': ' 总体来说还不错', '短评打分': 5}
{'短评内容': '服务一般，硬件很好', '短评打分': 5}
{'短评内容': 'the service is very bad!!!!!', '短评打分': 5}
{'短评内容': '性价比还不是特别的好,房间的设施和卫生还是算可以,服务态度比较一般,位置出行的话还是很方便的,总体感觉还是不错的.', '短评打分': 3}
{'短评内容': '酒店的硬件设施比较陈旧，不过还算干净，服务也比较不错，位置算是挺方便的，总的来说还可以。', '短评打分': 3}
{'短评内容': '房间里面有窗户，但是打不开，通风效果不好。地理位置交通很方便。', '短评打分': 3}
{'短评内容': '我是10月4日入住酒店的，标间460元（不含早），据当地人介绍是承德最好的酒店，入住好感觉房间设施还可以，但远没有达到北京4星级标准水平。酒店餐厅以鲍翅为主，本地菜为辅。我们上外面吃的，听当地人说，在不远处新乾隆大酒店不错，但去后不仅包厢没有位置，连大厅都没有位置。迎宾小姐说，还有十几拨人在等位置，今晚你不用等了，吃饭肯定排不上了，上别处去吃吧。', '短评打分': 5}
{'短评内容': '酒店住宿条件很好，位置不错，缺点就是停车场进出不太方便', '短评打分': 5}
{'短评内容': '地理位置还可以。从火车站到酒店打的5元，到避暑山庄打的6元，到普宁寺打的12元。不远的裘翠楼价格适中，味道也还可以。', '短评打分': 5}
{'短评内容': '在承德酒店感觉都不如其他大城市的酒店条件，不过天宝在承德还算不错的了， 位置很好，对面有医院 ，旁边也有麦当劳，但酒店所提供早餐口味和种类不怎么好，比较简单，对于4星的酒店希望早餐能在好点', '短评打分': 3}
{'短评内容': '酒店很不错,位置出行也方便,值得推荐!!', '短评打分': 3}
{'短评内容': '酒店的硬件条件，环境服务在承德来说算是还可以的，位置还不错，就是这个价格对应这样的条件设施，性价比不是特别高，一般人要是1000块钱这样的房间，可能不太值。', '短评打分': 3}
{'短评内容': '走了这么多的地方 这是我住的最差的酒店了 刚到就被前台服务员给了个下马威 多住一天不行 我们没有房间了 酒店里面的设施很差 服务就更不要说了 房间里面没有水供应 要自己烧水 到餐厅吃饭 说我们客满 恕不能接待 我们的客源太多 多一个少一个没有问题 以后劝大家不要住这个酒店', '短评打分': 1}
{'短评内容': '算是承德比较好的酒店', '短评打分': 5}
{'短评内容': '整体感觉酒店环境跟星级不太匹配，价格也贵，性价比不好', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店，', '短评打分': 5}
{'短评内容': '就是当时登记入住的时时候太麻烦,其他方面都还不错,周围交通也还可以,价格也能接受', '短评打分': 5}
{'短评内容': '服务一般般，地理位置还可以；宾馆周围饭馆很少，宾馆内的餐厅虽说有4，5个，可都比较差！', '短评打分': 1}
{'短评内容': '大门外的停车场较乱。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;酒店设施还可以,管理服务很差.顺便说一句,坝上没什么特别.&amp;lt;/P&amp;gt;', '短评打分': 3}
