{'短评内容': '这家店离客户近，一直住这家，相对其它店，价格不错。', '短评打分': 5}
{'短评内容': '隔音效果差，隔壁开水龙头的声音很大，而且如果走廊有人说话或走动的话会很吵。。。其他的都OK啦。。', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '虽然下单出现了问题，但是处理起来速度还挺快，其他都挺好的', '短评打分': 5}
{'短评内容': '+很好', '短评打分': 5}
{'短评内容': '服务热情，交通方便，尤其是停车场超大，可停几十部车。', '短评打分': 5}
{'短评内容': '酒店干净，服务周到', '短评打分': 5}
{'短评内容': '非常一般，价格有点高。房间旁边有个停车场，狗叫了一晚上。。。。', '短评打分': 1}
{'短评内容': '大床房很小，周围吃的不多。交通还可以，服务还可以。', '短评打分': 5}
{'短评内容': '地理位置是在太难找了，这样很麻烦啊，服务员态度还好', '短评打分': 1}
{'短评内容': '前台小姐服务态度很差 ', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '对业务不熟悉，我网上订的房间，关于支付方面了解的很不清楚，办理入住花了我半个多小时', '短评打分': 1}
{'短评内容': '环境不错。服务态度也好。', '短评打分': 5}
{'短评内容': '很不错的一家宾馆！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还不错，性价比还好', '短评打分': 3}
{'短评内容': '总得来说还不错', '短评打分': 5}
{'短评内容': '房间很温馨，格调也是我喜欢的感觉，就是有点偏小。不过总体感觉不错，以后还要住如家。', '短评打分': 5}
{'短评内容': '不是很好找，卫生可以，其他一般', '短评打分': 1}
{'短评内容': '跟普通小旅馆差不多', '短评打分': 1}
{'短评内容': '1、淋浴房龙头坏，一开水龙头，上下齐出水。\r\n2、被子太不合适了，颜色挺好看，可是盖上热得出汗，不盖冷的发抖，于是一晚上就在盖、不盖之间切换。', '短评打分': 5}
{'短评内容': '总的来说还不错，比较方便', '短评打分': 5}
{'短评内容': '环境没得说，房间简单实用，更重要的是温馨。里面还提供免费的矿泉水，相比其他酒店价格适中不高。手续简便，值得一住', '短评打分': 3}
{'短评内容': '就像所有的如家快捷酒店一样，这家连锁店一样让人感觉如家 快捷 最重要的是价格实惠', '短评打分': 5}
{'短评内容': '设施上简陋了一些,卫生很干净,价格便宜,位置还不错网上标的位置有些偏差,第一次去很不找.', '短评打分': 3}
{'短评内容': '隔音效果差了点，不过住的人不多的话还不影响。\r\n总体还行，价格也适合！', '短评打分': 5}
{'短评内容': '我感觉这家酒店还可以，环境还行，就是上次去的时候好象周围在施工', '短评打分': 3}
