{'短评内容': '房间太小，没有窗户，比7天差了一条街，有点失望', '短评打分': 1}
{'短评内容': '酒店还可以,服务态度比较不错,环境也好.', '短评打分': 5}
{'短评内容': '安静，离越秀公园和地铁很近，干净', '短评打分': 3}
{'短评内容': '比较安静，价格合理，离火车站比较近，离地铁也不算远，相助经济型酒店的朋友可以选择', '短评打分': 5}
{'短评内容': '周边环境没得说。可是，入住后奇怪哦~房间里的烟味好重啊，就像是刚开过钟点房这样子的。感觉真的不是很好！晚上睡觉就只好开了窗户。第二天早上烟味散去，可是，马桶又返味啦！郁闷~', '短评打分': 5}
{'短评内容': '酒店人员服务热情周到，房间安静，整洁。设施不错。很满意！！！！推荐！！', '短评打分': 3}
{'短评内容': '位置不错,火车站和省汽车站都可以步行10分钟内到达该店.\n朋友强烈要求这间店.', '短评打分': 5}
{'短评内容': ' 环境不错，价格合理', '短评打分': 3}
{'短评内容': '该酒店服务态度非常差，而且还不提供洗漱用品（在亿龙网没有说明备注），有欺诈顾客的嫌疑', '短评打分': 1}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '帮忙订的，环境还可以，出行也比较方便', '短评打分': 3}
{'短评内容': '酒店设施虽然陈旧些，但周边环境好，对面就是流花湖公园。', '短评打分': 5}
{'短评内容': '地段好，服务较好，但早餐品种少，价格过高。', '短评打分': 5}
{'短评内容': '酒店地理位置好，价格合理，服务态度较好。', '短评打分': 5}
{'短评内容': '房间还算干净，但是网速实在太慢，而且没有早餐，比价格比不过这条马路上其他几家酒店', '短评打分': 1}
{'短评内容': '周边环境不错吖，窗户外就可以看到流花湖··\n就是房间小了点····\n楼下就有餐厅', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '地理位置好，服务尚可，早餐品种少，价格高。', '短评打分': 5}
{'短评内容': '交通方便，周边环境较好，但房间设施陈旧，早餐品种少，价格高。', '短评打分': 5}
{'短评内容': '岭南家园真的不错，我订的商务大床到店后被告知没有，当时有点生气，不过，工作人员给调了一间家庭房，房间大，比同人便宜', '短评打分': 5}
{'短评内容': '住的8楼的靠公园边的一间，窗外风景很好，就是厕所马桶间只有拉帘没有门真是每次进去都会觉得臭啊~~又好像是排风扇的风臭，总之要是有门就完美了', '短评打分': 5}
{'短评内容': '很好是湖景房，对着流花湖，但前台只有一个人太慢', '短评打分': 3}
{'短评内容': '房间还是挺温馨的，也挺大的。但是有些设施不足，比如没有玻璃水杯（提供的是一次性的）和毛巾（毛巾只有一条浴巾和擦手的，洗脸的都没有） ', '短评打分': 5}
{'短评内容': '我经常在各城市住岭南佳园连锁酒店，广州还是第一次，整体来说还物有所值，就是离火车站远一些，工交车不多。', '短评打分': 5}
{'短评内容': '＋', '短评打分': 3}
{'短评内容': '不错，有点旧服务还好', '短评打分': 3}
{'短评内容': '酒店环境很好打开窗户就是流花湖、服务员态度也很好。总之很划算。', '短评打分': 3}
{'短评内容': '服务态度差，房间质量差。', '短评打分': 3}
{'短评内容': '交通方便,离地铁越秀站不远,设施一般,房间有股霉味,两间房卫生间都没门.', '短评打分': 1}
{'短评内容': '因为是出差培训，所以离培训地点很近·对面就是流花湖公园，环境不错', '短评打分': 5}
{'短评内容': '有电脑就好更加好了。环境不错，可以看到流花湖的美丽景色，交通也很方便。吃的也很方便旁边就有一家海鲜餐厅环境不错味道也很好，下次去还会入住该酒店', '短评打分': 5}
{'短评内容': '不大喜欢。\n没有衣柜（简易落地衣架）。卫生间窗户敞亮亮滴对着马路。', '短评打分': 1}
{'短评内容': '环境很烂漫 适合年青的朋友，地理位置优越，附近很多商圈', '短评打分': 5}
{'短评内容': '卫生间设计的实在是让人很难过啊！卫生间没有房门，所以上厕所房间有很大味道，如果不是方便我肯定不会选择了', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '主要是位置方便，其他都是一般般,价格有些贵', '短评打分': 5}
{'短评内容': '服务好，地头环境不错，房间内部设施简单，卫生间连门都没有，这样就算自己住一间房都觉得尴尬。。。', '短评打分': 5}
{'短评内容': '地理位置不错，屋里能看到流花湖公园，酒店环境还好吧，就是三人间的卫生间没有门，不太方便。', '短评打分': 5}
{'短评内容': '面积还算大，要是配点茶叶就好了，不想喝白开水', '短评打分': 5}
{'短评内容': '五一期间住性价比不高…房间的窗户看到的是走廊…', '短评打分': 3}
{'短评内容': '还可以吧，临流花公园的房间景色不错,装修尚可', '短评打分': 5}
{'短评内容': '环境一般，服务还可以。', '短评打分': 3}
{'短评内容': '酒店位置适中，外出很方便，旁边小巷有很多好吃的广州小吃店，吃起来很过瘾，很美味！\n酒店服务态度很好，房间大小也合适，安静，干净，比较舒适！\n酒店价格比较合理，前台服务小姐很甜，值得表扬！\n该酒店值得入住，下次来广州继续住这里~！', '短评打分': 5}
{'短评内容': '登记时，被告知：“你预定的房间已销售一空，请问您可不可以转入家庭房？这是今天可以提供的最后一间空房了，没办法卖得太快了！”卫生很差，刚进房间就被84刺激性的味熏出来了。破沙发，椅了上还有一个被扔掉的棉棒。不能走楼梯，因为塞满了杂物和垃圾。', '短评打分': 1}
{'短评内容': '环境不好，很不好，保安很坏会，环境不好，很不好，保安很坏会环境不好，很不好，保安很坏会', '短评打分': 1}
{'短评内容': '酒店服务很好', '短评打分': 3}
{'短评内容': '酒店周围的环境非常不错，旁边还有流花湖公园，早晨可以在那散步走走，还有很多老人家在那唱粤曲，很有感觉，不过三人间厕所没有门，这点有些尴尬。', '短评打分': 5}
{'短评内容': '房子一般般，只有免费的沐浴露，没有免费的洗发水。冲凉房没地方挂衣服，也没有洗脸的毛巾，只有一条浴巾！', '短评打分': 3}
{'短评内容': '总体感觉还好，这个地段算性价比比较高。隔音不是很好，被安排在电梯旁，还好早上很早就要走了', '短评打分': 5}
{'短评内容': '酒店墙壁爆皮，红色很不舒服。性价比不高。建议住附近的同人酒店。', '短评打分': 1}
{'短评内容': '不错，房间很宽敞，只是卫生间设施有些老旧', '短评打分': 5}
{'短评内容': '不错的店，离机场打车十四块', '短评打分': 3}
{'短评内容': '位置比较好，交通方便，去火车站和流花湖都很近', '短评打分': 5}
{'短评内容': '离火车站很近，也挺方便，对面是公园，旁边有各种餐饮，就是服务态度实在有点不敢恭维。', '短评打分': 5}
{'短评内容': '挺方便，离火车站很近，旁边还有很多美食，对面还有个公园。', '短评打分': 5}
{'短评内容': '除了交通有点不方便外，其他还是不错的，不过洗手间没有门不太好', '短评打分': 5}
{'短评内容': '广州岭南佳园连锁酒店（广州流花湖店）十楼的商务大床房能看到流花湖公园,风景不错', '短评打分': 5}
{'短评内容': '良好', '短评打分': 3}
{'短评内容': '位置特别好从房间看酒店外面的景色就是很不错，房间的设施还好还是说的过去挑毛病也基本上挑不出来，服务也挺好的，价格也是能接受差不多。', '短评打分': 5}
{'短评内容': '平时去住的话价格要好一些，广交会去价格有点高', '短评打分': 1}
{'短评内容': '裝修過分殘舊,,,白天窗簾根本起不來遮光的效果', '短评打分': 1}
{'短评内容': ' 十楼的商务大床房能看到流花湖公园,风景不错。', '短评打分': 5}
{'短评内容': ' 位置不错但设施比较陈旧！！！', '短评打分': 5}
{'短评内容': '环境一般，，总体来说就是一般一般一般一般。。。。。。', '短评打分': 5}
{'短评内容': '改善硬件', '短评打分': 5}
{'短评内容': '价格还可以', '短评打分': 5}
{'短评内容': '房价有点高 ', '短评打分': 5}
{'短评内容': '感觉酒店的环境服务一般，设施没有如家的好，但是位置还不错，挺方便的。', '短评打分': 1}
{'短评内容': '环境不太好，房间里有点潮，价格还可以，位置也比较方便', '短评打分': 5}
{'短评内容': '感觉不错，住着很舒服，价位比较合理！', '短评打分': 5}
