{'descr': '挺舒服的！', 'star': 5}
{'descr': '房间不错', 'star': 3}
{'descr': '连锁商务酒店。。一切标准设备。。。\n方便就行。。没什么可以评论。。。', 'star': 5}
{'descr': '酒店交通还是很方便的，设施还行，房间偏小，总体满意', 'star': 5}
{'descr': '交通很方便，就在地铁站正对面，房间虽然小，可是很干净，推荐喽~', 'star': 5}
{'descr': '酒店环境干净， 周围虽然有马路，但是隔音效果好，很安静， 满意的一次入住', 'star': 5}
{'descr': '不错的酒店，处于地铁5号线与城铁13号线立水桥B2口公路对面，交通方便；服务也很好。房间干净、整洁；唯一弱点就是房间隔音比较差，在房间内能非常清楚的听到走廊的说话声。', 'star': 5}
{'descr': '很满意，服务态度很好,地点方便，下次还会入住。', 'star': 5}
{'descr': '位置还好，离地铁很近，房间挺小，干净，早餐不错！', 'star': 5}
{'descr': '交通很方便，环境很好，服务态度也不错，就是隔音效果较差，楼道里的声音房间里听得很清楚。', 'star': 5}
{'descr': ' 干净 周围交通 吃饭休闲都很方便', 'star': 3}
{'descr': '方便，过天桥就是地铁站，5号线和13号线\n也是这点，稍微有点吵\n服务很好，特别是客房服务员\n总体上推荐，不错', 'star': 5}
{'descr': '酒店卫生条件很好，但前台结账时已用其他卡结清，一服务员竟然又确认预授权，我签字时发现后，刚刚用另一张卡结账一会儿，本来是取消预授权，仔细一看单子竟然是确认，这不是多刷了我一分钱吗？如果我不仔细看呢？这笔钱会到哪里去了呢？我质问这个女服务员时，她支支吾吾的脸红了，提醒刷卡消费的人注意啊，我们都习惯抬笔就签，如不仔细核实，很可能会吃亏的啊！', 'star': 5}
{'descr': '交通便利，干净整洁，不错，坐落在13号线和5号线旁。', 'star': 5}
{'descr': '地理位置很不错，出来就是地铁，就是房子有一点点不通风。特别喜欢他那的被子，特厚实，冬天盖比较舒服，室内也比较温馨。', 'star': 5}
{'descr': '快捷 地利位置很好 紧挨着地铁5号线和城铁站     房间很赶紧  自己住很合适  ', 'star': 5}
{'descr': '挺好得就是蚊子太多了', 'star': 3}
{'descr': '挺方便的\n于秀清', 'star': 3}
{'descr': '挺好的，房间有点点小，其它都很好，', 'star': 3}
{'descr': '各方面都可以', 'star': 3}
{'descr': '\n地铁旁边，噪音太大，晚上睡不好。', 'star': 3}
{'descr': '入住方便快捷，环境不错，价位合适。总体来说很让人满意。', 'star': 3}
{'descr': '不错，环境很好。服务态度很热情。满意。下次还会选择如家快捷。', 'star': 5}
{'descr': '房间太小,床单都没洗干净,还粘有东西,房价又贵,可能是北京都这样吧\n', 'star': 1}
{'descr': '酒店不错，服务员很热情，卫生也好，就是不隔音，有点吵。', 'star': 5}
{'descr': '如家是一如既往的干净整洁；虽然离地铁站很近，但房间装了两层玻璃，隔音很好', 'star': 3}
{'descr': ' 还不错', 'star': 3}
{'descr': '房间虽然不是很大，但感觉很温馨，干净、整洁加上服务质量不错，而且交通很方便，离5号线地铁只有2、3分钟路程，出地铁在天桥上就能看见醒目的标志，附近也有公交线路。晚上也不是很吵，和家人度假旅游，去了附近的家乐福超市，购物比较方便，走上20分钟就到了，适合自助旅游，希望下回去北京还能订购这样的房间。', 'star': 5}
{'descr': '还不错的地方，环境不错，特别干净，最好的就是位置不错，很方便，出门就是地铁，很值得推荐的一个地方，下次还在这住', 'star': 5}
{'descr': '地理位置很好，出门就是地铁站，附近有家乐福超市。离鸟巢也不远。唯一不好就是房间不好定，太火爆了，十分悲催。', 'star': 5}
{'descr': '酒店设施很好，房间很干净。值得推荐。下次还会来住这。楼下就是公交车站，非常方便。                 ', 'star': 5}
{'descr': '酒店位置很好，紧邻地铁，只是房间有些潮。', 'star': 5}
{'descr': '环境不错 地理位置优越 下了地铁即到 服务态度也很好 我喜欢\n', 'star': 5}
{'descr': '房间虽然不是很大，但感觉很温馨，干净、整洁加上服务质量不错，而且交通很方便，离5号线地铁只有2、3分钟路程，出地铁在天桥上就能看见醒目的标志，附近也有公交线路。晚上也不是很吵，和家人度假旅游，去了附近的家乐福超市，购物比较方便，走上20分钟就到了，适合自助旅游，希望下回去北京还能订购这样的房间。', 'star': 5}
{'descr': '离地铁很近，交通方便。但也因为离地铁近，有点吵。', 'star': 5}
{'descr': '酒店位置很好，乘坐5号和13号地铁非常方便，不过乘坐时间要稍长一些，打算去哪要提前十几分钟，酒店卫生服务都很好，比较满意。', 'star': 5}
{'descr': '一如既往的如家水平，中规中矩，没有过高要求也没有惊喜，符合老百姓的要求。', 'star': 5}
{'descr': '服务还不错，房间（精品单人）不是很大但是很干净；就在地铁旁边，交通很方便，推荐入住。', 'star': 5}
{'descr': '交通很方便，但周围实在没有什么服务设施。酒店比较新。。。', 'star': 5}
{'descr': '靠近地铁,交通方便,房间整洁,不错.', 'star': 3}
{'descr': '酒店还行,靠地铁交通方便', 'star': 3}
{'descr': '干净整洁，有家的感觉。是一家新开的如家快捷酒店。', 'star': 5}
{'descr': ',好不错', 'star': 3}
{'descr': '感觉还好，就是距离地铁近比较吵闹。还好吧', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '酒店硬件还行吧，服务态度不太好，餐厅的饭超难吃，真是换个厨师吧，那么难吃的早饭，还要15块', 'star': 5}
{'descr': '地理位置不错，就是隔音稍微差点，不过总体满意！', 'star': 5}
