{'短评内容': '挺干净的，住的蛮舒服。', '短评打分': 5}
{'短评内容': '北京这地方太堵车了，酒店旁边就是一个小学，家长们望子成龙，望女成凤，下课时候几十辆车接孩子，堵得是水泄不通。\n\n交通不便，除非是到北京西站坐车的。\n\n酒店还不错，虽然旧了点，但是五星的服务没有打太大折扣。', '短评打分': 5}
{'短评内容': '还是不错的 唯一的缺憾是交通 不是很便利 另外在西客站与公主坟之间感觉有点人员混杂 星级宾馆的选址还是很重要的哦', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店在装修，白天电钻很影响客人休息！不过所住客房的确设施陈旧，也该重装了，理解！', '短评打分': 3}
{'短评内容': '酒 店 不 错，位 置 很 好 ，离 火 车 站 很 近，房 间 干 净 整 洁，下 次 还 来 住 ！ ！', '短评打分': 5}
{'短评内容': '早餐太贵,打完折还的98/人,而且感觉质量也一般', '短评打分': 3}
{'短评内容': '房间很干净，服务员的服务也不错，位置也很好，就是贵了点。。。。。', '短评打分': 5}
{'短评内容': '不错的酒店，离西站很近，比较方便。\n房价再低一些就好了。', '短评打分': 5}
{'短评内容': '距离北京西站比较近的高档酒店，但是设施比较陈旧，希望性价比高的朋友就不要去了。', '短评打分': 5}
{'短评内容': '西站附近的五星酒店，比较高档，坐火车来的高端商务可以选择这里。', '短评打分': 5}
{'短评内容': '装修味道太大。', '短评打分': 3}
{'短评内容': '要说性价比，只是因为再北京，所以感觉还可以，但是房间确实不怎么样，3星级标准吧。', '短评打分': 1}
{'短评内容': '在北京这个酒店性价比应该算很高了！早餐丰富，房间干净舒适，只是卫生间旧了一点。', '短评打分': 3}
{'短评内容': '房间很旧也小，也就因为在北京，否则最多不会超过300元。', '短评打分': 1}
{'短评内容': '好老的酒店啊！楼下的餐厅太不靠谱了，什么贵让你点什么！', '短评打分': 3}
{'短评内容': '房间结构设施还行，但隔音效果差，豪华套房内无冰箱。', '短评打分': 1}
{'短评内容': '总体来说还不错的，还可以延迟退房到下午4点。', '短评打分': 5}
{'短评内容': '免费升级商务房，好！', '短评打分': 3}
{'短评内容': '还不错的酒店  性价比比较高的  就是房间打扫在下午，进去的时候还在打扫。', '短评打分': 5}
{'短评内容': '宾馆服务很不错的，在北京这个价位应该说性价比还可以的，周围很热闹，哈哈', '短评打分': 3}
{'短评内容': '服务态度很不错！就是大门稍微偏了一点，出行有点不方便！性价比一般！', '短评打分': 5}
{'短评内容': '修改订单很麻烦，位置距离西客站较近，还算方便，就是设施比较老旧', '短评打分': 1}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '住好多次了，不用多说了。不错。要是给常住客人更多优惠就好啦', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '性价比还可以，房间不大，但北京这个价位的五星酒店也就这样了。如果含早餐就更好了他们家早餐还不错。去西客站、中央电视台、中华世纪坛比较近。但在三环边上，这个交通实在是太闹心了。不过北京哪儿都一样，一天只能去一个地方，全在路上了。', '短评打分': 5}
{'短评内容': '在北京，这个价位的五星酒店算不错的了。离西客站很近，但周围吃饭不太方便。', '短评打分': 5}
{'短评内容': '酒店距离北京西站约10－15分钟（步行），但是有点吵，隔音一般。', '短评打分': 1}
{'短评内容': '酒店在西站斜对面，就在西三环莲花桥边，感觉开车进酒店不方便，需要绕圈。酒店内环境还可以，网速不错。价格嘛，在北京五星酒店里算中低价位，还算物有所值。来北京中转的朋友可以来住一下。毕竟离车站很近哦', '短评打分': 5}
{'短评内容': '酒店很不错，就是交通不太方便。房间设施设备都不错，干净整洁。', '短评打分': 5}
{'短评内容': '房间很大，登记后还送一张服务卡，有免费洗衣，熨衣服，果盘，饮料，延迟退房到16点，任选一项，觉得498很值，就是电视很陈旧了不爽。', '短评打分': 5}
{'短评内容': '如果要选五星，西客站周边这一家应该算是好的了。可以入住', '短评打分': 5}
{'短评内容': '条件还好，交通方便。', '短评打分': 3}
{'短评内容': '酒店太老', '短评打分': 3}
{'短评内容': '给客人安排的，人家指定要住这里，房间听说还可以', '短评打分': 5}
{'短评内容': '京都信苑饭店地理位置很好，交通也很方便，就是房间设施偏旧点。', '短评打分': 5}
{'短评内容': '交通便利，条件尚可！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '环境还行，房间住着还过的去设施不是太差，交通这块还可以就是硬件还是一般，价格能接受了但是还是有些偏贵。', '短评打分': 3}
{'短评内容': '靠近西三环，交通便利，环境不错，适合出差旅游居住', '短评打分': 5}
{'短评内容': '交通方便，在北京比较方便。距离西客站也很近。', '短评打分': 5}
{'短评内容': '老五星，到中铁咨询办事很方便，可以步行到西客站。下次还入住。', '短评打分': 5}
{'短评内容': 'Good sservice, good food, good internet and the daily rate is not high. Thanks.', '短评打分': 5}
{'短评内容': '交通便利，干净，早餐很丰富，口感很好！服务不错。', '短评打分': 5}
{'短评内容': '非常方便，合意，已住过好多次了，以后还会光顾哦。', '短评打分': 5}
{'短评内容': '因为要从西站坐车，定了房间，入住后感觉挺满意，价格也不算太高，只是接待人员弄不清含早餐有点不尽人意。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '设施陈旧，卫生太差。决不推荐！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '地理位置好，性价比不错，就是酒店开业很久了，设施有点旧。', '短评打分': 5}
{'短评内容': '己入住。', '短评打分': 5}
{'短评内容': '改酒店大堂很漂亮，酒店视线也不错。感觉不错，下次还会入住。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '酒店挺好的，就是位置有点偏，打车不太方便。', '短评打分': 5}
{'短评内容': '今天订的是标间，前台只给了一张房卡，当我先生说我们两个人，再要一张房卡的时候，这家五星级酒店的前台服务小姐竟然说“丢了赔30啊”，还吊着一张脸，好像我们欠她钱一样。我们哭笑不得，霎时间还以为自己住的是一家小旅馆，不知道这家酒店的服务部门是怎么培训的。我们在世界各地也住过不少五星级酒店，想比之下，这家酒店的设施陈旧，床硬得我夜里都醒了。建议酒店自行降级，摘掉两颗星，那样还说得过去。', '短评打分': 1}
{'短评内容': '酒店方便.房型可选余地大,服务也不错,就是吃饭贵了点', '短评打分': 3}
{'短评内容': '酒店整体还不错', '短评打分': 5}
{'短评内容': '酒店很不错，感觉很舒适，就是坐落在立交桥下，打车有时进不去，交通不是很方便', '短评打分': 5}
{'短评内容': '床型：大床/双床 上网：宽带[免费]房间面积：30平方米楼层：15层-18层 \r\n \r\n    以上是我从标准间的房间介绍中复制过来的，明明写的有大床，到了前台却说大床要九百多一天。真是差！', '短评打分': 3}
{'短评内容': '也就是占个地理位置好。也许是时间有点长了，地毯什么的都旧了，楼道里还有股味，洗手间很小，床很硬。除了价格，其它都不够五星酒店的档次。', '短评打分': 1}
{'短评内容': '这是一家很值得住的酒店,各方面条件都很好.', '短评打分': 3}
{'短评内容': '以前经常住  因为是行业内的电信\r\n酒店有点老了 不错交通 很方便  适合差旅\r\n性价比也好 ', '短评打分': 5}
{'短评内容': '老五星，服务较好，性价比较高，下次还会入住!', '短评打分': 5}
{'短评内容': '+离西站近，很好！', '短评打分': 5}
{'短评内容': '有家的感觉,很舒适,但最好选8-10新风格楼层,老房间差些.', '短评打分': 5}
{'短评内容': '硬件设施很陈旧,其它各方面条件还行,硬件和软件条件方面都比较达标,整体感觉还可以.', '短评打分': 5}
{'短评内容': '酒店很舒适,房间有家的感觉,服务也不错.是五星酒店中很平易的酒店', '短评打分': 3}
{'短评内容': '房间不错，性价比很高，就是早餐价格高了一些', '短评打分': 5}
{'短评内容': '符合五星级标准', '短评打分': 5}
{'短评内容': '位置不错。', '短评打分': 3}
{'短评内容': '酒店总体都很好,没什么瑕疵', '短评打分': 5}
{'短评内容': '给升了级，不错。', '短评打分': 5}
{'短评内容': '离西客站非常近，交通也非常方便，环境比较安静，性价比高，下次还会选择', '短评打分': 5}
{'短评内容': '房间隔音太差，两间房中间有一个小木门，在一间房里说话，另一间听得很清楚。', '短评打分': 5}
{'短评内容': 'a hotel firs time to stay and recommended by my friend. good hotel.\r\ngood service and good breakfast. to stay next time when i come to Beijing.', '短评打分': 3}
{'短评内容': '性价比不错。早餐很丰富。服务很好。宽带免费，且速度很快。下次去北京中铁办事还住该酒店。', '短评打分': 3}
{'短评内容': '房间贵，里头的设施和价格不府，房间只给绿茶和花茶，早点里的工作人员态度不好。', '短评打分': 1}
{'短评内容': '刚刚入住，位置不错，很干净，性价比高。明天看早餐如何再发表评论。', '短评打分': 5}
{'短评内容': '酒店的服务非常好,员工素质较好。早餐比较贵。可以推荐。', '短评打分': 5}
{'短评内容': '酒店还是不错的，卫生条件很好，服务也不错！就是上网收费很讨厌，其实酒店也没多收到多少钱！我用天翼了！！呵呵', '短评打分': 3}
{'短评内容': '是不错，不过平常商务出差对于价格而言是贵了些。', '短评打分': 5}
{'短评内容': '酒店还是不错的，位置也可以！', '短评打分': 3}
{'短评内容': '性价比不高，这个酒店的好处还没体验出来，设施较旧，早餐的费用更是过高。', '短评打分': 1}
{'短评内容': '老五星，还行，服务比较周到', '短评打分': 5}
{'短评内容': '服务很好的 总体很不错', '短评打分': 3}
{'短评内容': '价格还行吧，就是觉得挺老的，装潢啥的', '短评打分': 3}
{'短评内容': '服务还是不错的,服务人员都比较热情。总体还是可以的。', '短评打分': 5}
{'短评内容': '我在这里住过几次，感觉还可以！', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '适合商住', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便，在西三环上，值得大家试试。', '短评打分': 5}
{'短评内容': '位置还可以，酒店比较老旧。', '短评打分': 5}
{'短评内容': '除了位置较好整体一般', '短评打分': 3}
{'短评内容': '整体感觉一般', '短评打分': 1}
{'短评内容': '客房条件和服务还不错,就是晚餐做的很不好吃,而且这家不太好找,虽然能看到那栋楼,但要绕路,找了很长时间.', '短评打分': 3}
{'短评内容': '位置不错，设施条件也不错，服务也很好', '短评打分': 5}
{'短评内容': '酒店位置不错，非常靠近西站及公主坟商圈，早餐还可以，推荐一下', '短评打分': 5}
{'短评内容': '酒店环境一般，卫生一般', '短评打分': 3}
{'短评内容': '还好，价格贵，位置一般', '短评打分': 5}
{'短评内容': '此酒店太差没有办法住。正在装修声音太大', '短评打分': 1}
{'短评内容': '总体来说还不错,服务态度较好,房间设施也干净整洁,下次还会来住.', '短评打分': 5}
{'短评内容': '游泳池太小', '短评打分': 5}
{'短评内容': '很喜欢这边,因为交通比较方便', '短评打分': 5}
{'短评内容': '酒店很干净，地理位置很好，出行方便', '短评打分': 1}
{'短评内容': '酒店的价格我觉得还算可以接受，不是特别优惠，环境服务倒是不错，硬件配备也挺好的，而且交通方便。', '短评打分': 3}
{'短评内容': '服务卫生方面还不错了.价格也能接受了.', '短评打分': 5}
{'短评内容': '是个合格的五星级宾馆', '短评打分': 5}
{'短评内容': '这个酒店来说服务和硬件都一般，所以价格高了点，房间还是挺干净的，所处的位置也不错。', '短评打分': 5}
{'短评内容': '服务很好,价格也很实惠,而且地理位置也是当时所要想的', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '還算是四星級飯店&lt;br /&gt;\n各方面都不錯&lt;br /&gt;\n只是服務員的素質有待提高&lt;br /&gt;\n一樓韓國餐廳的石鍋拌飯很好吃', '短评打分': 3}
{'短评内容': '还好，反映不错！', '短评打分': 5}
{'短评内容': '好，还不错！', '短评打分': 5}
{'短评内容': '我和朋友5.14入住1716和1717两个标准间。其中1717房间电话线是断的，晚上接听电话要去卫生间。1717房间的空调不凉，想开窗通风，窗户可以打开但无法固定，自己又关上了。结帐时，该酒店有优惠活动，七选一。我们选择的优惠项目是延长到下午4点结帐。但结帐时1717房间的优惠卡不见了，不给优惠。找到大堂副理仍无法解决，她说我们的优惠卡已经用于其他优惠项目了，我们说没有，不信可以查，她说要给许多部', '短评打分': 3}
{'短评内容': '我11月2日入住该酒店,总体感觉还不错,房间新装修,尤其卫生间很有格调.唯一缺憾是前台小姐服务不热情,对内宾老板着脸,或许她觉得都是一家人无所谓的缘故.但对外宾却漏出少有的微笑,让人感觉非常不好!!!', '短评打分': 5}
{'短评内容': '没什么好说的，就是一五星级酒店，没什么特别的地方。不过周末住到是满划算的，只要600块钱就可以住新装修的豪华间了。我住的2214地毯上跟床边都有点血渍，不晓得是哪位客人留下的。因为没在房间待多久也就没计较了，可以说是个比较划算的酒店吧！', '短评打分': 3}
{'短评内容': '这个酒店还不错啊，房间不是很糟糕吧？只是不够大气', '短评打分': 3}
{'短评内容': '两个字，“好、好”，为啥第三个我不说，就因为俺还是闲贵点，稍微低些就好了，离的西站、公主坟都不远，挺方面，要是便宜100元，俺就经常来', '短评打分': 3}
{'短评内容': '今天，我到饭店前台，小姐给我张卡让我选一项免费服务，可能是刚刚推出的，我还不知道。我选了免费2听饮料，和上网，按房间价格，我少花了120块钱。我觉得新装修的房间挺好的，而且免费的项目也不少，就是如果能加点免费果汁就好的，喝可乐容易发胖，我经常在外面跑的朋友也来试住一下，当然你差旅费给报，哈哈！', '短评打分': 3}
{'短评内容': '经朋友介绍，该饭店刚刚装修完，推荐我去住一下试试。昨晚到北京我就住了，餐厅￥28/人的商务套餐比起在外面吃挺实惠的。进了房间以后，感觉房间比较温馨，地毯、家俱都换新的了，彻底改变了我对这家饭店的印象。', '短评打分': 3}
{'短评内容': '这个酒店唯一让人感到欣慰的地方，就是我们入住十五分钟后因不满意退房时，前台小姐没有收我们是五分钟的房费。&lt;br /&gt;\n这里一点都没有五星豪华的感觉，摆设很老土，房间感觉脏乎乎的，上网也很不方便，先要找前台，再要找大堂经理拿账号和密码，入住十五分钟都没有搞好！很气愤！&lt;br /&gt;\n前台小姐服务很懒散。&lt;br /&gt;\n15分钟后我们换到了万豪，以后再也不会到这里了。太', '短评打分': 3}
{'短评内容': '我不是最近去的，但是还是要说，那里的房间我很不满意！也强烈建议选择别的酒店', '短评打分': 3}
{'短评内容': '请问图中所示是那种房间？看起来很温馨，有家的感觉！&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '新改造的房间不错，我到酒店以后给我作了免费升级，感觉很好！希望房间空调适度一点，我的房间有点凉', '短评打分': 3}
{'短评内容': '可以免费入住一晚吗？真的？我住过，房间挺好的呀，有这好事？', '短评打分': 3}
{'短评内容': '房间很好，对面的公园很漂亮，落地窗感觉不错，我住的25层，高处不胜寒呵，空调真足。就是价位高了一点，不过免费升级的感觉很好，我觉得我受到了重视，服务也不错。。。。。。。：）&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '我住的豪华间挺好的，前台小姐挺漂亮的，总的来说服务不错。', '短评打分': 3}
{'短评内容': '挺好的！', '短评打分': 3}
