{'descr': '主要是交通位置特别好！离汽车站很近！~很方便', 'star': 5}
{'descr': '干净卫生，服务快捷，价格便宜。', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '房间还不错，简单但还干净，就是有几个的士司机不知道在哪，地址在标详细比较好', 'star': 3}
{'descr': '非常好的酒店，每次来保定都住在这里。虽然离市中心远了点，但附近有公交车，出门可以打车，交通还算方便。特别是卫生好，餐厅好，有中央空调，价格还便宜。', 'star': 5}
{'descr': '涨价了', 'star': 3}
{'descr': '住宿条件很不错，价格很便宜，服务也很好，很满意。', 'star': 3}
{'descr': '环境很好，酒店很安静，高新区附近较好的快捷酒店，下次还住这里！', 'star': 3}
{'descr': '经过在保定多家酒店的比较，在快捷酒店中，还是这家最为优秀。有中央空调，卫生条件好，有配套餐厅，价格还便宜。当然，从去年起涨了价，要是不涨更好了。', 'star': 5}
{'descr': '很整洁干净，空调也很舒适', 'star': 3}
{'descr': '比较安静，交通便利，适合居住。\n价位合理，下次还会再来。', 'star': 5}
{'descr': '房间卫生很好，很干净，交通状况良好，出行方便，总体感觉很不错。', 'star': 5}
{'descr': '很安静！！！单人床很舒服！！！但是就是房屋里有一种味道 不知是不是男欢女爱留下的', 'star': 5}
{'descr': '地理位置还可以，离新的市区比较近，交通方便，尤其是走高速的。\n卫生比较整洁，就是床有些硌，不是很舒服，希望能提高舒适度。', 'star': 5}
{'descr': '环境不错，光线很好，房间也很大，距离南站很近，方便', 'star': 5}
{'descr': '环境很好，但一楼的餐厅家常菜太少了，改进一下就太好了。', 'star': 3}
{'descr': '性价比较高，比较干净，离目的地较近，整体不错的', 'star': 5}
{'descr': '适逢初春，其他酒店的暖气都停了，这家酒店的中央空调每晚六点后还可以开启，感觉暖和些。这已经是第三次入住了。', 'star': 5}
{'descr': ' 保定侨胞之家~~\n  第二次入住。\n   价格比以前贵了~~剩下的还是老样子~~ 干净 整洁。   \n     就是电视的频道较少一些！\n        希望下次价格能下调！！！', 'star': 5}
{'descr': '服务标准，房间卫生，设备完好。有很大的停车场。', 'star': 5}
{'descr': ' 一般', 'star': 3}
{'descr': '感觉不错,餐厅也不错.就是床硬了点儿.下次还会住', 'star': 5}
{'descr': '环境不错，边上还有养生洗浴，去开发区办事的比较方便', 'star': 5}
{'descr': '快捷酒店，干净卫生；\n餐厅的炒土豆粉很好吃', 'star': 5}
{'descr': ' 还不错', 'star': 3}
{'descr': '住了好几次了，但这次房费怎么贵了，快过年了，该便宜的吧', 'star': 3}
{'descr': '还可以，但在同等价位的酒店里显不出优势。', 'star': 5}
{'descr': '多次入住，希望提高前台夜班的服务质量，感谢客房的快速服务。', 'star': 5}
{'descr': 'haixingdasdsa sa asd das ', 'star': 5}
{'descr': '房间大，但是显得有点单调，价格在当地有点偏高', 'star': 1}
{'descr': '服务和环境一如既往的不错。房价也涨了不少，办卡需要198元，太贵了。如家、七天的会员卡才几十元！\n   一楼的饭店做的菜不是很好，水更难喝！希望改进。', 'star': 5}
{'descr': '我一直在这个酒店住着，酒店内部各方面不错，就是太偏了一些，难打的士', 'star': 5}
{'descr': '酒店比较超值，性价比在保定竞争力超强！可惜新年后提价了！', 'star': 5}
{'descr': '很实惠且服务周到。', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '我在这家酒店住了若干次了，物有所值，很满意。', 'star': 5}
{'descr': '条件不错，价格适中，就是太偏了点，连打的士都很难。。。。。。', 'star': 5}
{'descr': '该酒店卫生，环境很好。服务态度有很大的改善。', 'star': 5}
{'descr': '每次来保定都住这里。很舒服很干净很方便。服务态度非常好。\n', 'star': 5}
{'descr': '保定侨胞之家快捷酒店环境很好，服务也很周到，这是一家性价比较高的酒店哦', 'star': 5}
{'descr': '房间装饰简单而不简陋，酒店颜色基调清雅，性价比高，只是早餐有点简单。', 'star': 5}
{'descr': '房间装饰简单而不简陋，很干净，床很舒适，酒店颜色基调清雅，性价比高，只是早餐有点太简单了。', 'star': 5}
{'descr': '房间装饰现代简洁，很干净，床很舒适，在这个价位段很难得。', 'star': 5}
{'descr': '环境很好，服务也很周到，这是一家性价比较高的酒店哦', 'star': 5}
{'descr': '位置比较偏，不容易打到出租车。房间价格在保定不算便宜了，餐厅饭菜还可以。房间隔音有点差', 'star': 1}
{'descr': '地点偏僻，不容易找到。早饭很差，但是餐厅点餐不错。', 'star': 5}
{'descr': '环境不错，房间舒适干净，价格合理', 'star': 3}
{'descr': '酒店的环境干净整洁，这样的价格绝对物有所值，很满意。', 'star': 5}
{'descr': '很不错的酒店，简单而不简陋，床很舒服，酒店很暖和，性价比很高，早餐有点太简单了', 'star': 5}
{'descr': '不错。性价比高，下次还会选这家，尤其在网上订购很方便。', 'star': 5}
{'descr': '酒店内炒菜不错，价格合理，很喜欢吃。卫生间是玻璃的，很现代', 'star': 5}
{'descr': '酒店干净卫生，环境不错，前面一个大院，停车很方便，也很安静', 'star': 5}
{'descr': ' 很满意', 'star': 3}
{'descr': '非常不错，下次还来。希望下次的退房效率提高一下，结账退房时，用了我近二十分钟。', 'star': 5}
{'descr': '房间整体环境不错，网速有点儿慢，难以接受。小细节上的卫生有待提高。总得还不错', 'star': 5}
{'descr': ' 性价比不错 以后还会再住', 'star': 3}
{'descr': '该酒店的服务良好，酒店内可吃饭，价格合理。冬天入住室温很高，感到很温暖。外面有很大的停车场，方便有车入住和出行。', 'star': 5}
{'descr': '环境还好,洗澡水忽冷忽热,希望提高前台人员夜班的素质,客房服务不错!', 'star': 5}
{'descr': '感觉还不错，性价比比较高。有机会还会去，而且停车位充足', 'star': 5}
{'descr': '不错的一家快捷酒店 环境优雅 \n干净卫生 ', 'star': 5}
