{'短评内容': '交通不便，很难走进去。估计三年内都不会有起色了。', '短评打分': 5}
{'短评内容': '位置不错，就在火车站旁边，离汽车站也很近，卫生也不错，挺干净的', '短评打分': 3}
{'短评内容': '就在火车站旁边，很方便，离汽车站也很近，房间挺干净的。', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '服务态度不好，特别狠，房间里面消费了方便面，不给开发票', '短评打分': 3}
{'短评内容': '服务员特别恨，房间里面的商品消费了不给开发票，还堵我去投诉！！！', '短评打分': 3}
{'短评内容': '还可以，交通比较方便，下火车晚了可以入住', '短评打分': 5}
{'短评内容': '赶火车还是很方便的，西宁真的不大，在这里去西门，大十字还是很方便的，就是一般，特别一般的一个酒店，可以做为一个暂时的落脚点，明天就搬走了。', '短评打分': 5}
{'短评内容': '很不错，房间整洁、卫生、干净；适合商旅~!!!!', '短评打分': 3}
{'短评内容': '房间没窗户和空调，装修陈旧，评价一般', '短评打分': 5}
{'短评内容': '+价格便宜房间也不错，就是在入住第一天发现了蚂蚁。不过服务员很快帮忙换房间了。', '短评打分': 5}
{'短评内容': '我消费了两盒面，一瓶水，服务员不给开发票，我说要投诉，服务员说，那你就投诉吧，没法开。', '短评打分': 1}
{'短评内容': '感觉还可以,交通比较方便，适合商旅人士感觉还可以,交通比较方便，适合商旅人士感觉还可以,交通比较方便，适合商旅人士', '短评打分': 5}
{'短评内容': '房间有一股怪味，墙体脱落，看着都不舒服，没有空调里面发闷，晚上根本睡不着，前台服务根本不用谈，垃圾，', '短评打分': 3}
{'短评内容': '很破旧的酒店，房间电话竟然不能打市内电话。', '短评打分': 5}
{'短评内容': '就一点，房间有难闻的味道，里面也不好，墙体都快掉下来了...', '短评打分': 1}
{'短评内容': '\r\n如果要赶火车的话，这个位置很好。 \r\n房间没空调，我订的是198的房，3楼，有窗。因为在火车站，所以要了两间靠内的房，但窗外面正好有一平台，虽装有防盗网，但感觉不踏实。不知4楼的房间如何。 \r\n让我意外的是卫生间较大，空间也高，奇怪的是一间是淋浴，另一间是浴盆。卫生还可以。 \r\n\r\n', '短评打分': 3}
{'短评内容': '\r\n      如果要赶火车的话，这个位置很好。\r\n      房间没空调，我订的是198的房，3楼，有窗。因为在火车站，所以要了两间靠内的房，但窗外面正好有一平台，虽装有防盗网，但感觉不踏实。不知4楼的房间如何。\r\n      让我意外的是卫生间较大，空间也高，奇怪的是一间是淋浴，另一间是浴盆。卫生还可以。', '短评打分': 5}
{'短评内容': 'Close to the train station so convienient for travellers that are arriving late or have to leave early by train', '短评打分': 5}
{'短评内容': '也许是网上订的，给的都是最差的房间。房间光线很暗，有窗户跟没有一样，因为外面有广告牌阻挡着', '短评打分': 3}
{'短评内容': '房间居然没有通风！暑假人多！刚好又那几天热！一晚上没有睡觉！房间没有空调就算了！但是居然没有窗户没有通风设备！还是新装修的！真不知道老板有没有大脑！晚上和我在那边一起住的还有几个房间的人晚上都没有睡觉！房间里面太闷了！估计要是再有热的时候睡在里面会死人的！', '短评打分': 1}
{'短评内容': '也许是网上订的，给的都是最差的房间。房间光线很暗，有窗户跟没有一样，因为外面有广告牌阻挡着。', '短评打分': 1}
{'短评内容': '位置好方便出行.距离火车比较近.其它各方面有些一般不过综合来讲还是不错的因为房间住得舒服.', '短评打分': 5}
{'短评内容': '距离火车站很近,还有汽车站.出行很方便.而且室内环境也不错.性价比还是蛮高的.', '短评打分': 5}
{'短评内容': '这家酒店很不好，住了几个小时我就走了，房间里没空调，设施很简陋。跟酒店反馈，前台说所有房间都没有空调，真让我郁闷，下次再也不想住了。', '短评打分': 1}
{'短评内容': '服务差了些,感觉有些不太到位,空气不是很流通.可能因为无窗的原因吧.除了位置好一些之外,其它各方面都很一般.', '短评打分': 1}
{'短评内容': '位于火车站旁边，地理位置不错。订了RMB169的标准间，但是房间没有窗户，设施一般，比起价格来，性价比比较低。', '短评打分': 1}
{'短评内容': '贵了点贵了点贵了点贵了点贵了点贵了点贵了点贵了点贵了点贵了点', '短评打分': 5}
{'短评内容': '方便，好找，一出车站即可看见；房间卫生较好；服务一般，缺乏耐心；住四层，没有电梯，很不方便；没有空调，开窗外边异味很呛人。', '短评打分': 5}
{'短评内容': '如果途径西宁,短暂停留,又乘火车或汽车进出,这个酒店的位置就是最好的.\r\n\r\n感觉不爽的:\r\n1.淋浴时,下水口工作不畅快,老是感觉水已漫出卫生间,因为房间内是地毯.\r\n2.存放行李时,一个服务员不知道什么原因(我肯定没得罪她),一直不肯收,说没这服务.其实她背后就有临时寄存的行李.后来刷卡结帐后,另外一个服务员二话没说,就帮我的行李寄存了. 十分钟内有冰火两重天的感觉.', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '能用宽带 然后酒店也没有大家说的那么靠近大街噪声大  我一个人睡觉得还好', '短评打分': 5}
{'短评内容': ' 离火车站真近 房间性价比高 缺点是没窗户空气不流通', '短评打分': 5}
{'短评内容': '干净、方便，环境不错！设施有点陈旧，没有空调，不过好像也不需要空调。对得起价格！', '短评打分': 3}
{'短评内容': '特价房不推荐，无窗无空调，夏天没法住，热得半夜起来冲凉。', '短评打分': 1}
{'短评内容': '位置很好，很方便乘火车和汽车，硬件条件一般，性价比还可以，可推荐。', '短评打分': 5}
{'短评内容': '  优点：酒店位置较好，无论出城上高速还是去市中心都比较方便。房间不是很大，但比较干净。\n  不足：酒店没停车场；房间没空调；位置太靠近火车站，晚上有噪音，影响睡眠。 \n  整体评价：适合临时休息，没停车位不方便，性价比一般。', '短评打分': 1}
{'短评内容': '位置挺好,在火车站旁,交通方便,宾馆设施较新,但没空调,好像西宁宾馆都没空调,性价比一般,另外退房后不给存行李,有些不方便。\r\n', '短评打分': 5}
{'短评内容': '我8月9日从西藏归来换乘车时入住的车站宾馆，离火车站好近，这是最大的优点。', '短评打分': 5}
{'短评内容': '房间的设施很齐全，使用的物品也都很干净，前台服务员的服务差强人意，最主要的是房间没有窗户，这个应该在协议中标注清楚的，房间有点闷。', '短评打分': 5}
{'短评内容': '前台服务有点无语。。。。。。没有空调。。。。。。\r\n', '短评打分': 1}
{'短评内容': '不错， 性价比较高。  很靠近火车站， 所以很容易就找到。', '短评打分': 3}
{'短评内容': '+店内干净舒适，感觉不错。', '短评打分': 5}
{'短评内容': '没有空调 晚上睡觉很闷 靠近马路的房间晚上睡觉很吵', '短评打分': 1}
{'短评内容': '这酒店没有电梯，空调也没有，就是离火车站近。', '短评打分': 1}
{'短评内容': '本来以为会像别的点评介绍的那样，房间会很吵，但是实际上关了窗之后还是比较安静的。宾馆位置好，就在火车站边上，坐车什么都方便。楼下就有一家快餐店，生意相当的好。房间设施还比较新，就是浴巾，好像每天都是湿漉漉的，以为服务员没有换，但是叫来换了一块还是这样，这样看来好像是没有晒干就拿来给客人用了。', '短评打分': 3}
{'短评内容': '靠近火车站， 服务员也比较于帮忙。', '短评打分': 5}
{'短评内容': '真的很不错，就是没有空调有点热', '短评打分': 5}
{'短评内容': '可能因为新装修过，宾馆内部不错\r\n但是靠街太吵！\r\n服务员水平较差态度较差，反正西宁各服务业都这水平，在回回店里吃东西更不用说那个拽啊！', '短评打分': 3}
{'短评内容': '可能因为新装修过，宾馆内部不错\r\n但是靠街太吵！\r\n服务员水平较差态度较差，反正西宁各服务业都这水平，在回回店里吃东西更不用说那个拽啊！', '短评打分': 3}
{'短评内容': '可能因为新装修过，宾馆内部不错\r\n但是靠街太吵！\r\n服务员水平较差态度较差，反正西宁各服务业都这水平，在回回店里吃东西更不用说那个拽啊！', '短评打分': 5}
{'短评内容': '服务不好，服务员每个人都让人觉得心不在焉。下次不会在选择这里了。价格与服务不成正比！', '短评打分': 1}
{'短评内容': '我的订的是特价房条件还是对得起这个价格的。房间没有空调，不过这里也基本不需要。没有电炊风，这个可以有。西部民风淳朴，相比服务就比较粗糙，可以改善。比如我提到没有电蚊香的问题，前台说这里没蚊子，有也不咬人，就算咬了蚊子也没有毒，让人哭笑不得的解释。', '短评打分': 5}
{'短评内容': '整体设施不错 但卫生清理不及时~ 总体来说还可以', '短评打分': 5}
{'短评内容': '位置很好，就在火车站广场，本来以为会吵，但是是靠后的房间，所以还算安静。就是浴巾好像每天都是湿的，不知道是没有换还是就是这样。', '短评打分': 5}
{'短评内容': '没有窗的房间确实空气很不好，，不过设施还是蛮新的，房间有点小', '短评打分': 5}
{'短评内容': '就在火车站边上，但是很少能够听到火车的声音，离汽车站也很近，对面就是到塔尔寺的班车，看来像刚装修不久，卫生也很好，不错，推荐。', '短评打分': 3}
{'短评内容': '就在火车站边上，但是很少能够听到火车的声音，离汽车站也很近，对面就是到塔尔寺的班车，看来像刚装修不久，还不错，推荐。', '短评打分': 5}
{'短评内容': '性价比很高，位置处于车站附近，周围环境比较复杂！', '短评打分': 5}
{'短评内容': '从来没住过这么差的酒店，服务差到极点，随便乱提价，稍微走远点就有性价比高得多的酒店，再也不会住这一家酒店。', '短评打分': 1}
{'短评内容': 'fangjianxiao,fuwucha', '短评打分': 5}
{'短评内容': '比想象中好', '短评打分': 3}
{'短评内容': '比想象中好', '短评打分': 5}
{'短评内容': '很不错，比想象中的好多了，旁边就是火车站', '短评打分': 5}
{'短评内容': '服务还不错，临街比较吵！还不知晚上能不能睡好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生设施还行，位置也是挺好找，价格稍微有些贵了，根本就没有见到什么服务员而且酒店也没有电梯。最不好的就是因为离火车站太近所以只要是火车一开的话那个房间的床都是动的根本一个晚上都睡不好觉。其他的也都很一般。', '短评打分': 1}
{'短评内容': '西宁火车站饭店，就在西宁火车站旁边，几步路的距离。晚上睡觉太痛苦了，火车呜呜的声音，睡在床上感觉像地震一样。\r\n电视是32液晶的，没有空调，虽然西宁气温常年比较低，但没有空调还是感觉比较闷热，另外酒店没有电梯。\r\n总体感觉一般。', '短评打分': 1}
{'短评内容': '没有窗户，光线很差.卫生条件也很一般.后来我自己换了另外的房间.', '短评打分': 1}
{'短评内容': '位置很有优势，离火车站很近，赶火车很方便。', '短评打分': 5}
{'短评内容': '酒店的价格还是比较合适，其他方面跟如家.7天差不多。', '短评打分': 5}
