{'descr': '比较乱太吵了 11点多还大喊大叫  前台还行  ', 'star': 1}
{'descr': '真的很迷你，房间隔音效果不好。通风效果也不是很好，很大一股消毒液的味。', 'star': 3}
{'descr': '刚刚入住，比网上看的照片要好一些，挺温暂的，性价比高，不错', 'star': 3}
{'descr': '价格比较便宜，但是服务太差，都感觉好像住房不给钱似的，从进前台到退房，没有看见一个服务员会笑~晕啦', 'star': 1}
{'descr': '前台服务态度太差 问什么都爱搭不理 很不耐烦的样子 以后再不住了 ', 'star': 3}
{'descr': '房间比其它地方的汉庭大好多，而且酒店很新，很干净', 'star': 5}
{'descr': '地理位置：附近公交是挺多。北京西过来83路，还要再走一段。到西皇城根北街后，要经过4中，然后店就在39中那。 离护国寺就是一段10来分钟的路，挺好的，因为护国寺那真的有东西吃。我觉得比王府井好些。因为王府井美食街是各国家的，而护国寺的就比较中国，所以我下次还是会喜欢在护国寺这住。去天安门，前门，西单,在护国寺附近都有公交。逛得东西多。北京交通堵，能地铁还是地铁吧，我坐公交是怕了，而且又挤。\n\n回归', 'star': 5}
{'descr': '交通便利，酒店环境还不错，以这个价位来说很合适的，就是老担心房间里的桌板会碰到小孩子。', 'star': 5}
{'descr': '很小，不透气，类似于地下室,下次不去了！', 'star': 1}
{'descr': '己入住房间还可以', 'star': 3}
{'descr': '位置很难找， 酒店的实际位置和百度上查的不一样。', 'star': 5}
{'descr': '还可以，预订2天在前台改3天还是按照特价。房间比较小，板式桌面易碰小孩头，不建议带小孩入住。房间隔音效果较差，交通比较便利。', 'star': 5}
{'descr': '环境一般，特价房的原因吧，房间隔音一般，换气扇的声音很大，别的还行，交通挺好！', 'star': 5}
{'descr': '只是个旅店，但总体还行吧，地方还挺方便！毕竟是这么低价！', 'star': 5}
{'descr': '服务周到热情，客房整洁安静。交通便利，以后出差汉庭是首选了。', 'star': 5}
{'descr': '房间较小，价格很便宜', 'star': 3}
{'descr': '还可以就是就是就是就是就是就是就是有一点点床不干净', 'star': 5}
{'descr': '还不错，位置特别理想，虽然是特价房，但也还过得去，除了窗子是开向走道的……', 'star': 5}
{'descr': '位置挺好的，特价房也不是太差，除了窗户开在走道这个让人有点不太舒服……', 'star': 5}
{'descr': '房价确实很小，但是这个地理位置有这样的价格算是相当不错了，银子不多的可以考虑哈', 'star': 5}
{'descr': ' 还好了，卫生各方面做的都挺好，就是唯一的窗子开在走廊附近，稍微有些吵。', 'star': 3}
{'descr': '房间是很小，服务也一般，只能算是招待所水平，不过在黄金周能住上那么便宜的房间已经算很不错了，如果不是那么挑剔的话还是可以住住看，离地铁也不远', 'star': 5}
{'descr': '空间很大，很舒服，性价比非常高，强烈推荐', 'star': 5}
{'descr': '酒店条件很差，服务也很差，如果不是实在要在附近办事，建议不要选择这家酒店。', 'star': 1}
{'descr': '还可以 服务态度可以   价钱合理  房间设施很优秀  ', 'star': 5}
{'descr': '一楼的屋子很大的霉味，但是考虑到在西四，99的价格，还能说什么呢。', 'star': 5}
{'descr': '屋里很潮，隔音不太好，但交通很方便，周边小吃也挺多的', 'star': 3}
{'descr': '？环境很好 也很干净 特价房真的相当合适呢', 'star': 3}
{'descr': '位置不错，离市中心离后海都很近，屋子不大，潮气较重，卫生条件一般，不过这个价格在这个地方还是不错的，值得考虑。', 'star': 5}
{'descr': '经济、实惠,交通方便快捷，住是起比较舒服，经济上可以承受！我会向我的朋友推荐，感觉很不错，改变了我对北京的印象，哈哈哈哈！', 'star': 5}
{'descr': '性价比很适的地方，独立卫浴，可以免费上网，有空调， 交通也比较方便\n总台服务员态度很好\n除了房子稍微有点小，但是这个价钱真的已经对得起了\n推荐来住', 'star': 5}
{'descr': '住进去才知道“迷你”是啥意思，房间又小又潮，床单、被罩都不太干净，灯光昏暗，隔音极差，服务很一般，北京同价位的住宿条件比较好的宾馆太多啦，只是你不用心去查询、比较而已。', 'star': 1}
{'descr': '有虫房间太小!', 'star': 3}
{'descr': '房间很迷你，卫生差，环境乱，条件很差，服务冷淡。', 'star': 1}
{'descr': '适合学生消费，价格比较便宜，环境比较干净', 'star': 5}
{'descr': '酒店就在三十九中学旁边，晚上对我来说不太好找，白天地铁过去，还是比较方便的。有83路能到西客站，鸟巢等地方。酒店是迷你型的，还比较干净整洁。', 'star': 5}
{'descr': '我已经入住，就是房间有些小，不过离协和医院近些，价格不贵。', 'star': 3}
{'descr': '电视是坏的，卫生间的排风扇响声很大', 'star': 3}
{'descr': '屋子太黑暗，很潮湿，热水时有时无，电视信号不清楚，床头柜很破烂，被褥枕头也不知道干净否，隔音效果很差，还不能刷卡     反正大家要是钱稍微多一点就别住这里了    唯一的优点是，地点很好，去哪都很方便', 'star': 1}
{'descr': '宾馆价格经济实惠，比较干净', 'star': 3}
{'descr': '房间稍微有点小，价格比较便宜，离北大第一医院很近，步行不到十分钟。', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '位置很好，靠近新世界百货，距离地铁也蛮近的，出行不成问题，酒店周边吃东西的地方蛮多，肯德基，哈根达斯都有，总体感觉蛮不错的', 'star': 5}
{'descr': '酒店环境各方面都不错，服务挺好的，热情周到，周边交通出行不成问题，住宿环境很不错', 'star': 5}
{'descr': '北京房价真高。138就很小一房间，没窗，后来加钱换了个稍微大点的。也就这样了', 'star': 3}
{'descr': '酒店内部环境不错，挺漂亮的，房间装修的很简洁，整体属于田园风格的，服务很不错，反应速度很快，房间卫生条件好，住宿环境很满意', 'star': 5}
{'descr': '房间有点小但是挺干净，总体还算对得起这个价格。', 'star': 5}
{'descr': '房间硬件设施齐全，也很新，室内通风不错，环境很好，服务不错，做的挺到位的', 'star': 5}
{'descr': '地方偏僻，环境一般,还是推荐一下了，做生意不容易，还是顶一下吧', 'star': 5}
{'descr': '有点小。不过交通便利', 'star': 5}
{'descr': '不怎么样，床单太恶心，地方也不好找，反正不推荐去那', 'star': 3}
{'descr': '不错啊', 'star': 5}
