{'短评内容': '酒店超级棒，免费升级行政房', '短评打分': 5}
{'短评内容': '酒店开业没两年 动不动敲敲打打 烦11111111111111111111111111', '短评打分': 5}
{'短评内容': '酒店开业没几年敲敲打打这么多次 真烦··················', '短评打分': 5}
{'短评内容': '老板去上海入住最多的酒店，毗邻火车站，地理位置优越，不过酒店的价格也是水涨船高呀！', '短评打分': 5}
{'短评内容': '    整体都不错哦\n就是没有其他洲际的风景好', '短评打分': 3}
{'短评内容': '洲际酒店是我比较倾向的。\n\n价格可以，交通方便，房间很新。\n\n设施很好，服务也不错。在火车站旁，\n\n推荐！', '短评打分': 5}
{'短评内容': '还不错。就是开业不到多久动不动就装修。真烦…………………………………', '短评打分': 5}
{'短评内容': '还不错。就是开业不到多久动不动就装修。真烦', '短评打分': 5}
{'短评内容': '设施不错。就是房间木头气味太浓。…………………………………………………\n\n', '短评打分': 5}
{'短评内容': '酒店还行，前台不错==========================================\n \n\n推荐', '短评打分': 5}
{'短评内容': '前台很棒，真心觉得，给力。\n\n推荐朋友入住', '短评打分': 5}
{'短评内容': '前台c/i c/o都很不错，服务很好，一进来看到他们感觉就好', '短评打分': 5}
{'短评内容': '性价比不错，环境也很好。酒店设施比较新。很满意。', '短评打分': 5}
{'短评内容': '洲际的品质还是很不错的，这家店相对性价比更高（连住2晚以上的话）', '短评打分': 5}
{'短评内容': '酒店装修很有特色…', '短评打分': 3}
{'短评内容': '这次提点建议，酒店提供的观看影片，几十年如一日的就那几部，这样国际化的酒店不会买几张盘都舍不得吧。', '短评打分': 5}
{'短评内容': '上海的洲际是不贰选择，比起南京的绿地洲际，无论是硬件软件都好太多。', '短评打分': 5}
{'短评内容': '酒店环境依旧那么好~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不知道为什么，洗澡出水的莲蓬头出水好小！', '短评打分': 5}
{'短评内容': '还可以~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '上海浦西洲际酒店推荐，就是这次的价格比上个月贵了一点，呵呵', '短评打分': 5}
{'短评内容': '上海浦西洲际酒店地理位置好，环境也好~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店性价比高，这样价位能住到如此规模的国际性酒店，不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '洲际的品牌自然是好的，只是泡澡的浴缸清理的不是很干净，让人不敢使用。', '短评打分': 5}
{'短评内容': '酒店环境很好，物品干净整洁，基本上每次到浦西出差，都来这家洲际酒店', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '还可以，不错~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': 'Very good and comfortable intntl hotel near railway station . Very  good pricing', '短评打分': 5}
{'短评内容': '性价比可以，设施真不错，尤其是视听设备，我随身带了ipod,音响效果非常好，其他五星级宾馆没有此享受。可惜房内地毯较脏。', '短评打分': 5}
{'短评内容': '一流的酒店,性价比很高.除了早餐差一点.', '短评打分': 5}
{'短评内容': '环境服务都很好', '短评打分': 3}
{'短评内容': '酒店硬件不错，但员工办事不会变通，服务不人性', '短评打分': 3}
{'短评内容': '除了价格贵，其他都听好了。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': 'Very nice hotel, room is beautiful. Value for money.', '短评打分': 5}
{'短评内容': '很好，很干净。会向朋友推荐的。服务也很好。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '非常好的酒店，是我在上海住的最好的酒店了。就是前台服务感觉一般。', '短评打分': 5}
{'短评内容': '离火车站很近，很方便，酒店设施也蛮不错的！', '短评打分': 5}
{'短评内容': '很不错的酒店，住的是豪华房，比一般的房大些，设施够超五星，礼宾部服务很好，但前台结账服务一般，有的个别小姐态度很冷淡，客人所要的发票不给盖章，说是上海的特色，但请问，顾客是在上海报销还是回自己省份报销，在客人坚持下等了15分钟一个工作时间长的小姐差遣一个新人去盖得章，连送我的上海朋友都很惊讶！入住过好几次，都是在结账时感到不快，希望酒店尽快改进，这一点龙之梦酒店做的很好，应该学习！', '短评打分': 3}
{'短评内容': 'IHG旗下的高端品牌酒店,偶尔享受一下,卫生服务设施一流', '短评打分': 5}
{'短评内容': '+上海浦西洲际酒店客房美观，舒适，房间大，视觉通透。李', '短评打分': 5}
{'短评内容': '前台结账礼貌不够礼貌，互相推诿，结算发票不盖财务章，说是上海的规矩，但是用户回家报销还是在上海报销？至少用户应该之上，前台回去盖章要客户等了二十分钟。比起龙之梦和希尔顿的前台服务要有些差距！门童服务很好，很周到。其它可以。', '短评打分': 5}
{'短评内容': '五星酒店中，性價比頗佳，房間新，設備科技新，全自動馬桶，洗股股等', '短评打分': 5}
{'短评内容': '酒店很好，值得推荐，周边的购物环境还不是很成熟，但交通便利', '短评打分': 3}
{'短评内容': '该酒店设施堪称真正豪华每个细节都做到最好,服务质量也较好能耐心解决客户问题希望能保持，小缺陷在于新装修还略有味道，服务经验待提高，不过以后还会入住该酒店也会给朋友推荐', '短评打分': 5}
{'短评内容': '不错的选择，下次跟朋友还会住这一家。', '短评打分': 5}
{'短评内容': '酒店设施很棒，前台服务业很好，提得要求都能得到满足', '短评打分': 5}
{'短评内容': '超棒的酒店，价格不算高', '短评打分': 3}
{'短评内容': '总体感觉酒店的设施、位置、舒适度、性价比都很好，但服务与之没有配套，还有结账时没有发票很不应该，希望能引起酒店管理者的重视。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '洲际品牌的酒店，非常好。就是世博期间，价格涨的太厉害了。', '短评打分': 5}
{'短评内容': '这是家新开业的酒店,离火车站比较近,只是酒店周围环境一般.值得一住', '短评打分': 5}
{'短评内容': '设施不错，卫浴档次算很高了。离火车站、地铁站很近，出行很方便。但晚上噪音太大，太吵了。结账有点慢，最后还告诉没有发票了，这么大的酒店，这点小事还准备不周，真是...,不过后来给我补寄了，多少弥补了一下', '短评打分': 5}
{'短评内容': '很现代的酒店，有艺术气息。性价比不错。', '短评打分': 5}
{'短评内容': '酒店是新开的 很新 设施相当的Excellent但服务欠佳。还是推荐入住，此酒店是上海少有的奢侈豪华酒店', '短评打分': 5}
{'短评内容': '我见到的设施最好的酒店，服务也很好。但处于火车站附近，周围商业比较少。', '短评打分': 5}
{'短评内容': '很棒的酒店，像其他洲际一样都那么值得推荐，如果你不在乎花费的话', '短评打分': 5}
{'短评内容': '上海性价比比骄好的酒店了', '短评打分': 5}
{'短评内容': '很新，很现代，很喜欢~下次一定还会去！！！！', '短评打分': 5}
{'短评内容': '在酒店促销期间入住，1100多还有早餐，性价比超值。大堂很有特色，酒店服务规范，关键是去年刚开业，设施很新。推荐一下！', '短评打分': 5}
{'短评内容': '很喜欢这个酒店，地点，装修，没说的', '短评打分': 3}
{'短评内容': '非常好的酒店，很干净，很新 ， 厕所特别有意思， 我第三次入住了', '短评打分': 5}
{'短评内容': 'Very nice new hotel, swimming pool is very nice, and breakfast is great too.', '短评打分': 5}
{'短评内容': '不错的酒店 ', '短评打分': 3}
{'短评内容': '设施新，不错。餐厅的的手艺一般', '短评打分': 5}
{'短评内容': '房间大 1千出头还含双早 新酒店 很超值', '短评打分': 5}
{'短评内容': '新酒店，在上海算性价比高', '短评打分': 5}
{'短评内容': '各个方面都非常不错!一流的酒店!', '短评打分': 3}
{'短评内容': '很新的酒店，紧邻上海火车站，硬件设施都不错', '短评打分': 5}
{'短评内容': '又多住了几天，觉得酒店的早餐一般，中式早餐种类太少，口味也不是很好，不过早餐的服务很不错，如果能增加种类提升口味会更好。游泳池和健身房相当棒，差点就天天泡在里面了，服务很热情，知道喜欢喝咖啡每天都多放了好几包赠送的咖啡。可惜没有果盘送，窗外的景色也很一般。希望在这些东西上能有所改进。在酒店里能吃上赠送的果盘，心情还是很不一样的。 在浦西住，一定要带游泳衣，切记。', '短评打分': 3}
{'短评内容': '2009年新装修的酒店，设施非常好，但是人性化做得差一些，有些设备没有足够的使用说明和引导，需要摸索使用', '短评打分': 5}
{'短评内容': '设施一流，房间很大，住着很舒服，就是前台的服务稍慢，等了很久，相当不错的五星级酒店。', '短评打分': 5}
{'短评内容': '刚开业的洲际，比浦东的好很多，卫生间镜子上有电视，马桶有TOTO冲屁股的设施，好舒服啊，性价比很高', '短评打分': 3}
{'短评内容': '设备比较新，服务态度不错，客人觉得不错。', '短评打分': 5}
{'短评内容': '我觉得比浦东洲际好，价格也合适\r\n', '短评打分': 5}
{'短评内容': '一流的酒店，各个方面都非常不错，火车站近在咫尺，很方便！', '短评打分': 5}
{'短评内容': '这是一家豪华新酒店。  火车产南广场。房间非常大， 景观也很好。  ', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
