{'短评内容': '房间挺大的，对得起这个价格了', '短评打分': 4}
{'短评内容': '算性价比不错，但打车太难了，等了半个小时打不。以后会考虑要不要继续住。', '短评打分': 1}
{'短评内容': '酒店的水平与所标识的四星级水平无论是硬件还是前台服务极端不符，据西安本地司机说他们都不会推荐此家酒店。。', '短评打分': 1}
{'短评内容': '位置也是市中心，酒店里面也还好和价格看起来还是挺匹配的，服务可以。', '短评打分': 5}
{'短评内容': '酒店整体还可以。但由于是黄金周期间客人很多。酒店有些不注意细节。如晚上冷要加个被子。前台说人多没有了！？', '短评打分': 5}
{'短评内容': '酒店靠近莲湖公园，从房间里就能看到公园，酒店的装修风格很好，房间硬件设施很齐全，卫生条件好，蛮干净的，住宿环境很不错', '短评打分': 5}
{'短评内容': '四星酒店，两星价格，值了。至于服务就不要太较真了，比较起来比两星的好多了，位置去哪儿都方便。', '短评打分': 5}
{'短评内容': '你们的酒店不错，谢谢', '短评打分': 5}
{'短评内容': '房间比较宽敞，适合商旅人士！\r\n', '短评打分': 5}
{'短评内容': '会议室很不错', '短评打分': 5}
{'短评内容': '价位还可以接受，房间挺大的卫生和设施都很不错，服务态度都还可以的，位置还是比较好找的离市中心很近出行什么都很方便，我是感觉还是挺不错的酒店下次如果还去西安的话肯定还会考虑这家酒店的。', '短评打分': 5}
{'短评内容': '酒店的各方面服务还可以.不过设施有些陈旧.位置很好周边的交通都很方便.', '短评打分': 5}
{'短评内容': '酒店开业时间很长了,设施,装修,都是有些老旧了,卫生到是很不错,地理位置很优越,交通便利.性价比很一般.', '短评打分': 3}
{'短评内容': '我因为要在西安开会，在此酒店住了7天，总体感觉好，但酒店服务人员水平参差，我记得在二楼餐厅用餐时，一个服务男生态度非常好，详细解释各项菜式，很满意。但另一天同样用餐时，换了另一个女生服务就语气生硬，感觉很差。另外，我们住的是商务套房，还没包早餐，很难理解。再有，房卡很难用，经常不能开门，住到差不多要离开才知道可以换卡，接待处的接待人员请提前告知客人卡可能不能用之类的。基本上还住的舒服，下次西安，还', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '这个酒店服务真差，， ，，本人于2007年2月11日入住，前台接待还行，服务过的去，住进去以后，首先是房门难打开，叫服务员开门后，第二天房门又打不开结果被锁在屋里达20分钟，叫来服务于员帮忙打开后，要求调换房间，结果晚上回来发现卫生间房门又被锁上，又喊来服务员。 看来真是与这家酒店犯冲啊，，，，，，于是选择明天赶紧搬走，，真是郁闷，，同时对这家好称4星际的酒店很失望，，，，，，没有免费的饮水，没有', '短评打分': 1}
{'短评内容': '今年５.１节住了４天，总体感觉还可以，位置也好，过两、三条街就可以到鼓楼广场，步行７、８分钟、坐电动车３元，坐三轮摩托４元。房间装修老了点，浴室小了点，床单还干净。好像６楼有个慢摇吧，最好住到８楼以上，不要靠近电梯。因为在装修中餐厅，改到五楼的茶房吃早餐，早餐很一般。服务员态度不错，结账也比较快。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;入住时候告知中餐厅在装修，可以在茶餐厅点菜。于是乎，在茶餐厅看到了一份只有街边小店里面才能看到的单页菜单，不外乎是炒饭、面条之类～～～炒菜几乎没有。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;房间倒是不错，可惜第一次入住的房间，宽带居然无法链接。换了房间，总算是可以上网。&amp;lt;/P&amp;gt;&lt', '短评打分': 1}
{'短评内容': '这个酒店真啊,1.CHECK IN的时候,竟然前台只有1个人,还爱理不理的,整个过程没有看过客人一眼,2.房间打扫不及时,我在房间里看着服务员打扫将近30分钟,3.宽带上网啊,虽然是有宽带的硬件设备,但是可不可以用,连前台的服务员都不知道,这样的回答也能够说是4星?作为一个4星酒店,不但硬件要达标,服务人员的素质也必须要达标啊!!', '短评打分': 1}
{'短评内容': '那个酒店我去过，四星，房间挺大，硬件不错，可惜大堂小了一点，但很卫生。', '短评打分': 3}
{'短评内容': '对于这个价位，酒店还算不错了，交通方便，干净整洁，并不象michael67写的那么严重！', '短评打分': 3}
{'短评内容': '在西安很不错了。我喜欢的。', '短评打分': 3}
{'短评内容': '这家酒店很不错！！', '短评打分': 3}
{'短评内容': '服务和设施还不错。只是有两个小缺点：&lt;br /&gt;\n1 没有任何境外电视节目。象HBO,CNN，连凤凰卫视中文台都没&lt;br /&gt;\n2 每天早上10店左右都会有服务人员敲门询问是否有衣服需要清洗。', '短评打分': 3}
{'短评内容': 'Itistooexpenseve!!!!!!!!!!!!', '短评打分': 3}
