{'短评内容': ' 酒店内部设施不是很好，环境也差，总之不满意', '短评打分': 3}
{'短评内容': '酒店环境一般，卫生设施还可以，价格还是有点偏高但是根据世博会来看的话还算比较适中而且离世博园也是比较近，不过酒店的位置不是很好找因为酒店是在一个小区里面而且大路边没有什么明显的标志物当时也是找了好久才找到的不过因为也是在小区里面所以还是比较安静的，价格和里面卫生环境看起来还都很不错，其实看起来还是蛮不错的。', '短评打分': 5}
{'短评内容': '地理位置比较好，离世博园很近，但酒店设施和卫生都不怎么样。', '短评打分': 3}
{'短评内容': '这家酒店在居民区内，不是很好找，除了了离世博园很近外，其他都很不好。', '短评打分': 1}
{'短评内容': '不能与相价成正比', '短评打分': 1}
{'短评内容': '应该还是不错的酒店', '短评打分': 5}
{'短评内容': '要不是世博会 这辈子不去。太偏了。', '短评打分': 1}
{'短评内容': '星级不达标.在小区里面的小旅馆.可能因为是世博的原因吧，不过这家酒店实在是不好.', '短评打分': 1}
{'短评内容': '    建议不要去，酒店的设备很陈旧也很脏。住了四天，皮肤痒痒的，回去一看长了疹子，真倒霉。建议不要住了。服务态度也比较生硬，住进去的时候，将四天的房钱全部付清，结果住进去的第二天，房卡就不能打开，不得不找前台理论。而且，离开时，酒店开的发票是2008年的，有些担心，多问几句，被前台抢白，一副爱理不理的态度，感觉非常不舒服，有种上当的感觉。\r\n   这个酒店唯一的好处就是离世博园比较近，不过附近也', '短评打分': 1}
{'短评内容': '很不错的酒店，房间很干净，。服务员热情周到，设施一般，下次如果在附近出行还会选择。', '短评打分': 5}
{'短评内容': '位置很好，离白莲泾入口近，去别的地方也方便．就是店内设施有点旧，空调嗓音很大', '短评打分': 5}
{'短评内容': '提供早餐一个菜包一个肉包一碗稀饭，不够吃呀\r\n房价还那么贵\r\n早知道我都不订了\r\n第二天订的还比这个位置好还便宜\r\n好像感觉被忽悠了', '短评打分': 1}
{'短评内容': '很老的酒店，设施太陈旧了，下次不会去了。', '短评打分': 1}
{'短评内容': '住得最差的一家酒店了，居然再一个老旧的住宅区里面，出租车司机差点没找着。门窗家具都破的不行不说，还满处都是灰尘。电视遥控上全是污垢都没法下手。床单整套用旧了有黄渍就算了，潮湿发霉的气味真没法让人睡。订的时候说是离世博园近，到了才发现走路都要十分钟才打到车。。。。。。下次打死也不住了。400块太不值了！！！！！！！', '短评打分': 1}
{'短评内容': '酒店位置不错，距离世博园比较近.不过相对设施有些陈旧.服务挺周到的.', '短评打分': 5}
{'短评内容': '离世博园浦东园区很近，交通便利。酒店位于小区内，比较安静。酒店设施一般，服务有待改进。但在世博会期间，算性价比较高的。', '短评打分': 5}
{'短评内容': '很难找。是城中村的招待所。', '短评打分': 1}
{'短评内容': '还不错 ', '短评打分': 5}
