{'短评内容': '早餐还行，设施比较老旧，整体不值这个价位', '短评打分': 3}
{'短评内容': '酒店条件很好，卫生、服务很不错。早餐很好，临近大学集中地，很有书香气息。就是在冰雪节期间价格调整太高。在哈尔滨除了冰雪节、哈洽会期间外都是值得推荐的酒店。', '短评打分': 5}
{'短评内容': '周边大学比较多，吃饭不怎么方便，酒店设施一般，早餐也一般，可以考虑入住', '短评打分': 5}
{'短评内容': '酒店位置不错，干净卫生，早餐还可以，房间装修一般', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐还可以，干净卫生，交通方便', '短评打分': 5}
{'短评内容': '去办入住的时候，说是没有标间了，于是给调了套房，但是价钱也没有变，很不错~房间很大很大。。。-   -但是可能是因为房间太靠边，冷得不行，在房间里我和同住的小姑娘还穿着羽绒服，天……另外自助早餐很好吃~哈哈', '短评打分': 5}
{'短评内容': '櫃台人員及各樓層服務人員.服務態度不是很好.房間很大.早餐還不錯', '短评打分': 5}
{'短评内容': '当时是因为要去哈理工 考试所以订的这个酒店，但是因为临街晚上太吵，也太冷了，而且价格还有些贵呢。整晚没睡好，第二天头疼。。。', '短评打分': 1}
{'短评内容': '环境还好，但是酒店很不隔音，服务员素质很差，一直用对讲机大喊大叫，不堪其扰~ps，这里有自助早餐赠送哦，很好吃呢~', '短评打分': 5}
{'短评内容': '离考试的地方很近 高层 安静 早餐不错 就是屋里串烟 有做饭的味道 住一晚上还行吧', '短评打分': 3}
{'短评内容': ' 服务态度还不错 屋子也很干净 但是屋里非常冷 暖气温度不高 空调不太好用 不建议冬天入住', '短评打分': 3}
{'短评内容': '通过网上预订的房间位置比较差，都是在拐弯的地方，但条件还算可以吧！不知道在网上预订如何能挑到好位置的房间！', '短评打分': 5}
{'短评内容': '酒店的条件还算可以，在学府路附近算是最好的了，尤其值得称赞的是早餐，比较丰盛，不过要早点下去吃，晚了的话东西会少一些！服务态度不错，就是前台工作人员比较忙！应该是入住的人比较多的缘故！', '短评打分': 5}
{'短评内容': '酒店服务态度非常好 ，环境也很棒。下次再去还会入住\n\n', '短评打分': 5}
{'短评内容': '酒店服务态度非常好 ，环境也很棒。下次再去还会入住', '短评打分': 5}
{'短评内容': '条件还行，不过价钱不算便宜了，提供的早餐也还凑合，中西都有，但不是很精致～', '短评打分': 5}
{'短评内容': '自助餐的服务太差了，客人没吃完，就开始收拾东西了。不过东北的服务都是这个水平，比较差。', '短评打分': 5}
{'短评内容': '挺方便的。去黑大考试从网上订的酒店，觉得还可以。早餐挺丰富。从网上订还是方便啊。有很多去晚了，都没有房间了！强烈推荐从网上订！', '短评打分': 5}
{'短评内容': '不错！在网上订酒店还是挺方便的！总共订了两间房，其中一间是在两点以后才给倒出的房间，不过，还不影响入住。所以，挺好的！', '短评打分': 5}
{'短评内容': ' 远远达不到四星标准,还算干净,宽敞,只是对街,有点小吵,早餐一般般', '短评打分': 3}
{'短评内容': '酒店不错,物有所值', '短评打分': 3}
{'短评内容': '软硬件一般，但是对的起房价。早餐很不错。', '短评打分': 3}
{'短评内容': '千万别住!什么破地方!哈尔滨这种天气没供暖!!还被欺骗!', '短评打分': 3}
{'短评内容': '酒店不错！主要离我们招聘的学校近啦！', '短评打分': 3}
{'短评内容': '环境不错 标间床小了点 早餐一般 \n因为是去考试 离考试的学校很近啦 只是本来订的是豪华标间 到店之后服务员才告诉豪华标间没有了 只能改成普通标间 普通标间的床超级小 空调也不能用 ', '短评打分': 5}
{'短评内容': '环境非常不错,交通很便利，比邻哈尔滨理工大学和黑龙江大学，靠近服装城。有多条公交线路。主要的是这位置去龙塔非常方便。直接走文昌桥，大约20分钟的车城到达龙塔正门。', '短评打分': 5}
{'短评内容': '还不错.就是前台为什么把内容弄错,还好后来在我愤怒要求下改成正确房间.', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '设施陈旧 服务一般', '短评打分': 3}
{'短评内容': '在哈尔滨理工大学旁边，就是原来的理工大厦。住的人很多，由于价格还不错，总是满客。服务还算可以吧。。。', '短评打分': 5}
{'短评内容': '酒店位置有点远，房间设施还可以，比较干净，早餐一般', '短评打分': 5}
{'短评内容': '两个原因，一是可能酒店老板关系多；二是酒店地处哈尔滨理工大学附近，地理位置较偏，附近没有第二家像样的酒店。酒店的客人很多，服务很差，我和前台的人讲话理都不理的。工号：106的服务员讲欢迎你投诉我，随便你投诉，态度恶劣之罕见。本来定的是3天的房，第二天就告诉我不能在住了，后来和他们据理力争，同意让我住3天。第二天有通知我只让住两天，又找他们领导理论，才让住3天。我晕 每天都要吵吵才能解决问题。   ', '短评打分': 1}
{'短评内容': '房间挺大的，设施一般，交通方便，但距离市区有点远，比较安静，早餐还可以\n', '短评打分': 5}
{'短评内容': '还是老话，非常一般，完全不够四星。要不是离办事地方近是不会来住的。', '短评打分': 1}
{'短评内容': '刚开业的时候去住了，感觉不错。可是这次入住，感觉室内设施太陈旧，门框居然还松动，床头灯不好用，叫来服务员，她居然说我们也不是什么都会弄的，态度不好。感觉现在的性价比很低，还不如红霞街的勃莱梅好。下次不会再住了。', '短评打分': 1}
{'短评内容': '酒店的自助早餐还不错，淋浴的水比较小，淋浴区有分隔就好了', '短评打分': 5}
{'短评内容': '一般，也就三星最多了。位置不错。附近没有更好的了。', '短评打分': 5}
{'短评内容': '酒店号称4星，但设施也就相当于北京上海的3星甚至2星。\n不过这是周边最好的酒店了。', '短评打分': 5}
{'短评内容': '设施较差不够四星', '短评打分': 3}
{'短评内容': '酒店地理环境好，出行方便，住宿条件也算过得去，但早餐很难吃，餐厅服务态度极差！', '短评打分': 5}
{'短评内容': '因为考试去的，所以只住了一晚。总体感觉还是可以的，住的标准套房，很宽敞，六月初没有开空调，所以只能开窗户。其他的都比较不错，周围有超市和快餐店。对了，没有无线网，只有网线，早餐的样式比较少，也可能因为我没睡醒吧，哈哈', '短评打分': 5}
{'短评内容': '去黑大考试，在网上预订的。地理位置好，坐落在黑大和哈理工之间。我入住的标间278银子，面积稍显局促。但是很干净，晚上也很安静。床睡起来舒服。如果到附近办事或者考试是很好的选择。', '短评打分': 5}
{'短评内容': '不错，挺满意～', '短评打分': 3}
{'短评内容': '标间小，设施不新', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '酒店服务一般，不评论了', '短评打分': 3}
{'短评内容': '环境各方面，，，，，都不错。。服务也  行     ', '短评打分': 5}
{'短评内容': '根本就不够四星的标准 服务人员的态度一般 让人感觉不到热情 硬件条件也不行 自助餐厅说是西餐 可根本就没有西餐 总体上勉强够3星吧 ', '短评打分': 5}
{'短评内容': '一般吧 ，房间比较简单，地毯有点旧，早餐还可以，位置可以接受。', '短评打分': 1}
{'短评内容': '环境不错、服务质量也可以。值得推荐。。。', '短评打分': 5}
{'短评内容': ' 餐厅服务好。', '短评打分': 3}
{'短评内容': '我已入住', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '就是隔音不大好……去那开会的人特别多 会吵……', '短评打分': 5}
{'短评内容': '工作程序规范，服务态度很好，交通也很方便，下次来还会住这的。', '短评打分': 5}
{'短评内容': '位置不错.各方面都很方便.房间暖和干净.服务态度不错.', '短评打分': 3}
{'短评内容': '正如广大网友所说，确实是四星的大堂，二星的房间。还不如某些快捷酒店呢，正常情况下我是不会去住这家宾馆了——同样的价位住别的多好！', '短评打分': 1}
{'短评内容': '很好的酒店 服务设施什么的都很好 服务态度也不错 ', '短评打分': 5}
{'短评内容': '厕所有蟑螂，纸拖鞋没有袋子装好像穿过的，掀开被子床上有几根头发。离黑大，哈理工很近。黑大门口有大超市，方便。房间可以开窗，赞!', '短评打分': 3}
{'短评内容': '环境不错 房间干净整洁 比较舒适 下次还会选择这家酒店', '短评打分': 5}
{'短评内容': 'the hotel is very poor & dirty', '短评打分': 1}
{'短评内容': '我住的是把角的大房间，房间很大，有很多窗户。但暖气和热水的力度不够，在房间里面也要穿大衣。很冻！自助餐不错，性价比高。', '短评打分': 5}
{'短评内容': '这儿的早餐不错，挺丰富的，房间也干净。市学府路附近不错的选择。', '短评打分': 5}
{'短评内容': '挂牌四星感觉只有二星的硬件。装修太单调，设施也不够理想。不满意。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务态度不乐观，整体环境达不到标准。室温低', '短评打分': 1}
{'短评内容': '因为在道边，所以有点吵，除了这点都还好~', '短评打分': 5}
{'短评内容': '第二次入住，一样的房间 感觉没有第一次好  也没有水  打电话第二次才给送来', '短评打分': 5}
{'短评内容': '卫生还不错  服务也还行  不过标间一个人住的确有点浪费哦', '短评打分': 5}
{'短评内容': '服务态度挺好.价格实惠.只是住的时候哈尔滨刚好网络故障,其中一天还停水了.所以在酒店里又不能上网.又停了一会儿水', '短评打分': 5}
{'短评内容': '房内设施比较满意，洗浴间设施一般。居住环境比较理想。服务质量有待提高，中午12点退房11点就开始提醒多达3次以上。', '短评打分': 5}
{'短评内容': '套房就是一个大房间，淋浴设备比较差，住退房也慢。', '短评打分': 1}
{'短评内容': '条件、服务都不错，就是有些吵，尽管我住的是18层，可能是因为在路边的关系吧~', '短评打分': 3}
{'短评内容': '  酒店住宿满意  二楼自助餐厅服务员拾到我的手机送回非常感谢  建议为开车入住客人提供免费停车  每晚停车费40元 太贵', '短评打分': 5}
{'短评内容': '每次去黑大和哈理工办事都会住这一家。在那一片也就这一家比较像样的酒店了。服务算一般，跟大城市里真正的四星级酒店差距不小。床和枕头比较舒服。餐厅不错，午餐和晚餐也很便宜。', '短评打分': 5}
{'短评内容': '条件还不错，尤其服务令我很满意，就是因为在道边有点吵~', '短评打分': 3}
{'短评内容': '环境挺好的 在黑大旁边 四星  因为是高层所以不吵\r\n我是去考试的   不考虑价格的话肯定很合适\r\n不过278标准双人间对于一个学生来讲还是贵了  \r\n而且有点浪费\r\n所以如果能找人结伴去  两个人  这个价钱就非常合适了\r\n ', '短评打分': 5}
{'短评内容': ' 其他还好，就是因为靠马路有一点点吵', '短评打分': 5}
{'短评内容': '离哈工大很近，办事方便，条件不错，也比较卫生', '短评打分': 3}
{'短评内容': '环境很好,是学府路附近环境最整洁的了', '短评打分': 5}
{'短评内容': '房间很干净，服务不错', '短评打分': 3}
{'短评内容': '离哈工大很近，酒店比较干净，服务态度很好', '短评打分': 5}
{'短评内容': '+因为距离办事的地方选择这里,虽然挂四星,住宿情况一般。', '短评打分': 5}
{'短评内容': 'the hotel is so poor', '短评打分': 1}
{'短评内容': '环境还不错，喝高了没吃到早点，总体上值得推荐', '短评打分': 3}
{'短评内容': '入住这家主要是离黑龙江大学近 报到方便', '短评打分': 3}
{'短评内容': '选择这家酒店是因为孩子在黑龙江大学报到方便，还不错，就是不知道如何返钱啊', '短评打分': 5}
{'短评内容': '我己入住服务较满意', '短评打分': 5}
{'短评内容': '一个4星级酒店，竟然能把客人安排到还没有退房的房间！', '短评打分': 1}
{'短评内容': '电梯太少,酒店环境还可以.早餐虽然9点结束,但8:40下去基本没剩啥东西了.', '短评打分': 5}
{'短评内容': '酒店标记为四星，但是软硬件离三星都有距离，价格也远远偏高', '短评打分': 3}
{'短评内容': '其实三星的标准都达不到的，这个价格太贵了', '短评打分': 1}
{'短评内容': '环境很好，就是空调有毛病！', '短评打分': 3}
{'短评内容': '感觉一般。', '短评打分': 5}
{'短评内容': '酒店比较大，整体不错，离机场路近适合去机场的商务出差 ', '短评打分': 5}
{'短评内容': '整体还不错 ', '短评打分': 5}
{'短评内容': '一般，服务不好。', '短评打分': 1}
{'短评内容': '服务员安全管理意识欠缺，我到前台说某房间我的房卡忘房间了，前台服务员居然连住宿人姓名都不问就通知楼层服务员开门，真是太大胆了。\r\n另外，入住手续时间也偏长，没有顾客至上的管理理念。', '短评打分': 3}
{'短评内容': '为了多收些费用，本人原通过ELONG订了一间，想再通过ELONG客服电话加订一间，服务员居然说电话加订没有房间，直接前台登记入住有房间。这种现象又多花了费用，又少了积分。做法有点过分。', '短评打分': 5}
{'短评内容': '酒店各个房间情况不同，第一天入住的房间有免费的饮用水，预订的另一间房就没有水提供，有待提高。\r\n临睡前发现床单上有没洗净的血污痕，要求更换，服务员很快予以更换。', '短评打分': 3}
{'短评内容': '酒店很干净，不过11层个人觉得有点吵，第二天换到16层好很多。酒店位置离京沈高速很近，出城很方便。', '短评打分': 5}
{'短评内容': '就是个学校招待所，没有浴缸，淋浴也是开放式的。软硬件都算不上星级酒店', '短评打分': 1}
{'短评内容': '环境挺好的，安静，舒适。服务一般，态度还行。', '短评打分': 5}
{'短评内容': '地理位置很好，距离哈尔滨理工很近，就是以前的理工大厦。标榜准四星级酒店，实际上差很多。如果是可以报销，住这里很方便。如果是个人旅行，不推荐这家，因为性价比很低。经常会有参加各种会议的人员入住，客源很好，所以导致服务一般。总服务台工作人员态度很生硬，有待提高。房间还算干净，但是空调效果很不好。', '短评打分': 1}
{'短评内容': '条件不错,价格稍贵', '短评打分': 3}
{'短评内容': '除了贵点，其他都挺好，早餐没有吃不便评价，送两瓶饮用水，很贴心', '短评打分': 5}
{'短评内容': '我提前一星期预定套间大床，我到达后却和我说没有了，没问题我可以换小床的，可是进到房间里是一阵腥臭味传出来，我立刻寻找气味来源，没想到在卫生间的洗脸池里看到很多呕吐物，马桶里没有冲！call 人来的过程中发现床铺非常不平整，电视下方的果篮空空如也，只有保鲜膜扔在旁边！call 大堂经理，让我们等，10分钟后人也没有出现，在找就是没人接电话。。。说立刻收拾，可是味道怎么办？换房又等10分钟！做了5个钟', '短评打分': 1}
{'短评内容': 'the hotel is very good.welcome everbody go to there. ', '短评打分': 5}
{'短评内容': '查房结账很慢', '短评打分': 3}
{'短评内容': '结账时查房很慢，等了十几分钟', '短评打分': 5}
{'短评内容': '四星的价格、与如家一样的设施与风格', '短评打分': 1}
{'短评内容': '酒店房间里比较冷,中央空调也只有冷,电暖气还是瘸腿的,也不管用,都没法洗澡,环境还可以.', '短评打分': 3}
{'短评内容': '酒店的周边环境挺不错的,出行还是比较方便的,酒店的内部环境也还可以了,设施方面挺齐全的.卫生打扫的也蛮干净的,整体感觉性价比还是蛮不错的.', '短评打分': 3}
{'短评内容': '不错，去理工大办事住这儿特方便。', '短评打分': 5}
{'短评内容': '性价比还好', '短评打分': 5}
{'短评内容': '酒店环境还可以，位置也比较方便，就是床有点有窄，要是价格在低点就更好了 ', '短评打分': 3}
{'短评内容': '当时去的时候酒店就在学校里面,以前好像是学校的招待所,感觉它不是一个正规的商务型酒店,接待的大多数都是学校的事务,不过设施都还挺好的,价格也还可以,挺不错.', '短评打分': 3}
