{'短评内容': '无线网络很差，空调不好。没暖气。', '短评打分': 4}
{'短评内容': '富顿中心公寓酒店房间大布置全 但电梯人多慢 不给力', '短评打分': 3}
{'短评内容': '进出不方便', '短评打分': 3}
{'短评内容': '不怎么样.前台服务态度差，房间有点脏，价格也不低', '短评打分': 1}
{'短评内容': '地理位置非常好，出地铁口就是。家庭式的公寓，有冰箱、洗衣机、咖啡机等。但房间整理有些老旧，卫生间的帘子拉不下来，喷淋固定不住，中央空调的控制板是坏的。建议可以改进一下。', '短评打分': 5}
{'短评内容': '公寓式的设施陈旧，冷的受不了，很像小旅馆一样，这样的价位不推荐', '短评打分': 1}
{'短评内容': '服务人员耐心，态度好', '短评打分': 3}
{'短评内容': '酒店所处地理位置很方便，去机场尤其便捷。性价比也算公平。', '短评打分': 5}
{'短评内容': '房间里面很冷，没有暖气，空调也不制热，其他的都还是不错的', '短评打分': 5}
{'短评内容': '设备很旧了，不过都可以使用。墙皮也有裂缝了。暖风声音太大，影响睡眠。', '短评打分': 1}
{'短评内容': '  the department is good.', '短评打分': 3}
{'短评内容': '不错，就是被子有个薄！现在这天睡着冷了点！！', '短评打分': 5}
{'短评内容': ' 非常简约的公寓式宾馆 很有家的感觉 总体不错 浴室的喷头有点不好用 其他都很好的 赞一个', '短评打分': 3}
{'短评内容': '公寓式酒店，早餐简单，性价比在同地段九点钟一般。', '短评打分': 1}
{'短评内容': '酒店太差没有停车道位、门、床、卫生间设备陈旧屋内空气太差。', '短评打分': 3}
{'短评内容': '虽然在外国人很集中的富士顿中心，但是前台竟然几乎不会说英文，导致我外国朋友想要协调个网络问题都不行，住了一个星期完全没有网络，软件服务可能不到位。', '短评打分': 1}
{'短评内容': '卫生还要提高,其他都还可以位置不错交通也很方便', '短评打分': 5}
{'短评内容': '环境比较差', '短评打分': 3}
{'短评内容': '适合工作小住，有简单厨具。 要是住个10天八天的还是不错的。客服有点慢，态度不错。', '短评打分': 5}
{'短评内容': '很好、離地鐵站很近。*************', '短评打分': 5}
{'短评内容': '不錯、房間很大,離地鐵站很近。********', '短评打分': 5}
{'短评内容': '已住219房住到23号客人姓名张昀璐@房间还不错，交通方便，服务很好，', '短评打分': 3}
{'短评内容': '酒店不错.挺好！', '短评打分': 3}
{'短评内容': '地方不错，适合一家人去，房间比较大，可以简单的做点东西吃。', '短评打分': 5}
{'短评内容': '这个价格来说，健康环境很差, 但交通还算方便，整体还可接受。', '短评打分': 5}
{'短评内容': '酒店还不错,就是在那富顿中信找了半天才找到等级台.外地人第一次去不是很方便,没有明显的标识', '短评打分': 5}
{'短评内容': '太垃圾了，服务垃圾、硬件垃圾，与宣传的不符，只有位置还算不错。', '短评打分': 1}
{'短评内容': '酒店不错，床不好', '短评打分': 3}
{'短评内容': '还不错，环境不错，安全，安静，干净，就是合作的早餐店合利屋太贵了，早餐券不够吃得花钱买，哈哈', '短评打分': 5}
{'短评内容': '交通方便，比邻地铁，地理位置不错，也比较安静,床还算舒服，', '短评打分': 5}
{'短评内容': '酒店交通方便，地铁10号线B出口出来就是，房间设施较全，就是有点老', '短评打分': 5}
{'短评内容': '不错，房间较大挺干净，服务也不错，下次有朋友来还住这里。', '短评打分': 5}
{'短评内容': '酒店位置较好，在10号线劲送B出口，非常适合单身商务人士在北京短期居住', '短评打分': 5}
{'短评内容': '交通方便，附近有饭店快餐超市，很方便。房间里家电也很齐全，很不错。', '短评打分': 5}
{'短评内容': '还可以，有点家的感觉，赞一个~~~下次还会入住。', '短评打分': 5}
{'短评内容': '点评有什么用，就是告诉别人尽量别住，主要是别上前台的当，办什么会员卡，没有保障的卡，有什么用！', '短评打分': 1}
{'短评内容': '真的很不错，就在劲松地铁站出口，小区里有大超市、餐馆，前台服务员也很热情。房间设备不是很新，但很整洁，房间也很宽敞。不管出差还是旅游，小住几天，很有温馨的感觉，而不是“一张床”对付过一夜的跼促。', '短评打分': 5}
{'短评内容': '非常差劲的酒店，还要用拨号上网的方式才能上网，朋友就是因为不能上网所以才不住这个酒店的，结果就是出去吃个饭回来不住了就要收我们一天的房费；房间内的其它东西还可以，就是旧了点，但都还能用，但房间外就太乱了，大门都没法找到，那里是什么酒店呀，拉个箱子都没法进的，做个酒店至少要有个大堂吧，建议要住的人就别在这里来上当了，还有选个其它正规点的酒店吧。', '短评打分': 1}
{'短评内容': '我在6月底住了一个星期，环境还是挺方便的，就是商住楼进出人比较多，', '短评打分': 5}
{'短评内容': '地理位置不错，交通很方便，就是设备旧了，', '短评打分': 5}
{'短评内容': '感觉一般…床很硬，比较惨旧', '短评打分': 3}
{'短评内容': '位置不错，屋子宽敞明亮，还可以。不过卫生感觉不是很好', '短评打分': 5}
{'短评内容': '设施过于陈旧了些，尤其是门锁系统。不太适合出差，度假倒可以考虑', '短评打分': 1}
{'短评内容': '还行，就是网络还需ADSL连接，网速慢了点，像家庭，还有毛巾舍不得更换哦，好多年了，都有点发硬，店家该想办法了', '短评打分': 5}
{'短评内容': '酒店房间宽敞舒适，很好。', '短评打分': 3}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '公寓酒店，位置很好 楼下就是地铁口 吃饭的也多。 房间不好 床也不好 总体中等吧', '短评打分': 5}
{'短评内容': '价格偏高，环境一般，停车是问题', '短评打分': 3}
{'短评内容': '酒店是公寓式的，条件不错就是在小区里面不太好找\n', '短评打分': 5}
{'短评内容': '貌似不像酒店，公寓吧，不适合出差来住！^^^^', '短评打分': 1}
{'短评内容': '性价比还行，不过不好找', '短评打分': 3}
{'短评内容': '整体感觉太一般，无饮用水，浴室防滑垫，早茶太次，环境不是很整洁。', '短评打分': 1}
{'短评内容': '设备比较齐全，但是设计旧了点，刚好那天宽带还坏了，不停地修门', '短评打分': 5}
{'短评内容': '离地铁10号线较近，交通方便，有24小时超市', '短评打分': 5}
{'短评内容': '家具很破旧，卫生间尤甚，还不如住经济酒店。', '短评打分': 1}
{'短评内容': '空调声音比较大 其他 还好呢  服务不错', '短评打分': 5}
{'短评内容': '总的来说还行，比较干净，管理也还算严格，位置比较方便，就是有点儿小贵', '短评打分': 5}
{'短评内容': '酒店是公寓式的，条件不错就是在小区里面不太好找', '短评打分': 3}
{'短评内容': ' 酒店非常温馨 房间也干净 地铁就在门口方便极了', '短评打分': 3}
{'短评内容': '总体还行，在这样的地理位置，这样的价位，这样的房间。算是不错的。因为是公寓性酒店，房间设施全，家具家电都齐。出门就地铁，两个字，方便！', '短评打分': 5}
{'短评内容': '空调的声音实在是太大了，可以用轰鸣来形容', '短评打分': 1}
{'短评内容': '酒店的地理位置非常方便，地铁十号线B口出来及到；前台的接待人员态度非常友好，服务非常 周到；房间设备齐全卫生干净整洁，下次来京一定海珠这里，并且推荐给朋友！', '短评打分': 5}
{'短评内容': '还不错，公寓设施齐全，服务不错。离双井桥很近。', '短评打分': 5}
{'短评内容': '很脏。。。网路不好。。地面破坏。。。我以后绝对不去', '短评打分': 1}
{'短评内容': '家居式的温馨，位置不错。', '短评打分': 3}
{'短评内容': '酒店规定有免费宽带，但入住后宽带不能用，找酒店第一次未到，再找，终于来人维修没有修好，说声对不起，没事了。', '短评打分': 1}
{'短评内容': '空调的声音轰鸣，却差点被冻感冒。什么质量啊！', '短评打分': 5}
{'短评内容': '房間宽敞干净 交通便利 吃飯也很方便 值得推薦', '短评打分': 5}
{'短评内容': '酒店服务比较及时，但是内部部分设施，例如热水壶等清理不够彻底，总体来说不错', '短评打分': 5}
{'短评内容': '性价比不错 位置方便的很 出了地铁就是小区的门 周围吃的也多 房间也干净 ', '短评打分': 5}
{'短评内容': '之前入住过还是不错的，但是这次住过后感觉差距太大了，预定的是普通房，我提前电话给酒店前台，要大床房，服务员说没有，但是可以再升级加钱住豪华大床间，想了想那么冷的北京天，就住吧，但是住上就后悔死了，空调开启1个小时房间还是冷的，空调声音还奇大，房间卧室还没有空调，所谓的豪华房间还是隔断房，简直让人无语，电话给前台，前台小姐要不换别的栋去住，那么冷的天气实在太折磨人，就勉强住一个晚上，为了不感冒，没感', '短评打分': 1}
{'短评内容': '房型较好，房间配有洗衣机，比较方便，离地铁较近', '短评打分': 5}
{'短评内容': '房间还可以，周边交通也和方便，就是酒店前台太难找，正好赶上北京天气很冷的一天，车还开不进去，太难找。', '短评打分': 5}
{'短评内容': '富顿很不错', '短评打分': 3}
{'短评内容': '拿着钥匙真有家的感觉，以后推荐！下次还去，哈哈！', '短评打分': 5}
{'短评内容': ' 酒店環境一般，还可以。临近地铁站', '短评打分': 3}
{'短评内容': '非常差的酒店，从管理到环境，卫生完全不能达标，厕所及其脏，浴巾用了得有4~5年了！而且晚上总有电话骚扰，设施也跟照片上的完全不一样！完全不建议使用！\nThe wrose apt hotel in the world!!! ', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '每次回京都使用的酒店！总体还不错，交通便利，周边吃饭也都还便利！以后还会继续使用\n', '短评打分': 5}
{'短评内容': '订的豪华间, 但是没有任何豪华的感觉, 设备陈旧, 还要近500元/晚, 更为糟糕的是, 从房间打电话到服务台, 只能拨直线电话! 结果一不小心就达到了999急救中心, 实在是无语, 实在是不值!', '短评打分': 1}
{'短评内容': '地理位置非常好。暖气不行，硬件差，浴巾太旧了。', '短评打分': 5}
{'短评内容': '房间很大，卫生条件不错！亲朋好友来访会再次介绍入住！', '短评打分': 5}
{'短评内容': '酒店很好，干净卫生，服务也好，出门很方便，下次还住这里', '短评打分': 3}
{'短评内容': '比较安静，硬件设施一般，没地方停车，地理位置还不错！', '短评打分': 1}
{'短评内容': '同一批客人最好安排在同一层!', '短评打分': 3}
{'短评内容': '很好.很适合商务人士.', '短评打分': 3}
{'短评内容': '\nC座楼道地毯太脏!', '短评打分': 3}
{'短评内容': '酒店位置不错，出门就是双井地铁也很方便。就是房间设施一般。性价比还可以。', '短评打分': 5}
{'短评内容': '酒店位置很好，出来就是地铁很方便。附近吃饭也很方便。', '短评打分': 5}
{'短评内容': '普普通通  总是催你退房   郁闷   还特别冷  连免费水也没有  不过床还可以', '短评打分': 1}
{'短评内容': '基本上看还是不错的，服务员比较热情，就是晚上有很热情的电话，呵呵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': ' 不好', '短评打分': 5}
{'短评内容': '一般的旅馆一般的旅馆一般的旅馆太一般了，不建议再入住', '短评打分': 3}
{'短评内容': '住在这根本就没有4星的感觉，可能和2星的差不多，床就好象铺在厨房的感觉让人和不舒服。还有沙发都已经很肮脏了也不知道更换', '短评打分': 1}
{'短评内容': '+一般。', '短评打分': 5}
{'短评内容': '+有些房间没电脑，其它都好。', '短评打分': 3}
{'短评内容': ' 一般的酒店', '短评打分': 5}
{'短评内容': '因为在国贸参展朋友帮忙预定的酒店，位置很好出来就是劲松地铁直接坐的国贸，比打车快还省钱。房间还算干净，适合出差的朋友居住。', '短评打分': 3}
{'短评内容': '酒店位置不错，走出小区就是劲松地铁。房间也比较干净。性价比不错。', '短评打分': 3}
{'短评内容': '感觉还不错，交通很方便。周边环境也很方便，呵呵。\n如果是出差很方便。\n性价比很高，推荐朋友住都说不错！哈哈！', '短评打分': 3}
{'短评内容': '酒店位置不错，房间很大，公寓式适合居家旅行。只是卫生间的淋浴喷头太差劲了根本没法正常洗澡。而且卫生间的窗户没有帘。不方便。', '短评打分': 5}
{'短评内容': '很一般的快捷酒店很一般的快捷酒店很一般的快捷酒店很一般的快捷酒店', '短评打分': 5}
{'短评内容': '凑合吧。反正位置还行', '短评打分': 3}
{'短评内容': '还过得去', '短评打分': 1}
{'短评内容': '酒店位置不错，出来就是劲松地铁站。房间还算干净就是电视有点小，香港同事说怎么看都像闭路电视一样。楼下吃东西到时比较方便。价格在300以下比较合适。', '短评打分': 5}
{'短评内容': '我真的不想用垃圾这个词来评论一个酒店，但是我这次不得不用', '短评打分': 3}
{'短评内容': '必须12点前离店,晚一点儿也不行,怎么协商也不行![一般酒店都可延迟2小时].', '短评打分': 1}
{'短评内容': '很好，卫生、地理位置，就是酒店公寓那种。', '短评打分': 5}
{'短评内容': '旅馆的水平，非常脏，绝对不会再住。', '短评打分': 1}
{'短评内容': '入住标准间。房间面积较大，公寓式，配冰箱、电磁炉、微波炉等家电。卫生间设施比较陈旧破损。房间清扫尚可。出行方便，下楼来3分钟可到地铁十号线起点站。', '短评打分': 5}
{'短评内容': '价位与酒店设施不符。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '总体不错,方便出行', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '离地铁近，唯一缺憾没有早餐，总体不错。', '短评打分': 5}
{'短评内容': '服务人员有待进一步提高素质', '短评打分': 5}
{'短评内容': '   刚刚到店就觉得不对劲，没有酒店大堂，进入一楼，有多间商业机构，美容什么的也有，到处是喷绘字，宛如进入香港的红灯区。结果，这个地方果然“红”得可以，住了几天，每天有四五张卖春的小广告从门缝里进来。还多次接到电话：“先生，需要按摩吗？”恰好老婆也在，尴尬地无地自容。\r\n    作为工薪阶层，住300多的酒店已经算是高消费了，本来是改善旅游条件的意思，不料，还有这等事！酒店的宽带是每户一个的，几天', '短评打分': 1}
{'短评内容': '地理位置很好！性价比不错，朋友也觉得很好，推荐！', '短评打分': 5}
{'短评内容': 'The good :\r\n1) Convenient transportation.\r\n   * Very close to Subway station (Route #10)\r\n   * Bus stops are close by.\r\n   * Easy to get a Taxi.\r\n2) Supermarket is in 5min. walking distance.\r\n3) Many ', '短评打分': 5}
{'短评内容': '如果有其他選擇，應該不會住這裡了，房間設施有待改善，有糊弄的感覺。', '短评打分': 3}
{'短评内容': '地铁口出来就到，里面各种设备齐全，如洗衣机等，不到300元的价格算不错了', '短评打分': 5}
{'短评内容': '酒店靠近劲松地铁口，挺方便', '短评打分': 3}
{'短评内容': '位置很好，交通非常方便。个人出行推荐。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通便利，价格适中，干净舒适，适合差旅。', '短评打分': 3}
{'短评内容': '暖气不够，比较冷', '短评打分': 1}
{'短评内容': '设施齐全，干净整洁，交通便捷，服务热情。下次还会选择该酒店！', '短评打分': 3}
{'短评内容': '交通方便，出行顺畅。酒店卫生及服务都很好，价格公道，推荐！', '短评打分': 5}
{'短评内容': '交通实在很便利,而且还能洗衣服,好!', '短评打分': 5}
{'短评内容': '一直不喜欢公寓式酒店。', '短评打分': 1}
{'短评内容': '糗，前两晚，走错了，富顿与富尔顿离得也太近了吧？被同事开玩笑每天晚上睡在不同的床上。酒店不错', '短评打分': 5}
{'短评内容': '房间有家的感觉', '短评打分': 5}
{'短评内容': '實在不想對這家酒店再評論什麽了，除了位置，其餘都不值這個價錢。', '短评打分': 1}
{'短评内容': '酒店式公寓，地理位置很好，在地铁周边，小区楼下便利店，速食店都很方便。所入住的是酒店特价房，第一天的房间楼高很高，但是感觉房间不是很干净，因为可以看到是长租房的痕迹。整体评价还是很不错了。这个价钱在这个位置，也算不错了。\r\n服务态度不错。\r\n', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不能算真正的酒店公寓,完全是時租房的品質.除了位置不錯之外,其他都很一般.以後不會再住了.', '短评打分': 1}
{'短评内容': '位置靠近地铁，出行方便，楼下有超市，可以自行就近采购', '短评打分': 5}
{'短评内容': '交通方便，紧邻地铁站口,感觉还不错。', '短评打分': 3}
{'短评内容': '入住前是宾馆内部人在住，全是烟味，好在收拾好后没有了。\r\n本来是本着照片上的大电视去的，结果那电视还没我家的大呢...\r\n照片都是骗人的啊....早知道不定最好的房了。', '短评打分': 1}
{'短评内容': '酒店已经很旧了，最可恶的是居然不修。\r\n先从卫生间说起，淋浴龙头是坏的，上面下面都出水，浴巾是直接放在洗脸台上的，已经洗得非常旧呈乳白色的；洗漱用品居然没有最需要的浴帽；\r\n然后房间内，虽然有厨房，但是基本没有什么用，饮水机的水是要另外买的；房间内的灯，很暗，眼神不好的人找不到东西；窗帘是半透明的，根本遮不了光；写字台又小又破，用起来完全不舒服，椅子的脚是坏的，不留神能摔人；\r\n最经典的是空调，打', '短评打分': 1}
{'短评内容': '卫生还可以，设施一般，很吵休息不好，服务不错，地理位置交通也方便，', '短评打分': 3}
{'短评内容': '交通方便，紧邻地铁站口', '短评打分': 3}
{'短评内容': '交通方便，很喜欢！', '短评打分': 5}
{'短评内容': '服务一般，位置还可以', '短评打分': 1}
{'短评内容': '位置非常好，出门就是地铁站，交通十分便利。我个人认为如果一个人去北京旅游的话住在这里还是比较不错的。', '短评打分': 5}
{'短评内容': '喜欢公寓式酒店的居家感觉，但是这家的管理有点问题', '短评打分': 1}
{'短评内容': '这家酒店太差了，下次肯定不住，房间的卫生很不好，设施也很差，服务非常一般，性价比太差了，不值得推荐', '短评打分': 3}
{'短评内容': '是一家公寓式酒店!家人或商务人士值得选择!', '短评打分': 5}
{'短评内容': '位置不错，但卫生、服务、设施很不满意，用过的用品更换不及时、一次性用品不及时补充、水龙头冷热调节不好、空调噪音很大且运转不正常、网络线坏了两天才换个长度还不够连到写字台上、电话机像个玩具且连线移动就掉线、洗衣机是坏的、没有透光窗帘只有避光窗帘，而窗子面对住宅楼，白天只有把避光窗帘拉上开灯照明、沙发上成块的污渍、口杯从不消毒、床头灯灯没有开关靠插拔插头开灯和关灯等等。下次说啥也不住了。', '短评打分': 3}
{'短评内容': '交通方便，设施损坏不能及时维修，我住的房间淋浴头、网线、电话线都有问题。只有一层闭关窗帘，没有透光窗帘。由于是公寓酒店，服务很差。', '短评打分': 5}
{'短评内容': '绝对不会再去住了。在小区里，大堂只是小小的一间，收集一些投资客的出租房办的客房，最让人受不了的是居然有房产中介的人来看房，一点安全感都没有。', '短评打分': 1}
{'短评内容': '酒店就是地铁方便，其它没有什么可以值得称道的地方，服务不到位，北京下大雪，连基本的取暖的设施都没有，和其它地方的酒店公寓没法比，下次我肯定不会再住了！', '短评打分': 1}
{'短评内容': '态度恶劣，环境脏乱差，不卫生。\r\n工作因为自己工作的失误，诬陷客人拿酒店用品，态度极其不负责任。\r\n', '短评打分': 1}
{'短评内容': '酒店的位置的确不错，从机场过来非常方便，机场快轨换10号线出来就到。不过完全公寓式的服务，有点不是很适应。', '短评打分': 1}
{'短评内容': '交通很方便，出门就是地铁站', '短评打分': 5}
{'短评内容': '这家酒店性价比还是蛮高的,住起来挺舒适的,值得推荐', '短评打分': 3}
{'短评内容': '这个酒店总的来说很不错，设施非常齐全，而且可以观看城市夜景。价格也很合理。\r\n只是柜子坏掉了，能修一下就好了。', '短评打分': 5}
{'短评内容': '我感觉整体的环境还不错，我这次是帮助我的朋友选择的，朋友也很满意的', '短评打分': 3}
{'短评内容': '最大的特点是离地铁站太近了，出行是很方便的。卫生还有提升的空间，设施要是保养得再新点就完美了。', '短评打分': 5}
{'短评内容': '这个酒店位置挺好的，房间干净舒适，价格我们也能接受，就是有一点，我们那个房间的冰箱是坏的，其他都还不错。', '短评打分': 3}
{'短评内容': '还是挺不错的公寓式酒店。\r\n价格适中，环境也不错，服务的小伙也挺热情。', '短评打分': 5}
{'短评内容': '各方面都还不错！~', '短评打分': 5}
{'短评内容': '酒店设施一般，特别是没有配备橱具、洗衣粉等，与公寓酒店的卖点脱节。洗手间设施较差，特别是喷淋器。', '短评打分': 5}
{'短评内容': '家具、装修太差，楼内有住宿的、有开公司的、有当仓库的，人员混杂。', '短评打分': 1}
{'短评内容': '一进门便发现冰箱里有员工自己带的午饭，搞的冰箱有怪味，通知前台才有人来取！房间里没有DVD告诉我们说这间没有配备，但是却有DVD遥控器，后给我们挑了间房，没想到比前一见小很多，后又调回来又发现客房电话电话线一碰就掉，向前台反映，前台态度不诚恳，推卸责任找各种理由搪塞！', '短评打分': 1}
{'短评内容': '总体感觉环境不错，地理位置也好，值得推荐', '短评打分': 5}
{'短评内容': '位置很不错，地铁口旁边，价格适中，总体来说比较满意', '短评打分': 5}
{'短评内容': '我感觉环境很好，价格在北京也不高，和合适不错，值得推荐', '短评打分': 3}
{'短评内容': '属公寓式酒店，很有家的感觉，冰箱、洗衣机、微波炉等设施齐全。入住时免费升级为豪华标间，面积很大58平方左右。双床，一家三口住的很舒服。位于劲松桥东北角，富顿中心高档公寓，楼下有京客隆超市，买东西方便；有必胜客宅急送，可点快餐；有小火锅、西餐厅和中式快餐店（早饭很好吃）。\r\n就在地铁10号线上方，出门就是，出行很方便，2元钱一人，通很多地方。\r\n下次仍会选这里。', '短评打分': 5}
{'短评内容': '网速比较快，卫生间较干净，室内陈设和照片上的有些出入，沙发有点脏，家具略显陈旧。', '短评打分': 5}
{'短评内容': '这个酒店挺好的，里面的装修，环境都非常不错，服务人员态度也很好，价格也优惠，下次去还得住这。', '短评打分': 5}
{'短评内容': '酒店条件不错，就是位置不明显，当时找的了好长时间，住了之后感觉还不错', '短评打分': 5}
{'短评内容': '酒店作为公寓式酒店来说设施还可以,位置很好出行比较方便,卫生和服务都不错,性价比比较好,就是第一天住的房间味道比较大像是油漆味第二天换了其它房间就没有味了.', '短评打分': 5}
{'短评内容': '酒店交通好，地铁在楼下非常方便。就300元的价格来说性价比高。房间干净开间大。虽然在小区里，但这是高档公寓小区，环境优雅。推荐家庭旅行，甚至商务短期居住都不错。房间有厨房，在归来后可以热热牛奶饮料什么，做些简单餐饮，当然出门旅行也不要求自己动手做大餐。总之有居家气氛，尤其房间可以比拟商务套间开阔，和纯粹商务酒店房间有些局促大不同（当然是在相同价位比较而言）。\r\n缺点：前台和清洁员工少了一点，服务有', '短评打分': 3}
{'短评内容': '第一次选择酒店式公寓，感觉不错。入住时前台给予免费升级，由普通双床间升为标准双床间。我特意去看了原来预定的普通双床间，比较标准间空间梢微小些，但是很实用，各种功能都具备。300元不到的价格也很难得。只是前台服务人员少，接待时间长了一点。', '短评打分': 5}
{'短评内容': '第一次住这里赶上促销，价格200多，房间设施也不错，觉得比较理想，所以后来去劲松办事就又定在这里，可第二次就很不满意\r\n价格涨了很多，而且换了两个房间，一个门不好，一个空调坏的。最后确定的房感觉也有些小毛病没有处理，酒店管理水平不敢恭维', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通很好的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店的整体不错,服务卫生以及设施都可以的,酒店的位置很好的,交通很方便的,性价比不错的酒店,值得推荐入住', '短评打分': 5}
{'短评内容': '我來自台灣 回祖國住過很多酒店 從未碰到住酒店像富頓櫃台服務如此惡劣之品質 建議酒店老板用人三思  但是該員工若是皇親國戚或另有特殊關係 那我就不與置評了\r\n\r\n  ', '短评打分': 1}
{'短评内容': '感觉酒店很不错，干净整洁，服务也很周到，酒店旁边就有地铁，外出也方便，值得推荐', '短评打分': 5}
{'短评内容': '第一感觉不是很好，酒店在小区里面，一栋楼里有公司，还有住家，觉得不太好，而且入住的时候我只住一个前台要交1000多押金，别的还可以，比较干净整洁', '短评打分': 5}
{'短评内容': '此处交通方便,价格合理,安排一个管家更好.', '短评打分': 5}
{'短评内容': '就在地鐵站上方,雖然在北京東三環,出入搭地鐵到中關村還是很方便,房間各方面都不錯,有洗衣機對我這種商旅人仕非常省事,樓下前台的服務也很好,唯一可以挑剔的是地上總是有前人留下的頭髮(因為是長頭髮,絕不是我的).....\r\n ', '短评打分': 5}
{'短评内容': '除了地理位置可以【相对于在北京东南方向办事】，其他各方面都很一般！特别是前台服务员的素质、态度、业务水平都很差！！！下次不会去住的！！！', '短评打分': 1}
{'短评内容': '酒店位置很不错。又靠近地铁站', '短评打分': 5}
{'短评内容': '&lt;font size=&quot;2&quot;&gt;酒店交通超级好，&lt;font color=&quot;Red&quot;&gt;地铁就在楼下太方便了&lt;/font&gt;。服务也很好，还帮我买东西，房间很干净很大，夜景好美啊，因为周边的建筑都没这里高，建议大家去住时住的高一点，那里有27层呢，各方面都很满意，还有感谢那几个服务人员谢谢你们啊。&lt;/font&gt;', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '入住時進門地板和衛生間的門把手均已損壞，入住的房間非常沒有安全感。。而且地理位置相當差，以後再也不會住哪裏了。。', '短评打分': 3}
{'短评内容': '服务差、没有停车位，坚决不能再去住了。', '短评打分': 3}
{'短评内容': '我的评分怎么没有算入呢~~我刚在那住的~~', '短评打分': 3}
{'短评内容': '去欢乐谷玩的时候在那住的……本来不相信200元的价格在北京可以有这样的规格的酒店~~&lt;br /&gt;\n个人认为性价比很好，房间也非常舒适~~尤其是窗户的光线非常好~~&lt;br /&gt;\n尤其是晚上可以在坐在落地窗那喝酒聊天感觉很好……~~', '短评打分': 3}
{'短评内容': '本来可以给更好的评价，不过有些地方此酒店做的实在让人很生气。退房前一天已经通知前台，结果退房当天早上告知打印机坏了不能打印发票，又着急赶飞机，不可能等待太长时间，说是给邮寄过去，再三催促，发票总算寄出，结果还要快递到付，这明明是酒店的过失，却让我们来付帐，实在说不过去。除了这点，该酒店都比较好！', '短评打分': 1}
{'短评内容': '马马虎虎', '短评打分': 1}
