{'短评内容': '一般也只能是客气的了。', '短评打分': 3}
{'短评内容': '服务相当不到位。洗漱用品根本不是原装的一套，都是散的牙刷梳子，很明显是回收的顾客拆开未用的。毛巾浴巾都是很旧很旧的，上面污渍很明显，有点恶心，没办法自己去买的毛巾。服务员也不如别的如家店的服务员热情。', '短评打分': 1}
{'短评内容': '隔音效果太次了别的还可以，里面的装饰没有想象得好', '短评打分': 1}
{'短评内容': '住进来感觉还是不错的，就是门口的停车位太少了，中午结账的时候人很多。', '短评打分': 5}
{'短评内容': '房间挺干净，感觉不错，支持一下', '短评打分': 3}
{'短评内容': '挺好的，感觉比如家自由道店和汉阳道店要好。就是服务员态度比那边差多了。', '短评打分': 5}
{'短评内容': '价格合理，卫生条件不错，服务员服务也很好', '短评打分': 5}
{'短评内容': '前台一个男服务员服务态度非常差！而且就一个人！感觉不像如家！', '短评打分': 1}
{'短评内容': '非常好，舒服干净，重要得是价格便宜', '短评打分': 3}
{'短评内容': '房间还可以，电视有点太破烂。', '短评打分': 3}
{'短评内容': '房价非常不错，设施也可以，主要是位置方便', '短评打分': 3}
{'短评内容': '房间很温馨，比较舒适，前台服务好，周边环境不错，性价比一般。', '短评打分': 5}
{'短评内容': '昨天刚住的。淋浴的喷头挂不住，床头灯还有一个是坏的。对面房间的人打架，非常吵也没有人来处理。要是特价房就凑活了。180一晚是太不值了。一句话这酒店有点老了。', '短评打分': 1}
{'短评内容': '很好，热水的温度能保持非常稳定就更好了！', '短评打分': 3}
{'短评内容': '服务态度好。就是房间味道不太好。还是体谅一下工作人员。总之给个优评。', '短评打分': 3}
{'短评内容': '地点感觉比较偏僻\n房间还是很干净的,设施一般,花洒可能因为在6楼,\n水压力不够,所以很小\n早餐:12元,自助餐,实在是找不到可以吃的,咸是北方的特点\n高兴的是水果:东枣和西红柿,总算还能吃点\n', '短评打分': 5}
{'短评内容': '属于我需要的位置， 房间就是大众化，不大', '短评打分': 5}
{'短评内容': '环境很好。要的大床房，装修布置真跟家里很像。很舒适。唯一确定是隔音不是很好。', '短评打分': 5}
{'短评内容': '规规矩矩，没有好与不好，只是位置对我来说可以。', '短评打分': 5}
{'短评内容': '酒店紧挨这主干道，交通方便但是晚上睡觉非常吵，房间挺大，服务也很棒，如果睡觉不轻的朋友，我推荐这家酒店', '短评打分': 5}
{'短评内容': '服务不错。', '短评打分': 3}
{'短评内容': '干净 整洁宽敞  就是店内没吃饭的设施 有点欠缺', '短评打分': 5}
{'短评内容': '可以  不错可以  不错可以  不错可以  不错可以  不错', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好，下次还会去如家', '短评打分': 3}
{'短评内容': ' 还不错,房子空间比较大', '短评打分': 3}
{'短评内容': '还是比较便宜的，性价比还好吧，就是房间太小了\n', '短评打分': 5}
{'短评内容': '位置还可以，隔音不好。整体还算干净，不远有个公园不错', '短评打分': 1}
{'短评内容': '房间很小,凌晨去的说没有房间只好在外面酒店找了个房间', '短评打分': 3}
{'短评内容': '宾馆很舒服；服务很到位。', '短评打分': 3}
{'短评内容': '服务好，环境也很好！推荐！', '短评打分': 3}
{'短评内容': '周围环境很差，吃饭要走很远。房间有股霉味。', '短评打分': 1}
{'短评内容': '去过很多次,综合都不错,但是目前价位比以前高了..', '短评打分': 5}
{'短评内容': '挨着路边,太吵了.\n房间的纯净水差一天就过期了.', '短评打分': 1}
{'短评内容': '离北站很近，房间很干净，环境不错，服务态度也挺好。唯一的不足在于淋浴，水压较低，而且水温很不稳定，一会烫一会凉。总体来说比较满意', '短评打分': 3}
{'短评内容': '挺不错的，干净；服务也好；交通也还算方便；室内设备也全，有宽带，电视频道也多，有30个左右；热水也很稳定；\n就是毛巾有点次，不过相对132的房价（我是从网上定的）来说已经很不错了\n', '短评打分': 5}
{'短评内容': '如家快捷酒店（天津北站店）经常住这里，在这个位置上，性价比还算不错。 \n', '短评打分': 5}
{'短评内容': '房间设施不错，洗漱用具，澡巾也很卫生。周边环境很安静。整体不错', '短评打分': 5}
{'短评内容': '住的商务大床房,整体感觉不错,性价比还可以.就是床不太舒服.', '短评打分': 5}
{'短评内容': '房价相对偏移，离狗不理很近，周围还有百饺园不错', '短评打分': 5}
{'短评内容': '交通相对较为便利，周边吃饭也较为便利，总本上宾馆的性价比还是不错的。 ', '短评打分': 5}
{'短评内容': ' 很满意', '短评打分': 3}
{'短评内容': '还行，电视机不是液晶的。只能提供早餐，午餐和晚餐不能提供。服务员比较少感觉。', '短评打分': 5}
{'短评内容': '房间很干净很舒服，服务很好，服务态度好，性价比高。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间还可以,舒适温馨', '短评打分': 3}
{'短评内容': '设施陈旧，淋浴是坏的，隔音效果奇差，大半夜有人哭，大早上打扫房间的大妈就在楼道里大声喊叫，一点都不夸张！', '短评打分': 3}
{'短评内容': '地段好，房间很小，比较简陋，周围没有性价比更高的酒店了。', '短评打分': 5}
{'短评内容': '房间里气味有些大，似乎楼里还在装修有些吵，房间设施一般', '短评打分': 5}
{'短评内容': '  服务很满意，条件不错。', '短评打分': 3}
{'短评内容': '环境很好，很干净，很舒适，价格也还能接受，要是对我们这些老客户再优惠点该更好了', '短评打分': 5}
{'短评内容': '房间干净，和全国的如家差不多。价格偏高了些，还不含早餐。', '短评打分': 5}
{'短评内容': '还可以 房间很干净 床很舒服 价格还可以 房间很环保 空调很热~~隔音 还好吧~~拿着没有开封的洗漱 可以去换五十积分 仅限会员~环保做得不错 最后我的衣服掉了个扣子 要了个针线包 还可以的~', '短评打分': 5}
{'短评内容': '环境挺好，隔音稍差', '短评打分': 3}
{'短评内容': '前厅的服务员很耐心，态度也还不错，我们入住的房间是在2楼最边上，感觉有点噪音，房间也有点冷，但是入住的舒适度还不错，客房也很干净，一次性的卫生用品也很齐全，就是房间本身没有吹风机，需要到楼层服务员那里借用！总体来说很不错！下次还会继续选择那里去住！', '短评打分': 5}
{'短评内容': '还算不错了，性价比还是比较高的，服务员的服务水平有待提高。', '短评打分': 5}
{'短评内容': '目前我就习惯找这样的快捷酒店，感觉比较干净，出门在外就是想舒服的住一晚上，有热水可以洗澡。', '短评打分': 5}
{'短评内容': '还算不错了，性价比还是比较高的，下次来北站这边我还会选择这家酒店！', '短评打分': 5}
{'短评内容': '服务卫生都挺好，房间也挺宽敞的。不好之处就是感觉房间隔音效果很不好，隔壁小情侣唠嗑叽叽喳喳到半夜，真崩溃！', '短评打分': 1}
{'短评内容': ' 挺干净的', '短评打分': 5}
{'短评内容': '距北站仅500米,交通比较方便。酒店的服务员很热情。只是晚上休息时,感觉空调的外挂机声音有点大。', '短评打分': 3}
{'短评内容': '距北站仅一条马路之隔。前台的接待非常热情！', '短评打分': 3}
{'短评内容': '距北站仅一条马路之隔，有从北站上下车的朋友，可以考虑，非常方便。', '短评打分': 5}
{'短评内容': '酒店的被罩相对来说看起来有点旧，我知道如家的特点就是被罩不是白颜色的，以前刚住如家的时候确实觉得很舒服，连锁酒店住的过了，和其他的连锁酒店一对比就感觉如家的被罩什么的给人一种旧的感觉，也许是由于总洗的原因，被罩不怎么亮堂。其实这是如家连锁的通病。现在的连锁酒店这么多，七天，汉庭，还有山东的银座佳逸，真是一家比一家好，一家比一家干净亮堂整洁，每家的服务态度都好，要不是我去办事的地方离这家酒店最近，我', '短评打分': 1}
{'短评内容': '周边环境较安静~', '短评打分': 3}
{'短评内容': '比我以前在附近住的酒店要好很多，很干净，服务也还不错，值得推荐！', '短评打分': 5}
{'短评内容': '还不错的饭店', '短评打分': 5}
{'短评内容': '很干净。服务好。隔音一般。位置也一般。性价比好。建议选择。', '短评打分': 5}
{'短评内容': '就是地理位置不太理想,吃东西不方便', '短评打分': 5}
{'短评内容': '整体来说还算不错 当时住的房间很大  不过设备稍微陈旧了一些  而且楼里还有些气味 ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店还是不错的 有如家一贯的风格 就是位置稍微偏点', '短评打分': 5}
{'短评内容': '床稍微有点硬，房间的隔音非常的差，晚上在楼道走动的时候，能听到两边房间里的声音', '短评打分': 5}
{'短评内容': '一如既往的如家，就是卫生有点差，床单上有脚印没洗掉&gt;.&lt;', '短评打分': 5}
{'短评内容': '房间不错，订的是商务大床房，卫生也干净，就是房间不太隔音。交通还算可以，门口有公交车站点。就是附近吃饭不太方便，总之比价满意。', '短评打分': 5}
{'短评内容': '就是床不大舒服，能感觉到弹簧', '短评打分': 5}
{'短评内容': '还不错，是如家的品质。。。', '短评打分': 3}
{'短评内容': '如家的店总体上来说还是很好的～', '短评打分': 5}
{'短评内容': '离天津火车站挺近的，但吃饭问题还得另外解决，不是很方便，其他都还可以，毕竟200不到的价格，也不能要求太高', '短评打分': 5}
{'短评内容': '如家一如既往的风格，不错。', '短评打分': 5}
{'短评内容': '酒店一般，不符合160的价位', '短评打分': 1}
{'短评内容': '酒店很干净卫生，客房也很舒适，特别值得称赞的是酒店客房服务人员的态度非常和蔼和友善。', '短评打分': 5}
{'短评内容': '虽然经营时间较久，房间仍很舒适，设施比7天大气。位置很好，周边许多天津知名景点及小吃：劝业场、意大利风情区。。。', '短评打分': 5}
{'短评内容': '总体来说挺不错的~我朋友们住的也挺开心的~', '短评打分': 5}
{'短评内容': '推荐入住', '短评打分': 5}
{'短评内容': '房间布置挺温馨的', '短评打分': 5}
{'短评内容': '整体感觉还不错', '短评打分': 5}
{'短评内容': '设施有点老 房间太冷，而且居然连空调遥控器都没', '短评打分': 3}
{'短评内容': '位置较偏，交通不太方便，隔音不太好，其他条件都还不错！', '短评打分': 5}
{'短评内容': '环境和卫生都不错，床也睡的舒服~', '短评打分': 5}
{'短评内容': '性价比比较高,我住的特惠房,还可以.但是房间隔音不是很好.价位还可以.', '短评打分': 5}
{'短评内容': '床太差劲了，褥单太薄了，一摸到处都是弹簧！\r\n那么小个暖气片，空调开得足足的房间里还是冷得要命！\r\n挂衣服的架子都快掉下来了！\r\n服务也不好！早上明明打电话说过了延迟退房，结果12点前又打电话问！', '短评打分': 1}
{'短评内容': '没法说，订了两间大床房，一间房热水喷头不出水，被子薄的像被单，晚上没服务员，换被子都要跑到前台去说，保安给找的。拉开窗帘看不到外景，突出来的阳台放着装修的东西，估计放了N长时间，什么都看不到。黑乎乎的。另一间，卫生间的马桶上都有脚印，一直叫服务员，就是没人打扫。一直没去过卫生间。晚上一直有噪音，声音特大。像托拉机。很难入眠。\r\n唉，对如家我都无语了。', '短评打分': 1}
{'短评内容': '床单浴巾都黄了,该换掉了,床点子都塌了,睡一夜腰好酸,别的都还可以,地点稍偏,不太推荐住,毕竟住店最重要的是床嘛', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '总体还不错，就是停车费劲。', '短评打分': 5}
{'短评内容': '冷。其他不错', '短评打分': 5}
{'短评内容': '性价比很高 就是个人感觉有点冷~~~\r\n喜欢房间的布置。。。\r\n很舒适', '短评打分': 5}
{'短评内容': '粉红色的床单被套，鹅黄色的墙，感觉很舒服。唯一的遗憾就是地板没有铺地毯……', '短评打分': 5}
{'短评内容': '服务有点儿跟不上~~网速很慢~但是其他都非常好~性价比很高~~', '短评打分': 5}
{'短评内容': '很干净，就是停车不太方便', '短评打分': 5}
{'短评内容': '有点冷', '短评打分': 5}
{'短评内容': '各项都不错，，就是空调遥控器在服务员手里，房间没有，不太方便，，', '短评打分': 5}
{'短评内容': '性价比很高的酒店，住着也很舒服', '短评打分': 5}
{'短评内容': '离北站很近。服务热情，干净整洁。价格不贵', '短评打分': 5}
{'短评内容': '和别的城市如家一样，推荐入住。', '短评打分': 5}
