{'短评内容': '酒店不错，住了好几次了', '短评打分': 5}
{'短评内容': '那么冷的天客房中央空调白天晚上吹出的居然均是冷风，第三天才给了个电取暖器。早餐尚未结束就关闭餐厅的空调。自助早餐差，4个月始终未见改进，原先尚不错的咖啡现在是淡而无味。近4个月内我住过三次，但下月再去义乌或许得换一家宾馆了。\nElong价238元但总台的优惠价仅288元。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店的工作人员服务态度非常亲切 房间也够宽敞 大环境也不错 闹中取静 吃饭非常方便 就是附近没有商场 必较不方便 总的来说 非常对得起这个价钱 很好', '短评打分': 5}
{'短评内容': '设施都不错，就是地点比较偏，但离展览城比较近。', '短评打分': 5}
{'短评内容': '住16楼仍可闻夜总会的轰鸣声。早餐不行，只有咖啡好。\n大床房比隔壁富垣的大，干干净净。但打扫不及时，拖鞋忘了补充，穿了三天。', '短评打分': 5}
{'短评内容': '＋层高不太高，有点旧，但设施比较齐全，还比较干净，总体还是可以的。', '短评打分': 3}
{'短评内容': '很现代，时尚的酒店。服务不错！不过空间真的太小，世博期间这个价位还是很值的', '短评打分': 5}
{'短评内容': '退房时员工态度不好！虽然是晚上，住过两次总体还不错！设施旧了，床很硬！', '短评打分': 5}
{'短评内容': '不错的酒店，值得，价格合理，位置较好向大家推荐啊', '短评打分': 3}
{'短评内容': '还可以，服务也可以，出行去义乌小商品城比较方便', '短评打分': 3}
{'短评内容': '酒店还可以，服务态度较好，在义乌属于市中心地带，下次还会住。', '短评打分': 5}
{'短评内容': '火车站乘804路至时代广场可达，方便。\r\n客房卫生间等均干净。我住13楼沿街的房，还算安静。但自助早餐差且几乎不补充，8时后没什么可吃。\r\n14时退房。\r\n下个月去义乌会试住对面的富桓，看看那个性价比高。\r\n', '短评打分': 5}
{'短评内容': '酒店很干净，舒服。服务很好，周围环境不错。', '短评打分': 5}
{'短评内容': '性价比不高 在义乌只要168就可以住差不多档次的很多旅馆了', '短评打分': 3}
{'短评内容': '性价比一般', '短评打分': 5}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我客户住过', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '还不错，就是觉得床硬了点', '短评打分': 5}
{'短评内容': '很不错，性价比还是挺高的', '短评打分': 5}
{'短评内容': '总体来说很舒适，各方面服务都很到位，地理位置也很好。\r\n早餐有些不满意，西餐厅很小，牛奶豆浆跟白开水一样。', '短评打分': 5}
{'短评内容': '离义乌国际会展中心非常近。房间设施很齐备，观景房可以看到整个义乌的风景。很满意', '短评打分': 5}
{'短评内容': '舰洋酒店的服务，卫生，设施等很不错，今后如去义乌还选这家酒店', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '不错！还是很好。。。', '短评打分': 5}
{'短评内容': '住的单间￥238房，绝对没有介绍说的40平米面积大，没有浴缸，卫生间也比较小。离国际商贸城很远，步行根本不行，打车20多分钟，位置不好。下次不会住。', '短评打分': 1}
{'短评内容': '位置好,价格也算好', '短评打分': 5}
{'短评内容': '酒店比较新，装修风格是我喜欢的简约风格。就是卫生间好像小了点，其他都挺满意的。如果价格能更优惠点就更喜欢啦O(∩_∩)O~', '短评打分': 5}
{'短评内容': '楼下有KTV，9楼以下都比较吵，低音振的晚上休息都不是很好，其它还行，交通方面还比较便利，价格方面也还合理', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '楼下的KTV闹是个问题，我住9楼有这样的问题，可能15层左右没这情况吧！到福田商贸区出租车10元，到会展中心6元。到宾王商贸区8元，还是比较方便的！早餐一般！', '短评打分': 5}
{'短评内容': '楼下ktv有点吵', '短评打分': 5}
{'短评内容': '上次是参加展会，这家酒店挺近的，走路大概15分钟左右就能到展览中心，酒店本身环境也比我想的好，感觉还不错，值得推荐', '短评打分': 3}
{'短评内容': '酒店在老城区，出行不是很方便，房间的卫生和设施还是不错的，酒店服务人员都比较专业，我觉得很周到也很热情，性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '酒店服务很好,卫生也很干净,交通方便,就是床有些硬,睡的不舒服,其他地方都没有问题,值得推荐的一家酒店.', '短评打分': 3}
{'短评内容': '酒店的总体来讲都挺好的,服务卫生以及房间的设施设施都非常好的,酒店的位置不错离我办事的地方很长近的,性价比不错的酒店的\n', '短评打分': 5}
{'短评内容': '总体还可以，就是感觉房间没有描述的那么大，也就三十平方米左右吧，应该没有42平米。别的还不错。', '短评打分': 5}
{'短评内容': '性价比还是比较高的.交通也很方便.', '短评打分': 5}
{'短评内容': '酒店的整体环境以及服务都还好,卫生也很好,交通也很方便,价格也比较优惠,很不错', '短评打分': 5}
