{'descr': '拉紧的一逼', 'star': 1}
{'descr': '很不错的酒店 物美价廉 整洁干净 就是房间有点小', 'star': 5}
{'descr': '很不错的酒店 物美价廉 整洁干净 就是房间有点小', 'star': 5}
{'descr': '卫生干净，环境舒适，交通方便。在马路边是上，就是早上有吵，不多对我这种一觉起来才发现外面果然很吵的人来说无所谓了。下次有机会去的话，还会住那里。', 'star': 3}
{'descr': '卫生干净，环境舒适，交通方便。在马路边是上，就是早上有吵，不多对我这种一觉起来才发现外面果然很吵的人来说无所谓了。下次有机会去的话，还会住那里。', 'star': 3}
{'descr': '还不错\n～～落枫叶', 'star': 3}
{'descr': '还不错\n～～落枫叶', 'star': 3}
{'descr': '在南京是第一次住，以前在别的地方住过感觉不错所以去南京也住的这，比较郁闷的是一次性拖鞋和牙刷牙膏是要自己在售货机里买的，其他都差不多。', 'star': 3}
{'descr': '在南京是第一次住，以前在别的地方住过感觉不错所以去南京也住的这，比较郁闷的是一次性拖鞋和牙刷牙膏是要自己在售货机里买的，其他都差不多。', 'star': 3}
{'descr': '同行的朋友之前就住过这里，感觉还是很不错滴，空间利用率很高。要是能在房间里放个拖鞋就最好了。', 'star': 5}
{'descr': '同行的朋友之前就住过这里，感觉还是很不错滴，空间利用率很高。要是能在房间里放个拖鞋就最好了。', 'star': 5}
{'descr': '好小啊', 'star': 3}
{'descr': '好小啊', 'star': 3}
{'descr': '前台说话办事干净利落，房间虽小五脏俱全，和好友入住感觉还不错，交通十分便利，离地铁口特别近', 'star': 5}
{'descr': '前台说话办事干净利落，房间虽小五脏俱全，和好友入住感觉还不错，交通十分便利，离地铁口特别近', 'star': 5}
{'descr': '酒店不错,离南京地铁1号线张府园站2号出口非常近!房间虽然很小,但是感觉很温馨,下次还会来住的!', 'star': 5}
{'descr': '酒店不错,离南京地铁1号线张府园站2号出口非常近!房间虽然很小,但是感觉很温馨,下次还会来住的!', 'star': 5}
{'descr': '位置稍微有点远，地铁应该坐到张府园而不是新街口，公交站叫三元巷，房间有点小只有八平，价格略高。', 'star': 1}
{'descr': '位置稍微有点远，地铁应该坐到张府园而不是新街口，公交站叫三元巷，房间有点小只有八平，价格略高。', 'star': 1}
{'descr': '经常住，挺好的', 'star': 3}
{'descr': '经常住，挺好的', 'star': 3}
{'descr': '小是小了点，不过床挺舒服的，3个人睡高低床一点也不挤', 'star': 5}
{'descr': '小是小了点，不过床挺舒服的，3个人睡高低床一点也不挤', 'star': 5}
{'descr': '位置很方便，旁边就是地铁口，房间设备比较简单，但还算干净~', 'star': 5}
{'descr': '位置很方便，旁边就是地铁口，房间设备比较简单，但还算干净~', 'star': 5}
{'descr': '麻雀虽小   五脏俱全    卫生标准和安全标准 服务标准都和七天一个层次的  就是房间太小了   不过价钱也比较便宜   但是总的说来   性价比不算高     附近有苏果超市   还有一个小市场    可以买生活用品  还有食物    门口就是地铁站   交通十分方便  但是酒店不提供洗漱用品     要自己买     ', 'star': 5}
{'descr': '麻雀虽小   五脏俱全    卫生标准和安全标准 服务标准都和七天一个层次的  就是房间太小了   不过价钱也比较便宜   但是总的说来   性价比不算高     附近有苏果超市   还有一个小市场    可以买生活用品  还有食物    门口就是地铁站   交通十分方便  但是酒店不提供洗漱用品     要自己买     ', 'star': 5}
{'descr': '很方便，还不错，就是房间小了点。\n一出地铁口3号，就看到了', 'star': 5}
{'descr': '很方便，还不错，就是房间小了点。\n一出地铁口3号，就看到了', 'star': 5}
{'descr': '就是房间小点 靠马路边的房间会有点吵 但以后还是会一直支持的', 'star': 5}
{'descr': '就是房间小点 靠马路边的房间会有点吵 但以后还是会一直支持的', 'star': 5}
{'descr': '地理位置是很好，公交地铁什么的都挺方便~还算干净，可是房间太太太小了，有种压抑感，不知道南京同价位的酒店是否都这样', 'star': 1}
{'descr': '地理位置是很好，公交地铁什么的都挺方便~还算干净，可是房间太太太小了，有种压抑感，不知道南京同价位的酒店是否都这样', 'star': 1}
{'descr': '房间出乎意料的小，不过还算干净，不提供洗漱用品。住下后发现窗纱是坏的，夏天可能会有蚊子。电视安装的位置太高了，坐在床上看不清内容。一句话，不要有太多的奢望，附近比较繁华，吃饭还算方便，去新街口也不远。原来以为和锦江之星是一家，后来才发现不远处就有一家锦江之星的旅馆。', 'star': 1}
{'descr': '房间出乎意料的小，不过还算干净，不提供洗漱用品。住下后发现窗纱是坏的，夏天可能会有蚊子。电视安装的位置太高了，坐在床上看不清内容。一句话，不要有太多的奢望，附近比较繁华，吃饭还算方便，去新街口也不远。原来以为和锦江之星是一家，后来才发现不远处就有一家锦江之星的旅馆。', 'star': 1}
{'descr': '房间也太小了吧..三个人住高低铺还真的..女生还好. 男生根本受不了.', 'star': 1}
{'descr': '房间也太小了吧..三个人住高低铺还真的..女生还好. 男生根本受不了.', 'star': 1}
{'descr': '环境卫生还不错，工作人员态度也挺好，就是拖鞋什么的还要自己买麻烦点', 'star': 3}
{'descr': '总体还行，就是隔音效果不太好', 'star': 3}
{'descr': ' 高低铺很可爱 下铺够两个人睡觉 房间很小 设计得很紧凑 电视挂在墙上 拖鞋要自己买 一元一双 性价比还可以 没有锦江之星大气', 'star': 3}
{'descr': '百时快捷的酒店麻雀虽小，五脏俱全，但不提供洗漱和拖鞋，所以入住前尧自己准备好，但价格适中，所以我很推荐住这样的酒店。而且早上有当天最新的免费报纸看，不错，服务蛮温馨的。', 'star': 5}
{'descr': '离地铁口只有20米，非常方便，门口就有公交车，坐3站就到夫子庙。百时快捷价格实惠，适合年轻人外出旅游，很棒。', 'star': 5}
{'descr': '百时一般。床感觉不是特别干净。离夫子庙还蛮近的。', 'star': 3}
{'descr': '距离地铁站很近，出行方便\n房间较小，打扫得还算干净\n隔音不好', 'star': 5}
{'descr': '交通非常方便，出门50米有地铁，到南京站和南京南站都不过7站。门口50米内还有公交站，到夫子庙，雨花台，中华门可以乘公交，总统府可以坐地铁。到新街口直接走过去10几分钟。\n四通八达，而且房间干净，有上网的小吧台，房间内有网线，大厅有免费的报纸，周边还有小超市、水果店，旅行社和吃饭的地方，大概都在200米内，性价比很高。值得推荐。', 'star': 5}
{'descr': '布局什么的和锦江之星很像啊。定的房间有窗，但是沿街的，所以很吵。厕所浴室竟然都是透明的。牙刷、拖鞋等都需另行购买。', 'star': 5}
{'descr': '房间卫生很好，就是空间小了点，还有靠街道的太吵，晚上噪音很大，整个晚上都是马路上的车声，建议容易失眠的人别选择靠街道的。', 'star': 5}
{'descr': '经常住这家 很不错的！！干净是最关键的！！！', 'star': 5}
{'descr': '干净、安静、热水24小时供应、床很舒服……适合短期出差或游玩……\n总之……就是一句话……麻雀虽小、五脏俱全……\n还有一个好处，地点很好……交通方便。\n总体而言很不错！很满意！！！', 'star': 5}
{'descr': '挺好的，交通方便。', 'star': 3}
{'descr': '房间小，隔音差，拖鞋，洗漱用品还需自己购买！！！', 'star': 1}
{'descr': '很方便的，除了地铁口就到了，就是房间小了一点，不过相对于价格来说，真的很不错了', 'star': 5}
{'descr': '酒店的地理位置还是很不错的，酒店附近就是张府园地铁站，出行很方便。酒店设施也可以，空调很给力。不足之处在于卫生间太窄，简直难以转身。另外酒店算是地处闹市，深夜车来车往比较闹，睡眠浅的人预定前可要三思。', 'star': 5}
{'descr': '基础设施还可以，唯一的缺点就是晚上睡觉有点吵，或许是我选的房间问题', 'star': 5}
{'descr': '地理位置很好，出门就是地铁，走几十米就是羊皮巷。房间虽小但是很舒适。', 'star': 5}
{'descr': '床是住过的旅店里最舒服的，价格也合适，以后有机会要试试榻榻米的', 'star': 5}
{'descr': '酒店很干净，环境很好，交通很便利，不足的就是房间有点小，不提供洗漱用品。', 'star': 5}
{'descr': '不错的酒店，离张府园地铁站几步之遥，附近有好几个苏果超市，总之方便', 'star': 5}
{'descr': '总体感觉不错，干净，清爽，我住的单间，感觉地方不太大，周末价格有点高', 'star': 5}
{'descr': '干净 但房间太小 位置不错在地铁站附近~~~~', 'star': 1}
{'descr': '整体比较干净清爽，新开的，设备都比较好。\n靠近新街口，交通方便，离小吃街很近。', 'star': 5}
{'descr': '环境不错，就是在马路上的确很吵，毕竟属于闹市区。就是一次性洗漱用品没有，不过楼下服务台，你可以和她要。以为双人房很小的，进去一看，还挺大。', 'star': 5}
{'descr': '好地方哈哈哈哈哈哈哈哈      位置好   方便  ', 'star': 5}
{'descr': '地段不错，出门过马路就是地铁站。就是经济酒店，房间里牙刷浴巾杯子什么的都没有，很不方便。房间空间小了点。', 'star': 5}
{'descr': '虽然房间比较小，但是真的很好住···空调一开，屋里边特别暖和，值得一提的是，洗澡水超级给力···', 'star': 5}
{'descr': '太小了吧.... 什么都要自己买  旅行的人不太方便住啊', 'star': 1}
{'descr': '属于自助式的hotel，空间最大化的利用这样节省的可以在房费里体现。挺不错的，麻雀虽小五脏俱全。服务也很好。', 'star': 5}
{'descr': '对于去南京旅游的人来说   是最好的选择   离新街口 夫子庙 不行只要十分钟   而且 离地铁站只有20米的距离     干净     房间小 但什么都不缺  ', 'star': 5}
{'descr': '还不错 出差常驻了，干净，便宜，还有返利啊', 'star': 5}
{'descr': '单人间A尽管很小很小，但是麻雀虽小五脏俱全，网速大约4M的带宽，还可以，而且最值得一提的是，很干净卫生，很好，而且再新街口139的价钱已经很不错了，很好，下次还会选择这里', 'star': 5}
{'descr': '很好。真的很好。高低铺的更划算。下床很大。床也很软。最重要的是干净，服务好。就算没有拖鞋等小东西我也觉得很好。经济划算。', 'star': 5}
{'descr': '自助式酒店， 房间没有拖鞋和电话，没有大浴巾、个人用具。经常个人出差的比较合适。\n酒店干净卫生，设置使用方便。', 'star': 5}
{'descr': '虽然小，但是很温馨哦～适合年轻人住。但是，一次性的牙膏牙刷拖鞋需要自己另行购买，不太方便，希望改进。', 'star': 5}
{'descr': '总体来说还不错，环境很好，出行也方便！住了一段时间，挺满意！', 'star': 5}
{'descr': '自助式酒店，设施较新，干净，地理位置极佳。出行方便。上楼和入电梯都要刷房卡感觉安全。房间很迷你但也够用了。不足是毛巾有馊味，洗发沐浴液服务员没有检查，洗澡用时发现是空的了。', 'star': 5}
{'descr': '地理位置很好，离地铁站很近，就是房间小了点', 'star': 3}
{'descr': '地理位置相当好，地铁2号出口，出来往回走20米就是，酒店服务态度不错，楼下有电脑能上网，还有无线网络，酒店比较干净，热水和空调都很给力，唯一的缺点就是房间太小了。', 'star': 5}
{'descr': '小而温馨，推荐小情侣入住，价格公道，交通方便，走走就到市中心', 'star': 5}
{'descr': '环境还不错', 'star': 3}
{'descr': '房间虽小但很干净，比较安全，地理位置好，出门有地铁口。就是没有拖鞋，快捷酒店还是比较不错的。', 'star': 5}
{'descr': '房间实在太小了房间实在太小了房间实在太小了房间实在太小了', 'star': 1}
{'descr': '房间空间虽说小了点,到卫生和服务还是较好的，热水很热也很大!下次来这出差还会住', 'star': 3}
{'descr': '预定很方便，服务态度好，交通便利', 'star': 3}
{'descr': '地段挺好，在南京市中心，交通方便，离地铁站也进。价格也比较合理，就是房间比较小，但挺干净，性价比不错。', 'star': 5}
{'descr': '没有反现30元', 'star': 3}
{'descr': '室内干净，整洁，就是没有拖鞋，不过还可以，', 'star': 5}
{'descr': '室内干净，整洁，就是小了点，服务态度很好。98%', 'star': 5}
{'descr': '虽然很袖珍，但是设备齐全。很好，下次还会来。', 'star': 5}
{'descr': '总体不错，订的高低铺床感觉不太结实，上铺翻个身下铺都能被晃醒。而且觉得服务没有海友人性化，吹风机少，还要下楼借，而且还要交100的押金。', 'star': 5}
{'descr': '很独特，低碳，干净，清爽，可惜没有一次性拖鞋提供，适合团体自助游的人。', 'star': 5}
{'descr': '服务态度不错，环境干净整洁，交通便利，总体上不错。', 'star': 3}
{'descr': '房间小了点儿，没有牙刷拖鞋没的提供，但是有售货机可以买，一元一样', 'star': 3}
{'descr': '挺好的 就是空间小了点 还有数字电视是假数字电视  挺搞笑的', 'star': 5}
{'descr': '  让人崩溃的网络，才几K的速度。服务态度可以，就是楼象危楼，房间什么也没有', 'star': 3}
{'descr': '不错  就是靠窗有点吵，比较喜欢他们的大堂还有提供的行李免费寄放服务', 'star': 5}
{'descr': '酒店服务很好.环境也不错.很好', 'star': 3}
{'descr': '酒店很干净，服务不错，出行很方便，门口10米左右就是地铁和公交站', 'star': 5}
{'descr': ' 设施还行，房间有些狭小。总体来说对得起这个价钱', 'star': 3}
{'descr': '地理位置极好，地铁口，房间干净，单人出差好选择。', 'star': 3}
{'descr': '酒店出门就是地铁张府园站二号出口，出行挺方便，除了房间内没电话，隔音效果差些，其他都还不错', 'star': 3}
{'descr': '很温馨，给人的出行带来很多便捷。选择百时既经济有惬意', 'star': 5}
{'descr': '房间小了点，但环境非常不错淋浴和卫生都很好，地理位置很理想', 'star': 5}
{'descr': '地理位置便利，离地铁张府园站特别近，酒店设置比较新，干净整洁，比较符合年轻人的时尚心理。', 'star': 5}
{'descr': '酒店整体感觉不错，迷你卫生，价位也还算合适。对于在外出差住宿还是不错的一个选择。', 'star': 5}
{'descr': '干净整洁但很小', 'star': 3}
{'descr': '位置极佳，价格低廉，隔音很差。性价比还可以', 'star': 5}
{'descr': '地铁站口，干净卫生，服务态度好\n闹中取静', 'star': 5}
{'descr': '满意满意！温馨温馨！！赞！！！老客户了！', 'star': 3}
{'descr': '感觉很不错，比较干净卫生，就是能提供拖鞋就更好了', 'star': 5}
