{'短评内容': '安静', '短评打分': 5}
{'短评内容': '一。25日下午携全家入住该酒店三人间，办理完入住手续后该酒店唯一的一部电梯因故检修无奈减肥爬楼（服务员窃喜）。\n二。打开房门后一股霉臭气味扑面，快速打开窗户方能呼吸。\n三。焦作夜晚气温极高不得已使用空调，熟睡之中忽被一阵水滴打脸惊醒（空调排水管堵塞）被褥已湿局部，睡意全无。\n四。该酒楼与小肥羊火锅共用一路动力电，电压不稳定客房内空调、电视、照明极不稳定。\n五。感谢该酒店的不实宣传，借我一双慧眼吧。', '短评打分': 1}
{'短评内容': '只能说一般吧，早饭很差，其他该有的也都有了，但是价格觉得不是很实惠~', '短评打分': 5}
{'短评内容': '房间很大，地理位置优越，价格便宜，性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '房间很大，交通便利，价格便宜，一点小小的不足是服务还需要进一步的提高', '短评打分': 5}
{'短评内容': '房间很大，地段很好，离市政府三分钟，但服务还要进一步提高', '短评打分': 3}
{'短评内容': '环境、设施一般，地理位置尚可，还算干净，性价比一般', '短评打分': 5}
{'短评内容': '非常差！下次打死也不住了！地面地毯全是烟洞，被子比较脏，夜里蚊子满处飞，也没有准备熏蚊器，最郁闷的是早上9点-11点停电2个小时，前台经理说这是供电局弄得，我们也没辙！', '短评打分': 1}
{'短评内容': '舒适，整洁。就是吵点，但地理位置，包括设施空间，都不错。下次还去', '短评打分': 5}
{'短评内容': '  本人住的503，发表一下个人看法。\n  优点：1.房间够大.2.清洁阿姨人很好。\n  缺点：1.有老鼠，晚上在吊顶上跑步加喊口号。2.卫生间没有门，所以空气不太好，还有点潮湿。3.固定电话故障，不能使用。4.离电梯比较近，人过往比较多，不安静，早上想睡懒觉的不要选择这间。\n 总结：和所说的五星级还是有点差距的，希望改进，建议入住的尽量不要选择这间。\n\n ', '短评打分': 1}
{'短评内容': '酒店房间大，空调小不协调，冬天最好不要入住。门缝过大，密封不严。早餐的汤做的还是比较可口是热的，其它饭菜就没什么说的了', '短评打分': 5}
{'短评内容': '优点：酒店是新装修的，房间超大，床也不错，服务员的态度也还好\n缺点：装修的略显粗糙，地毯很脏没有更换，楼下就是小肥羊火锅店，虽然说吃饭方便了，可是房间里全是火锅的味道有点难以忍受。', '短评打分': 5}
{'短评内容': '房间很宽敞，卫生条件好，收拾的干净整洁，这里的住宿环境不错，服务也很到位', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间打扫的很干净，硬件设施很齐全也很新，装修风格比较简洁，隔音效果很好，舒适度不错', '短评打分': 5}
{'短评内容': '服务态度倒是可以，不过一看酒店就是败絮其中，真不想在去了，窗户漏了好大的缝子，冷死', '短评打分': 1}
{'短评内容': '房间挺大的，这里的服务态度不错，硬件齐全，性价比高，环境很好', '短评打分': 5}
{'短评内容': '酒店房间较大，硬件设施不是很好.服务态度很好！ \n', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '硬件设施不是很达标.位置有点偏,不过周边交通还算方便.服务态度还不错挺热情的,', '短评打分': 3}
{'短评内容': '酒店房间较大，但窗户封死的打不开，不利于通风。卫生间没有电源插座，房间隔音差。早餐较差。性价比很一般。', '短评打分': 3}
{'短评内容': '房间不错，独立空调，床很舒服，就是早餐惨点。对面丹尼斯百货第三层就是大超市。', '短评打分': 5}
