{'短评内容': '没梳子，牙膏像好久了，我重新买新的，隔音效果太差了', '短评打分': 5}
{'短评内容': '还可以的，我住的是325房间，不临街，而且有窗。屋顶有比较严重的漏水水渍迹象，但是因为我去的那几天都是晴天，也就是不好看，其他都还好，房间是大床房，我一个人住挺好。宾馆楼下后面是个菜场，早晨吃水果，早餐各方面方便。往前走10分钟是梅花园地铁站。总体来说，我觉得还可以的。3晚384，券90.我觉得还是挺划算的。', '短评打分': 5}
{'短评内容': '和同价位的其他酒店相比，该店都无可挑剔，美中不足的是，由于临近大马路，有时候感觉很吵。', '短评打分': 5}
{'短评内容': 'very dirty, there is a xiaoqiang in the room.', '短评打分': 1}
{'短评内容': '房间比较干净，近梅花园地铁站。总体良好。', '短评打分': 5}
{'短评内容': '地点不是很近地铁，选的房间是精品大床房，设施还将就，不过价格比较实惠。', '短评打分': 3}
{'短评内容': 'ok，地点也不算边缘，不过周围吃的地方没有很多，不过也不贵', '短评打分': 5}
{'短评内容': '非常干净，离天河广场非常的近，离天津交易团的天虹宾馆只有10块钱的打车费，广交会期间才208元超值，下次还定这一家。', '短评打分': 5}
{'短评内容': '交通很方便，前台的女服务人员都很有礼貌，每次进门都问好！', '短评打分': 5}
{'短评内容': '价格超值了，设施环境都挺好的，卫生服务也很到位。', '短评打分': 5}
{'短评内容': '价格不贵 服务挺好 交通方便 环境凑活 价格不贵', '短评打分': 5}
{'短评内容': '还不错，比较安静。隔音效果也不错', '短评打分': 3}
{'短评内容': '服务还可以，就是周边比较荒凉，距离主要商业区较远，去的时候四点半左右，还堵了车', '短评打分': 3}
{'短评内容': '酒店还不错噢～尤其是空调可以制暖～那晚睡得真是舒服啊～不过就是有点吵，因为外面就是大马路来的～不过总体来说还是很好的', '短评打分': 5}
{'短评内容': '一般，大床房空调不制暖。', '短评打分': 3}
{'短评内容': '环境很差，房间很小，交通不方便，离市中心很远。', '短评打分': 1}
{'短评内容': '这家价格超值了，设施环境都挺好的，卫生服务也很到位。可以推荐入住。', '短评打分': 5}
{'短评内容': '酒店还可以了，就是安排的房间没有窗子，不是很满意，其它也都还好。', '短评打分': 3}
{'短评内容': '地理位置不是很好，设施环境包括卫生做的都很好。', '短评打分': 3}
{'短评内容': '房间很宽敞，出行也很方便，卫生服务都很规范，很不错的连锁酒店。', '短评打分': 5}
{'短评内容': '房间很舒适布置的很温馨，卫生环境也很好，下次过去还是会入住这家。', '短评打分': 5}
{'短评内容': '酒店环境设施都还不错，房间打扫的野蛮干净的，就是隔音稍微有些差。', '短评打分': 3}
{'短评内容': '酒店很干净，就是隔音效果有些差，其它也都比较达标。', '短评打分': 3}
{'短评内容': '很不错的一家连锁酒店，房间宽敞舒适，卫生很好的酒店。', '短评打分': 5}
{'短评内容': '地理位置一般，不是很方便出行，房间布置的很好，简单别致。', '短评打分': 3}
{'短评内容': '文星酒店的性价比很好，设施配置齐全达标，可以推荐入住。', '短评打分': 5}
{'短评内容': '环境还行，服务质量不行', '短评打分': 3}
{'短评内容': '环境可以，房间相对比较少。位置有点偏，比较难找。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，很干净也很舒适，离公交车站也很近，出行方便', '短评打分': 5}
{'短评内容': '感觉房间有点陈旧，设施一般。就是想不明白，牙膏牙刷不提供就算了，怎么连小毛巾也没有。', '短评打分': 5}
{'短评内容': '整体还行吧，就是自己买牙刷。。。停车不太方便，别的没什么', '短评打分': 5}
{'短评内容': '房间霉味较重，注重睡眠质量的请自觉绕行\r\n我住的是大床房，1.8米的，宽的，很舒服，不过房间设施很简陋，桌子上有一根宽带接口，不知道是不是能上网，如果有谁有兴趣可以去试试。\r\n哦对了，房间是不配牙膏毛巾的，要掏钱在前台买，大家掂量一下吧', '短评打分': 5}
{'短评内容': 'ok,  not bad\r\n不錯', '短评打分': 3}
{'短评内容': 'OK for this price and location', '短评打分': 5}
{'短评内容': '没有停车费比较麻烦，服务环境都不错', '短评打分': 3}
{'短评内容': '没有停车费开车的朋友就比较麻烦', '短评打分': 5}
