{'短评内容': '位置便利，房间干净，服务好，很满意，赞赞赞赞！', '短评打分': 5}
{'短评内容': '房间不大但很别致，188略贵！交通还算方便，毕竟在闹市区，逛街也不需要走很远。哈哈！', '短评打分': 3}
{'短评内容': '酒店服务、设施、位置各方面都还不错，价格也还不贵，值得推荐', '短评打分': 3}
{'短评内容': '挺不错的\r\n每次去都是住的莫泰168，服务挺好的', '短评打分': 3}
{'短评内容': '房子挺不错，每次住的都得很舒服，就是临街的房间稍微吵一些。', '短评打分': 3}
{'短评内容': '酒店位置挺好，离火车站和飞机场交通都很方便。', '短评打分': 5}
{'短评内容': '来武汉了几次都是住的这个地方，挺不错，每次都是在网上提前订的，送的自助早餐挺不错', '短评打分': 5}
{'短评内容': '房间不大但布置还不错！', '短评打分': 5}
{'短评内容': '怎么才送一个早餐券', '短评打分': 5}
{'短评内容': '+武汉民意店：前台服务态度太差，总经理对顾客的意见不重视，整体感觉太差了。', '短评打分': 3}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '还可以~地理位置在闹市区，汉口的中心地段', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境不错！房间没食品不方便', '短评打分': 5}
{'短评内容': '酒店住房很好。', '短评打分': 5}
{'短评内容': '感谢你们为我预订宾馆房间布置我很满意服务态度很好', '短评打分': 5}
{'短评内容': '房间隔音效果差，其他房间的声音会传过来！房间打扫不及时！还有不是莫泰的会员只能12点退房！这一点太不公平了！难道从ELONG的客户就不是客户了么?还是ELONG有问题？期待解决！！！！', '短评打分': 1}
{'短评内容': '酒店设施卫生情况都还不错，就是隔音差点。考虑到位置好，离火车站和机场巴士点都不远，挺方便的', '短评打分': 3}
{'短评内容': '酒店位置很好，服务也还不错，就是隔音差一点，楼道里响声都能听见 ', '短评打分': 5}
{'短评内容': '实惠型酒店,就是缺少些卖品部', '短评打分': 5}
{'短评内容': '+酒店不错，性价比高！', '短评打分': 5}
{'短评内容': '很不错。出行很方便。很好很好很好很好。哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店卫生条件差，睡过一夜后浑身发痒，床单和被子卫生及其有问题。', '短评打分': 3}
{'短评内容': '酒店卫生条件差，睡过一夜后浑身发痒，床单和被子卫生及其有问题。', '短评打分': 3}
{'短评内容': ' 酒店好', '短评打分': 5}
{'短评内容': '酒店位置佳，出行方便；前台服务一般，不太热情；房间隔音效果差，有股怪味道；早餐有待改善', '短评打分': 5}
{'短评内容': '太深了，迷宫一样的走道，真不知道消防是如何通过的！这样的酒店，真要有个火灾，都不知道如何跑出去！再者，如果你有出差应酬，喝多一点，你能到你的楼层，但，你一定找不到你的房间（因为我清醒时，就觉得弯弯绕太多了）。服务说不上好，总台的人员还是有点冷冷的。早餐更别提了，9：30分就收了，吃的菜品也是少的可怜，更不评价他什么好不好吃了！哎~', '短评打分': 5}
{'短评内容': '卫生状况良好\r\n服务态度良好\r\n ', '短评打分': 5}
{'短评内容': '酒店很大，不错', '短评打分': 5}
{'短评内容': '环境和设施比较差，和房价二百多元不配。', '短评打分': 1}
{'短评内容': '位置不错，就是去的时候在修路', '短评打分': 5}
{'短评内容': '酒店位置不错，离武昌、汉口火车站都不太远；服务也很好，还能提供免费寄存行李的服务，当然如果能补充提供代叫出租车的服务就更好了。', '短评打分': 5}
{'短评内容': '感觉不错。而且位置刚好在武汉几个景点的中央。建议自驾同志考虑、', '短评打分': 5}
{'短评内容': '酒店位置比较好，但是采光不好，我说了给我一间采光好的房间，结果住进去就好像没有白天了！', '短评打分': 5}
{'短评内容': '特价房太划算了，比想象中的要大很多，真是出乎意料', '短评打分': 5}
{'短评内容': '房间小、毛巾居然是破的、且洗的还不白', '短评打分': 1}
{'短评内容': '总体还好，就是淋浴器太差', '短评打分': 5}
{'短评内容': '地理位置还行 比较卫生 总体感觉还行', '短评打分': 5}
{'短评内容': '酒店环境不错`~但是洗手间实在是有点小。。自助早餐味道不错~性价比算高了吧!', '短评打分': 5}
{'短评内容': '服务员的态度很不好.\n找不到地方打了2个电话去问路服务员就很不耐烦了.\n办入住手续时候的态度也非常不耐烦.\n\n另外酒店隔音很差..晚上一直被吵醒', '短评打分': 1}
{'短评内容': '性价比可以', '短评打分': 3}
{'短评内容': '总的说来还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很不错，很安静。虽然是特惠房，但是，一点也不差。值得推荐', '短评打分': 3}
{'短评内容': '很不错，值得推荐。虽然住的房间没有窗户，刚去时空气不太好，开了一会空调，很快就好了。房间很干净，而且特别安静。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '比较好！', '短评打分': 5}
{'短评内容': '地理位置很好，性价比不错，就是预定的大床房感觉房间有点小，', '短评打分': 5}
{'短评内容': '99块的大床房的确是合算的', '短评打分': 3}
{'短评内容': '打的不方便，吃饭的地方不多。其它都还可以', '短评打分': 5}
{'短评内容': '帮家人订的商务大床房，住了两天，设施、服务整体都不错。酒店位置很好，出行交通也方便，去逛步行街很好走。酒店周边吃饭不用愁，挺方便。', '短评打分': 5}
{'短评内容': '位置好，特价房特有所值', '短评打分': 5}
{'短评内容': '不错啊~卫生环境都ok', '短评打分': 5}
{'短评内容': '住的99块的特价房，感觉性价比不错，挺干净的，床也很舒服，美中不足是没有窗。', '短评打分': 5}
{'短评内容': '99元特价房价格还可以，其他没什么优点。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '隔音太差', '短评打分': 1}
{'短评内容': '99元入住真是非常超值，而且就在市中心。建议去武汉旅游的朋友们都选择这家酒店。', '短评打分': 5}
{'短评内容': '很好 下次还去', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我住的99特价房！隔音效果一般般。估计都这样。大小刚好！ 很实惠啊！', '短评打分': 5}
{'短评内容': '做活动时99元一间再上用券20元，相当于只要79元，实在是相当划算的。平时168一间，性价比还成，但竞争力就大减了。总体来说，还行。', '短评打分': 5}
{'短评内容': '不太人性化，过11点半就打电话提醒退房', '短评打分': 1}
{'短评内容': '我觉得性价比还可以，位置挺方便的，环境也不错', '短评打分': 3}
{'短评内容': '赞', '短评打分': 3}
{'短评内容': '值得推荐！', '短评打分': 5}
{'短评内容': '离江汉路步行街两站路，地理位置都还可以', '短评打分': 5}
{'短评内容': '性价比一般。', '短评打分': 3}
{'短评内容': '干净卫生，性价比一般。', '短评打分': 3}
{'短评内容': '还好，没想象中吵，走道声音听的是很清楚，总体还不错，不好打车', '短评打分': 5}
{'短评内容': '房间太多，走廊上声音嘈杂。', '短评打分': 3}
{'短评内容': '特价房很小，无窗户而且房间隔音很差，走廊上声音都能听见。', '短评打分': 1}
{'短评内容': '位置相当好，离汉口最繁华的江汉路步行街只有不到10分钟的路程（步行），逛街、购物相当的方便！交通也很便利，附近餐馆也比较多，推荐一家“小四川”，里面的瓦罐汤非常好喝！我住的大床房，真的非常大！比7天的大近一倍！设施都比较齐全，但是我刚入住的时候房间内有异味，排气系统可能不是很顺畅，后来开了一会儿排气扇才好的。不过整体说来还是相当不错的！性价比很搞，非常超值！推荐一个！', '短评打分': 5}
{'短评内容': '住着倒是挺干净的，地理位置也很好，但是楼下是电玩中心，很吵，12点以后才能安静下来，还有就是床有点小，卫生条件确实不错，还很暖和。', '短评打分': 5}
{'短评内容': '楼下就在修路，而且是晚上不停的，挖土机的声音一直都在吵，要不是元旦去订不到别的酒店了，真想换个地方，房间也很小，早餐不丰富，连牛奶都没有，就是地理位置还行，想去的朋友要考虑下', '短评打分': 1}
{'短评内容': '很不错的地方', '短评打分': 3}
{'短评内容': '性价比还不错，比较干净，服务也还可以，做活动时99元就很赞了！', '短评打分': 5}
{'短评内容': '位置还好，就是出租车不太好打，房间的卫生和设施还不错，服务也可以，这个价格性价比还是非常高的 值得推荐', '短评打分': 3}
{'短评内容': '不是一般的性价比。', '短评打分': 5}
{'短评内容': '住了再住，哈哈。。', '短评打分': 5}
{'短评内容': '绝对超值，我住了都舍不得走了。', '短评打分': 3}
{'短评内容': '真是物美价廉。', '短评打分': 5}
{'短评内容': '热水有时候供应不是很好。', '短评打分': 5}
{'短评内容': '酒店位置虽然比较中心，但是堵车实在严重，拦车也很困难。\r\n', '短评打分': 1}
{'短评内容': '就是最近边上修路，吵了一点，其他的还不错的！', '短评打分': 5}
{'短评内容': '就是门口不好叫出租车！', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '整体感觉还可以，价格很便宜，服务态度不是特别好，不热情。位置交通方便。', '短评打分': 3}
{'短评内容': '觉得酒店各方面条件都挺好的,而且地理位置也挺好的,出行很方便,整体的性价比还是蛮高的.', '短评打分': 3}
{'短评内容': '位置很好，离汉正街非常近，过街即是；到民众乐园、江汉路步行街打车也就4-5元,购物很方便。 酒店卫生条件还行，设施很新但一般，装修也一般。 附近餐馆的饭菜不错，价钱也不贵。 缺点：房子略小了点，舒适度差了一点。总而言之，性价比还行。', '短评打分': 5}
{'短评内容': '一般啊，设施一般，电视真的非常小还不是液晶的，推荐锦江之星 ', '短评打分': 1}
{'短评内容': '   位置很好，离汉正街非常近，到江汉路步行街打车也就4-5元,购物很方便。\r\n   酒店卫生条件不错，设施很新，装修有现代感。\r\n   停车在后面小区内。\r\n   美林小厨的饭菜挺不错，价钱也不贵。\r\n   缺点：房子略小了点，可能适合南方人身材。', '短评打分': 5}
{'短评内容': '地段很方便，卫生很干净，服务很及时到位。下次还会选择。只是早点种类少了点~', '短评打分': 5}
{'短评内容': '  这个酒店还可以,有家的感觉.', '短评打分': 5}
{'短评内容': '说是中山大道555号，但是照地图和门牌号去中山大道找，根本找不到555号！结果再往前走了将近半个钟头才找到~~', '短评打分': 5}
{'短评内容': '酒店的服务需要改进，卫生和设施都不错的，酒店的位置不错的，出行很方便的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，配置基本齐全。卫生服务很达标，位置地段也是比较繁华，出行交通很方便。价格合理适中，整体来讲都很不错值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店服务卫生方面还是不错的，设施方面也比较齐全，价格也挺经济实惠的。', '短评打分': 5}
{'短评内容': '酒店地理位置还可以，设施一般。欠缺的是房间的隔音效果太差，隔壁房间客人讲话、电视的声音都能够听到，这样晚上睡眠效果不是特别好。', '短评打分': 5}
{'短评内容': '在市中心，交通方便，酒店也还比较新', '短评打分': 5}
{'短评内容': '此酒店地理位置不错，房间设施也还可以，唯一想提出建议的两点就是：1、应该对部分房间的电视换成液晶的电脑，这样客人的选择可以多些。2、没有防滑的塑料拖鞋，一次性的拖鞋遇到瓷砖上有水，非常的滑，比较危险。', '短评打分': 5}
{'短评内容': '卫生不错！', '短评打分': 5}
{'短评内容': '酒店位置还是挺好的，交通比较方便，而且房间干净，配套的设施也还不错。', '短评打分': 5}
{'短评内容': '服务周到热情,环境和设施也很好,价格还实惠,出行很方便', '短评打分': 5}
{'短评内容': '经常住连锁酒店，觉得莫泰还不错，装修简洁，卫生干净', '短评打分': 5}
{'短评内容': '酒店位于主干道边上的酒店,非常好找,环境设施还不错价格也很便宜,不满意的地方就是隔音很差.', '短评打分': 5}
{'短评内容': '酒店的环境不错,卫生条件也很好,而且价格也挺满意的', '短评打分': 5}
