{'短评内容': '从酒店能看到古城风茂。装修有特色。', '短评打分': 3}
{'短评内容': '服務好但客房空間小性價比高值得推薦\r\n接機司機何先生值得推薦要用車找他服務好價格實在', '短评打分': 3}
{'短评内容': '很不错的酒店，房间很干净，硬件设施齐全，服务周到热情，下次出行还会住的', '短评打分': 5}
{'短评内容': '整体不错，古香古色的，服务态度好。', '短评打分': 5}
{'短评内容': '不错，环境可以，也比较干净，在古城中间，很方便', '短评打分': 5}
{'短评内容': 'very good!', '短评打分': 5}
{'短评内容': '酒店位置很好，就在古城的中心位置，酒店的衣柜里还备有雨伞，很细心。下次来丽江还选择文苑！！！！！', '短评打分': 5}
{'短评内容': '很喜欢这种民族风格的建筑，房间非常干净，布置的很合理。', '短评打分': 5}
{'短评内容': '服务员的态度热情，有什么要求都会尽量满足，微笑式服务，很喜欢，我们相处的很愉快。', '短评打分': 5}
{'短评内容': '位置不错，我们住的房间是欧式的，感觉很舒服。', '短评打分': 5}
{'短评内容': '是四合院的房子，干净整洁，总体还是比较满意的。', '短评打分': 5}
{'短评内容': '离旅游景点比较近,酒店的环境也很好,住着比较舒适,就是要另收80元古城维护费,当时预定的时候也不知道,感觉不太好.', '短评打分': 3}
{'短评内容': '酒店是新开业的,总体环境和设施还是不错的,尤其是服务方面,当时我们是要求接机服务的,酒店工作人员很负责,很顺利的就接到了我们;', '短评打分': 5}
