{'短评内容': '基本满意', '短评打分': 5}
{'短评内容': '一进门 前台就摆着一副扑克脸 问什么都是爱搭理不搭理的 就是匆匆办完入住 一脸不耐烦的催你上去，一进门感觉还好，可是一进卫生间，就发现有小虫子飞来飞去，略略的数了一下7只...（我消灭了3只） ，洗完澡，想开空调吹一下，结果空调里吹出来一股厕所的味道。这是首晚在昆明住宿，太失望了！！！', '短评打分': 1}
{'短评内容': '还行。。。。。下次还住。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '  在修地铁不方便   有点吵   床睡的不舒服  很硬', '短评打分': 3}
{'短评内容': '中立酒店周到情深！', '短评打分': 3}
{'短评内容': '6很好', '短评打分': 3}
{'短评内容': ' 酒店虽小，但内部环境不错！', '短评打分': 3}
{'短评内容': '服务员态度不好，特别是餐厅的，160的房价在昆明不值', '短评打分': 3}
{'短评内容': '退房可以延长到下午2点这是很好的  但是周围有点吵 环境一般。', '短评打分': 5}
{'短评内容': '位置很方便，离名胜古迹很近。房间漂亮，并干净。酒店服务很好', '短评打分': 5}
{'短评内容': '\n服务很满意', '短评打分': 3}
{'短评内容': '交通有点不方便，没有公交从西部客运站直接到达；房内没有衣柜，行李没处放；在160元一晚的价格上，房内的任何物品都是要另外付费的：一次性拖鞋1元/对，牙刷、梳子各一元/份，浴帽与厕所坐垫也是各5角/份，幸好洗头水与沐浴液不需要收费，否则那一晚的160大元就只能在床上躺一晚了，什么也不能用。美其名曰是降低、减少对一次性用品的使用，为了环保，但一次性用品摆在那里，只要付钱就可以用了，是真正的环保吗？也没', '短评打分': 1}
{'短评内容': ' 已入住', '短评打分': 3}
{'短评内容': '酒店环境很好，就是酒店门口的路在修地铁，有些堵车', '短评打分': 5}
{'短评内容': '地理位置不错，还含早！不错！就是房间稍微的小了点', '短评打分': 5}
{'短评内容': '条件很一般,房间太小,房价太贵!不值!不值!不值!', '短评打分': 1}
{'短评内容': '去的时候服务员的态度有点恶劣...一点都不热情..做事拖泥带水的..一点也不知道灵活应用', '短评打分': 1}
{'短评内容': '+性价比不错,房间很干净', '短评打分': 5}
{'短评内容': '还不错,房子有点小', '短评打分': 5}
{'短评内容': '凌晨到的，位置挺好，但是床单和枕头很脏。总的感觉非常一般，如果只是赶路，凑合住一晚还是可以的。', '短评打分': 1}
{'短评内容': '服务不错，地理位置好，比较实惠！性价比高', '短评打分': 5}
{'短评内容': '本酒店是本人除了星级以外，性价比最高的酒店，以后到昆明继续入住此店！', '短评打分': 5}
{'短评内容': '房间设施还可以，就是房间有点小。去的时候预定的房间没有了，换了一间大床房。物超所值！', '短评打分': 5}
{'短评内容': '整体不错，离金鸡碧马坊不远。房间干净，虽然比较紧凑。推荐。', '短评打分': 5}
{'短评内容': '+设施不错，也比较干净，只可惜没有电梯', '短评打分': 5}
{'短评内容': '交通方便，火车站，机场，步行街便利', '短评打分': 5}
{'短评内容': '地理位置优越，距离机场和火车站都比较近，服务态度也不错，就是卫生情况真不怎么样，太脏了感觉，地上都是一片一片的，卫生间里的卫生更不怎么样。不过性价比还算可以了。', '短评打分': 5}
{'短评内容': '+要的双人间，房间适合我这样的徒步者居住', '短评打分': 5}
{'短评内容': '前台服务态度很好，这个价格能住这样的单间很不错，房间内还送矿泉水，称赞下，推荐', '短评打分': 3}
{'短评内容': '还不错，这个价格能住这个条件的单间，很满意，房间很干净，目前外面在修建，稍微有点噪音', '短评打分': 5}
{'短评内容': '附近再施工，所幸窗户是隔音的。很舒适，性价比高，到机场也不太远。', '短评打分': 5}
{'短评内容': '总体说来感觉不错，很温馨，不足有两个，一个是网速有点差，再就是房间里面的热水不稳定', '短评打分': 5}
{'短评内容': '很干净，性价比一些知名的快捷酒店（七天等）要高。位置也好，安静。', '短评打分': 5}
{'短评内容': '+挺干净的,不错.', '短评打分': 5}
{'短评内容': '房间干净、整洁，但同时也拍死蚊子N只（房间里备有电蚊香）、抓住蜘蛛一枚。。。。\r\n\r\n送瓶装纯净水，加分。有时候懒得烧水了拿起来就喝。\r\n\r\n早饭没啥可吃的，比较单调。\r\n\r\n服务员态度不错，有什么要求都能比较快反应。\r\n\r\n以后来还会住的。', '短评打分': 5}
{'短评内容': '总体还行，就是早上入住时房间还没打扫。等了一个小时。另外网速实在是不敢恭维！不过地理位置交通还不错！早餐还可以。', '短评打分': 3}
{'短评内容': '还行吧。。。就是早上入住时房间还没打扫。总体还不错。', '短评打分': 5}
{'短评内容': '房间很干净舒服，简约的装修风格也很喜欢，就是不能无线上网，隔音稍差，还有早餐品种再多点就好了，豆浆不错，牛奶很难喝。。。', '短评打分': 5}
{'短评内容': '地理位置很好，商业街、公交站、火车站都很近\n房间非常干净，装修设计很合理', '短评打分': 3}
{'短评内容': '+还行', '短评打分': 5}
{'短评内容': '综合评价还可以,就是提供的早餐很一般,除了鸡蛋和粥几乎没有什么可以吃的.', '短评打分': 5}
{'短评内容': '地理位置很好，酒店的装修很好，房间稍微有点小，但不影响使用', '短评打分': 5}
{'短评内容': '这家酒店还是很不错的，离火车站也很近，有早餐送。', '短评打分': 5}
{'短评内容': '基本上还不错，各方面都没什么可挑剔的地方', '短评打分': 5}
{'短评内容': '还行,房间有点小，但交通方便，位置又比较安静', '短评打分': 5}
{'短评内容': '一般吧，态度不是太好', '短评打分': 5}
{'短评内容': '房间很干净，设施也蛮好的，住起来很舒服，就是房间有点小，餐厅的早餐到了9点后饭菜都吃得差不多了，没有补上来的！', '短评打分': 5}
{'短评内容': '卫生干净', '短评打分': 3}
{'短评内容': '很简洁舒服。供应的免费早餐也很不错。但是厕所地太滑了，走之前摔了，希望酒店方继续做好防滑措施。\r\n虽然被滑倒，还是推荐的，服务舒适度都不错。', '短评打分': 5}
{'短评内容': '房间条件不错！', '短评打分': 5}
{'短评内容': '交通方便```推荐', '短评打分': 1}
{'短评内容': '位置不错，性价比也可以', '短评打分': 5}
{'短评内容': '位置和性价比还可以。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '酒店位置还可以，出行相对方便些，卫生条件比较好，服务很好，设施比较完善，下次如果在附近出行还会选择的。', '短评打分': 5}
{'短评内容': '房间是那种简约型的，不过卫生做的还好，周围环境很不错。', '短评打分': 5}
{'短评内容': '房间比较干净，服务很周到，价格蛮实惠的，整体感觉还不错。', '短评打分': 5}
{'短评内容': '位置很好，虽然布置的有些简单，但是设施什么的都很完善，价格适中。', '短评打分': 5}
{'短评内容': '价格上还是相当实惠的，这方面值得赞一下。', '短评打分': 5}
{'短评内容': '去金碧广场和南屏步行街那边倒是很方便，离火车站也不远。', '短评打分': 5}
{'短评内容': '房间布置比较简洁大方，卫生打扫的挺干净，比较适合大众口味。', '短评打分': 5}
{'短评内容': '性价比和位置比较理想，服务态度也挺好的，总体还可以。', '短评打分': 5}
{'短评内容': '硬件设施还算不错就是服务不太好！我想我不会再去这家酒店！', '短评打分': 1}
{'短评内容': '位置很好，靠近市中心商业区，所以价格也相应的高一点。', '短评打分': 5}
