{'短评内容': '早餐一般，有停车场', '短评打分': 4}
{'短评内容': '房间内硬件设施很齐全，舒适度蛮好的，酒店附近去象鼻山和悦湖塔比较方便，另外就是早餐不错，很丰富，楼下提供上网服务，各方面都蛮周到的', '短评打分': 5}
{'短评内容': '酒店在市中心，出行很方便，地处桃花江边，风景优美，距离中心广场很近，购物很方便，酒店服务员态度很好，周到热情，住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店地段很好，出行很方便，接近风景区，房间卫生条件不错，服务也很周到，下次出行还会住的', '短评打分': 5}
{'短评内容': '房间收拾的很整洁，床铺有些硬，但是用品很干净，房间面积大，位置好就在火车站附近，步行几分钟就能到公交站点，也靠近桂林的繁华地带，总体觉得住着还算舒服', '短评打分': 5}
{'短评内容': '  相对而言性价比偏高，如果是自己掏腰包的话，建议考虑其他酒店。', '短评打分': 1}
{'短评内容': '我是五一期间住的这里，可能是和人多有关系，但是我到酒店前台等了半天，首先给我的感觉就是他们的服务不行，其次酒店时间可能比较长了，在硬件设施和环境方面都不是很好，就是位置还算不错，比较方便，总体来说给我的感觉就是，不太值得，虽然黄金周花费将近300不算贵，可是我得到的服务和他们酒店的条件，我觉得不值得。', '短评打分': 1}
{'短评内容': '我预定的西楼豪标，整体还不错。团队确实太多，但房间内还算安静。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;环境很好,位置也不错,价格适宜,就是入住客人太多,团队太多,太嘈杂,结帐慢腾腾!&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '什麼酒店好些呢？價格也合理些呢？', '短评打分': 3}
{'短评内容': '东楼标准间实在是太差了，各位千万别住。真的！&lt;br /&gt;\n&lt;br /&gt;\n电视机都是90年代前的，可想而知其他的设施了。&lt;br /&gt;\n&lt;br /&gt;\n住了一晚，真受罪！', '短评打分': 3}
{'短评内容': '此酒店我在桂林多次入住并有酒店所发的优惠卡：东楼一二楼才90元/天，三楼以上120元/天并且没有任何费用了。为什么你们的价比它贵', '短评打分': 3}
{'短评内容': '东楼太差，西楼还可以。不过还是贵了点。而且他加收了我30元的调节税和6元的保险费。即每间房为306元', '短评打分': 3}
{'短评内容': '东楼的条件太差了，太差了！', '短评打分': 3}
{'短评内容': '不到三星标准，服务与价格不等！', '短评打分': 3}
{'短评内容': '东楼的标准间根本达不到三星标准。而且设备陈旧，墙纸发霉，看见就恶心。反正我觉得180绝对不值。', '短评打分': 3}
{'短评内容': '总体评价：good。br&lt;br /&gt;\n如果你要求不是很高，该饭店倒是不错的选择br&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '&amp;lt;br&amp;gt;&lt;br /&gt;\n&amp;lt;br&amp;gt;&lt;br /&gt;\n&amp;lt;br&amp;gt;&lt;br /&gt;\n不错。我非常喜欢。', '短评打分': 3}
