{'短评内容': '早餐丰富、位置中心出行方便，有停车场', '短评打分': 5}
{'短评内容': '房间很小,大厅挂牌三星, 还比不上如家这类经济型酒店,住4楼,楼道地毯很脏\n唯一欣慰的是早餐品种很丰富,值得加分!', '短评打分': 1}
{'短评内容': '第二次住这了，位置挺方便的，硬件也还不错！', '短评打分': 5}
{'短评内容': '环境很好，出去吃饭购物很方便，下次还会入住。', '短评打分': 5}
{'短评内容': '很干净，朝红旗大道关上窗也还安静，价钱便宜，外出方便，值得推荐', '短评打分': 5}
{'短评内容': '给人的感觉很好，卫生、清净，尤其是早餐非常好。', '短评打分': 5}
{'短评内容': '位置、条件都不错，早餐品种很多，领导挺满意', '短评打分': 5}
{'短评内容': '赣龙服务好，酒店干净舒适，环境也不错！下次来赣州我还住赣龙！\n', '短评打分': 5}
{'短评内容': '服务还不错，每次进出门时，门童都不在位置上，看见有人了就跑过来开门，没看见就客人自己推开了。除了出风口的噪音，其他都还满意', '短评打分': 5}
{'短评内容': '位置不错，交通方便。服务还算好，房间有些小，淋浴头水量也小了些，冲凉不够爽。睡觉要安静的人注意了，空调口很吵，晚上睡觉听到轰轰的响，对于特别需要静的我来说，很不喜欢。但对于178的房价来说，性价比不错。', '短评打分': 5}
{'短评内容': '服务不错，设施有点旧，房间还比较大，在市中心', '短评打分': 5}
{'短评内容': '经济，实惠，交通方便。挺好的。以后去还是会选择这里。', '短评打分': 5}
{'短评内容': '只有这家酒店的早餐还不错，值得一吃，房间装修后还可以！！！！', '短评打分': 5}
{'短评内容': '卫生很好，交通方便，很贵就是，不推荐这家', '短评打分': 5}
{'短评内容': '这家酒店的早餐还不错，值得一吃，房间装修后还不错。', '短评打分': 5}
{'短评内容': '早餐很丰盛，这个价位无的挑剔，非常好，只是这个价位的促销房不多，有可能定不上。', '短评打分': 5}
{'短评内容': '非常超值的星级酒店，非常的舒适，可以说挑不出毛病。', '短评打分': 5}
{'短评内容': '装修后还不错的一家宾馆，希望服务水平有所提高', '短评打分': 5}
{'短评内容': '价格贵，设施陈旧，卫生状况也不好，还是主楼，不知道副楼会有多差', '短评打分': 1}
{'短评内容': '新装修后 还不错，就是房间装修了，楼道还是没有装修，显得有点反差太大。', '短评打分': 5}
{'短评内容': ',不错。', '短评打分': 3}
{'短评内容': '很不错，性价比较高。早餐很好！服务员态度也不错。', '短评打分': 5}
{'短评内容': '位置、环境都还不错。就是价格稍显高了一点。', '短评打分': 5}
{'短评内容': '房间稍微小了点，卫生还不错，价格总体来说还算便宜', '短评打分': 5}
{'短评内容': '酒店的性价比很好, 以后来赣州都会住在这里.', '短评打分': 5}
{'短评内容': '我订的是单人间,现在却给我一双人间,希望下次不会再出现这种情况!', '短评打分': 3}
{'短评内容': ',酒店干净，舒适！免费升到了豪华间！不错', '短评打分': 3}
{'短评内容': '还可以，性价比不错…………………………………………………………', '短评打分': 5}
{'短评内容': '房间不错，挺干净。就是有些灯是坏的，不能全亮，也许是为了低碳节能...', '短评打分': 5}
{'短评内容': '很不错，下次还住这里！。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '设施还可以，位置也不错，旁边还有一家广式茶餐厅值得一试。', '短评打分': 5}
{'短评内容': '很好！下次去还会住的。比想象的好很多，真不想走了。', '短评打分': 5}
{'短评内容': '总体环境不错！在市中心，交通便利，而且服务尚可，但酒店房间偏小。', '短评打分': 3}
{'短评内容': '很好，就是贵了点。很好，就是贵了点。很好，就是贵了点。很好，就是贵了点。很好，就是贵了点。', '短评打分': 5}
{'短评内容': '地方很方便，门口就有小吃，半夜可以出来吃夜宵', '短评打分': 5}
{'短评内容': '酒店的卫生和地理位置非常好，价格也很实惠，如果一个人出差，这家酒店很适合。', '短评打分': 5}
{'短评内容': '不足之处是性价比不高，标间价位如能控制在200左右就更理想了。', '短评打分': 1}
{'短评内容': '还不错，就是空调不是太制冷，呵呵！下次应该还会去。', '短评打分': 3}
{'短评内容': '赣龙大酒店性价比不错！值得回头再住。', '短评打分': 5}
{'短评内容': '还是挺不错的，性价比高，住的舒服安静，赞一个', '短评打分': 5}
{'短评内容': '赣龙会看轻人，我在网上订的，就告诉我说12点退房，而在此同时我的另一个朋友也是在那儿开一间同等级同等次的房间却告诉说14点退房，什么意思嘛？\r\n', '短评打分': 3}
{'短评内容': '因为是凌晨入住，所以没有机会感受服务，不好评论服务水准。总体而言，性价比尚可！', '短评打分': 1}
{'短评内容': '硬件的洗手间还可以，洁具用是美标，有条件的一定要升级主楼，附楼毕竟差点，总体还行。', '短评打分': 5}
{'短评内容': '条件还不错，性价比很高，位置也不错，值得一试。', '短评打分': 5}
{'短评内容': '地理位置不错，房间还好，服务态度还可以，条件比较舒适！', '短评打分': 5}
{'短评内容': '我住的是未评星的附楼，100元/间，面积还行，配套有些简陋，房间有点异味，适合要求不高的朋友。另外，所谓未评星的附楼，实际上是一个叫龙168的旅舍，只是挂靠在赣龙的后面。', '短评打分': 5}
{'短评内容': '住的是附属楼龙168，很实惠、卫生也很好，才100元，值得！', '短评打分': 5}
{'短评内容': '态度还可以，就是工作有点不认真！所以我希望在好的态度上多些认真！', '短评打分': 5}
{'短评内容': '房间有点小，热水还可以。网速稍微有点慢，地理位置好。', '短评打分': 5}
{'短评内容': '房间虽然小了一点，不过设施很干净，还是中央空调，服务也很不错。周围乘车也很方便。', '短评打分': 3}
{'短评内容': '位置不错，周围比较繁荣，离火车站，汽车站也不远。房间虽然小了一点，不过五脏俱全，酒店服务人员很好。', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '住的比较舒服,服务也不错,旁边还有港式茶餐厅.', '短评打分': 5}
{'短评内容': '住的是附楼，整体还不错，卫生干净，电视清楚，热水供应到位等等。就是有一点，房间有点小。', '短评打分': 3}
{'短评内容': '还不错，房间不大，但是很整齐，枕头比较舒服', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '副楼性价比挺高，就是楼下环境有点差。', '短评打分': 5}
{'短评内容': '比想象中差一点哦，不过还不错啦。', '短评打分': 5}
{'短评内容': '超出想象的好。', '短评打分': 5}
{'短评内容': '还好,刚刚装修,有的还在装修.特别是水特别大', '短评打分': 5}
{'短评内容': '地段真的很不错，出去办事很方便。', '短评打分': 5}
{'短评内容': '很好~', '短评打分': 5}
{'短评内容': '交通，卫生，性格比都很高', '短评打分': 5}
{'短评内容': '正赶上装修 大堂有点脏 \r\n不过服务还行 \r\n位置比较好找 打车方便', '短评打分': 5}
{'短评内容': '在赣州还算可以', '短评打分': 3}
{'短评内容': '大堂时新装修的', '短评打分': 5}
{'短评内容': '性价比高，地理位置不错比较方便，其他的一般', '短评打分': 5}
{'短评内容': '138~~标间还可以，单间太小了 \r\n', '短评打分': 3}
{'短评内容': '标间涨价了 原来138~~标间还可以，单间太小了', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，外地人容易找到，卫生条件不错，服务也很好。唯一不足的是靠红旗路马路这边的房间会比较吵。', '短评打分': 5}
{'短评内容': '挺好的，价钱也合理。房间挺大，出行也方便，就是不知道那天空调怎么没冷气，尽出暖气了。。。总之还是值得推荐。', '短评打分': 5}
{'短评内容': '服务非常到位，记得那天早起去考试下雨了，服务台借了把伞给我用！', '短评打分': 5}
{'短评内容': '目前大厅在装修，总的说来，在赣州赣龙大酒店还是不错的', '短评打分': 5}
{'短评内容': '位置比较好找，酒店性价不错，家具啥的木头很光洁，但床顶的读书灯设计不大合理，有些刺眼。餐厅不错', '短评打分': 5}
{'短评内容': '房间的卫生和设施还行还是挺不错的,酒店的位置是挺不错的,服务态度也还好,我感觉性价比是挺好的下次也是比较值得推荐的酒店.', '短评打分': 3}
{'短评内容': '这家酒店的位置还是不错的,出行很方便,房间的条件不太好,硬件设施有些陈旧了,下次不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '很舊了,毛巾很差,床也好小,房間小,設施太舊了', '短评打分': 1}
{'短评内容': '酒店是有年头的了，浴室狭小，淋浴固定在浴盆中，既不方便也不卫生，感觉洗不干净。早餐品种不多，档次不高。花同样或更少的钱可以住到山水或电力等四星的酒店。不推荐入住。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置还不错，挺方便，环境比较一般，服务还可以', '短评打分': 5}
{'短评内容': '位置很好，出门就是市中心', '短评打分': 5}
{'短评内容': '二号楼单间房间很差，窗很小，有怪味道，再也不会去那住了。', '短评打分': 1}
{'短评内容': '对于这个酒店的价格，星级来说还是比较不错的，出行也很方便', '短评打分': 5}
{'短评内容': '订的附楼的房间后来免费升级到其他房间,感觉很好,服务员态度也很好,环境和设施方面也不错,住的很舒适', '短评打分': 5}
{'短评内容': '当时住的房间有点小，服务感觉也很一般，下次去赣州要考虑别的酒店了', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '设施总体较陈旧，房间单层玻璃幕墙隔热密封都比较差，所以局部补装塑钢窗。网络速度较慢且不稳定。&lt;br /&gt;\n服务还不错。', '短评打分': 3}
{'短评内容': '价格相比较高了点，', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店行政间的设施和服务都很好,非常高兴这次正确的选择', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;本月刚刚入住，刚刚装修，房间较新。值得一住，离步行街也很近。&amp;lt;/P&amp;gt;', '短评打分': 5}
