{'短评内容': '301医院附近性价比最高的酒店 没有之一', '短评打分': 5}
{'短评内容': '还OK', '短评打分': 4}
{'短评内容': '服务一般！主要是与301医院比较近', '短评打分': 5}
{'短评内容': '非常舒服，也很安静，住的不错！！！', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店很好，如果再豪华一些就对得起五星这个称号了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '晚上来的，不太显眼！其貌不扬啊', '短评打分': 4}
{'短评内容': '朋友入住，环境还行，就是感觉有点偏远！', '短评打分': 4}
{'短评内容': '相当不错，各项服务也好，酒店硬件还不错，对得起500多元一天', '短评打分': 5}
{'短评内容': '服务非常好！', '短评打分': 3}
{'短评内容': '很好！环境也很不错！酒店可购买的商品太少！希望以后服务有更多改进！', '短评打分': 5}
{'短评内容': '稍贵，说是圆床，但到了才发现分好几种房间，跟网上说的不太相符', '短评打分': 5}
{'短评内容': '总体感觉不好，达不到五星标准。有三点意见：一是总台服务员态度不好，就像欠她的钱，不够五星标准；二是房间不干净，本来硬件可以，但是清理的不好；三是一楼餐厅服务不好，当天有好几个客人向他们提意见。', '短评打分': 3}
{'短评内容': '酒店不错，装修的很好，如果房间都含早餐就更好了。', '短评打分': 5}
{'短评内容': '前台穿黑衣服的男服务员，服务最差！！！！！！当时因为接下来他们要接待很多开会人员，居然让我第二天9点就退房！你说的是人话吗？？？？？', '短评打分': 1}
{'短评内容': '服务特别差，由于离301很近，没办法，不得已住在这。前台穿黑衣服的男服务员，服务最差！！！！！！', '短评打分': 1}
{'短评内容': '酒店离301挺近', '短评打分': 3}
{'短评内容': '软硬件都很不错的酒店，还能享受折扣价。感受最深的是接机服务，先不说宝马车的档次，接站司机师傅的热情敬业就非常感动。美中不足就是酒店周边吃饭不大方便。', '短评打分': 5}
{'短评内容': '物有所值，价格看涨，要是保持住开业初期的价格，我会推荐给更多的朋友', '短评打分': 5}
{'短评内容': '好的很 不贵 便利 是你的首选 性价比较高 初进很方便', '短评打分': 5}
{'短评内容': '酒店设施较新，服务也不错，周边环境也很好。\n房间卫生条件较好，餐饮服务也还不错，菜价不算很贵。\n值得推荐，下次还会继续入住。', '短评打分': 5}
{'短评内容': '酒店环境不错 只是价格略高 饭店还收服务费 房价时常变动 ', '短评打分': 1}
{'短评内容': '很有特色的房间，位置很好，很安静', '短评打分': 3}
{'短评内容': '酒店干净舒适，很好，下次还来住', '短评打分': 3}
{'短评内容': '房间设施很好，价格稍贵，房间隔音方面有待改进。', '短评打分': 5}
{'短评内容': '距离301医院还比较近，办入住时还是感觉慢，前台办理事情的时候仍有生疏感，不够到位。', '短评打分': 5}
{'短评内容': '加床太贵而且质量不好~早上很难达到出租车~', '短评打分': 1}
{'短评内容': '房间环境还好，没有无限上网，总体还好', '短评打分': 3}
{'短评内容': '酒店硬件设施很好。前台人员的工作效率需要提高，办理入住和退房时，感觉很慢，基本都在20分钟左右，我觉得还是酒店的管理和培训不到位。', '短评打分': 3}
{'短评内容': '硬件尚可，软件需要提高的地方还很多。比如:好多英文标识都是错的，没有国际话的服务。此外，早餐厅太小，且设置不合理。', '短评打分': 3}
{'短评内容': '很好的选择推荐入住', '短评打分': 3}
{'短评内容': '还可以较方便', '短评打分': 3}
{'短评内容': '酒店还不错，服务也还可以，就是房间的餐巾纸不怎么样，希望能改进，餐饮设施也不完善，想吃个自助餐都没有，这点挺不方便的，今天我住的这房间不错但下水管声音很响，只要楼上打开水龙头下水那声音我有点吃不消。', '短评打分': 1}
