{'短评内容': '房间不错 就是门锁有点问题', '短评打分': 5}
{'短评内容': '如之前在评论里看到的一样，出差住住确实不错，温馨，最主要是干净！客服人也很好，热情。', '短评打分': 5}
{'短评内容': '位置地段好，买东西什么的都很方便，只是户型有点偏小。', '短评打分': 5}
{'短评内容': '酒店还不错，很干净，就是早餐品种太少，没什么吃的。', '短评打分': 5}
{'短评内容': '房间不大，但是很干净。总体还可以！就在商业中心附近！', '短评打分': 5}
{'短评内容': '不错！干净。门面小了点电视老了点。', '短评打分': 3}
{'短评内容': '很好很放心', '短评打分': 3}
{'短评内容': '位处商业街旁边，交通便利。房间不大，但很干净，整体不错。', '短评打分': 5}
{'短评内容': '总体感觉不是很有性价比。特价房有点小。不过自助早餐8元还是蛮不错的。', '短评打分': 5}
{'短评内容': '电视和房间小了点，相当这个价位，设施不错。服务热情，早餐很不错…', '短评打分': 3}
{'短评内容': '不错。房间布置温馨，酒店位置较好，离步行街很近。', '短评打分': 5}
{'短评内容': '位于市中心，位置很好，房间小点，但挺舒服，不错。', '短评打分': 5}
{'短评内容': '酒店布置挺温馨，就是没找到电吹风。', '短评打分': 3}
{'短评内容': '房间很干净，离步行街很近，走上五分钟就到了，感觉不错。', '短评打分': 3}
{'短评内容': '马马虎虎，就是电视太小，被子是红色的，有点别扭', '短评打分': 3}
{'短评内容': '环境不错，交通方便，住过两次了，还行', '短评打分': 3}
{'短评内容': '已入住如家浔阳路店', '短评打分': 3}
{'短评内容': ' 服务还好。', '短评打分': 3}
{'短评内容': '总体来说还不错，这个价格的性价比还是可以的', '短评打分': 5}
{'短评内容': '房间面积太小了，实在是太小了，感觉很憋屈！', '短评打分': 1}
{'短评内容': '酒店位置非常好，在闹市区，交通也很方便，就是房间隔音有点差，首次出热水时间有点慢，呵呵，不过还是非常不错。', '短评打分': 5}
{'短评内容': '作为一个经济酒店 已经做到85分了\n\n一贯如家风格 软服务是不错', '短评打分': 5}
{'短评内容': '九江唯一的经济连锁 厚道 服务不错\n\n地段好', '短评打分': 5}
{'短评内容': '该酒店虽然房间小了一点，但是总体还是感觉满温馨的', '短评打分': 5}
{'短评内容': '一个储物间大小，噪音特大，没法上网，前台不负责', '短评打分': 1}
{'短评内容': '有返现 的价格还是 不错的\n酒店位置极佳，性价比不错，早餐简单够吃', '短评打分': 5}
{'短评内容': '地点不错，九江的市中心，去哪里都很方便。   ', '短评打分': 5}
{'短评内容': '靠马路的房间有点吵，酒店的门面好小，先是开过了', '短评打分': 5}
{'短评内容': '跟不错 下次还会入住', '短评打分': 3}
{'短评内容': '一直住如家，已经住了很多次了。服务态度还是很好的，就是房间透风很闷。', '短评打分': 5}
{'短评内容': '服务态度很好，环境还不错，也很温馨，就是房间有点小。', '短评打分': 5}
{'短评内容': '酒店挺不错的，干净酒店挺不错的，干净酒店挺不错的，干净酒店挺不错的，干净', '短评打分': 5}
{'短评内容': '我觉得蛮不错的，就是我住的那间房感觉有点小就是。', '短评打分': 5}
{'短评内容': '设施不错，挺实惠。很干净，就是那个网好像慢了点，不过总体不错', '短评打分': 5}
{'短评内容': '我们是晚上九点才到的，停车位又没了，而且门前是单行道，不过总体房间不错，对得起房价', '短评打分': 5}
{'短评内容': '房间大小一般，干净，离步行街近，火车站也只有几站路。', '短评打分': 5}
{'短评内容': '酒店位置好,服务好,设施也不错,就是上网比较麻烦.', '短评打分': 5}
{'短评内容': '虽然门面小了点 不过酒店里面确实不错\n房间设计的挺温馨的 有家的感觉\n', '短评打分': 5}
{'短评内容': '如家快捷酒店九江浔阳路店，延续如家的风格，一如以往，不错。', '短评打分': 5}
{'短评内容': '在繁华市中心，楼下就是商业街，人多车多，老是堵车。而且酒店体内停车场比较小，晚点去就没车位了。另外房间比南昌的小。', '短评打分': 1}
{'短评内容': '位置离八一广场不远，还是挺方便的。房间比较大', '短评打分': 5}
{'短评内容': '地理位置还不错··在市中区··但是房间实在太小了，同等价位的在九江有很多比这个好很多的···', '短评打分': 1}
{'短评内容': '地址位置很好，周边有很多商场，离烟水亭也很近，还是比较不错滴', '短评打分': 5}
{'短评内容': '地理位置很好，有停车场，隔音效果不好，有点吵。', '短评打分': 5}
{'短评内容': '房间空间很小，有点压抑。服务和地理位置都不错！', '短评打分': 5}
{'短评内容': '提前订有优惠 酒店也不错', '短评打分': 3}
{'短评内容': '门面有点小，不过房间还不错,大而且够舒适，交通还算便利。', '短评打分': 5}
{'短评内容': '住的环境不错的，在市中心，去边上都方便。离烟水亭还是很近的，走走就到了', '短评打分': 5}
{'短评内容': '交通蛮方便的，距离九江火车站也不远，所处的地区比较繁华。', '短评打分': 5}
{'短评内容': '这次一共定了三间房，全家还都比较满意。早餐8元，比锦江之星便宜很多。', '短评打分': 5}
{'短评内容': '门脸非常小，不注意的话会走过了。\n性价比还不错，下次去还会住这儿。', '短评打分': 5}
{'短评内容': '离火车站还是有一点小远。周围买东西吃饭还是比较方便的。房间比较大，感觉很舒服。住宿当晚某层断电，把机房的设备烧坏了，导致无法上网。第二天早晨八点多再试已恢复。但这是我住过的所有的如家中最袖珍的一家，大堂小、餐厅小、每层的房间也不多。', '短评打分': 5}
{'短评内容': '蛮好的，停车也很方便，房间空间也大！地理位置也还可以！', '短评打分': 5}
{'短评内容': '房间很小，估计不到12方（特惠大床房），不过设施挺新的。酒店位置很好，从火车站坐101可直到门口，前后皆有购物商场，麦当劳，肯德基，估计是九江最热闹的地方。虽然距离长途汽车站很近，但建议去庐山旅行的游客报团，因为庐山的景点很分散，景点间的巴士很少。', '短评打分': 5}
{'短评内容': '九江那边没什么好的酒店，如家还是一个不错的选择，起码安全舒适！', '短评打分': 5}
{'短评内容': '服务态度 很好....~!!!!!!!!!1', '短评打分': 5}
{'短评内容': '房间有点小，是临街的房间，隔音很好，前台服务很不错。', '短评打分': 5}
{'短评内容': '地理位置很好，处于九江的闹市区，只是房间有点紧凑。', '短评打分': 3}
{'短评内容': '室内环境不错，在商业中心，交通很方便，服务态度也很好', '短评打分': 5}
{'短评内容': '挺好的，第二次住了，位置挺好的，卫生也不错', '短评打分': 5}
{'短评内容': '房间太小了，还是大床房，床非常小。价格也不便宜，同样的价格在九江可以住更好的房间。', '短评打分': 1}
{'短评内容': '房间干净，设施齐全，借吹风机很快送来，大床房的价格也蛮实惠', '短评打分': 3}
{'短评内容': '从未住过如此温馨的酒店，床单是粉色的，很温馨，像一个小家一样，感觉很好，会向朋友推荐的~', '短评打分': 5}
{'短评内容': '挺好的，如家一如既往的标准，很不错，值得推荐给大家。酒店在长江和一个湖附近，环境很好。', '短评打分': 5}
{'短评内容': '还可以！  就是希望外面招牌能显眼一些！ 不太好找！', '短评打分': 5}
{'短评内容': '如家一如既往的优秀品质 服务很到位 感谢前台为我推荐的饭店 饭菜很好 ', '短评打分': 3}
{'短评内容': '如家的室内装饰一向都很温馨的。不过这家店的有几个前台服务员似乎不太愿意微笑。室内除了卫生间有一卷纸之外没有再提供卷纸，有一点不方便。', '短评打分': 5}
{'短评内容': '酒店不错，便宜干净，虽小。', '短评打分': 3}
{'短评内容': '不错服务态度还可以，房间也挺干净。', '短评打分': 3}
{'短评内容': '挺好的，位置比较好，方便，快捷，我建议出门的人选择。放心', '短评打分': 5}
{'短评内容': '不错，前台小伙儿态度很好，虽然没有四五星级的硬件，如家的服务态度还是相当不错滴！~~', '短评打分': 5}
{'短评内容': '很温馨很不错。愉快的回忆', '短评打分': 3}
{'短评内容': '房间隔音效果非常差。其他还好。', '短评打分': 3}
{'短评内容': '格局简单，适合出差，建议常出门的人来住，如果没有什么条件要求的话', '短评打分': 5}
{'短评内容': ' 这个如家太小了', '短评打分': 3}
{'短评内容': '服务态度很好，所以处的位置也好，正好在商业中心区。', '短评打分': 5}
{'短评内容': '＋酒店干净整洁，感觉也很安全', '短评打分': 3}
{'短评内容': '位置不错，很多公车都到。房间精致，设施齐全，推荐', '短评打分': 3}
{'短评内容': '环境不错，干净，水热，洗澡舒服', '短评打分': 3}
{'短评内容': '挺好的，交通便利，周围环境很好，酒店服务人员也挺热情！', '短评打分': 5}
{'短评内容': '比较温馨。适合旅行出差用。房间格局有特色，只是隔音效果不太好！', '短评打分': 5}
{'短评内容': '比较干净，下次还住。', '短评打分': 3}
{'短评内容': '还不错，房间很干净，服务员很热情。不过房间稍微小了点，隔音效果也不太好。', '短评打分': 5}
{'短评内容': '酒店位置不错，在市中心。设施和卫生还可以，不过前台工作人员好像总是1，2个人，入住或退房的人多时等待时间稍长。', '短评打分': 5}
{'短评内容': '地理位置和房间环境都很好，如家一贯风范，推荐！', '短评打分': 5}
{'短评内容': '店员态度很好 房间很温馨  地理位置很好 在步行街边  隔音要加强 ', '短评打分': 5}
{'短评内容': '一切都蛮好的，服务也很好，方便，舒服，干净！！', '短评打分': 5}
{'短评内容': '干净温馨，不过就是没得中餐和晚餐，吃饭不太方便。', '短评打分': 5}
{'短评内容': '酒店位置好，在市中心。前台热情，房间是新装修的，用具干净，赞一个。\n就是停车场太小，车停到对面酒店，还要交20元，晕！', '短评打分': 5}
{'短评内容': '如家还是不错。', '短评打分': 3}
{'短评内容': '就是一个好', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '价格适中方便逛街游玩', '短评打分': 3}
{'短评内容': '总体感觉很好，服务也到位！下次还会选择如家快捷酒店！', '短评打分': 5}
{'短评内容': '位置在市中心，交通比较方便，房间还可以，看起来还不错', '短评打分': 5}
{'短评内容': '服务超级好  酒店环境不错  很适合出门在外的同志们', '短评打分': 5}
{'短评内容': '+我出差多住如家。服务规范,很干净。热水好。', '短评打分': 5}
{'短评内容': '总体感觉很好，服务也到位！下次还会选择如家快捷酒店！', '短评打分': 5}
{'短评内容': '+交通方便.停车场不大.15辆左右.房间小.有霉味.卫生尚可.相对住宿条件来说,价格偏高.', '短评打分': 5}
{'短评内容': '网上评论比较客观，总体还可以，中规中矩吧。就是卫生间光线有点暗，浴缸上方没有照明，洗浴时比较昏暗。', '短评打分': 5}
{'短评内容': '很干净，服务态度也很好，位置也不错，下次还想住。', '短评打分': 5}
{'短评内容': '在如家住的几天正是暑期去庐山的旺季，酒店的位置就在九江市中心，步行去烟水亭和九江大桥很方便。卫生间用的明黄色的墙砖所以感觉很干净明亮。一点遗憾是洗澡久一点的话，下水有点不畅。另房间临街晚上有点吵。其他都还好。比较适合家庭出游选择。', '短评打分': 5}
{'短评内容': '价格上来说 一般，但是位置很好 ，在市中心，不过吃饭不大方便。还有就是标准间的宽带很有问题。', '短评打分': 5}
{'短评内容': '的确不错，交通便利，出入方便，价格合理，家具简易', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不是第一次住如家了，房间很好，以后会再来', '短评打分': 5}
{'短评内容': '位置处于市中区，出去逛街十分方便，价格合理，推荐入住', '短评打分': 5}
{'短评内容': '很舒适很不错，交通也方便，有早餐供应。\r\n位置比较隐蔽需要用心找。', '短评打分': 3}
{'短评内容': '+位置不错环境很好', '短评打分': 5}
{'短评内容': '酒店位置较好，交通比较方便，购物、餐饮、散步都很方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '所预订房间靠近电梯，隔音效果很次，服务员在楼道内的对讲机声音清晰入耳。其他都不错。', '短评打分': 5}
{'短评内容': '市中心区 方便 服务不错 装修新 干净卫生 性价比高', '短评打分': 5}
{'短评内容': '市中心,非常方便.', '短评打分': 3}
{'短评内容': '市中心，非常方便。', '短评打分': 5}
{'短评内容': '服务很好，就是房间太小，而且没有衣柜', '短评打分': 3}
{'短评内容': '就是房间有点小哦，还没有衣柜哦', '短评打分': 5}
{'短评内容': '这个价格来说很不错了 就是电视有点小', '短评打分': 3}
{'短评内容': '这个价格来说各方面还还还不错 就是电视有点小', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还行，位置方便', '短评打分': 5}
{'短评内容': '大床房靠电梯,不爽', '短评打分': 5}
