{'短评内容': '酒店为了不给客人返现  经常与携程说客人没有入住  对比很反感', '短评打分': 3}
{'短评内容': '酒店交通便利 房间较同类酒店宽敞豪华 服务周到 设施齐全', '短评打分': 5}
{'短评内容': '酒店位置很好 房间较同类酒店宽敞豪华 设施齐全 服务周到 ', '短评打分': 5}
{'短评内容': '不错，经常和朋到来这里，感觉物有所值。。。。', '短评打分': 5}
{'短评内容': '这个酒店不错，朋友来了每次都入住，房间比较大，环境好，要是有特价房最好了', '短评打分': 5}
{'短评内容': '房间比较大，位置属于中心地段，相比同等级别的还是不错的', '短评打分': 5}
{'短评内容': ' 酒店环境不错 服务也好', '短评打分': 3}
{'短评内容': '非常不错的酒店，房间较大，还很干净，位置也不错', '短评打分': 5}
{'短评内容': '房间出乎意料的大，住的很舒服，下次还会选择入住\n', '短评打分': 5}
{'短评内容': '跟上次住了同一个房间。房间大，设备设施都很新。服务还是一贯的好，傍晚服务员还送来了牛奶和酸奶。楼下的俏江南和哈里欧咖啡厅都可以挂房帐，非常方便。', '短评打分': 5}
{'短评内容': '房间大，设施齐备，服务态度好，下次还住这儿', '短评打分': 5}
{'短评内容': '酒店的外观，走廊看起来都有些廉价，意外的是房间挺不错的，面积大，设施、卫生也可以。', '短评打分': 5}
{'短评内容': '外观看挺土的，但酒店房间还不错，很大很高，细节虽然一般，但整体设施也还可以，性价比可以。', '短评打分': 5}
{'短评内容': '价位稍微偏高了一些，但是房间装修的还是比较温馨有种家的感觉，但是卫生间地板很滑我当时摔了一跤，位置还是挺方便。', '短评打分': 5}
{'短评内容': '住的还可以，就是价格提后性价比低了。', '短评打分': 3}
{'短评内容': '住的不错。不过咋房价乱涨呢？', '短评打分': 3}
{'短评内容': '能不能把巨大的桶水换成瓶装水？', '短评打分': 5}
{'短评内容': '不错的酒店。性价比较高。就是服务员打扫完房间不喜欢按规矩补齐用品，需改进。', '短评打分': 5}
{'短评内容': '还行吧,特价房间在舞厅上面, 比较吵,要选择稍贵些的商务间', '短评打分': 3}
{'短评内容': '最近的房间里有点冷哦~``', '短评打分': 5}
{'短评内容': '离市政府很近，很方便', '短评打分': 5}
{'短评内容': '冷，很冷', '短评打分': 1}
{'短评内容': '到包头办公住宿该酒店还是可以的，虽然性价比一般，但在包头卫生条件比较可以接受的酒店都比较贵，如果该酒店能提供比较方便的商务餐食就更完美了。谢谢！', '短评打分': 5}
{'短评内容': '地理位置离市政府不远交通非常方便,在包头这边这酒店已经很不错了,性价比很好.', '短评打分': 3}
{'短评内容': '房间太小~`而且仅仅四层的酒店，下面就是夜总会~`嘈杂的很~~`位置还是不错的~``想安静一点~`就加价换他们的商务间住吧~``', '短评打分': 1}
{'短评内容': '酒店现在在装修，所以看起来有些乱，但服务挺好的，地理位置也不错，交通也很便利', '短评打分': 5}
{'短评内容': '当时去酒店的时候电梯是坏的，这点很不好，其他方面还可以吧，服务挺好的，地理位置也不错', '短评打分': 5}
{'短评内容': '周边环境很好，内部设施，房间的格局都很不错，住的很舒适，所在位置自己开车过去会比较方便，它离大路大概有100米左右，门的的出租车少，有客人需要进来时才有车', '短评打分': 5}
{'短评内容': '近日入住，空调调到30度，房间温度只能到19度。向服务员要剃须刀，结果送来的是拖鞋，重申我的要求后再无人答理。', '短评打分': 1}
{'短评内容': '地理位置和硬件都很好，服务略显粗糙，总的来说不错。', '短评打分': 5}
{'短评内容': '经常出门在外的人，住酒店有时候就是讲究一个身心舒畅，我们经常总是说酒店一方面要硬件，一方面要软件，可是我们的酒店，究竟有多少管理者这样去做了，如果您住酒店，您的非常正当的要求，在两个小时内，你的6个电话，可是我们的各种经理们，从来没有人主动来联系你。这就是凯富酒店的管理。', '短评打分': 3}
{'短评内容': '应该说酒店的硬件还可以，但是该酒店的服务理念值得商榷，不是以人为本，以客为本，曾经在8月21日到22日小住两天，酒店在没有任何通知客人的情况下，在外施工，自己连打了6个电话，反映情况，但酒店一方面说已经去协调，然而2个小时内，施工的声音是不绝于耳，可以说有时候连看电视的声音都听不见，而且在打6个电话的过程中，酒店从来没有主动打电话告知处理的情况。唉，失望之极。', '短评打分': 3}
