{'短评内容': '订好的房间直接就被取消了', '短评打分': 3}
{'短评内容': '性价比还不错，以后还会推荐大家去住。就是周边修路影响，否则确实比较方便。', '短评打分': 5}
{'短评内容': '如果要求比较高的客人最好选择豪华房，房间会大一些，标准间房间比较小，楼层在6楼，因前面一直在修高铁，不是很方便，卫生还算比较好～', '短评打分': 5}
{'短评内容': '性价比较高，房间宽敞亮堂，比五星房间还宽，目前门口在修路。', '短评打分': 5}
{'短评内容': '酒店位置还好，房间不错就是洗澡热水太小。', '短评打分': 5}
{'短评内容': '性价比很高，房间很大，条件很好。可以肯定是珠海市同级别酒店性价比最高的一家3星级酒店。', '短评打分': 5}
{'短评内容': '还可以，房间很大，热水很大，淋浴很舒服。服务态度很好。', '短评打分': 5}
{'短评内容': '酒店位置还好，价格还行，房间还可以，服务一般。', '短评打分': 5}
{'短评内容': '卫生不错，干净。酒店外面在施工，道路情况比较差，路也不好走。', '短评打分': 5}
{'短评内容': '酒店总体一般,酒店刚刚装修过,环境还不错,遗憾的是门口在修路,灰尘很大.酒店没有早餐.', '短评打分': 3}
{'短评内容': '酒店环境还算好，距离格力很近。酒店环境还算好，距离格力很近', '短评打分': 5}
{'短评内容': '舒适，卫生，我们很喜欢！', '短评打分': 3}
{'短评内容': '整体感觉还不错，挺干净的，就这个价钱来说值拉。', '短评打分': 5}
{'短评内容': '性价比不错，房间很大，设施还行。就是有点吵！', '短评打分': 5}
{'短评内容': '比相像中要好，房间很安静，卫生也做得很好，房间的装修也很新。不足的地方就是入住时前台的服务员服务态度不是很好，还有厕所花洒的水压太低了点。下次有机会去珠海应该还会继续入住。', '短评打分': 5}
{'短评内容': '感觉酒店很老了，订了标间，后来换了豪标，才感觉比较舒适，干净，只是价钱有点小贵，住的是340元一个晚上，还没有早餐。据说平时价238元，这个价格比较合适。', '短评打分': 5}
{'短评内容': '不错。房间装修和服务态度都不错。交通稍为不便点。', '短评打分': 5}
{'短评内容': '房间比较陈旧，空调漏水，总体还Ok', '短评打分': 3}
{'短评内容': '酒店停舒适。酒店下面菌香园不错', '短评打分': 3}
{'短评内容': '环境不错面积也够大，价格稍高', '短评打分': 3}
{'短评内容': '每次去珠海都会住这家酒店，交通还算便利，豪华大床房的房间里有配电脑，十分方便，房间也很干净，很大。楼下还有菌香园。', '短评打分': 5}
{'短评内容': '比较好。', '短评打分': 3}
{'短评内容': '不错，给朋友预订的酒店，因为新装修，所以还是不错的。在珠海北京酒店算是比较老的酒店了，今年新装修的，性价比提升不少，不错不好的就是没有早餐。不过楼下的菌香园还是不错的哦，推荐尝试。', '短评打分': 5}
{'短评内容': '，干净便宜', '短评打分': 3}
{'短评内容': '环境还可以\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间还好', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '房间比较大，两佰大洋价格中等偏贵。\n大床房带电脑\n洗漱用品每套另收费5元', '短评打分': 5}
{'短评内容': '第二次住这家酒店了，环境不错，附近饮食方便，以后还会在住这家酒店。', '短评打分': 5}
{'短评内容': '房间干净整洁，洗漱套装需另外付费，临街的房间有点吵。。。', '短评打分': 5}
{'短评内容': '豪华大床房有电脑，加上可用无线网。房间环境不错，其他4星级酒店差不多。\n但电梯等等设备陈旧。\n周边华润万家百货在明珠路斜对面，很方便。', '短评打分': 5}
{'短评内容': '除了房间因整修显得公共区域不清楚外，其它房内之设施算是很充配，可惜没有保险箱，美中不足。另外，若是周末人住的话，劝各位愈早到愈到，要不一定没有停车位。', '短评打分': 5}
{'短评内容': '我觉得房间布置、服务水平都可以，就是被褥太潮了', '短评打分': 5}
{'短评内容': '总体还算不错，除隔音效果有点差外。房间大，服务员态度好，干净。刚翻新过的，11楼还在装修，白天有点吵。', '短评打分': 5}
{'短评内容': '大门还有点没有装修完,房间都不错了,设施都越来越好了~', '短评打分': 5}
{'短评内容': '现在除了大门口装修没有弄好之外，内面装修都完成了，房间里设施要比以前好，特别是豪华房更是不错，以后常住！', '短评打分': 5}
{'短评内容': '全新装修,卫生舒适.', '短评打分': 3}
{'短评内容': '新装修的还好，为何没免费早餐？？？？？？？？？？？？？？？？？？？？？？？？', '短评打分': 5}
{'短评内容': '酒店标准间房间都有装修,沙发也是新的,比以前相关设备也好了很多,不错,会常住', '短评打分': 5}
{'短评内容': '外面因装修感觉一般！里面还行…服务也可以…', '短评打分': 3}
{'短评内容': '这家在五一期间收费310元/标准双人间，但是还是物有所值吧！奇怪的是，房里的电脑白天不能用——连电源都不能通电，晚上才能用，我觉得很奇怪！不过也懒得打电话咨询前台究其原因。我们入住的时候，酒店翻新工程接近尾声了，假如价钱还便宜一点就更好了！', '短评打分': 5}
{'短评内容': '这家酒店是五一假期临时预定的酒店，价钱超出了我们平时的范畴，但是还是算得上物有所值。这次我们定了三个房，其中两个挺有情调的，背景墙配上了色彩鲜明的油画，增添了艺术气氛，和平时住的酒店一般的套路不同。要说不好的，就是电梯太慢了，离拱北口岸有点远！附近靠近华联大型超市，所以商业气氛也挺浓，买东西和吃饭还容易解决。', '短评打分': 5}
{'短评内容': '还可以,不过打电话都要钱,不可取。', '短评打分': 3}
{'短评内容': '＋房间不错，就是网速有点慢。', '短评打分': 3}
{'短评内容': '价格实惠，房间的环境不错，设施还好。。。。。。', '短评打分': 5}
{'短评内容': '出差一直住的，现在有新装修的房间不错~ 建意去可以住', '短评打分': 5}
{'短评内容': '出差常住的酒店！比较实惠，现在装修好了，更漂亮了~', '短评打分': 5}
{'短评内容': '太旧了，设施很弱，总觉得不太舒服，哎，失望啊失望啊', '短评打分': 1}
{'短评内容': '性价比算高，但很多房间的设施都有问题，空间没有暖气', '短评打分': 5}
{'短评内容': '已经多次入住了，酒店装修有半年了，外表一直很修，不知道什么时候才装修好！', '短评打分': 5}
{'短评内容': ' 房间装修效果相比一个半月前入住时好了很多，感觉更上档次，标双和很多同类酒店的豪双规格相仿，值得表扬。目前还在外墙装修，拭目以待吧。', '短评打分': 3}
{'短评内容': '设备越来越差，连住二天，二个房间的空高调都是坏的', '短评打分': 1}
{'短评内容': '设备越来越差，服务越来越差~工程人员叫服务，还说等半个小时，半个小时过了又说稍等一下', '短评打分': 1}
{'短评内容': '还算可以，装修有点旧，而且有楼层正在装修，白天比较吵！服务还算可以的！', '短评打分': 5}
{'短评内容': '标准间稍为差一点，平民化消费。豪华间不错。还有电脑可以上网。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '北京酒店还可以就是离市区远一点', '短评打分': 3}
{'短评内容': '酒店位置很好，房间也很大，只是设施稍陈旧了些', '短评打分': 3}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': ' 北京酒店多年来未做装修，外表比较脏乱，流失了不少老顾客。相对于珠海其它酒店来说，它唯一的优势大概就是房间空间较大，不会太感压抑。', '短评打分': 5}
{'短评内容': '吹风机坏了，修一下好么？为啥一定要20个字？现在够了么？', '短评打分': 5}
{'短评内容': '装修蛮旧的，房间蛮大的，灯光比较暗，厕所比较小', '短评打分': 1}
{'短评内容': '国庆期间价格太高，房间内消费品价格也太高了。', '短评打分': 5}
{'短评内容': '离暨南大学校区不远，交通便利，也挺安静，就是服务员不叫不给打扫', '短评打分': 5}
{'短评内容': '北京酒店房间还是够大的', '短评打分': 5}
{'短评内容': '服务真的是差得没有话说，早上八点四十五的车到展馆，结果九点多才来，中间也不给个回复，问态度还及差，再也不住了', '短评打分': 3}
{'短评内容': '服务真的是差得没有话说，早上八点四十五的车到展馆，结果九点多才来，中间也不给个回复，问态度还及差，再也不住了', '短评打分': 3}
{'短评内容': '这次换了个新前台服务不太好，有点高傲！叫她查一下我之前入住的纪录说查不到，不想理这种素质差的人！', '短评打分': 1}
{'短评内容': '\n非常满意', '短评打分': 5}
{'短评内容': '还好，空调有些问题.\r\n房间很大，能满足你干任何事', '短评打分': 5}
{'短评内容': '位置不错，方便，附近有超市、公园、车站，而且吃放方便', '短评打分': 5}
{'短评内容': '该酒店位置好，价格实惠。旧了点，下面的菌香园味道不错。', '短评打分': 5}
{'短评内容': '  珠海北京酒店位置比较方便，周边各种服务齐全，店内员工服务较好。', '短评打分': 5}
{'短评内容': '再次入住，周边施工部知道什么时候结束，其他的还可以', '短评打分': 3}
{'短评内容': '第二次住了,很短的时间内 ，主要办事方便，感觉性价比还可以', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '附近道路施工很大灰尘.附近吃饭的地方不多', '短评打分': 1}
{'短评内容': '经常入住的酒店，有电脑的房间都是新装修的，不错，价格适中，房间大', '短评打分': 3}
{'短评内容': '下次还可能住', '短评打分': 3}
{'短评内容': '感觉还可以 ', '短评打分': 5}
{'短评内容': '是出差经常住的酒店，同等价格中是比较化算的啦~去格力空调办事比较近，比较方便，还会常住~', '短评打分': 5}
{'短评内容': '总体不错！', '短评打分': 3}
{'短评内容': '酒店设施有点老，但是床被什么的都挺干净，而且交通、餐饮和买买东西都很方便，隔音也算好，总体还是不错的！', '短评打分': 5}
{'短评内容': '在前山来说，这应该是很不错的选择了。', '短评打分': 3}
{'短评内容': '还可以的酒店', '短评打分': 5}
{'短评内容': '总体还不错1', '短评打分': 5}
{'短评内容': '在前山附近来说，这已经是不错的了', '短评打分': 5}
{'短评内容': '这个酒店住了好几次，以前卫生间排水不畅，有积水，瓷盆也容易堵，这次全部没有这些问题，不知道是设施重新换了，还是这次给的房间比较好？总之这次很满意。就是打扫卫生的到中午办完事回来还在打扫，不过说了后态度不错。', '短评打分': 5}
{'短评内容': '已经多次住了,主要是去格力办事情方便,性价比是比较高的~', '短评打分': 5}
{'短评内容': '环境还可以，就是服务比较差。', '短评打分': 3}
{'短评内容': '是比较老的酒店了，设施稍微有点旧，但是还是很齐全，配的上三星。交通方便，周围也有很多吃饭娱乐的地方，房间很大，隔音比较好，虽说地处闹市区也可以休息的很好。总体来说很好了，价格适中，下次去还会去住的。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '房间比较大，设施有点旧，还可以。\r\n', '短评打分': 3}
{'短评内容': '前山性价比很高的酒店，房间大，有电吹风，附设餐厅。有免费上网，可惜上网速率有限制，且不能运行迅雷。', '短评打分': 3}
{'短评内容': '房间不小，环境还可以，比较满意', '短评打分': 5}
{'短评内容': '前山性价比很高的酒店，房间大，有电吹风，附设餐厅。有免费上网，可惜上网速率有限制，且不能运行迅雷。', '短评打分': 5}
{'短评内容': '房间虽然新装修过，但有很大的烟味和那种陈旧的气味。一共住了两晚，第二晚电视信号有问题，叫服务生来了两次也没弄好，说是中国电信的原因。离格力比较近，因为到格力办事所以订的这里，估计下次不会再来了。', '短评打分': 1}
{'短评内容': '交通方便，房间安静', '短评打分': 5}
{'短评内容': '    前台服务非常差，小姐没有耐心，也不热情，态度有点恶劣。房间还可以，就是没有一个大灯，整个房间晚上都不是很明亮。', '短评打分': 5}
{'短评内容': '本次住的新装修的房间没上次好,老是出问题,一会儿空调停了,一会儿电脑坏了,一会儿热水器又出问题了,可能是新装修的设备还有一个适应吧~', '短评打分': 5}
{'短评内容': '住的话还是可以的', '短评打分': 5}
{'短评内容': '上周住的北京酒店新装修好的带电脑房间,因为是新装修嘛,当然相关设施要比之前的好很多,东西也都是新的,电脑网速也非常快,不错~~本周还去住', '短评打分': 5}
{'短评内容': '酒店设施虽然老些，但还实用，可以上网，环境还可以，不过2-5楼的娱乐设施给人不安全的感觉，不过总体还不错，性价比较高', '短评打分': 3}
{'短评内容': '早餐不是10元, 很响的地方, 房间是OK.', '短评打分': 1}
{'短评内容': '地点稍微偏点，不过坐车挺方便，还算不错，值得一住。', '短评打分': 5}
{'短评内容': '这家酒店很好,设施也很好,住的很舒适,价格也不错.', '短评打分': 5}
{'短评内容': '越来越差，，\r\n', '短评打分': 3}
{'短评内容': '服务态度不如以前，人员更换频繁', '短评打分': 3}
{'短评内容': 'the waiter sucks,i would  live the hotel second time', '短评打分': 5}
{'短评内容': '房间面积够大，配电脑，上网免费。就是需要登陆（房号和身份证号后四位），提示计费，有时还提示去前台缴费，否则无法登录，搞得我向前台确认了两次到底收不收费，高峰时段网速慢，几分钟不操作就强制离线，很烦人。  另外早餐是广是早茶，不适合北方人，不免费。除餐饮外其它消费不能记房账。\r\n我住主要因为离工作地点近。', '短评打分': 5}
{'短评内容': '房间空间很大，床也很大，只是酒店旧了点，但地段很好，下次会再来', '短评打分': 5}
{'短评内容': '床很大。。真的很大。。是我见过最大的床。。长2米吧 宽居然超过2米。。感觉可以睡5个人都不夸张\r\n\r\n总的来说很干净 房间也不小。。主要是床很大。。。', '短评打分': 5}
{'短评内容': '住这个酒店是一次比一次差，主要是设施上，进去首先是电视只有几个台（不是因为没有开搜索台的机器）然后打电话找服务人员，电话拿起，连接电话机的线就断掉出来了，真的气不过，勉强安上还要按住才能打电话', '短评打分': 1}
{'短评内容': '该酒店总体感觉很不好，设施陈旧，房间感觉很不清爽，而且被子有一股异味，靠近马路，噪音很大。', '短评打分': 1}
{'短评内容': '还不错，经济实惠。', '短评打分': 5}
{'短评内容': '很方便的', '短评打分': 3}
{'短评内容': '可以 ', '短评打分': 5}
{'短评内容': '不错的酒店，房间装修别致，宽敞干净，不错的选择！', '短评打分': 5}
{'短评内容': '服务还算不赖，虽然设施方面不乏陈旧，但划算', '短评打分': 5}
{'短评内容': '位置还行,房间的卫生和设施还是比较不错的,服务也还行,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '我觉得这家酒店性价比还可以，按这个价格来说环境还可以，位置也比较方便', '短评打分': 3}
{'短评内容': '我觉得性价比不高，位置一般，周围吃饭的地方比较少，而且我觉得周围环境比较乱。挺吵的', '短评打分': 3}
{'短评内容': '具有不错的性价比，实惠。但门不可以反锁，睡的不太安心，其他都还不赖。', '短评打分': 3}
{'短评内容': '交通较方便，设施一般，不过价格实惠。不过门有反锁的话安全性会高点。', '短评打分': 5}
{'短评内容': '这次住的房间内的洗手间,冲凉没有办法将放水改为喷头式,因为坏了,让我用起来很不方便,房间暖气时冷时热，住得非常不好！最近几次对北京酒店的评价越来差了，只所以选北京酒店，主要是出差，正好在附近办事才选的，还是希望他们能做更好点，后续我还是希望能去住的', '短评打分': 5}
{'短评内容': '具有不错的性价比，早餐还不错。交通也蛮方便。', '短评打分': 5}
{'短评内容': '这次定的是大床，但工作人员实际给的不是大床，因为住北京酒店有很多次了，后问了服务员为什么没有给大床房，比如10楼的上次住的，他们解释说之前那个房间应该是豪华房，以标准房租的，又说10楼在装修，实际上10楼一样住了人，完全是说谎，让我很不满意', '短评打分': 5}
{'短评内容': '整体不错，设施也没有其它评论的那么旧啦，，还能上网。。嗯感觉挺好', '短评打分': 5}
{'短评内容': '在珠海住了很多家酒店，在这个价位上，而且还这么好，床这么大，房间还蛮大的很少，北京酒店是个不错的酒店，相关四星才提供的东西也都有提供，比如吹风机，小冰箱等等，我现在出差去珠海都住北京酒店，蛮好的~', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '去了之后才知道好啊。', '短评打分': 5}
{'短评内容': '环境和条件感觉一般，整体很一般', '短评打分': 3}
{'短评内容': '整个房间都有烟味，而且房间里面的柜子，地毯都坏的，也不知道换新的，墙皮也都脱落，真是太差了，以后在也不住了', '短评打分': 3}
{'短评内容': '酒店比较一般,设施比较老旧,地理位置还不错,晚上老有骚扰电话很讨厌.', '短评打分': 3}
{'短评内容': '房间味道比较大,设施比较简陋,卫生还可以,酒店周边在修路不太好走.', '短评打分': 3}
{'短评内容': '可能是设备老化的原因，马桶漏水晚上总是能听到滴答滴答的声音，其他的都还还好，毕竟价格便宜', '短评打分': 3}
{'短评内容': '设备久了点', '短评打分': 5}
{'短评内容': '一般般，房间的装修就一般', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '位置偏了点，出去玩要坐很长时间车\n以后去要住在拱北\n不过价格还可以', '短评打分': 1}
{'短评内容': '感觉酒店都还行，干净整洁，服务也不错。就是位置远了点', '短评打分': 5}
{'短评内容': '酒店的设施太老了，卫生方面也很一般，服务还可以挺热情的，酒店位置挺好的，交通很便利', '短评打分': 5}
{'短评内容': '服务还是可以的,价格也挺实惠的,就是他们安排房间不一样,六楼跟八楼的房间设施就有差距.价格方面还算比较实惠了.', '短评打分': 5}
{'短评内容': '服务还是可以的,价格也挺实惠的,就是他们安排房间不一样,六楼跟八楼的房间设施就有差距.价格方面还算比较实惠了.', '短评打分': 5}
{'短评内容': '酒店整体来说还不错，价格和实惠，他的服务，环境和位置也还可以。', '短评打分': 5}
