{'短评内容': '服务很好，态度不错', '短评打分': 5}
{'短评内容': '服务态度不错，环境也可以，总之，性价比高', '短评打分': 5}
{'短评内容': '一直以来都在如家住，住了很多次了，很好。', '短评打分': 5}
{'短评内容': '非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~', '短评打分': 5}
{'短评内容': '非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '整体感觉不错，居住环境干净整洁，地段便捷。 ', '短评打分': 5}
{'短评内容': '整体感觉不错，居住环境干净整洁，地段便捷。', '短评打分': 5}
{'短评内容': '价格是最大的优势，交通也比较方便，临近地铁站，公交站。下次还会选择', '短评打分': 5}
{'短评内容': '环境不错 位置也算好 窖口地铁站出来一直走就是 公交站也在附近 总体来算不错 价格相对较低', '短评打分': 5}
{'短评内容': '非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~', '短评打分': 5}
{'短评内容': '房間不錯,很大很舒服,就是廁所有味道, 隔音不好. 但119不能要求太多', '短评打分': 5}
{'短评内容': '房间有点小，而且隔音比较差，还有就是被单很粗糙。', '短评打分': 5}
{'短评内容': '住的很舒服，不过没有装电脑，不方便', '短评打分': 3}
{'短评内容': '酒店的位置不太好找，楼层内房间分布混乱。找了半天找不到房间。房间干净，也安静。离地铁有点距离。还不错。', '短评打分': 3}
{'短评内容': '环境很不错，洗手间的装修也很好，就是有一点不好，隔音效果差，其他就无可挑剔了', '短评打分': 5}
{'短评内容': '房间比想象的小，卫生还行。隔音不好，离地铁有点小远。但是对于89的酒店来说，已经很不错了。', '短评打分': 5}
{'短评内容': '多次入住如家  这家是最实惠的   不过房间里有一股很浓的酸味  还有房间里的安全通道指示牌掉下来了  希望店家在这些方面改进一下', '短评打分': 5}
{'短评内容': '房间好看~卫生什么的那些都不错，就是感觉要是房间能再亮点就好了，然后上电梯还要刷卡……而且开的双人间只给一张卡，很不方便', '短评打分': 5}
{'短评内容': '还比较舒服', '短评打分': 3}
{'短评内容': ' 很干净不过空调的震动声太大', '短评打分': 3}
{'短评内容': '住着很舒服~好评~', '短评打分': 3}
{'短评内容': '房间还不错。离滘口汽车站不远，交通很方便，吃饭的地方也方便。', '短评打分': 5}
{'短评内容': '具体硬件非常好，感谢也很不错的，比起其他我住过好很多了，只是有一些还是需要完善！\n\n1，WIFI，既然有这个服务，为什么还要设置密码呢？应该不要设置密码或在床头的温馨提示上将密码写出来！\n2，房间电话打前台打不通，找不着人！就是想问WIFI密码的时候，打前面怎么都不方便！\n\n不过总体还是非常满意的，真的有家的感觉！建议入住，另，希望我说的两点还需要改正！', '短评打分': 5}
{'短评内容': '舒适安静，服务周到，清新优雅，网速通畅。', '短评打分': 5}
{'短评内容': '比较安静，离地铁也近！交通便利。挺不错挺干净的 住得舒服！', '短评打分': 5}
{'短评内容': '整体还不错，洗手间很干净，房间面积比较小，但很舒服，服务态度还是不错的', '短评打分': 3}
{'短评内容': '一直在这里住着的，交通便利。服务还蛮好的。', '短评打分': 5}
{'短评内容': '环镜不错,干净舒服,价格又实惠,一个字,超值.有机会还去', '短评打分': 5}
{'短评内容': ' 住得很舒适环境很好。就是近马路有点吵！', '短评打分': 3}
{'短评内容': '比较安静，离地铁也近！\n但是就是位置比较偏，去逛街要做很久的地铁！', '短评打分': 5}
{'短评内容': '服务态度很好，挺舒服的，性价比高，不错不错', '短评打分': 5}
{'短评内容': '经常住的了。交通便利，服务好。推荐住这里', '短评打分': 5}
{'短评内容': '环境不错，交通也很便利', '短评打分': 3}
{'短评内容': '环境不错，就是热水还需要改进、、如果有牛奶就更好啦', '短评打分': 5}
{'短评内容': ' 挺不错挺干净的 住得舒服~好评。', '短评打分': 3}
{'短评内容': '已经住过很多次了，每次来广州都是住在这里，很方便。', '短评打分': 5}
{'短评内容': '酒店  实惠  服务很好 房间里还赠送纯净水 还是值得选的', '短评打分': 5}
{'短评内容': '89元一晚能住到如家的商务大床房，还是在广州，真的是非常划算了。这大床横着竖着都能睡，睡俩人绰绰有余，睡三个也不挤，横着最多能睡四个。房间也很干净，设施也很新。这家店的地理位置不错，交通便利，附近有多个公交站点，两个客运站，一个地铁站，小吃快餐，超市应有尽有，环境还很安静。前台跟保洁的态度也都不错，每次见面都要打招呼问好，下次来广州还住这里，强烈推荐。', '短评打分': 5}
{'短评内容': '环境还好，交通便利，到广州基本上都是住在这里。。。。。', '短评打分': 5}
{'短评内容': '其实离地铁也不算远。网友评论有头发，于是到酒店直接翻枕头看看，并没有头发，但认真细看，吓一跳，有许多小虫，跳蚤类。。。打给前台，叫了阿姨来检查，然后换了一个房间。也翻枕头看看，这次没有跳蚤了，只有头发，还好！', '短评打分': 1}
{'短评内容': '一直在这里住，性价比高，交通便利。距离广州火车站也就几站路。', '短评打分': 5}
{'短评内容': '第N+1次入住了，如家，一如既往的好。我一般都入住如家的。', '短评打分': 5}
{'短评内容': '一直在这里住，交通便利，性价比高。地铁5号线终点站。', '短评打分': 5}
{'短评内容': '房间挺干净，就是保安的服务意识不怎么样了。总体来说还是挺好的', '短评打分': 3}
{'短评内容': 'ok 环境不错 值得一去.................', '短评打分': 5}
{'短评内容': '在广州一直在这里住着，便宜实惠。整体不错，交通也很便利', '短评打分': 5}
{'短评内容': '床挺大，比较干净，但是地板有角落有头发。', '短评打分': 5}
{'短评内容': '入住的是商务大床房，房间有点小，但是很干净，离地铁站有一点远。', '短评打分': 5}
{'短评内容': '服务和安全都做得很好，就是毛巾没有洗干净', '短评打分': 5}
{'短评内容': '第一次入住酒店 给人感觉比较干净，东西设施都比较新，晚上也很安静，推荐一个，下次有机会会再入住', '短评打分': 5}
{'短评内容': '离地铁站有点路程，不过不难找。周边没有什么吃的，楼下有家但是很糟糕。不过在广州能够以这个价格住到酒店，还有什么其他的不能接受呢', '短评打分': 5}
{'短评内容': '环境不错，也挺干净，要是多个晾衣架就更好了', '短评打分': 3}
{'短评内容': '这里的环境很好，布置也挺满意的。下次住酒店，还是选这个', '短评打分': 3}
{'短评内容': '位置偏远一点，其它还不错', '短评打分': 3}
{'短评内容': '很好，性价比高，很满意', '短评打分': 3}
{'短评内容': '感觉还不错。就是位置有点偏远。去哪儿都要倒地铁。 好在离地铁站近，倒到也就到了。有吹风。有穿衣镜。沐浴液和洗发露感觉比其他店好。灯光有点暗，不过有小台灯。周围吃食选择不多。整体好评。', '短评打分': 5}
{'短评内容': '第三次入住了，环境不错\n不过前台速度有点慢，等的时间较长', '短评打分': 5}
{'短评内容': '感觉挺好的。只是隔音有点差。有点偏僻罢了。', '短评打分': 5}
{'短评内容': '离市区较远，所以相对来说价格便宜，内部还是不错的，电视比其他的给力', '短评打分': 5}
{'短评内容': ' 房间很小 很惬意 有些潮湿', '短评打分': 3}
{'短评内容': '很好，挺不错的。。服务到位，环境可以，交通的话，还行。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度也好，还是连锁酒店放心', '短评打分': 5}
{'短评内容': '第3次入住了，酒店还是一如既往的舒服，房间超大，设施很新，空调给力，而且卫生条件很好。美中不足就是网慢了点，房间隔音一般，不过在广州这个城市，这个价位是非常有竞争力的，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '酒店很好，很干净，服务人员的态度也很好。交通也方便。但由于近马路，比较嘈杂，酒店的隔音效果也不是很好，望改进。。总体来讲非常满意！', '短评打分': 3}
{'短评内容': '装修很新，就是远了一点，其他都很好，下次还去', '短评打分': 5}
{'短评内容': '环境好，但是隔壁七天装修，早上很吵，', '短评打分': 3}
{'短评内容': '酒店很新，布置也很好，就是里面有点像迷宫', '短评打分': 5}
{'短评内容': '非常的好，就是有点偏僻，B1出口直走左转5分钟到', '短评打分': 5}
{'短评内容': '房间空间很大，设施非常新，服务周到，交通方便。美中不足的是隔音一般，网速比较慢，周边吃饭的地方不是很多。在广州，这个价位的酒店里算是很不错的了，性价比非常高', '短评打分': 5}
{'短评内容': '不错。B1出口直走然后左转再走差不多4分钟就到了。、', '短评打分': 5}
{'短评内容': '内部比如家条件好些。但是外观和过道比较乱……\n前台地面上放着给顾客用的纸巾、准备卖的卫生巾之类……感觉比较微妙。\n但是房间枕头什么的还可以。\n灯太暗。', '短评打分': 5}
{'短评内容': '终于装POS机了，可以刷卡。位置还不错，交通便利。', '短评打分': 5}
{'短评内容': '干净，舒适，客服也比较，同时交通方便，靠近地铁站', '短评打分': 5}
{'短评内容': '在客运站和地铁站附近，房子很大非常喜欢，有机会再入住。', '短评打分': 5}
{'短评内容': '如家一如既往的好，就是有点远，离地铁站很近。', '短评打分': 5}
{'短评内容': '太远了啦，服务员的态度不怎么好，而且早餐也不怎么好吃哦', '短评打分': 5}
{'短评内容': '比上次住的房间大点，位置原因通风也好了一些，挺喜欢如家的枕头，软硬刚好。', '短评打分': 5}
{'短评内容': '酒店卫生设施还不错，服务和管理还有待改善，没有pos机，离地铁口较近。', '短评打分': 5}
{'短评内容': '位置很好，很好找，服务员也很好，下次去广州还会去住', '短评打分': 5}
{'短评内容': '房间挺好的.交通也挺方便的。.......', '短评打分': 5}
{'短评内容': '位置交通很方便，前台服务也不错，就是太潮湿、太闷……而且到前台结账时才说不能刷卡，现金差点就不够了。', '短评打分': 1}
{'短评内容': '昨日入住，离地铁5号线比较近，酒店内部环境还可以，比较干净。三楼房间号标识指示有待改进，还没装pos机，只能付现金。', '短评打分': 5}
{'短评内容': '交通很便利，有地铁和公交总站。附近快餐什么的也比较多。\n前台的态度不错。\n房间比较小，因为天气和通风不好，比较闷、潮湿，走廊里为了吸水还丢着布，一进房就开空调通风。床被子枕头都干净整齐，枕头很舒服。\n另外，前台说POS机还没到，只能给现金，差点钱就不够了，实在不方便。\n\n综合考虑为了省钱住住还行。\n', '短评打分': 5}
{'短评内容': '挺舒服 交通挺方便 但是附近的能吃饭的地方不多 而且没有找到药店 有突发状况不能应急……', '短评打分': 5}
{'短评内容': '挺干净 不错 预定这间房间的洗手间还挺大的 服务也挺好 就是无窗的房间空气不流通 这点有些不好', '短评打分': 5}
{'短评内容': '酒店交通便利，就在内环高速滘口出口处，滘口站综合枢纽旁边600处，地铁、公交、的士都很方便。而且，这个酒店内部环境也不错，干净整洁，感觉让人舒服。服务员服务态度很好。下次如需广州住宿，还会考虑这家。', '短评打分': 5}
{'短评内容': '房间比较小，但是挺干净的，附近就有公车站、地铁站、客运站，出行很方便。', '短评打分': 5}
{'短评内容': '环境不错，价格合理，服务员态度也很好，很有礼貌，下次会继续光顾', '短评打分': 3}
{'短评内容': '服务很好，卫生也很好，就在地铁边上，以后还会去住', '短评打分': 5}
{'短评内容': '挺干净的 价位也好 就是我订的叫醒服务酒店的服务人员忘记了', '短评打分': 5}
{'短评内容': '内部环境不错，干净，热水充足，空调有暖气，床和枕头都挺舒服。没有保险柜、衣柜。性价比挺高的。不过周边环境因为就在汽车客运站附近，所以比较脏乱，舒适的小饭馆不多。', '短评打分': 5}
{'短评内容': '卫生很好，服务也很周到…虽然是无窗！可也是很温馨的！装饰很好，喜欢这个', '短评打分': 5}
{'短评内容': '很舒适，温馨，值得推荐。服务周到。。。。。。。。', '短评打分': 5}
{'短评内容': '有点环境还不错，离地铁站和车站都很近，方便出行，前面有比较空旷的地方停车，不过是不帮忙保管的，下次有机会还会选择', '短评打分': 5}
{'短评内容': '还好吧。不过床睡得不是很舒服，房间空气不是很好。', '短评打分': 5}
{'短评内容': '非常不错哦,就像家一样暖~', '短评打分': 3}
{'短评内容': '服务很好，还送矿泉水，一进去找房有点头晕，然后服务员很热情的带路。服务态度很不错', '短评打分': 5}
{'短评内容': '环境很好，住得还行，就在广佛路口交通还算方便！', '短评打分': 5}
{'短评内容': '干净整洁,舒适,实惠~', '短评打分': 3}
{'短评内容': '房间环境很好，房间很干净，住得很舒适，床垫很软睡得很好，还有沐浴露超滑的，很喜欢，交通很方便，推荐进住。', '短评打分': 5}
{'短评内容': '环境很不错，装修也很好，房间很干净也很大，交通也很方便。推荐，', '短评打分': 5}
{'短评内容': '三楼的指示房间号不是很清楚，有时会找不到房号在那里', '短评打分': 5}
{'短评内容': '全新的设施，交通方便，室内很温馨，如家的感觉，服务周到，不错，值得推荐！', '短评打分': 5}
