{'短评内容': '早餐挺好的，服务挺好的！康丽服务很好', '短评打分': 5}
{'短评内容': '环境、服务很好，还有水果、报纸送，早餐也很丰盛', '短评打分': 5}
{'短评内容': '   四月五日入住酒店，590元的标A.整体感觉不错，房间够大，一张床四尺半，另一张四尺，够大够舒服。房间也够干净。卫生间12平吧，还带按摩浴缸。进房间还有水果，晚上服务员还送来新华日报和两个毛绒玩具.不过中午到一楼餐厅就餐,本来想吃点西餐快一点,下午去山水园玩,晚上吃鱼头汤,问服务员有没有西餐,支支吾吾的,不为难她们改吃中餐.菜做得味道很好.晚上点鱼头汤,和一个蔬菜.两个人吃了一点就吃不了了,鱼', '短评打分': 5}
{'短评内容': '普标免费升级观景房……真的很好，晚上很安静，很好很好。几年没去，鱼头汤涨价了~~', '短评打分': 5}
{'短评内容': '酒店位置不错，站在阳台上就可以看到天目湖。餐厅的天目湖鱼头汤虽然价格比较高，但的确值。', '短评打分': 5}
{'短评内容': '不符合五星标准，但是酒店的服务不错~值得推荐', '短评打分': 5}
{'短评内容': '觉得达不到五星~但是酒店的服务太好了~~再者地理位置佳~在湖边景区门口', '短评打分': 5}
{'短评内容': '通货膨胀也在酒店得到了体现。房价长了，好像早餐的品种少了。原先可以升级到湖景房，现在也不行了。餐饮服务水平感觉有提高。', '短评打分': 5}
{'短评内容': '这个宾馆的内在设施和服务真是顶瓜瓜,这次订了11个房,总台给了5个大房间,里面各有一个双人床和单人床,很适合一家三口出来旅游,而且这几个房间之间可以打开门相互走动,感觉很有创意,服务很周到,下次还愿意住到这家宾馆来.', '短评打分': 5}
{'短评内容': '很好的酒店，设施及早餐不错。值得推荐入住。下次还会住。', '短评打分': 5}
{'短评内容': '服务非常好，不愧为5星。环境不错，700元的价格入住，值。', '短评打分': 5}
{'短评内容': '服务不错，1.2号入住的，特别表扬下621房间的服务员，看到房间客人放着药盒，特意备好凉茶，还给我们写了留言，很小的细节，看出了酒店的管理水平，谢谢。酒店的餐饮不错，来天目湖，一定要尝下他家的鱼头，不吃要后悔。', '短评打分': 5}
{'短评内容': '鱼头火锅不错，房间都是新翻修了下，还不错！', '短评打分': 5}
{'短评内容': '名不虚传，位置绝佳，服务人员态度很好，自助早餐也不错。唯一不足是淋浴房太小，冲淋不够舒服。', '短评打分': 5}
{'短评内容': '宾馆还可以！', '短评打分': 3}
{'短评内容': '五星級的水準, 訂了標準房, 居然還能看到湖景, 真是賺到了\n飯店軟硬體皆有一定的水準, 服務也是一流.', '短评打分': 5}
{'短评内容': '酒店位置不错，就在天目湖门前，可惜的是酒店起的有点久了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '地理位置不错，就在天目湖边上。订了湖景房从阳台看出去湖光山色很美。\n\n边上就是山水园景色也不错。唯一的遗憾就是国庆人太多了，平时去应该更好\n\n酒店的鱼头汤是整个天目湖最正宗的，试了下味道不错', '短评打分': 5}
{'短评内容': '入住了湖景房感觉上当了，所谓湖景就是窗户外看到湖面,房间床太小了，1127元可以住房间比它的太多了，这个宾馆性价比不高', '短评打分': 3}
{'短评内容': '环境很好，酒店还给升级了房间，下次还住这里。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '房间还算干净，服务人员的态度也是可以的，但是跟5星的标准比还是差了不少。尤其让人不可思意的是居然晚上1点以后把中央空调关了，让我们中秋的夜晚在炎热中度过。', '短评打分': 1}
{'短评内容': ':很好的房间，很好的View，很好的服务! 鱼头么，量有点大（两人），味道还行。', '短评打分': 3}
{'短评内容': '房间好极了，只是入住等待时间有点长', '短评打分': 3}
{'短评内容': '餐厅请提高服务水平！晚上去吃饭时，礼宾说没有零点座位了，要我们在沙发上坐着等，问要多久？答复：不知道！因为带着孩子，不能太晚吃饭，所以就询问餐厅礼宾，哪里有好点的大饭店吃饭，那女人微笑都没有生气地说：我们没有时间出去吃的！不知道！！这是5星的礼宾应该回答的吗？你不知道可以去问其他人，我只要知道答案，这才是你应该做的！！\n第二天中午下楼吃饭，一看我们6人，礼宾就要往包厢里带，半路问包厢有最低消费吗？', '短评打分': 1}
{'短评内容': '这个酒店的硬件还行，服务人员的素质高低相差太大，餐厅的迎宾和服务员最差，满口谎言，明明散座很空，却偏偏说没有了，只有包厢，还要最低消费每位200。餐厅绝对是宰人的。不信就去试试！虽然服务员一直自豪地说：我们这里是唯一正宗的天目湖鱼头,但是味道真得不好吃！肯定没有人会吃第二次！客房的服务员素质最高！值得表扬！前台的服务员不悲不吭，没有宾至如归的热情。整个酒店就在靠名气吃饭！住住店还行，其他餐饮娱乐的', '短评打分': 1}
{'短评内容': '房间不错，服务也不错，鱼头的味道好像没有以前好了。', '短评打分': 5}
{'短评内容': '酒店环境好，服务也可以，房间的设施基本达到五星的标准。', '短评打分': 5}
{'短评内容': '酒店就在山水园旁边，也就50米得距离，房间不错，酒店的鱼头味道不错，就是好贵啊！要两百多元，本来以为五星级的饭店是可以洗个盆浴泡一下啊，没想到是淋浴房。还有就是网上订房的话，拿房卡的时候会有一张优惠券，可以吃饭打95折，买东西打9折，免费桑拿等，大家消费的时候记得带好房卡和优惠券啊。另外，晚上还有夜床服务，给了两个小毛绒兔子\n', '短评打分': 5}
{'短评内容': '酒店不错  餐饮横好 特色 大鱼头很好吃。价格无忧所值。服务优秀', '短评打分': 5}
{'短评内容': '酒店设置、服务均非常好。小孩在床上找到了玩具熊，很是惊喜；看到我们带了小孩，主动给我们换了个大小床房间。这次带家人出游，家人均很满意。下次有机会还会入住。', '短评打分': 5}
{'短评内容': '住了2天，感觉非常不错，服务有超五星的感觉，下次还会选择', '短评打分': 5}
{'短评内容': '酒店服务不错，干净整洁，地理位置优越。我很喜欢，下次还会选择入住。', '短评打分': 5}
{'短评内容': '干净，可以看到天目湖的美景，名副其实的湖景房，很好', '短评打分': 5}
{'短评内容': '早餐太差了  無98元價值  非假日飯店未滿房 入住沒水  卻沒更換同型房間或自動升級 樓 ', '短评打分': 1}
{'短评内容': '不错，价格实惠，满意。下次有机会还会预订。', '短评打分': 5}
{'短评内容': '提点看法：无论人多人少，服务品质都要保证。诚信是金，我想这应该酒店的根本吧！\n\n', '短评打分': 5}
{'短评内容': '又让点评啦，这次带家人去度假，可能是到假期了，房间不能给升级，早餐质量也降低了。提点看法：无论人多人少，服务品质都要保证。我想这应该酒店的根本吧！', '短评打分': 5}
{'短评内容': '真的不错~ 服务质量没的说~  酒店设施也不错', '短评打分': 5}
{'短评内容': '服务很好，环境优越，是很好的宾馆，值得推荐。就是价格偏高，毕竟这是在溧阳，而不是常州市中心。\n', '短评打分': 5}
{'短评内容': '酒店的硬件达不到5星的标准。可服务人员培训的不错，超过了不少5星。。。鱼头一般，可能名气太响了吧。。', '短评打分': 5}
{'短评内容': 'Not easy to find taxi around hotel. Good food and easy to access the park. Nice staff. Higher level rooms cost a bit more for the same senic rooms.', '短评打分': 5}
{'短评内容': '酒店服务一流、员工和蔼可亲，有回家的感觉。', '短评打分': 3}
{'短评内容': '住得蛮好，服务挺好，离景点也近，就是早餐一，希望改进。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '我每年度假都会去3~5次，酒店总体让人感觉好，周边环境也好。客房服务及时周到。是休闲度假的好去处。稍有不足是餐厅服务，服务员不够主动，这次在餐厅用餐竟然有苍蝇飞来飞去，说了二次才处理！希望改进！但瑕不掩瑜吧，推荐去度假。', '短评打分': 5}
{'短评内容': '客房设施环境还可以，价格适中，是天目湖边上还算不错的酒店。', '短评打分': 5}
{'短评内容': '很好的酒店，地点好不说，服务也相当到位。先是给我们的房间免费升级，后来又给孩子送来专用的洗浴用品。早餐也非常好，下次还会去住。', '短评打分': 5}
{'短评内容': '房间窗帘没拖到底,漏光太厉害,没睡好,五星级要注重细节啊。', '短评打分': 3}
{'短评内容': '酒店位置很好，房间也不错，希望各位提前定房，最好周五，和周六避开高峰和高价格！你会好好享受生活！', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '地理位置好,天目湖边上,砂锅鱼头味道鲜美,给力, 酒店服务也没得说,只是作为5星酒店,希望房内设施更像5星级别', '短评打分': 1}
{'短评内容': '宾馆位置好。鱼头汤味道一般，价格偏贵。', '短评打分': 3}
{'短评内容': '挺不错，人性化的服务。\n以前跟随单位会议前来，这次私人度假，更加觉得轻松愉快。订的是湖景房A，到了以后免费升级到湖景房B，非常满意。\n知道我的父母年纪较大，还送了荞麦枕和安睡枕给他们。谢谢！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '酒店非常干净整洁，服务人员非常细心，热心，酒店还有电脑使用，方便住客，很好，下次还会入住', '短评打分': 5}
{'短评内容': '吃住的品质都不错。建议入住客人的景区票价可以相应得到折扣优惠。', '短评打分': 5}
{'短评内容': '服务好，环境好，安静，适合休闲形式的旅游。', '短评打分': 5}
{'短评内容': '鱼头正宗！离公园一步之遥。就是一定要人多，人少吃不完，一个汤就够了。', '短评打分': 5}
{'短评内容': '房间不错，服务质量也比较好，景区里五星级算是不错了，尤其推荐他家的砂锅鱼头，最正宗，358元还是物有所值的，但还要加15%服务费，些许不爽', '短评打分': 5}
{'短评内容': '预定的豪华湖景房，直接升级成套房。房间很大设施很新。环境很好，露天阳台面对着天目湖，风景不错。砂锅鱼头很大份，很正宗。', '短评打分': 5}
{'短评内容': '溧阳天目湖宾馆是一家感觉不错的酒店，每年都会去住几天。酒店房间装饰好，让人感觉很舒适，酒店面对天目湖，让人赏心悦目。总体来说是休假的好去处。有一点感觉希望酒店能改进，酒店美食不错，但服务人员的服务水平有待提高，不够主动，需要进行再培训，才能达到五星级酒店的服务水平。', '短评打分': 5}
{'短评内容': '入住了天目湖宾馆。老爸老妈很喜欢。因为是除夕客人不多，酒店还让我升级了客房。面对湖水，晒着温暖的阳光，心情大好！', '短评打分': 3}
{'短评内容': '挺不错的酒店，只是作为政府部门接待酒店，嘈杂了些。', '短评打分': 5}
{'短评内容': '很好 很方便 吃喝很方便的 周围也还好 风景也是很好', '短评打分': 5}
{'短评内容': '建议立即装修，我们都是看在鱼头的份上去入住的，请宾馆管理者必须考虑重新装修！ \n', '短评打分': 5}
{'短评内容': '溧阳天目湖宾馆宾馆设施已经破旧不堪，挂五星级看视有问题，建议立即装修，我们都是看在鱼头的份上去入住的，请宾馆管理者必须考虑重新装修！ \n', '短评打分': 5}
{'短评内容': '宾馆设施已经破旧不堪，挂五星级看视有问题，建议立即装修，我们都是看在鱼头的份上去入住的，请宾馆管理者必须考虑重新装修！', '短评打分': 1}
{'短评内容': 'good place. very close to Tian Mo lake.', '短评打分': 5}
{'短评内容': '地理位置不错，天目湖风景优美，是度假休闲的好去处。酒店硬件不错，卫生也好。价格稍贵。 ', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 3}
{'短评内容': '很豪华的酒店，对得起五星的招牌，房间面向天目湖，风景绝对宜人。房间的装修很高档，感觉很超值', '短评打分': 5}
{'短评内容': '酒店对面就是天目湖,交通便利.酒店软硬件都不错,订了两间房间,居然内部可以连通,设计人性化.客房服务员主动把孩子的湿衣服烘干并一一装袋放好 ,服务非常贴心.每天都有水果报纸公仔送.非常适合度假的地方.', '短评打分': 5}
{'短评内容': '周边风景优美，但服务有待提高，房间里苍蝇好多啊，这点让人扫兴', '短评打分': 5}
{'短评内容': '很好！干净！风景好！床大！自助餐也不错！点评需要这么多字吗》', '短评打分': 5}
{'短评内容': '房间很好,服务温馨。到天目湖住星级酒店就要选择正规挂牌酒店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境可以,工作人员素质很好,只是餐厅的菜的品种太少太单调,冷菜一共才拾个!', '短评打分': 5}
{'短评内容': '房间不错，但是门口那个感应灯实在是太强大了太灵敏了，睡眠不好的人会完全无法入睡的。如果没有那个神奇的感应灯，还是可以向朋友推荐的。', '短评打分': 5}
{'短评内容': '感觉挺好的，毕竟是五星，虽然有点老，但是很干净，还送了水果，早饭也很好吃，服务态度也很好，位置也不错，就在景点门口，很近，总之很满意吧。。。', '短评打分': 5}
{'短评内容': '鱼头的吸引力比酒店更好，停车位紧张，奉送的桑拿真的应了“便宜没好货”的传说。', '短评打分': 5}
{'短评内容': '感觉不尽人意！天目湖宾馆是把吃鱼头的客人当做上帝的。鱼头不分大小，一律358元！为了欣赏美景，我们特意在长假期间入驻该宾馆，结果一到宾馆就被粗暴的保安“赶”去别的地方找车位。完了又被告知不能点菜，只能吃套餐，而且每顿如此！价格雷人：每人至少180元一套！不管你胃口多大多小！在房间里，可以经常听到走廊以及楼上宴会厅传来嘈杂的声音，午休时常常被楼上凳子椅子拖动的声音惊醒！很难想象这是家五星级酒店。唯一', '短评打分': 3}
{'短评内容': '酒店的位置很好，离公园很近。但没有充足的停车位，让远道而来的自驾客人稍显不便。酒店的客房服务让人非常满意，尤其对小童的照顾让人觉得暖心。餐饮么，除了鱼头汤，可能是由于假期的缘故，客流量太大，很难保证高水准，让人乏善可陈。', '短评打分': 5}
{'短评内容': '天目湖宾馆环境不错，客房服务好！唯一遗憾的是住店客人停车位无法保证。午休时（本人住七楼）楼顶宴会厅整理桌椅的噪音很大！希望细节', '短评打分': 5}
{'短评内容': '地理位置虽然特别好，但也带来一个麻烦，住户要跟游客争车位，我们白天只能停在富子酒店旁边的大停车场，等晚上10点后再去把车停到酒店门口（还不一定会有位子，因为门口停车位很少），湖景房确实正对着天目湖，可惜天目湖不像西湖晚上有夜景看，天目湖晚上是不开灯的，就算游客在里面也只能抹黑游湖，所以等我们回酒店也没有什么湖景可以看了，另外我们是616房间，虽然浴室里的设施是TOTO的，但水温不稳定，忽冷忽热的，', '短评打分': 1}
{'短评内容': '鱼头很好吃，建议节日期间别来，人太多了，不能点菜吃', '短评打分': 5}
{'短评内容': '免费升级的湖景房真的很舒适，景观也不错\r\n酒店的服务不错', '短评打分': 5}
{'短评内容': '服务不错，湖景也很好。', '短评打分': 5}
{'短评内容': '环境不错，平常日性价比还行，节假日就太贵了。', '短评打分': 5}
{'短评内容': '很不错的酒店，服务很到位，对得起5星的标准。酒店的镇店之宝就是鱼头汤，很不错。但是遗憾的是，除了鱼头汤，其他的菜相比之下就和别的5星酒店有差距了～\r\n总的来说，很不错，是当地最好的饭店了！', '短评打分': 5}
{'短评内容': '酒店前台服務很不錯, 房間服務員還幫我小孩準備牙刷和拖鞋.  退房迅速效率很高.  全家很滿意. ', '短评打分': 5}
{'短评内容': '天目湖宾馆住过几次，印象还是很不错的，尤其是这次中秋之行，在一楼的莱茵河餐厅用餐，中午吃鱼头点了两听可乐，晚上再来时，可爱的服务员小姐主动说，还需要可乐嘛，感觉受到了格外的关注，赞一个！\r\n砂锅鱼头还是不错的，就是358元一份略有些贵，古法豆腐很不错，白芹、湖虾都鲜美可口，唯一的不足就是客人实在太多了，有些吵闹，呵呵', '短评打分': 5}
{'短评内容': '酒店卫生，服务，设施等各方面都很好，酒店餐饮环境好，以该酒店著名的砂锅鱼头来说，不错，很贵，他的水煮鱼片，相当好吃，从价格上比，后者的性价比更高。', '短评打分': 5}
{'短评内容': '天目湖大酒店环境优美，酒店服务很好，价格实惠，值得一住。', '短评打分': 5}
{'短评内容': '总体来说上家不错的酒店,面朝天目湖,出门就是山水园；酒店送的自助早餐也不错,小馄饨很好吃；要说缺点的话就是酒店没有游泳池', '短评打分': 5}
{'短评内容': '天目湖宾馆非常好房间干净服务一流性价比高非常值得一住', '短评打分': 5}
{'短评内容': '地理位置的确优越，沙锅鱼头名不虚传，但卫生间没有浴缸，和五星硬件有差距，价格有点偏贵了', '短评打分': 5}
{'短评内容': '很好就是卫生间小了点', '短评打分': 5}
{'短评内容': '酒店设施不错，但是硬件设施离5星还有一定的差距，但是酒店的软件不错，服务员态度热情大方、细致周到，特别是我们楼层的姓钟的服务员，给我留下了很好的影响，下次来天目湖还会选择这家酒店。早餐稍微有所欠缺，迎宾水果味道很好。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '服务态度好，设施齐全。很干净', '短评打分': 5}
{'短评内容': '天目湖宾馆的服务非常到位。鱼头砂锅也名不虚传。地理位置很好,下次来还要住这。', '短评打分': 5}
{'短评内容': '五星级的酒店还是不错的，距离天目湖入口处非常近，酒店的鱼头汤也很好吃', '短评打分': 5}
{'短评内容': '超棒的酒店，环境优美，服务超好，这次旅游选对了酒店\r\n房间很棒，设施很新，很高档\r\n用餐也不错', '短评打分': 5}
{'短评内容': '很方便的酒店,鱼头很好吃', '短评打分': 5}
{'短评内容': '从南京出发，走宁杭高速，在溧阳南出口天目湖的标志牌非常清楚。从收费站出来，只花了5分钟不到就到达酒店了。正好是端午小长假，酒店前停满了车，保安让我们停在土特产店门口，然后收了我们20块停车费。后来我们才知道一天的停车费应该是10块，不过结账时酒店还是为我们报了。前台态度很好，很快帮我们安排好房间。我们问可否现在预订鱼头，餐饮部的人员说不需要，5点以后就餐随点随到。我们订的是湖景房A，在3楼（306', '短评打分': 5}
{'短评内容': '感觉挺不错的！。。。。位置相当好。。。。。鱼头也不错。。。。就是贵了点', '短评打分': 5}
{'短评内容': '酒店感觉和实际的星级还是有些区别，房间的卫生和合舒适度还行，但是服务方面还是需要有一些改善，大厅装修的还是挺不错的，但是房间的设施就比较一般了，价格还是比较能接受的。总体感觉还是挺一般的酒店。', '短评打分': 1}
{'短评内容': '最主要出行方便，值得也很舒服，房间很大。浴室有点欠缺，淋浴房向外渗水', '短评打分': 5}
{'短评内容': '酒店位置不错，房间也不错，服务还需要进一步提高，特别是对长假期间旅游高峰要有应对措施。\r\n\r\n那头早餐人太挤，晚餐少上一道菜，费用却收了。反映至前台也没回音。她们也确实很忙，就算了。', '短评打分': 5}
{'短评内容': '好的我就不多说了。说说遗憾吧，在里面吃了鱼头，好像比较贵，加服务费要400元，外面的100元差不多。还有我们是网站订的，可以免费享受1次桑拿，可去了，女宾不可以享受，应该写明啊！', '短评打分': 5}
{'短评内容': '整体感觉比较舒服，尽管未到想象中的五星界别，但相较这个房价而言，信价比挺高的，还是比较满意的', '短评打分': 5}
{'短评内容': '入住天目湖酒店感觉比较好，鱼头的味道也不错。', '短评打分': 5}
{'短评内容': '不错的宾馆,干净舒适,服务也好,性价比高.', '短评打分': 5}
{'短评内容': '步行到湖区只要2-3分钟，非常的方便，酒店的硬件设施也齐全。值得选择。', '短评打分': 5}
{'短评内容': '酒店的位置都还不错,价格也很优惠,环境很好,配套的硬件也还可以了,位置很好,价格也很合理.', '短评打分': 5}
