{'短评内容': '无语无语无语', '短评打分': 1}
{'短评内容': '酒店很新，东西也很齐全，很好，前台服务也很热情，但是隔音一般，晚上外面有吵架的，听的很清楚，早餐很一般，没有吃，价格比在网上预订的时候有加钱，不知道为什么', '短评打分': 5}
{'短评内容': '隔音不是太好，价格高了点，其他都很好！每间都有窗户，只要不是一楼就都OK', '短评打分': 5}
{'短评内容': '不错，值得推荐，只是离景区远了点，很安静，停车场大，房间装修新，配套齐全。', '短评打分': 5}
{'短评内容': '不错，服务很好，酒店很干净', '短评打分': 3}
{'短评内容': '此次旅行最满意的一家酒店。干净、提供早餐、10项免费项目（如全国电话等），很务实的一家酒店。离机场也不远。性价比较高！', '短评打分': 5}
{'短评内容': '第二次訂這家酒店,很乾淨,一如既往的好,值得推薦.', '短评打分': 5}
{'短评内容': '第二次来住了，离开厦门时还是住那里，不错的。', '短评打分': 5}
{'短评内容': '整体还不错，房间干净，有的房型没有橱子，衣物不好收纳，交通位置还行，出岛方便，比较安静。', '短评打分': 5}
{'短评内容': '有很大的停车位，离机场不是很远，酒店比较新，洗澡的用品是强生和飘柔，很不错的说', '短评打分': 5}
{'短评内容': '一大早起来吃早餐，取消了，说下次来住给你补，网络一天不能用。', '短评打分': 1}
{'短评内容': '  酒店距离机场近，客服也很热心，洗浴品配备真的不错，下次还来住！', '短评打分': 3}
{'短评内容': '干净整洁，国内电话全免费，非常好！出门不远就是大脚丫按摩，很舒适！', '短评打分': 5}
{'短评内容': '价格合适，应在今年才开业--设施非常崭新，洗发水是大瓶飘柔、沐浴露是强生的，早餐也不错，很值得短暂小住！', '短评打分': 5}
{'短评内容': '整条路没有号码，实在太南找，预定的短信息也不能提供其它周边相关信息，根本找不到，', '短评打分': 1}
{'短评内容': '基础设施很好，还配备了茶具和DVD,电视采用的是数字电视，房间也比较大，住的比较舒服', '短评打分': 3}
{'短评内容': '酒店风格我很喜欢，遗憾的是没有餐厅，有些麻烦。', '短评打分': 5}
{'短评内容': '特色大床房的水盆和水龙头挺漂亮的。。。房间干净，但是枕套有点灰', '短评打分': 5}
{'短评内容': '服务很好，免费宽带电话，打印限定数量资料免费，还有叫车服务到酒店门口，挺人性化的，下次还选择这家', '短评打分': 5}
{'短评内容': '可能是十一黄金周的缘故,价钱小贵,不过服务及卫生不错,客房整体环境不错,赞一个', '短评打分': 5}
{'短评内容': '干净卫生舒适，停车方便，赞一个！下次还会再来。\n\n', '短评打分': 5}
{'短评内容': '干净卫生舒适，停车方便，赞一个！下次还会再来。', '短评打分': 5}
{'短评内容': '房间很干净 服务很周到 免费打国内长途 这家店的位置比较偏 离景区比较远', '短评打分': 5}
{'短评内容': '离机场比较近，就三个公交站。如果下机比较晚可以选择这里，只是这边似乎是工业区，比较荒凉。不过也有好处，吃东西比市区便宜得多。酒店环境不错，这价钱算可以了。最后还要说一句，坑爹的厦门政府，苛捐杂税的政府基金', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务很贴心,离机场和sm广场打车都挺近的', '短评打分': 5}
{'短评内容': '小旅馆，房间比较干净，价格便宜，就是太偏了 ', '短评打分': 5}
{'短评内容': '这家酒店非常不错，5月份新开张，设备非常新，干净性价比很高，是在厦门5个晚上住的房间最满意的1个晚上了。', '短评打分': 5}
{'短评内容': '客房条件还过得去，有了宽带，应该配上电脑更为齐全一点，去机场比较方便。如果前台个别服务更好一点就好了。停车场很大。', '短评打分': 5}
{'短评内容': '隔音效果太差 外面声音很容易听到  卫生条件一般 ', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '房間很干淨,物有所值,如果能提供早餐就更完美了', '短评打分': 5}
{'短评内容': '九点整体环境不错，位置也还可以，服务态度也不错', '短评打分': 5}
