{'短评内容': '酒店干净也很新∵，老婆很满意', '短评打分': 5}
{'短评内容': '1、位置很好，周边购物方便\n2、房间很舒适\n3、服务人员态度不错', '短评打分': 5}
{'短评内容': '不错的酒店, 房间很大, 早餐虽然品种不多, 但是味道都不错. 地理位置也很好, 对面就是美食一条街, 不远处还有个大卖场. 缺点是隔音效果一般般.', '短评打分': 5}
{'短评内容': '内部干净，安静，忘记了早餐比较爽，种类也比较多，通过网上定的晚上还有牛奶送的，赞一个。。', '短评打分': 5}
{'短评内容': '内部干净，安静，通过网上定的晚上还有牛奶送的，赞一个。。', '短评打分': 5}
{'短评内容': '酒店装修不错，只是商务房的浴室竟是透明的，招待客人就不方便了。除此之外其它都很到位。', '短评打分': 5}
{'短评内容': '还可以~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '首次入住，感觉不错。', '短评打分': 3}
{'短评内容': '唯一的不足的提价了~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '酒店整體裝修及設備不錯 , 具備四星級酒店條件 , 但服務人員的素質相當差 :前台人員的培訓完全不到位 , 入住登記時說沒接到藝龍網的通知 , 也不主動與藝龍網連系確認 , 就將客人的身份證丟在旁邊不處理 ,讓客人在櫃台前乾等 ; 客人續住兩天前台也完全沒交接 , 拿房卡去重新刷卡 , 前台還搞不清狀況 ; 早餐餐廳的廚師麵煮好後也不說一聲 , 就讓湯麵放在那裡變乾變糊了 , 還說本來就是客人自己', '短评打分': 5}
{'短评内容': '酒店设施环境非常好，房间选择也很多，性价比很高', '短评打分': 5}
{'短评内容': '酒店的洗手间好大,房间也很舒适.性价比不错.', '短评打分': 3}
{'短评内容': '   房間真小阿  ', '短评打分': 3}
{'短评内容': '＋吴丹622号房', '短评打分': 3}
{'短评内容': '服务人员的态度很好，房间条件还不错，性价比可以，但是网速非常慢，调了两次还是非常差，真的很差', '短评打分': 5}
{'短评内容': '品悦酒店位置相当好，装修很精致，晚上很静，就是自助餐地点有点挤，总体还不错', '短评打分': 5}
{'短评内容': '整体还不错，购物方便，有机会会再去还会入住。', '短评打分': 5}
{'短评内容': '品悦不错，舒服，够四星，位置也挺好，早餐种类少点，但做得还不错', '短评打分': 3}
{'短评内容': '设施不错，够四星标准，寻找酒店的过程中，电话中酒店的工作人员换了好几个都说不清楚路怎么走，以至于我差点不想去了，不过实际见到服务人员后，个个都很有礼貌', '短评打分': 5}
{'短评内容': '性价比很错的一家酒店。配置设施都比较不错，价格也比较有优势。', '短评打分': 5}
{'短评内容': '酒店的设施配置全，环境舒适安静。', '短评打分': 5}
{'短评内容': '酒店的服务很不错，酒店员工态度热情，素质专业。', '短评打分': 5}
{'短评内容': '酒店卫生不错，无论大堂还是客房都非常干净，打扫很彻底。', '短评打分': 5}
{'短评内容': '酒店出行还可以，位置条件还可以，不过酒店没有提供什么服务，价格的话其实还是挺便宜的。', '短评打分': 5}
{'短评内容': '这家酒店还不错，房间面积挺大的，卫生打扫的也挺感觉，设施还不错，算是比较齐全，就是有时电视信号不好，服务人员态度还可以了，酒店位于市中心，第一次去可能不太好找，酒店的价格倒是蛮合适的，整体感觉还不错。', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，如果早餐能再丰盛些就更好了。', '短评打分': 5}
{'短评内容': '不错的酒店，读书概念算是锦上添花吧，价格也可以接收', '短评打分': 5}
{'短评内容': '在东莞能住上这么性价比高的酒店，真实令我难以忘怀，装潢、服务、餐饮都非常不错，不输任何一家东莞五星级酒店', '短评打分': 5}
{'短评内容': '房间的卫生和设施还不错，但是这家酒店不收港币，支付起来很不方便，餐饮也不好，这家酒店性价比是还不错的', '短评打分': 3}
