{'短评内容': '位置不错。旁边就是地铁站。购物方便', '短评打分': 5}
{'短评内容': '很差', '短评打分': 3}
{'短评内容': '酒店位置还行，房间住的还算比较舒适酒店也是新的设施也没有太大的问题，就是餐厅小一点。不过价格还是有些偏高大堂也是比较小。房间内部还是可以的也够大的。', '短评打分': 5}
{'短评内容': '新酒店,位置和房间设施不错.软件和大堂/电梯要差.前台小妹迷迷糊糊,电热壶是坏的,换了一个打开里面都是灰.房间没有冰箱.', '短评打分': 5}
{'短评内容': '酒店非常新，床也挺大的很舒服，推荐入住！', '短评打分': 5}
{'短评内容': '设备新，设备管理不好。排气不好。早餐简陋。热水不够。没有送瓶装水。\n不能刷境外卡。其他都不错。', '短评打分': 5}
{'短评内容': '酒店不错，在金沙遗址的边上。大堂稍微小了点。烧水的水壶里面可能是上一位住客煮东西，没有清洗干净。', '短评打分': 5}
{'短评内容': ' +服务较满意', '短评打分': 3}
{'短评内容': '位置比较好的,只是早餐需要改进和变换早餐，', '短评打分': 5}
{'短评内容': '房间还凑合就是房间的宽带安装的位置不对不是在办公桌下面是在床底下当时找都没有找到，价格还是贵了一些，位置还是比较偏周围也没什么商业区，服务也就一般。', '短评打分': 1}
{'短评内容': '地理位置各个方面都比较好，就是太新了，有装修味道', '短评打分': 1}
{'短评内容': '还不错 ~~~ 新酒店  房间很大~~~ 就是 个别房间电视效果差  ', '短评打分': 3}
{'短评内容': '位置挺不错的，离金沙车站很近！性价比可以！', '短评打分': 3}
{'短评内容': '尽管处在西二环郊外上，但由于离金沙车站近，交通便利。挺不错的！', '短评打分': 5}
{'短评内容': '房间电视效果差  服务 和 设施 都不错  还是推荐~~~可以免费停车', '短评打分': 5}
{'短评内容': '除了位置较偏。。。。。。。。。其他尚能将就', '短评打分': 1}
