{'短评内容': '隔音差   服务态度也不是很好  奇怪的是酒店的停车场居然还收费   郁闷   房间太老化了   要是十年之前去住可能挺好的', '短评打分': 3}
{'短评内容': 'm', '短评打分': 1}
{'短评内容': '在福鼎能住这样的酒店，感觉还不错', '短评打分': 5}
{'短评内容': '不错的酒店！下次有机会的话会再来的！！', '短评打分': 3}
{'短评内容': '不错的酒店！值得再次光临！！', '短评打分': 3}
{'短评内容': '不顾客户反映.', '短评打分': 3}
{'短评内容': '完全不顾客户反映,服务态度奇差无比', '短评打分': 1}
{'短评内容': '不错的酒店，下次有机会会再来的！', '短评打分': 5}
{'短评内容': '虽然酒店的位置在市中心，但住宿质量真的不怎么样。酒店停车位很紧张，只能花钱停在旁边的停车场；房间的床单有污渍，打电话让客房服务员换，结果到第二天还是没换；台盆下水不畅，洗毛巾得很小心；空调效果很差；更让人受不了的是晚上停热水了，据说是锅炉坏了，大冷天没有热水洗澡，连洗个脸都是冷水。真是让人郁闷！', '短评打分': 1}
{'短评内容': '刚进入酒店大堂感觉不错，可是到了房间就发现不怎么样：设施普遍陈旧、电话噪音很大、水龙头经常没有热水，还有房间里居然有扇门跟隔壁房间是相连的，不过没办法打开，可是隔壁房间说的话都听的见，感觉心里毛毛的，实在没有安全感。我认为跟200元的价格不相称，实话实说，不推荐这家酒店。', '短评打分': 1}
{'短评内容': '非常不错的一家酒店，门面很小，里面的大厅却非常大，真是金玉其中，各项设施都很精致，装修是很下功夫的，除了砸钱之外还砸了艺蕴的，房间里也不错的，我很满意。', '短评打分': 3}
{'短评内容': '这个城市很小，位置不难找，房间的卫生和设施还行，就是卫生间的面积有点小，服务还可以，整体感觉这家酒店很一般', '短评打分': 3}
{'短评内容': '小城镇，这这样了', '短评打分': 1}
{'短评内容': '非常精致的酒店，大厅、电梯、客房、餐厅都装修很豪华，装修细节更是别具匠心。相对于198元的标间价，非常的超值。\r\n早餐也很不错。\r\n对面就是美食街，夜市也在附近，福鼎的夜市非常的狂热，不过京生酒店闹中取静，非常不错，强烈推荐！', '短评打分': 5}
{'短评内容': '太贵', '短评打分': 1}
{'短评内容': '除了大厅光线暗点，面积小点，其它的一律perfect！', '短评打分': 1}
{'短评内容': '宽带还在装修中，不能用，不过可以无线上网，服务都还不错', '短评打分': 5}
{'短评内容': '一般，价格偏贵！', '短评打分': 3}
{'短评内容': '住的455的商务套房,感觉不爽.&lt;br /&gt;\n1. AE卡不能使用,后使用其他信用卡也不行,结果是他们的银联系统出了问题,搞得我不得不取现；&lt;br /&gt;\n2. 号称商务套间,居然没有宽带!!!!&lt;br /&gt;\n3. 电视机太小,太旧.&lt;br /&gt;\n4. 床头没有总控制开关.&lt;br /&gt;\n&lt;br /&gt;\n好的方面是:&lt;br /', '短评打分': 5}
