{'短评内容': '挺好的，可以考虑一下', '短评打分': 5}
{'短评内容': '每次都住艳阳天，挺不错的', '短评打分': 4}
{'短评内容': '房间虽小，但精致干净，值得推荐，下次去还住。另二楼的菜味道也不错', '短评打分': 5}
{'短评内容': '装修一般，房间比较小！', '短评打分': 3}
{'短评内容': '房间比较紧凑，走道隔音不行，离黄鹤楼较近', '短评打分': 3}
{'短评内容': '酒店比快捷酒店好点，比商务酒店差点把。还是很舒服的，位置那是一个好呢，出门就是司门口，步行去户部巷，而且最主要是的爱路边却不是很吵，下次去武汉，继续住着家！', '短评打分': 5}
{'短评内容': '有点小，挺干净，服务态度好', '短评打分': 3}
{'短评内容': '地理位置较好，价钱及服务均可接受。\n\n早餐安排的很好，值得特别推荐。（如果没有早餐券，需要15元/人）', '短评打分': 5}
{'短评内容': '还行，就是有点吵', '短评打分': 3}
{'短评内容': '环境不错~安静~电视有点小！位置还可以~服务不错', '短评打分': 5}
{'短评内容': '位置很好，就是早上有点闹。房间环境和设施都蛮好。早知道就直接办艳阳天的会员卡了的。下次去办。', '短评打分': 5}
{'短评内容': '非常好的酒店，卫生间稍微小了一点但是 非常舒服 离黄鹤楼很近。是我清明5家里最满意的宜家', '短评打分': 5}
{'短评内容': '我是看了网上的点评，才选这家酒店的。首先，酒店的位置挺便利，去黄鹤楼和户部巷也不是太远（大概15-20分钟路程）。其次，前台的接待服务很热情周到。（入住当晚，我跟服务前台要求多一个枕头，由于入住率比较高，所以前台告知我比较紧缺枕头，未必能提供多一个枕头给我。后来我告知前台，因我患了感冒和咳嗽，气管不好，必须要用两个枕头垫高睡觉，气管才可以呼吸顺畅。过了大概20分钟左右，服务员就将枕头送来给我了。）', '短评打分': 5}
{'短评内容': '交通方便，离武昌火车站和付家坡汽车站非常近，步行到黄鹤楼只有8分钟。周围就有一个步行街，对面就是艳阳天美食城，东西很好吃。房间比较小，厕所也小。唯一的缺点就是对面是一个卡拉OK厅，半夜还有人鬼叫，窗子隔音不是很好。', '短评打分': 5}
{'短评内容': '不足：入住之后发现电视机没有遥控器，下去吃晚饭的时候跟前台提过，也答复会通知楼层解决，结果直到回来到第二天中午退房都没看到有人送遥控器过来。\n优势：地理位置还算方便，距离黄鹤楼，司门口，户部巷都很近，出门就有公交站。这个配置有点对不住这个价格\n    ', '短评打分': 1}
{'短评内容': '酒店前身就是謝先生餐廳這次住的是大床房,酒店位置是不錯靠近司門口,交通也方便,住了2天,房務員也很有禮貌,前台接待也很快也不錯~\n', '短评打分': 5}
{'短评内容': '酒店环境卫生给个好评…', '短评打分': 3}
{'短评内容': '第二次住了，房间感觉不错。唯一不满的是到了预订时间客人没到，酒店没有打电话确认顾客是否需要保留房间，客人担心没房了', '短评打分': 3}
{'短评内容': '环境不错 服务态度也很好 比较喜欢它的卫生间跟中央空调  总体还是很满意的', '短评打分': 5}
{'短评内容': '就向之前顶贴的朋友推荐的那样，地理位置不错，出门右转，直走就到司门口，那里有户部巷早餐，在那一条街上有很多服装店。如果要去汉口，可以在司门口天桥下，皇冠蛋糕店旁的小巷子走到江边去搭船到晴川，江汉路，汉正街。接朋友也方便，坐609就到武昌火车站一带，乘坐出租车也就8块钱。再讲讲酒店设施，毛巾，牙刷什么洗浴用品齐全，在冬天酒店的热水很到位，打开不需等太久就会有热水出来，而且很稳定。特价大床房有电视，有', '短评打分': 5}
{'短评内容': '当时在网上订的是另外一家酒店，回话说该酒店已经没有标准间了。客服推荐了新荆楚黄鹤楼店，说实话真的很好、很干净，下次就直接定新荆楚酒店了啊，并向网友们强烈推荐一下！', '短评打分': 5}
{'短评内容': '位置不错，卫生条件可以，卫生间太小了！离黄鹤楼很近', '短评打分': 5}
{'短评内容': '环境好，隔音效果不错！很喜欢厕所的设计！', '短评打分': 3}
{'短评内容': '挺好的~虽然卫生间比较小，但是也算精致。住着挺舒服，服务态度很好。酒店很新，以后还回去住。', '短评打分': 5}
{'短评内容': '.可以', '短评打分': 3}
{'短评内容': '十房间道是干净，就是太峡小了。', '短评打分': 3}
{'短评内容': '住宿环境和房间设施都比较好,很满意', '短评打分': 3}
{'短评内容': '交通便利离黄鹤楼、户部巷、江滩都很近，酒店服务员服务态度好、房间小了点但功能齐全，酒店的中餐色香味都好。下次还来住', '短评打分': 5}
{'短评内容': '房间很干净，都很卫生，服务员的态度都很好，房间有点小，只适合情侣，就是房间有点矮，对于180的个子会显的有点矮，其他都很好。', '短评打分': 5}
{'短评内容': '除了房间小点，其他的还可以！电视有点太寒酸了,摆放的位置感觉有点别扭，不太习惯！！！另外临街的房间晚上噪音有点大，不过还是物有所值的！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间有点小，风景挺好(能看到黄鹤楼），知道今年缺水，冲凉的水太有感觉了！', '短评打分': 3}
{'短评内容': ' 酒店环境不错 比较卫生 价格也公道  下次还会住这家', '短评打分': 3}
{'短评内容': '虽然酒店没想象中的大，但胜在设施够新，干净。去黄鹤楼很方便，不用坐车，走路就可以了。在酒店餐厅消费也不贵，已经觉得不错了。同事下个月也去，我会向他推荐。', '短评打分': 5}
{'短评内容': '干净卫生，离黄鹤楼很近，走5分钟就到了。', '短评打分': 5}
{'短评内容': '新开的酒店，不错！住的是特价房，后来又加了179元办了一张会员卡。给换了一间大的房间。', '短评打分': 5}
{'短评内容': '位置很好，也很干净，但房间的装修气味太浓，令人感觉很是不好！\n性价比一般！', '短评打分': 1}
{'短评内容': '酒店地主司门口商圈，地理位置好，环境好，服务还可以', '短评打分': 5}
