{'短评内容': '。', '短评打分': 5}
{'短评内容': '地段很好，环境很不错，大床很舒服，网络速度快....并且服务态度好得无法挑剔，真有回家的感觉!~', '短评打分': 5}
{'短评内容': '服务极其到位,干净、舒适、很满意!', '短评打分': 3}
{'短评内容': '城市便捷酒店里环境优雅，符合卫生标准，干净整洁，而且里面有舒适宽大柔软的大床，睡在舒适的大床上，所有的疲劳和烦恼都烟消云散，还提供营养美味的早餐。交通方便，内设有停车场', '短评打分': 5}
{'短评内容': '不错，睡得舒服', '短评打分': 3}
{'短评内容': '位于中心商业区，商场、餐饮等高度集中，有点嘈杂，但也确实很方便，而且居然有停车场，不大，但貌似够用了。', '短评打分': 5}
{'短评内容': '第一次帮朋友订，他很满意！离汽车站很近，很方便', '短评打分': 5}
{'短评内容': '已经是第二次入住这里，这里还是依旧的整齐和干净，位置就在钦州市的市中心区是很方便，购物的吃的都在附近，值得推荐给朋友们', '短评打分': 5}
{'短评内容': '：还可以，但是消费券怎样兑现啊', '短评打分': 3}
{'短评内容': '交通便利,环境还过的去.酒店的性价比比较不错', '短评打分': 5}
{'短评内容': '设施尚可', '短评打分': 3}
{'短评内容': '价格贵了点，但房间卫生打扫的比较干净，还可以。', '短评打分': 5}
{'短评内容': '交通很便利的酒店,而且房间也比较干净,出行方便', '短评打分': 5}
{'短评内容': '就除了床和服务态度值得称赞，其他都不好！', '短评打分': 1}
{'短评内容': '很好,干净，卫生，地处繁华街道，服务娘好。娇滴滴', '短评打分': 5}
{'短评内容': '到广西住宿就选城市便捷，如果当地有的话。', '短评打分': 5}
{'短评内容': '性价比高，细节贴心，是我出行住宿的首选。就是洗浴液盒较难使用，其余满意。', '短评打分': 5}
{'短评内容': '位置很好,房间也不错', '短评打分': 3}
{'短评内容': '优点：1、新开张不久的酒店，设施很好，很干净。2、床还是挺舒服的。3、冷暖空调，这在南方的冬天还是很有用的。\n缺点：1、网线接口有点问题，有的时候会松动，得用手往里推才能接触好。2、早上出门时挂的“请即清理”，中午回来时还没有收拾好，速度有点慢。3、做的叫早居然没叫！', '短评打分': 5}
{'短评内容': '什么都很好，\n就是网速跟不上，\n还有就是沐浴乳的那个东西很难按，\n要用很大力气才能挤出来。\n总体不错。', '短评打分': 5}
{'短评内容': '酒店性价比还是不错的，位置还行，以后有机会还会住。', '短评打分': 5}
{'短评内容': ' 房间比较干净整洁，服务员比较好。但是，房间后面是学校，即使是关窗户，从早到晚也稍微有点吵。另外，附近没啥吃饭的地方，好一点的快餐店虽然不太远，但要乘摩托车或公交。', '短评打分': 5}
{'短评内容': '城市便捷钦州人民路店地理环境便利客房洁净员工服务质量高，早餐品种丰富，总之性价比很高，值得向朋友推荐。', '短评打分': 3}
{'短评内容': '位置、设置和卫生都很好，就是早餐差些。下次有机会继续入住。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '还好，地段还行，就是价格上稍微贵了点。在这种地级市里一般都在100元左右比较合适些。', '短评打分': 5}
{'短评内容': '在钦州这种城市中，这个价格还是有点贵，应该再便宜点才好。', '短评打分': 5}
{'短评内容': '总体感觉城市便捷酒店还是很不错的，就是服务还有比较大的提升空间，前台的工作速度还能提高。', '短评打分': 5}
{'短评内容': '很一般的酒店价，配不上酒店的标价。房间内有刚装修过的味道，但看上去又很旧。', '短评打分': 1}
{'短评内容': '我的出差首选酒店 唯一不足的地方就是 城市布点还不足 希望广州 玉林 梧州 都能有 呵呵', '短评打分': 5}
{'短评内容': '城市便捷永远是我到广西的第一选择。网速慢，这点不能容忍。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '转了一圈，目前还是这个酒店房间设施最好（最新）！', '短评打分': 5}
{'短评内容': '每次都希望入住6002房 房间大而且无噪音。又一次住过5楼，房间小，空调不好用，走廊很嘈杂。总体来说还不错，虽然价钱相对有些贵。', '短评打分': 5}
{'短评内容': '那酒店真不错，以后一定常住，那里的服务员也很热情。', '短评打分': 5}
{'短评内容': '想不到城市便捷这么干净。。比4星的感觉干净多了。下次还住这里，价格也便宜。', '短评打分': 5}
{'短评内容': '酒店不错，性价比相当高。', '短评打分': 5}
{'短评内容': '总体评价不错，就是毛巾太旧了，很容易滋生细菌的，酒店要能注意到这点就好了，还有卫生间的木地板有点霉味了。', '短评打分': 5}
{'短评内容': '地理位置在新老城区之间，房间干净，舒适度高，同类酒店算是上等的了', '短评打分': 5}
{'短评内容': '房间比较宽敞，个人用品也较全，最惊喜的是有一小包洗衣粉，确实比较人性化。下次来钦州，还会住这家酒店。', '短评打分': 5}
{'短评内容': '电话咨询时说商务房就是电脑房，到了开房了要用电脑加收十元。真是郁闷。', '短评打分': 1}
{'短评内容': '还可以,价格合适,卫生,希望保持下去.', '短评打分': 5}
{'短评内容': '城市便捷在钦州来说是相当不错的酒店，我经堂到钦州出差，住过不同的酒店，但还是觉得这家店让我更满意，性价比高，有免费早餐，而且还在市中心，相当的方便，还有一点就是这个酒店的设计比较人性化，房间里面不是清一色的白色，而是暖色，整个房间感觉很温馨。', '短评打分': 5}
{'短评内容': '可以住一住', '短评打分': 5}
{'短评内容': '新酒店，非常好。只是附近吃饭的地方不多。', '短评打分': 5}
{'短评内容': '这是我住过最舒服的便捷酒店，我特别喜欢这里的大床房，房间够宽，1.8米的大床特别的舒服。服务员的态度彬彬有礼，大堂的氛围很好，还有免费的早餐，下次出差我还要住城市便捷酒店钦州店。', '短评打分': 5}
{'短评内容': '比南宁的酒店还要好，就因为新！\r\n入口大堂的灯火太猛了吧？\r\n可以省一奌的，不要太过份！\r\n对自助早餐无语－－\r\n只希望有杯黑咖啡喝喝，不算太奢望吧？\r\n哈哈．．', '短评打分': 5}
{'短评内容': '酒店舒适卫生，性价比高，出差还会选择入住该酒店', '短评打分': 5}
{'短评内容': '都很好，闹中取静的一个酒店，很舒适。\r\n美中不足就是太新了，装修的气味还未散，也建议酒店改善。', '短评打分': 5}
{'短评内容': '新的快捷酒店，很干净，房间也很大。就是装修的味道还很大。\r\n晚上服务员关房门的声音很大。', '短评打分': 5}
{'短评内容': '该酒店在钦州来说是相单不差的酒店，就是早餐简单了一点，在经济酒店来说是不错的，下次到钦州还会入住首先的。', '短评打分': 5}
