{'短评内容': '很好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店是当地最大的酒店，比较干净，服务还可以，就是多要一床被子都没有，只有毛毯提供，有点郁闷！地理位置不错，周围交通方便。', '短评打分': 5}
{'短评内容': '房间装修还是比较简单，酒店位置环境都挺好，服务也一般水平，价格和酒店软件方面不是太符合。', '短评打分': 3}
{'短评内容': '旅游酒店。对散客不是太好，早餐不错，房间环境有的很差不隔音。晚上太吵。', '短评打分': 5}
{'短评内容': '酒店地理位置较佳环璋尚可服务一般', '短评打分': 3}
{'短评内容': '第一次感觉不错，这次很遗憾。只为导游服务的酒店。。。。', '短评打分': 1}
{'短评内容': '酒店卫生条件不错，服务很好周到热情，卫生间提供的洗漱用品很新很全，酒店距离瑞丽江蛮近的，出行方便，酒店有自己的停车场，自驾很方便', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，房间各个角落都蛮干净的，装修布置的不错，房间空间蛮大蛮宽敞的，服务态度不错，很周热情，住宿环境还是很不错的', '短评打分': 5}
{'短评内容': '酒店整体建筑算比较豪华的那种了，前台服务很好周到热情，房间硬件设施齐全，卫生条件不错，住宿环境还是很好的', '短评打分': 5}
{'短评内容': '酒店的软件服务还是不错的，前台服务员周到热情，房间里打扫的很干净，硬件设施配备齐全，酒店附近交通出行还是很方便的', '短评打分': 5}
{'短评内容': '房间基本上以浅色为主，周边出门购物都很方便，前台服务很好周到热情，房间卫生条件不错，打扫的很干净，总体感觉住着很满意', '短评打分': 5}
{'短评内容': '酒店位置不错，到当地最热闹的夜市打车几块钱就到了，卫生状况还可以，很干净，前台服务很好，会主动帮我们拎行李，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店大堂装修的不错，房间卫生条件不错，打扫的很干净，前台服务很好蛮周到热情的，酒店在市中心，出行还是很方便的，舒适度很好', '短评打分': 5}
{'短评内容': '酒店地处市中心，出行还是很方便的，房间隔音效果很好，很安静，硬件设施很齐全，空调，电视都有，服务蛮周到热情的，性价比不错', '短评打分': 5}
{'短评内容': '前台不错，服务很好，酒店大堂装修的不错，采光不错很亮堂，装修比较有民族特色风格的，房间很大，也很干净整洁，住宿环境很好', '短评打分': 5}
{'短评内容': '据说是当地最好的酒店，条件一般，还算干净，马桶有点儿小，隔音一般。没有更好的选择也只能住这儿了。', '短评打分': 1}
{'短评内容': '房间的硬件设施很新，也很齐全，装修的比较现代的感觉，酒店提供的早餐很丰盛，口味也很好，酒店门口出行交通都很方便，住宿条件还是不错的', '短评打分': 5}
{'短评内容': '很旧的酒店了,不过在瑞丽似乎找不到更好的.', '短评打分': 5}
