{'descr': '精力实惠  随便住住还是可以接受的', 'star': 5}
{'descr': '发表对<深圳日月光旅馆（机场店）>的评论(*为必填项)\n发表对<深圳日月光旅馆（机场店）>的评论(*为必填项)\n发表对<深圳日月光旅馆（机场店）>的评论(*为必填项)\n', 'star': 5}
{'descr': '海友客栈太棒了！超预期的服务！\n服务超好！设施比五星酒店还有意思。\n非常适合大学生哦！汉庭海友客栈，给了！\n居然遇到的每一位员工都向我问好，很亲切呦\n离地铁站不远，\n被子是浅蓝色的，非常喜欢，整个酒店蓝色的设计，就像来到大海边一样。\n看重它的附加设施，太全面啦，\n洗衣房、自行车租赁、无线上网、自助咖啡机。。。。\n大厅非常漂亮，有桌球、桌面足球、休息区、秋千。\n内部设施都很有活力哦就连厕所的贴纸都很', 'star': 5}
{'descr': '房间太小了，相同价格的其他酒店要大很多，位置还不错，离狮子桥挺近的', 'star': 5}
{'descr': '挺不错的，下次来南京还来，房间有点小味道', 'star': 5}
{'descr': '挺不错的，下次来南京还来，房间有点小味道', 'star': 5}
{'descr': '酒店不错，干净舒适，交通方便，除了最便宜的房间是没有窗户以外，其他都挺好的。', 'star': 5}
{'descr': '一如既往的好 很舒服。\n现在还有一次性的用具了 交通什么都方便的 酒店人员也都很好。', 'star': 5}
{'descr': ' 客栈的位置环境很好，内部装潢也很有家的感觉，下次还来！', 'star': 3}
{'descr': ' 房间小 灯光昏暗', 'star': 3}
{'descr': '刚开始以为床铺会小，其实大床两个人睡足够了。酒店有提供一次性用品的。去大厅上网速度不快，想玩游戏比较难。卫生条件一般，和老公住了两天，床单是没帮你换的。还是建议住有窗的房间，自己住的就是有窗已经很闷热，很难想象没窗的房间。其他还好。', 'star': 5}
{'descr': '客栈设计的很有爱~~适合年轻人入住！热水很给力！', 'star': 5}
{'descr': '不错，很温馨。。。', 'star': 3}
{'descr': '大厅环境不错，适合年轻人，可是不知是楼上还是隔间，我住的房间还有猫跑猫叫，一夜都没睡好，有些郁闷…', 'star': 3}
{'descr': '房间有点小，床也有点小，不过价格便宜，也挺干净。周围很方便。', 'star': 5}
{'descr': '客栈装修的很有特色，就是房子有点小', 'star': 3}
{'descr': '我住的无窗大床房（榻榻米），房间格局还不错，卫生间的洗手盆和马桶也算精致，蓝色看起来也很舒服，有无线网。。。。不过，那个大床看来应该只有1.2m，跟我想象差一点。总体来讲，还不错。', 'star': 5}
{'descr': '酒店比较有特色，很喜欢。只是房间比较小。', 'star': 5}
{'descr': '位置还可但房间太太小了点，间隔', 'star': 3}
{'descr': '房间有点小，而且不太隔音，出行坐车很方便，总体还行！', 'star': 5}
{'descr': '环境还行，就是\n有点小，总体还行！！！！', 'star': 5}
{'descr': '位置方便，房间干净@下次还会选择！。。。。。。。。。。。。', 'star': 5}
{'descr': '房间实在小的可怜。我都不好意思说了，其实坏境还是一般', 'star': 1}
{'descr': '房间隔音效果不好，没消毒杯子，喝热水要到一楼接。不过性价比较高。', 'star': 3}
{'descr': '感觉跟温馨、适合情侣很不错', 'star': 3}
{'descr': '房间是隔断间，屋里不透气也不隔音，闷热嘈杂。服务员素质较差。第二天退房，还只退了我一半的房价。。。对这次住店经历，我只有无语。', 'star': 1}
{'descr': '房间很温馨…只是有点小…不过还是很喜欢', 'star': 3}
{'descr': '比较又特色的酒店，设备齐全，简单整洁，住的比较舒服。', 'star': 3}
{'descr': '海友确实不错，蛮适合出行选择的，就是房型有点小', 'star': 5}
{'descr': '很温馨！！！！！！！！！！！！！！！！！！去旅行吧', 'star': 5}
{'descr': '跟网上说的一样，真是很文艺的一家店，很喜欢，期待其他分店的入住。酒店从里到外布置都很精致，很适合年轻人，值得推荐。', 'star': 3}
{'descr': '很温馨很舒适,预订的时候没注意,大床房床宽只有１.３５,前台很痛快的给换了同价位的上下铺房.房间不大,但一应俱全.公共区域的康乐设备也很好,前台还有零食出售,有自助洗衣房,大学生出游或者是单人商旅到这里很不错,性价比很高.唯一的缺点是,太潮湿了,也是综合因素决定,南京下雨,一层,无窗,房间小洗澡的潮气排不出去等等.如果介意的话就订有窗的房间吧,反正价格差不了多少', 'star': 5}
{'descr': '地点还不错，离着地铁站还算近，而且步行就可以去狮子桥美食街！比以前在杭州住的汉庭客栈的高低铺要大些，但是，如果是想要那种星级酒店的宽敞的话，还是去住那些贵的吧~嘿嘿嘿', 'star': 5}
{'descr': '设施齐全，真的不错…', 'star': 3}
{'descr': '挺卫生的,不错', 'star': 3}
{'descr': '海友很不错，有各种娱乐设施不会闷，装饰很温馨，交通很方便', 'star': 5}
{'descr': '宾馆太小了，一楼的楼道里还有一股怪味，真让人受不了，而且我们出去玩的时候挂着不让打扰的牌子，他们还进屋打扫房间了，太让人不舒服了，被子简直太薄了，冷！！！', 'star': 1}
{'descr': '个性化的设计，大厅里有桌游，房间外每堵墙上有壁画，我住的特价房，房间虽然小，但是有独立卫浴，一切消费均为自助，是我住过的最有特色的经济快捷性酒店，很棒，我会给朋友推荐这家酒店', 'star': 5}
{'descr': '环境还不错，适合旅行过夜，总体感觉比较好', 'star': 5}
{'descr': '酒店很好，许多地方都很人性化，服务态度很不错。旅游首选啊！！！！！年轻的朋友来肯定特别合适', 'star': 5}
{'descr': '周六住的  靠地铁近 住的基本都是看五月天的歌迷 很好玩  一楼有很多玩的  房间也不错  下次还会选择', 'star': 3}
{'descr': '隔音效果不是很好，其他面都还挺好的，性价比比较高。', 'star': 3}
{'descr': '服务很周到，就是房间有点小，不过对得起这个价格', 'star': 5}
{'descr': '设施、卫生都还不错，经济实惠。周围交通方便，离地铁站近，步行15分钟即可。还有大型商场。    ', 'star': 5}
{'descr': '提供洗漱用具和拖鞋，环境不错，优于汉中门店', 'star': 5}
{'descr': '房间太小，外面什么声音都听的一清二楚，适合背包族和学生住', 'star': 1}
{'descr': '住宿环境很好，交通也很方便，一楼的休闲区也不错，男朋友说以后来还住这里。', 'star': 5}
{'descr': '价格实惠，不刷预授权不方便', 'star': 3}
{'descr': '房间很小，不是很值这个价格。', 'star': 3}
{'descr': '房间很小，房间也没有烧水的，还得跑出去接水，要多接一点，还得跑到一楼。说是大床房，其实床也很小。这是我在网上订的最不满意的一个酒店。', 'star': 1}
{'descr': '房间很小，还算干净，高低床不太结实的样子。总的来说和预想的差不远。', 'star': 5}
{'descr': '很可爱的一家店，女孩子来南京玩的话，应该会喜欢这种风格~~~', 'star': 5}
{'descr': '总体不错!房间温度偏高,通气有差.但还是值得推荐!', 'star': 3}
{'descr': '是住过最不好的房间内置咯! 没有浴巾!喝水要自己打! ', 'star': 3}
{'descr': '住了不止一次了，就是觉得那个空调好像不怎么灵·~~很温馨。', 'star': 5}
{'descr': '地方小了点，不过还是很便宜的，适合单身驴友。', 'star': 5}
{'descr': '地方不错，有吃饭地，安静，价位上有竞争力，可以的', 'star': 5}
{'descr': '房间很小。。。空调温度不高，被子薄 容易感冒。热水很充足，整体不错，适合一个人入住。', 'star': 5}
{'descr': '因卫生间的门上下有空间所以有味，躺在床上能闻到味。\n其他还可以。\n住的时候建议住双层床的房间。', 'star': 1}
{'descr': '确切的说有点差强人意，房间太小，我订的是榻榻米大床间，房间小的可怜，床垫也只有135cm那么宽。房间的窗户比家里的厕所窗户还小，通风条件极差，整个房间弥漫着一股，公共浴室的气味儿。总的来说我很失望。', 'star': 1}
{'descr': '客栈干干净净 还有WIFI 性价比很高，离狮子桥也不远，在美食街吃饱了走走路正好。\n', 'star': 5}
{'descr': '总体不错、安静，特价房比较小，没有窗户，还是正常房间好点', 'star': 5}
{'descr': '很温馨、很人性化，墙上的几米漫画好喜欢。\n无线网络也很给力。', 'star': 5}
{'descr': '价格以及地理位置是还不错的，玄武湖地铁站下来只要走10分钟左右就到了，去玄武湖公园也就10来分钟的事情，但是呢！至少我住的无窗的绝对不行....太闷了！而且那空调完全无法控制，想象一下一条湿毛巾第二天早上已经是彻底干了是什么概念~~隔音效果也不好，半夜3点被外面吹风机的声音吵醒...哎~~~~不过如果不介意的话，里面环境布置还是可以的啦~', 'star': 1}
{'descr': '虽然比较小，但很实惠，建议增加每天消毒的杯子供刷牙用', 'star': 5}
{'descr': '消费券没用明白', 'star': 3}
{'descr': '位置、性价比不错，下次入住还要入住这里。', 'star': 5}
{'descr': '整体还是不错的，就是卫生间的味道不是很好，希望能够改进', 'star': 5}
{'descr': '干净 方便 非常适合来南京的朋友住,可以免费上网.旁边吃的东西不少.', 'star': 5}
{'descr': '这个海友很好，比之前住过的好很多。会提供保温杯，供你接热水，会提供一次性的拖鞋和牙膏牙刷，提供两块毛巾，网线，沐浴洗发护发三合一的液。\n娱乐设施很齐全，在公共区域确实有wii和xbox等，还提供三国杀之类的扑克。（没有实践）\n不过交通稍有不便，我觉得从地铁鼓楼站下车，往北走，比从玄武门下车往南走，会近一点。鼓楼上下车比较适合带大行李的人。\n', 'star': 5}
{'descr': '地段还好，有地铁，离玄武湖很近，靠近湖南路。房间有点小，150一晚有点小贵了', 'star': 5}
{'descr': '环境非常好！安静舒适，很适合学习喔！而且交通也便利…服务员态度也很好呢！很满意！', 'star': 3}
{'descr': '很有特色的一家客栈！房间小了点，榻榻米感觉一个人睡比较宽敞。需要出门打热水喝，这点比较郁闷~ 有的客房没有洗浴间，几间公用的，找房间的时候看到走道里有人刚洗完澡晃着两膀子，还以为自己走到什么地方了~ 总的来说还是值得去体验一下的！', 'star': 5}
{'descr': '我住的房间没有窗，有点闷，空调不给力，价格合适，环境没话说，绝对温馨。下次再来', 'star': 5}
{'descr': '还不错，挺干净的，服务员态度很不错', 'star': 3}
{'descr': '交通方便，性价比较高，不足是房间隔音不好。', 'star': 5}
{'descr': '酒店非常人性化，大爱墙上的幾米漫画！', 'star': 3}
{'descr': '除了有点小，别的挺好的，就是感觉有窗和没窗差别不大，', 'star': 5}
{'descr': '环境可以 人员良好 位置优异 出行方便 经济入住首选', 'star': 5}
{'descr': '第二次入住了，这次的房间别的都挺满意的，就是卫生间里有味道出来，房号是2楼的77号，下次有朋友入住的话最好提前看一下。', 'star': 3}
{'descr': '房间干净可以', 'star': 3}
{'descr': '房间太小了，东西都没什么地方放。地理位置和价格还好。推荐一个人入住，不适合两人入住。空调不起作用，不制冷也不制热。  房间真的特别小，所有房型都一样的小。', 'star': 1}
{'descr': '地理位置好，边上有超市特产店。酒店通风不好，有异味，出行非常方便。 \n隔音效果差', 'star': 1}
{'descr': '交通方便，卫生干净又安静，赞一个！下次出门旅游啥的，还要来住的。', 'star': 5}
{'descr': '一进酒店就有种耳目一新的感觉，整个装潢设计偏年轻化，墙上都是几米的漫画，大厅有免费的桌球、网络、游戏机什么的；房间虽然不大，但很干净整洁，住着很舒服，下次还住汉庭海友！', 'star': 5}
{'descr': '房间干净，服务友好，退房快速，交通便利，商业设施齐全。', 'star': 3}
{'descr': '干净整洁，价格便宜，地理位置也不错。。。。。', 'star': 5}
{'descr': '交通比较方便，价格比较实惠，卫生还可以，就是隔音效果差了点，下次继续住', 'star': 5}
{'descr': '很小很温馨，大厅和客房都是，很干净，不错！下次还来！', 'star': 5}
{'descr': '干净，卫生，蛮不错的，前台服务很不错，下次一定还入住。', 'star': 5}
{'descr': '很好很不错，建议选择大床无窗，便宜好多呢', 'star': 5}
{'descr': '很干净~  挺不错的，就是要是多点毛巾和用具就好了~    ', 'star': 5}
{'descr': '很好，就是不知道为什么会说我弄坏垃圾桶，虽然我什么也没碰到。不过就15块钱，无所谓了', 'star': 5}
{'descr': '很时尚新奇，娱乐方便，性价比很高，房间很喜欢，干净整洁，洗澡尤其舒服。但得记得自己带洗漱用品。希望海友能开得更多。', 'star': 5}
{'descr': '李冬梅已入住', 'star': 3}
{'descr': '整体不错，很实惠\n  空调略吵，木有拖鞋和杯子\n    很温馨', 'star': 5}
{'descr': '价格和地理位置都很合适，房间干净整洁，给我的整体感觉很富有童趣，不像其他酒店，有小窝的感觉~', 'star': 5}
{'descr': '已经入住，觉得挺温馨，也挺干净。就是房子小了点', 'star': 5}
{'descr': '没有拖鞋和一次性用品，要自带，没有电水壶和房内开水源，需频繁出门自提。可还是配备了一块毛巾和地巾，网线配备、热水很给力、床也挺柔软。可以说：该有的都有、该省的则省！从环保角度，还是支持和推荐！', 'star': 5}
{'descr': ' 位置挺好，挺方便的，服务态度也不错，就是没有热水不方便', 'star': 3}
{'descr': '房间比较小，但是很干净，设施齐全，热水很给力，服务人员态度好', 'star': 5}
{'descr': '   海友和网上描述的一致  大家可以放心入住  只要你满意网上的描述即可', 'star': 5}
{'descr': '环境不错，就是隔音效果差，洗漱用具要购买。不过地理位置还行，价格也可以，房间布置挺新颖\r\n签名:^○^', 'star': 3}
{'descr': '酒店环境不错，位置也好，就是没有拖鞋，下次还会考虑这家……', 'star': 5}
{'descr': '很好！很温馨', 'star': 3}
{'descr': '酒店地理位置不错，服务态度很好，价位也比较经济合理，下次还会考虑入住。', 'star': 3}
{'descr': '卫生服务还不错，电视有点小，挂的有点高，睡在床上看不清，隔音不太好', 'star': 5}
{'descr': '感觉还不错    都没开空调   环境好看', 'star': 5}
{'descr': '全自助，旁边有个小饭店。价格偏高点。。走廊里面有药水的味道。隔音效果不好。\n前台很忙，服务不够专业。有问题不能及时解决。在房间里打电话不给提供服务，必须到前台登记，没有电吹风，不方便。洗衣房内的烘干机没什么用。哄半天还是湿乎乎的。\n没事可以打打台球，楼下还有电脑免费上网。\n', 'star': 5}
{'descr': '很不错！就是客栈记得要带上必须的生活用品，拖鞋等。', 'star': 5}
{'descr': '经济实惠的好酒店，娱乐设施齐全，餐饮方便，交通方便，靠近湖南路，玄武湖！！！', 'star': 5}
{'descr': '很好的酒店哦~~~~~~环境很好  服务也很好', 'star': 5}
{'descr': '环境很好，很干净', 'star': 3}
{'descr': '地段很好，离地铁很近。性价比也比较高。但是房间的隔音效果不大好', 'star': 5}
{'descr': '酒店出行方便，卫生条件良好，虽室内空间不大，但很温馨。', 'star': 5}
{'descr': '浴室比较宽敞，最好的是洗澡水，很给力。\n床、枕头和被子不及汉庭快捷的，空调效果不错。\n所有洗漱用品需要自带，还有拖鞋、浴巾。\n不过价钱合适。', 'star': 5}
{'descr': '晚上有点吵 没睡好 不过服务很好 东西落在宾馆里 还能给寄回来 赞一个', 'star': 5}
{'descr': '很漂亮，很人性化。性价比很高，服务态度特别好，就是房间小了点，没有烧热水的水壶。', 'star': 5}
{'descr': '79这个价格很不错，但是缺点也是有的  别的备品没有也可以，但是拖鞋最好还是提供的好，比较洗了澡不能光脚啊，还有我住的房间每次进屋都能闻到淡淡的腥味，类似于口水的腥气，不知道森么原因', 'star': 5}
{'descr': '在这个价位算是蛮好的了。  卫生间干净 入住方便。 不错', 'star': 5}
{'descr': '几米风格的房间还不错，就是没窗户的很闷``', 'star': 5}
{'descr': '总的来说不错，就是房间有点小，有窗的房间比无窗的贵20，但是窗户就一点点，感觉有点不划算，空调不错，还有就是一次性用具不提供有点麻烦，一次性拖鞋好麻烦，洗个澡就湿了，还得再去买，但是总体还好', 'star': 5}
{'descr': '挺干净的，但是唯一一点不好的是，被子实在太薄了。能不能换一下呀。', 'star': 5}
{'descr': '其他都很好 就是电视位置有点高 呵呵 不过很超值了啊 住了六天榻榻米，感觉非常不错 很好', 'star': 5}
{'descr': '感觉像宿舍，房间有点小，但很温馨', 'star': 3}
{'descr': '房间不错，适合学生。如果是希望条件好一点的就可能要另选了，因为旅馆里牙刷，拖鞋都是要买的，吹风和饮用热水都需要在房间外取用。总体还不错，空调很给力', 'star': 5}
{'descr': '还好 不错 地处市中心 价位很实惠 热水空调都很好哦 支持一下', 'star': 5}
{'descr': '清洁卫生，内部配有电脑可上网！交通还算方便，离地铁稍远有1KM', 'star': 5}
{'descr': '这酒店很好，不错，很好找，反着我是这么认为，以后去南京就住这家了，非常适合年轻人居住，很好很好，服务员和设施看着就让人舒服，就是酒店拖鞋和牙刷都是有偿的，不过这点符合低碳', 'star': 5}
{'descr': '环境不错~~平价~~适合年轻人~~地理位置也不错~~', 'star': 5}
{'descr': '这是我这么多年住过的最差的宾馆了，虽然大厅装饰的极其豪华。对于房间里的设施我不得不说，床短了，脚都升不直；床硬梆梆滴 还有枕头  不是睡觉的地方。', 'star': 1}
{'descr': '蛮干净整洁的，就是我那天去的时候下雨鞋湿了吹风还得在过道里吹不太方便，洗漱用品都要自带。', 'star': 3}
{'descr': '房间超赞，不愧好评率这么高，我定的无窗榻榻米，还免费升级到有窗了，就是上网速度有点慢，不过这个价钱已经超值了！', 'star': 5}
{'descr': '首先生命我不是托，那些又想找好的又想贪便宜的喷子请滚远点。我个人认为汉庭海友客栈是很不错的旅店，性价比很好。我住的是榻榻米无窗。创是落地床，空间还不错，我局的同价位有这么大的房间已经很好了。有桌子和椅子。空调是中央式的，效果一般但是足以满足。存在的缺陷就是被子有点小，但也没那么夸张，可以加被子，但是貌似要钱。电视机的位置也确实有问题，躺着看有点吃力。里外值得表扬的是有有线和无线网，但是无线只有一楼', 'star': 5}
{'descr': '非常创意的走廊，房间也很干净', 'star': 3}
{'descr': '一如既往的好，交通方便，适合年轻人。。。。。。', 'star': 5}
{'descr': ' 真的挺不错的，小小的，挺温馨，也很干净，在走廊有设置吹风机，大厅有电脑免费上网，还有很多娱乐设施，服务很周到，价位也很合适。好评！', 'star': 3}
{'descr': '挺好，就是被子小了点，2个人不太够，冬天有点冷的', 'star': 5}
{'descr': '好喜欢这个客栈，好有爱啊，满意满意，特别适合大学生住,物美价廉，交通又很方便,以后还要住这个客栈', 'star': 3}
{'descr': '总体来说是不错的，环境很温馨，大厅游戏设施很有气氛，房间还是比较干净的，就是榻榻米房的被子小了点，非常不适合2个人住~~', 'star': 5}
{'descr': '被子太薄，和空调被差不多。冬天住有点冷。安静还可以。', 'star': 1}
{'descr': ' 鼓楼海友什么都好，就是冬天空调温度不能达到很高，大概刚刚20度左右，可能是因为中央空调的缘故吧。', 'star': 3}
{'descr': '环境很温馨，也很清净', 'star': 3}
{'descr': '整洁干净，就是房间有点小，最遗憾的是当时隔壁吵的厉害，服务人员还没办法。', 'star': 5}
{'descr': '＋酒店还不错，价格不高，适合学生度假！', 'star': 3}
{'descr': '娱乐住宿一体化，价格也不是太贵，还是满核算的，就是隔音效果差了点', 'star': 5}
{'descr': '很有爱，挺漂亮的，服务也很好~价格公道 ，推荐~~~', 'star': 5}
{'descr': '酒店不错，入住的是无窗大床间，位置还比较便利。海友客栈所有的牙刷拖鞋都是收费的，不过也不贵1块钱一样，总体还算不错吧', 'star': 5}
{'descr': '环境不错，免费电脑桌游', 'star': 3}
{'descr': '还不错，挺适合年轻人居住的，价格也比较合适···', 'star': 5}
{'descr': '住的榻榻米房，本来定的无窗的，但是到店后免费升级成有窗的，非常感谢，房间挺大的，卫生方面一如既往的好，以后会常住', 'star': 5}
{'descr': '位置非常好找,傅厚岗站公交下了就看到酒店了,大厅办理入住也非常快,预定的春节特价经适大床房,两个大人一个小孩,住的非常舒服,房间内的网络也很快,需要自己带笔记本,自己没带的话大厅也有一排公用的台式电脑,还有很多游戏设备,非常好的酒店,以后还会入住.', 'star': 5}
{'descr': '总体不错，平常还是挺实惠的，就是节假日加价有点厉害', 'star': 5}
{'descr': '房间比较小，洗澡热水够热，中央空调够给力；没有脱鞋一次性牙刷和水杯，走廊有电吹风和热水', 'star': 3}
{'descr': '住了两次了，都感觉很好,比较规范，干净卫生', 'star': 5}
{'descr': '房间干净，不杂，我比较喜欢大堂。139价格合适。', 'star': 3}
{'descr': '价格低廉，很干净,性价比算是比较高的。不过大床房的床实在是太小了，看在这么低的价格上，也能接受', 'star': 5}
{'descr': '就住一晚的，贪图便宜，结果后了大悔，房间无窗还小的很，里面闷死人。隔音效果差，门口的共用吹风机吵的睡不着。', 'star': 1}
{'descr': '房间略小 不过相对价格可以接受 过道的电吹风瞬间感觉回到了大学寝室 ', 'star': 5}
{'descr': '很有爱的客栈，走廊里全是手绘画。房间虽然小，不过很温馨，各方面不错。热水很热，空调不足。', 'star': 5}
{'descr': '  大床房还不错  空调很给力  换床单一定要叫阿姨 要不他们不会去找你的', 'star': 5}
{'descr': ' 房间设计很好 不大不小 很温馨 喜欢的风格 楼下的设施完备 ', 'star': 5}
{'descr': '还是不错的，地铁出来后要走一段路，环境很好很安静，附近就是湖南路，有吃的有超市有凤凰书城', 'star': 5}
{'descr': '房子小了点。蛮温馨的。没浴巾。。其他的都还好。。有点抠门。。', 'star': 5}
{'descr': '很有特色很可爱~住的上下铺。没有窗子，房间有点小，不过对于学生来说算OK。房间没有煮热水的水壶，要去公共水房打热水，提供的保温壶有点小。。。', 'star': 5}
{'descr': '栈内环境是很不错，只是离地铁还是有一定距离的，步行大概需要5分钟呢~', 'star': 5}
{'descr': '定酒店太麻烦，还不能保留房间，不过还是定好，也就将就着住吧', 'star': 5}
{'descr': '挺好,喜欢大堂气氛', 'star': 3}
{'descr': ' 不错，还可以吧，就是觉得涨价太随意了，南京的规矩比天大。。', 'star': 3}
{'descr': ' 不错，还有热水壶呢', 'star': 3}
{'descr': '性价比高 地理位置不错 设施不错 店内设计挺好的 小年轻的理想之地', 'star': 5}
{'descr': '便宜又好，很不错', 'star': 3}
{'descr': '酒店很干净 就是被子太小 晚上空调有点不好', 'star': 5}
{'descr': '酒店很干净 就是被子太小 第二天换的房间空调不行', 'star': 5}
{'descr': '＋环境挺不错，电视太小了！', 'star': 3}
{'descr': '我和老婆分别住过了，感觉很好，房间虽然小，但性价比高，大堂有免费3小时/天的上网电脑，服务也好。', 'star': 5}
{'descr': '房间太小，托鞋，毛巾什么的最基本的都没有', 'star': 1}
{'descr': '很干净。。。环境不错。。。很多娱乐设施。。。交通也方便，靠近湖南路。。。就是被子好小。。。蛮好的。。。', 'star': 5}
{'descr': '环境不错，就是地方小了点，当然单人房仅适用于要求不高的人群，毕竟公共卫浴感觉不是很方便嘛，想要独立卫浴就别选单人房了，最贵的房型不过139，很实惠了。', 'star': 5}
{'descr': '汉庭海友酒店性价议', 'star': 3}
{'descr': '太有爱了！以后再来南京还住这里！很满意！', 'star': 3}
{'descr': '小巧，还不错。', 'star': 1}
{'descr': '很适合考试族临时居住，比学校周边的宾馆方便便宜安静。', 'star': 5}
{'descr': '现在来南京必住在这，这里环境好、交通方便', 'star': 3}
{'descr': '不是很干净', 'star': 3}
{'descr': '环境还行，就是有点小', 'star': 3}
{'descr': '很好,便宜又实惠.', 'star': 3}
{'descr': '很不错的酒店，离车站也近~', 'star': 3}
{'descr': 'La Ji 比其它快捷酒店差远了 再也不去了', 'star': 1}
{'descr': '还可以吧，就是房间小了点  希望下次去别再预定了房间还不预留了~', 'star': 5}
{'descr': '总体环境还是不错的。就是入住是需要自己带上洗漱用品和拖鞋。。。', 'star': 5}
{'descr': '酒店大堂娱乐设施很多，下次还会住。', 'star': 3}
{'descr': '空调不能自主调温,总体上干净便利,性价比高,不错!', 'star': 3}
{'descr': '房间比较小，显得有点局促。不过，前台那边的设施不错，考虑比较周全，前台服务也好。', 'star': 1}
{'descr': '客栈里透着一股臭味。可能是因为以前是仓库吧，所以比较没有窗户，很多房间都是无窗的，空气流动性差。每个房间有网络接口，但是没有无线网络。可怜了我的ipad。。哭。', 'star': 5}
{'descr': '环境比较闷，整个很压抑，虽然墙上的手绘很有特色，但住着真的不是很舒服。', 'star': 3}
{'descr': '地理位置不错，房间空间小，不提供洗漱用品比较麻烦呃', 'star': 5}
{'descr': '很喜欢这里的风格。。。不过就是有点郁闷没有拖鞋啊。。。。~~~~(>_<)~~~~ ', 'star': 5}
{'descr': ' 入住手续办的很慢，到一楼大厅的娱乐设备很多很好玩 整体不错', 'star': 3}
{'descr': '氛围还不错,房间小了点。一分价钱一分货。', 'star': 3}
{'descr': '我住的的是榻榻米的那种，整体感觉挺温馨的，还不错！也挺环保的~', 'star': 5}
{'descr': '不错的酒店，大堂设计很独特，就是房间没有妥协和牙具有点不方便', 'star': 5}
{'descr': '客房内没有拖鞋实在是不方便，我不希望是一次性的拖鞋，但没有是不能忍受的。', 'star': 5}
{'descr': '精致小巧，不过日用品需自备，其他还好\n1111\n', 'star': 5}
{'descr': '不错，交通也方便。儿子和妈妈特别喜欢。建议住高低铺', 'star': 5}
{'descr': '卫生稍有不足，周围交通便利', 'star': 3}
{'descr': '房子挺大挺干净还不错', 'star': 3}
