{'短评内容': '帮别人订的，速度快，服务好', '短评打分': 5}
{'短评内容': '酒店房间设施陈旧，门咯吱咯吱响', '短评打分': 2}
{'短评内容': '酒店设施陈旧，房间有股发霉的味道，空调没有一点用处，配套餐厅的早点乏善可陈。', '短评打分': 2}
{'短评内容': 'not so bad..........', '短评打分': 1}
{'短评内容': '干净卫生，服务很好，就是房间小了点', '短评打分': 5}
{'短评内容': '酒店干净，服务不错', '短评打分': 5}
{'短评内容': '酒店还是不错的，位置很好交通也方便！', '短评打分': 5}
{'短评内容': '酒店人气旺，周边商铺多，吃饭也方便，酒店还免费升级成豪华双人房。', '短评打分': 5}
{'短评内容': '想不通，明明说了刚订的，我订错了地方，还是不能退款！！！我都无法去入住的地方，还是不能退！！！太死板了！！！根本没有变通！！坑人', '短评打分': 1}
{'短评内容': '条件还行，交通便利，服务还不错，我还回来住。', '短评打分': 5}
{'短评内容': '不错.下回还找本公司订', '短评打分': 3}
{'短评内容': '环境挺一般的，价格相对便宜才选这家，想住环境好的建议别选这家，服务态度也很一般。', '短评打分': 1}
{'短评内容': '这次入住感觉非常差！刚入住时就发现卫生间有残留的水和头发。晚上要用冰箱时，发现冰箱用不了，完全是摆设。没办法只能跟酒店要冰块，折腾了好久才打通前台电话，又被转到餐厅的线，被告知一小桶冰块要15块钱，无语。。。', '短评打分': 1}
{'短评内容': '和同事多次入住该酒店，性价比高，感觉很不错，值得推荐！！！！', '短评打分': 5}
{'短评内容': '环境还可以，性价比还算可以，提供早餐，比较方便。', '短评打分': 5}
{'短评内容': '节假日有点贵。。。如果换做平时的价格还真是不错的。', '短评打分': 5}
{'短评内容': '总体环境还不错，就是自助早餐食物种类比较少，不知道吃什么', '短评打分': 5}
{'短评内容': '卫生可以，服务态度也好。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '周一用两个名字定了两间豪华单人房，周三去check in的时候，说只有一间房两张床的，我们同行两个同事一男一女，能注一起吗，交涉了半天说只有一间房，我说当初订完以后我和Elong再三确认过有房的，前厅小姐和前厅经理一副不愿意解决的样子，说今天房间都满了，后来和Elong电话联系，再三交涉才住上了两间房。前厅态度很不好。\n\n房间内部偏暗，有些地方也不太干净。', '短评打分': 1}
{'短评内容': '住宿条件还好！', '短评打分': 3}
{'短评内容': '酒店还算比较干净的，价格也合理，总的来说应该是很用心做的，但是人超多，档次明显有点打肿脸充胖子的感觉。', '短评打分': 1}
{'短评内容': '离公司近，价格也OK，交通方便，环境还可以。', '短评打分': 5}
{'短评内容': '一般，虽然不是太贵，但离四星标准太远。', '短评打分': 3}
{'短评内容': '网速不错，房间卫生也可以。 \n就是最里边的房间，虽然不临街，但是也有些声音。', '短评打分': 5}
{'短评内容': '酒店大床房很舒服，就是灯光不是很亮。  周围吃饭地方比较多，比较方便。', '短评打分': 5}
{'短评内容': '还不错，地段很好，在福田区中心地带，且价格比较便宜', '短评打分': 5}
{'短评内容': '还不错，就是价格去年280元今年贵了些。', '短评打分': 3}
{'短评内容': '最值得推荐的就是：酒店的大床非常舒服！一晚安睡！太棒了！', '短评打分': 3}
{'短评内容': '性价比非常高的酒店，四星级标准，价格也不贵。早餐时间一直到10点半，可以多睡会。总之非常推荐，下次还想去住那里。', '短评打分': 5}
{'短评内容': '很不错的一家酒店。我会向我的朋友们推荐的。', '短评打分': 5}
{'短评内容': '酒店很干净，豪华间500很便宜，大的要命。里面很安静。老酒店了。门有点老式的感觉，但是房间设施不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，地段也好，价格过得去，服务态度很不错！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通也比较方便，房间干净，装修也很舒服，服务还可以。', '短评打分': 5}
{'短评内容': '该店处于繁华地段，里面设施干净、无味，价格适中。里赛格、华强很近', '短评打分': 5}
{'短评内容': '很好啊。就是窗外有点吵，有点不膈音。', '短评打分': 3}
{'短评内容': '服务不错的, 网速平均30k每秒, 房间内部设施挺适用的, 附近各方面也都挺方便, 到市区等很近. 唯一美中不足是这几天平均每天看到一次小强, 酒店能够加强一下除虫就好了.', '短评打分': 5}
{'短评内容': '酒店不错，但是美中不足是价格偏高点', '短评打分': 3}
{'短评内容': '性价比不错，房间大，设施也还可以，但是在路边，太吵了。', '短评打分': 5}
{'短评内容': '環境好, 交通方便.\n\n女朋友和我都很喜歡, 渡過很愉快的假日.', '短评打分': 5}
{'短评内容': '不错，挺好的。闹中取静，卫生也还可以。就是早餐稍微差点', '短评打分': 5}
{'短评内容': '房间干净，价格性价比高，服务态度还好，下次有机会还会住。停车方便.', '短评打分': 5}
{'短评内容': '還算乾淨,離口岸近交通算方便,若下次參展還會繼續入住', '短评打分': 5}
{'短评内容': '此酒店无论是软件（服务质量），还是硬件（各种设施）均可称为物有所值。当然在管理方面，如门前、接待处等还有改善空间。', '短评打分': 5}
{'短评内容': '很不错.. 一直都有订这间酒店 交通方便 吃饭方便  什么都方便 哈哈 ', '短评打分': 5}
{'短评内容': '很好~住了很多次了~呵呵~！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '吃东西很方便，隔壁就是一个服装城，就是隔音有一点差， 但整体还是不错的。', '短评打分': 5}
{'短评内容': '价钱合理，前台服务员很有礼貌，离华强电子城也很近', '短评打分': 5}
{'短评内容': '很好也很干净，但是走廊上有些客人老大声喧哗..哎', '短评打分': 3}
{'短评内容': '房间很干净，热水很好，网速也挺快的，就是早餐有点贵。前台的服务员有点轴，要是对于客户的需求能够变通一点就更好了。', '短评打分': 5}
{'短评内容': '就是早上太吵了', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': ' 住宿环境不错。', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '电梯需要刷卡才能按楼层，刷一次按一下，感觉这个不错，有安全感。房间也够大。', '短评打分': 5}
{'短评内容': '入住多次了，感觉还可以。提点意见，自助早餐和晚餐的彩色变换一下，老吃几样，都恶心了', '短评打分': 5}
{'短评内容': '位置还可以，性价比较高，关键是面积比较大。', '短评打分': 5}
{'短评内容': '酒店新装修过了，比以前住着舒服点儿。\n价格有点儿偏贵。', '短评打分': 5}
{'短评内容': '地点和服务都不错。 我行李不少， 服务员主动帮我送到房间。\n房间干净， 两个大床， 很舒服。', '短评打分': 5}
{'短评内容': '房间里的窗户太差了，拉也拉不动，看着破破烂烂的，与酒店的星级不符。', '短评打分': 1}
{'短评内容': '酒店距离地铁站比想象的要远，还要路过一片工地，尤其是雨天，很烦人。', '短评打分': 5}
{'短评内容': '酒店位置还是比较好的，地处闹市区，距离华强北路电子城不是很远。', '短评打分': 5}
{'短评内容': '房间里的空调很好，很给力，第一天入住时，感觉很凉爽，不过以后每天会来都要自己开空调，这一点还能理解，节约用电吗。', '短评打分': 5}
{'短评内容': '酒店的早餐比较贵，每位30元，品种虽多，但没有什么特色，说不上是广东口味还是北方口味。', '短评打分': 5}
{'短评内容': '入住维也纳酒店（福华店），感觉还可以，只是比酒店的会员价要贵，还不含早餐。', '短评打分': 5}
{'短评内容': '不错，就是前台的一个小妹态度很差劲，最后是一个美女帮我办理了入住，', '短评打分': 5}
{'短评内容': '价格合理 房间宽敞  就是没有早餐送 ，以后去还可以考虑去住', '短评打分': 5}
{'短评内容': '房间还不错，比较大，房间内装修一般，没有预想的好不过可以接受，价格还算合理', '短评打分': 5}
{'短评内容': '酒店位置方便,卫生间清\ue3d5,空调不夠冷,服务达度好', '短评打分': 5}
{'短评内容': '房间非常大，设施也很全，据说早茶非常好，可惜明早才能知道。周围环境有些装修，这个不太爽', '短评打分': 5}
{'短评内容': '挺好的，安全措施不错，全程都有监控，帮我和朋友找到了丢失的行李，很满意', '短评打分': 5}
{'短评内容': '还行！', '短评打分': 3}
{'短评内容': '酒店前台美女很漂亮，房间基本都差不多，哦对了，不要住14楼以上的房间，因为需要绕道才能上电梯。', '短评打分': 5}
{'短评内容': '住在1702房，旁边好像是什么工作间或者设备间，一到晚上工作人员进进出出，开门时听上去就像是在开我的房间门，夜里好恐怖', '短评打分': 5}
{'短评内容': '设施较陈旧，客房内光线压抑，但服务水平较好，体现了一点：员工好，老板抠', '短评打分': 5}
{'短评内容': '条件不错,价格低', '短评打分': 3}
{'短评内容': '福田区生意超好的酒店，就是电梯太少+速度太慢，还是推荐吧。\n早餐人很多，注意。', '短评打分': 5}
{'短评内容': '价格便宜，位置好  下次还要住。价格便宜，位置好  下次还要住。', '短评打分': 5}
{'短评内容': '环境不错，房间很干净，就是没有行李架，有些遗憾，服务员很热情！', '短评打分': 5}
{'短评内容': '返得金额能帮忙自动充值到手机卡里就好了。', '短评打分': 5}
{'短评内容': '挺好的，服务还可以，就是前台办理速度太慢了，房间很舒服。', '短评打分': 5}
{'短评内容': '酒店条件满意.', '短评打分': 3}
{'短评内容': '房间很大，住得也很舒服，就是装修感觉有点旧', '短评打分': 5}
{'短评内容': '位置不佳，酒店前台服务不太好，我订的是大床房，却偏给我一个标间，要求更换却推说没有房间。晕倒！酒店设施陈旧，房间也很小。', '短评打分': 1}
{'短评内容': '每次来都住这，很不错的，比较舒服，房间环境都OK', '短评打分': 5}
{'短评内容': '位置好，到哪都挺方便', '短评打分': 3}
{'短评内容': '房间比较宽敞，床挺舒服', '短评打分': 3}
{'短评内容': '在这个价位的话酒店还是不错的，但是卫生水平有待加强。。。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店地理位置很好,餐厅的食物也不错,交通方便', '短评打分': 5}
{'短评内容': '酒店的服务态度不错，餐厅的食物也不错，下次还会入住。', '短评打分': 5}
{'短评内容': '位置不错，到哪里都方便', '短评打分': 3}
{'短评内容': '服务好，交通方便，这个客户每次来都指定了维也纳酒店的。', '短评打分': 5}
{'短评内容': '价格虽然有所上调，但可以延迟到2点退房，任是一如既往的推荐！', '短评打分': 5}
{'短评内容': '深圳口碑很好的酒店，床很舒服，睡起来不会腰痛。', '短评打分': 5}
{'短评内容': '每次有客人来 都是住维也纳，感觉还是不错的，交通和吃住都很方便。', '短评打分': 5}
{'短评内容': '环境不错，地理位置也不错，比较舒适，下次还会再住', '短评打分': 5}
{'短评内容': '对酒店服务和房间环境和卫生及停车场的服务都很满意，交通也很方便。', '短评打分': 5}
{'短评内容': '侧楼要通过厨房，味道太重了;设计时应该考虑这个', '短评打分': 1}
{'短评内容': '服务普通,但餐厅和酒店好象外包', '短评打分': 3}
{'短评内容': '态度和环境都很不错~~给人感觉很舒服~很温馨~', '短评打分': 5}
{'短评内容': '酒店服务态度很好，设施都很好房间大，交通也方便', '短评打分': 5}
{'短评内容': '酒店环境不错，中餐厅的菜做得也可以', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': 'The price and location is ok', '短评打分': 5}
{'短评内容': '装修好了，或许会好一些吧，上19楼太痛苦了，那个电梯太脏', '短评打分': 1}
{'短评内容': '酒店在装修，太乱了，而且要经过一楼的厨房，味道太重了', '短评打分': 1}
{'短评内容': '非常差，西洗手间溢水', '短评打分': 3}
{'短评内容': '很好，性价比高', '短评打分': 3}
{'短评内容': ' 一如继往的推荐下维也纳，性价比不错。', '短评打分': 3}
{'短评内容': '每次客户来了，我都会订维也纳酒店，比较实惠，而且服务很好，地段选择的也不错，总是在需要的时候就有一间在附近，下次还选择。', '短评打分': 5}
{'短评内容': '预定了房间下午5点去到还要等他搞卫生。这点要改进，不是一次两次了，经常是这样！', '短评打分': 5}
{'短评内容': '好,非常好的酒店~下次还住~!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '好,非常好的酒店~下次还住~!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '挺好的，整体的感觉都不错，房间挺大挺安静的！', '短评打分': 5}
{'短评内容': '酒店不错 老板很满意~以后还是会住的 YEAH~', '短评打分': 5}
{'短评内容': '还可以，下次到深圳还会住。唯一不足就是房间电视效果差，并且很旧', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '住了两晚,觉得酒店的交通位置不错,性价比高!', '短评打分': 5}
{'短评内容': '非常好~下次还注!!!!!!!!!!第N次入住了！', '短评打分': 5}
{'短评内容': '酒店实施很完备，床比较舒服，但是整体有点旧。前台入住比较慢。性价比OK', '短评打分': 5}
{'短评内容': '酒店环境还好 比较干净 相对于商务人士来说还是比较经济实惠的', '短评打分': 5}
{'短评内容': '可以吧 就是装修呢 有点吵  其他还可以 比较经济', '短评打分': 5}
{'短评内容': '不太好  环境差 而且很吵  早餐也不好    ', '短评打分': 1}
{'短评内容': '订的豪华标间，柜台粗心给了个套间，还是有人在住的，又重新办手续。房间还比较安静，电视信号不太好。', '短评打分': 5}
{'短评内容': '还可以 处于市中心 去那都方便  正在体验、、、', '短评打分': 5}
{'短评内容': '+常住的地方，除了邻街的房间比较吵，其余还好。', '短评打分': 5}
{'短评内容': '酒店位置一般，房间不是很新，性价比一般而已', '短评打分': 1}
{'短评内容': '这次住的特别差，刚入住的时候电脑居然那么难用，根本上不了网，换了个房间更糟糕，连床头灯都没有，退房的时候更郁闷，忘记抽屉里还有钱，结果居然没服务员提醒我，等想起来的时候居然说没看到，郁闷，放了1000大洋在抽屉，会自己跑了呀，以后再也不会来住这个酒店了，以前觉得还不错，没想到住一次伤心一次，打死都不会再来了。', '短评打分': 1}
{'短评内容': '房间虽大，但是显得空荡，家具太旧，尤其是卫生间，太小，淋浴拉上浴帘，第一人洗浴后，满地是水，后边的人没法进去使用，该酒店号称4星级，卫生间连一般的经济型酒店都不如。', '短评打分': 3}
{'短评内容': '卫生很差 房间有霉味 地段还可以 服务一般', '短评打分': 3}
{'短评内容': '有朋友来到深圳，都是安排入住这家酒店，交通便利，房间舒适，距离华强北很近', '短评打分': 3}
{'短评内容': '房间大，价格合理，但卫生间太小，设施简单，连淋浴房都没有，一人洗浴到处是水，第二人简直没法进去使用', '短评打分': 5}
{'短评内容': '不错哦                                   ', '短评打分': 5}
{'短评内容': '+地段、環境都好,下次會再入住', '短评打分': 5}
{'短评内容': '只能 说旧了这酒店 、而且打了几个电话就收了我130多话费、实在是太离谱了、不会再入住这酒店了、', '短评打分': 1}
{'短评内容': '.........................', '短评打分': 3}
{'短评内容': '第N次入住了~经常下午2点到酒店要等服务员搞卫生！其他还行！', '短评打分': 5}
{'短评内容': '十还可以', '短评打分': 5}
{'短评内容': '+还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '总的来说还可以,我们还比较满意。下次到深圳还要选择维也纳。', '短评打分': 5}
{'短评内容': '旧了酒店，位置好，该装修了，服务还不错，', '短评打分': 3}
{'短评内容': '可以不错，位置也好，服务可以，就是这么样，对的起这价钱', '短评打分': 5}
{'短评内容': '帮客户订的，这个酒店还是比较好，已经多次预订了，值得推荐，主要是地理位置方便，价格不贵', '短评打分': 5}
{'短评内容': '感觉四星级的酒店卫生名不副实 今日房间后居然有霉味', '短评打分': 5}
{'短评内容': '比较差，设备太旧。', '短评打分': 3}
{'短评内容': '比较卫生，但早餐比较差点', '短评打分': 5}
{'短评内容': '地理位置好，交通便利，周围有很多餐馆，商店，离皇岗口岸也很近。房间比较大，床也很舒服，适合商务旅行。', '短评打分': 5}
{'短评内容': '朋友来深圳都是订这家酒店给他们住的，还行！', '短评打分': 3}
{'短评内容': '朋友来深圳都是订这家酒店给他们住的，还行！', '短评打分': 5}
{'短评内容': '有点旧了。进去有股发霉的味道。感觉上不是太舒服。', '短评打分': 3}
{'短评内容': '住了几次了。', '短评打分': 5}
{'短评内容': '从北京来深圳办事 住在维也纳 开的是数码E房 。随身带的笔记本也没什么用途了，直接把电视当电脑。卫生很好，环境不错，很适合出差住的酒店。貌似最近严打什么的，同事上楼找人，还要每层登记身份证，不过这样也挺安全的。周边环境可能一般，饮食比较方便，11点下楼买宵夜的时候，碰到几个妖艳的女子上楼，看样子也不太对劲。\r\n总的来说，环境很好，舒适。下次来的话还会再住，要是价格稍微低点就好了。', '短评打分': 5}
{'短评内容': '管理太严格了，毫无理由的，每个来访都要登记身份证，搞得人心惶惶。最后天退房时间晚了一个小时，被多收了半天房费，问题是到退房时间的时候根本没有服务员打电话提醒，后来质问前台的时候，前台居然还说我们房间这么多，不可能一个个提醒的。无语了，他们房间很多吗？搞得别人没住过别的酒店一样。\r\n\r\n反正以后不会再住这个酒店了。', '短评打分': 1}
{'短评内容': '非常好的酒店，下次还来', '短评打分': 5}
{'短评内容': '酒店大堂比较旧，停车不太方便。', '短评打分': 3}
{'短评内容': '维也纳酒店深圳福华店位于繁华路段，交通便利，酒店环境好，很舒适。', '短评打分': 5}
{'短评内容': '最近酒店查的怎么这么严？', '短评打分': 5}
{'短评内容': '很不错的一家酒店，位置很好，就在繁华路段，价格合理。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店比较便宜，但设施较旧。', '短评打分': 1}
{'短评内容': '饭很好吃。', '短评打分': 5}
{'短评内容': '周围有许多吃饭的地。不错。', '短评打分': 5}
{'短评内容': '不推荐了，不过床还是不错', '短评打分': 3}
{'短评内容': '优点：酒店位于繁华地段，比较方便\r\n缺点：设施陈旧，住三天，第一天，锁坏，工人修锁用时30分钟\r\n第二天卡坏，无法进入房间，服务员开门，换卡，下午卡又坏，晚上再次坏，连续无法入房三次\r\n第三天电脑键盘坏，维修5分钟好，下午发邮件，电脑坏，无法修好，换房间，用时一小时\r\n唉，这个酒店，很无语，或许深圳不愁入住宾客，所以不必在乎主客的感受', '短评打分': 3}
{'短评内容': '住了三天，第一天锁坏，维修部修好\r\n第二天门卡坏，换了三次才好\r\n第三天，电脑坏\r\n唉。。。无语\r\n坏了东西打电话没人接', '短评打分': 1}
{'短评内容': '这个价钱可不算好，卫生一般，但床还是比较舒服的，没有什么特别的感觉，下次不会来了！', '短评打分': 1}
{'短评内容': '老牌四星酒店，设施有点旧，酒店可以考虑重新装修已吸引老顾客。', '短评打分': 5}
{'短评内容': '酒店和ELONG合伙诈骗\r\n\r\n我是4.4凌晨1点到店的，准备4.5日中午离店。用ELONG当场订房，选4.4-4.5显示1房晚，酒店说凌晨入店算2房晚，让我订2间房，这样总房晚就是2间房*1晚=2房晚了。我照做了，而且用信用卡预防了押金。\r\n\r\n酒店前台当时说，已经看到ELONG的订单，和爽快的给我办理了。\r\n\r\n10天后，ELONG电话我，说，只入住了1间房，虽然是2晚，但还有1间房没有入住，', '短评打分': 1}
{'短评内容': '还行！', '短评打分': 5}
{'短评内容': '三星的价格，四星的享受', '短评打分': 5}
{'短评内容': '隔音有点差，位置很好。周围环境不太好。', '短评打分': 3}
{'短评内容': '就是楼梯间和餐厅相连很不好，很油腻。', '短评打分': 5}
{'短评内容': '价格偏高！周围的环境不太好！地理位置还不错！早餐贵！', '短评打分': 1}
{'短评内容': '交通便利，距华强北、罗湖口岸都很近价格相比同档次酒店便宜很多。卫生服务都不错住过不后悔。', '短评打分': 5}
{'短评内容': '很不错的酒店， 位置很好， 价格合理， 热水很大， 很舒服， 但早餐不够理想， 早上八点去吃早饭 很多菜已凉了。 ', '短评打分': 5}
{'短评内容': '总的来说还行，床舒服，就是地毯脏了点', '短评打分': 5}
{'短评内容': '经济型酒店，所以要求不能太高，还是可以的。', '短评打分': 5}
{'短评内容': '房内设施一般,最痛苦的事情是我住的是靠马路的一边.整个闹的你是没法入睡.', '短评打分': 1}
{'短评内容': '地理位置很好，很方便', '短评打分': 5}
{'短评内容': '帮同事预订了，他回来反馈酒店很差，几年前有入住过，当时没有那种感觉，所以这次还是让我预订了。没有想到是他不幸运还是酒店设备旧了，他入住的房间网速很慢，卫生间淋浴与马桶没有隔断。水漫金山的。他第二天就换到了不远的汉庭，他感叹又便宜又好。早干什么去了。', '短评打分': 1}
{'短评内容': '地段很不错', '短评打分': 5}
{'短评内容': '性价比比较高的一家酒店', '短评打分': 5}
{'短评内容': '洗手间很小', '短评打分': 5}
{'短评内容': '早餐种类太少，质量有待提高', '短评打分': 5}
{'短评内容': '服务周到，自助餐尤其值得推荐', '短评打分': 5}
{'短评内容': '每次来深圳我都入住这家酒店，已经六年了，不错。', '短评打分': 5}
{'短评内容': '他們說藝龍旅行網上的數碼E房都是雙人床的.. 我明明是要了數碼E房單人床的.. ', '短评打分': 1}
{'短评内容': '客房的床很舒服，我喜欢', '短评打分': 5}
{'短评内容': 'very good, but can be better', '短评打分': 5}
{'短评内容': '找回了上次遗忘在酒店内的杯盖，不能对服务给予“非常好”的评语。', '短评打分': 5}
{'短评内容': '位置还是不错的,出行比较方便,但房间的条件不太好,卫生打扫的不干净,而且楼道里也很吵,不太舒适.', '短评打分': 3}
{'短评内容': '酒店位于繁华地段,出行很方便的,酒店服务卫生方面也很不错,房间打扫的很干净,住起来很舒适的,价格方面我觉得还是比较合适的.', '短评打分': 3}
{'短评内容': '酒店环境不错，豪双房间较大，性价比高', '短评打分': 5}
{'短评内容': '没有热空调不好', '短评打分': 5}
{'短评内容': '整体可以，但显旧', '短评打分': 5}
{'短评内容': '不得不说，网速超快。值得推荐。', '短评打分': 5}
{'短评内容': '我觉得性价比一般，主要是房间环境不行，硬件设施不太好，别的还可以', '短评打分': 3}
{'短评内容': '环境较好。', '短评打分': 3}
{'短评内容': '酒店总体感觉很好，比较干净', '短评打分': 5}
{'短评内容': '比同价位的如家 酒店环境舒服，餐厅的餐饮服务很好，口味也不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房間地方空間較大，這個性價比算不錯。', '短评打分': 5}
{'短评内容': '位置还是不错的,位于市中心,出行都很方便,主要离我办事的地方很近,但房间的条件很一般,不过价位还是比较符合的.', '短评打分': 3}
{'短评内容': '我每次去深圳的时候都会住这家酒店感觉真的还不错,房间的卫生和设施挺好的,服务态度也不错,附近的交通挺方便的,性价比挺高的,总体感觉还是挺不错的酒店很满意.', '短评打分': 3}
{'短评内容': '一般，房间布置比较陈旧，电梯少，太慢了！', '短评打分': 5}
{'短评内容': '电梯不是很合理，住的房间出来最近的电梯到一楼要绕一大圈到大厅，2点多到房间还没收拾好，结账时看到前台有些乱。其他还好吧', '短评打分': 5}
{'短评内容': '地点好，价格不 高', '短评打分': 5}
{'短评内容': '地理位置不错，房间也很大，设施旧了点，卫生不错，服务也不错。', '短评打分': 5}
{'短评内容': '朋友推荐入住, 性价比不错, 地理位置较方便', '短评打分': 5}
{'短评内容': '价格比较便宜，自助餐也很丰富~卫生也很好！总之比较满意！', '短评打分': 5}
{'短评内容': '总体来说是不错的，处于闹市区，交通和吃饭都很方便，就是洗手间有点不太好，其他都ok.', '短评打分': 5}
{'短评内容': '酒店各方面的条件感觉都还可以,位置也不错,就是价稍微贵了点.', '短评打分': 5}
{'短评内容': '酒店的卫生很好，服务也很周到，价格便宜，地理位置好', '短评打分': 5}
{'短评内容': '我住的几天感觉不错，位置也方便，但房间的床单、被罩不是天天换，只是整理一下，原来住的别的酒店好象都是天天换的，这点希望能提高', '短评打分': 5}
{'短评内容': '酒店位置很好,房间内也很干净,而且布局风格很喜欢,不过设施有些旧了.整体比较满意,如果价格能含早餐就更好了', '短评打分': 5}
{'短评内容': '我住的是标间，感觉性价比高，装修不算最新的，但是走道房间的小天使雕像和油画给人很舒适高档的感觉，还不错', '短评打分': 5}
{'短评内容': '感觉还可以，干净整洁，服务也不错。', '短评打分': 5}
{'短评内容': '肯定达不到4星；卫生还好；服务就是前台速度较慢；设施一般；舒适度也是一般；但位置很好，很方便；价格很便宜，对于同等价位的酒店应该是很好的。', '短评打分': 5}
{'短评内容': '酒店的服务员和前台工作人员态度很好，房间的面积也够大。酒店所在的地段很方便，周围有很多餐馆和购物中心。如果在地上把淋浴区与厕所隔开，以防洗澡水到处流，就更舒适了。总之性价比很高。', '短评打分': 5}
{'短评内容': '房間很不錯物超所值.但前台處理速度太慢.服務人員連個地鐵站在哪都不知道.早餐還不錯.值得推薦!', '短评打分': 3}
{'短评内容': '是有很多问题如人杂,结帐慢等,但便宜,还不错.', '短评打分': 3}
