{'短评内容': '位置,卫生,性价比都是不错的酒店,就是服务人员,培训不到位,上一次入住结账,把上一位退房客人的洗衣费69元算到我账单上了,还好我仔细看了一下,不然就被黑了!这次来,办理登记收了1500押金,结果押金单打的1200,又被我发现了,不然300元要被黑了,还在未告知的情况下,给我开了无烟房,我是烟民呀,这不剥夺人权嘛,在我要求下换了房间,这给入住带来了不方便,希望能服务认真点,素质有待提高', '短评打分': 5}
{'短评内容': '周边交通便利', '短评打分': 4}
{'短评内容': '一百元能住上标准双人间很值得，地方很宽敞，床也很大很舒适，很不错，不过住上百元特价房还是需要一些运气的', '短评打分': 5}
{'短评内容': '房间有点小 淋浴间太狭窄', '短评打分': 5}
{'短评内容': '位置不错，房间干净', '短评打分': 5}
{'短评内容': '交通方便！', '短评打分': 5}
{'短评内容': '交通方便\r\n卫生比较好\r\n设施也比较齐全', '短评打分': 3}
{'短评内容': '还可以\r\n', '短评打分': 5}
{'短评内容': '此酒店位置、服务都很好。', '短评打分': 5}
{'短评内容': '位置好，交通方便 在闹市', '短评打分': 5}
{'短评内容': '酒店的位置还不错，出行交通很方便，价格合理适中，卫生服务也很达标，比较不错的连锁型酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '位置比较好找，前台服务太差，房间有点小', '短评打分': 5}
{'短评内容': '周日百元特价房性价比很高，不过希望白天装修注意别影响客人休息', '短评打分': 5}
{'短评内容': '挺好，房间装修一般\r\n', '短评打分': 3}
{'短评内容': '给个好评，床超大，卫生间很干净，但是有两点我要说明，我住的房间如果外面风大，窗户漏风，而且会呼呼的响，很难受，很吵~还有就是电视实在太不好了~希望改进', '短评打分': 5}
{'短评内容': '地理位置很好，房间内装修装饰一般，被套枕套有烟味，还掉白噶哒沾的满头都是。\r\n上网速度太慢。\r\n总体来说一般。', '短评打分': 5}
{'短评内容': '交通比较方便，离宁波可以逛街的地方也近。\r\n只是入住的那个房间，窗户关不上，还是在二楼，晚上风 比较大的时候风声比较恐怖。。。。而且感觉不安全。', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，条件也不错，只是地毯略微有些脏了。楼下有东伊顺，吃饭倒挺方便，只是进出时有些饭馆的味道，呵呵', '短评打分': 5}
{'短评内容': '卫生环境非常好，交通便捷，服务态度好，性价比极高', '短评打分': 5}
{'短评内容': '适宜商旅，位置很好', '短评打分': 5}
{'短评内容': '我定的是特价百元房.虽然是特价房.但房间一点也不比其他的房间差.卫生各方面条件都不错.位置好的没话说.出门就是五爱市场.如果有朋友去五爱市场的话,订这个酒店真的是方便及了.', '短评打分': 5}
{'短评内容': '以为是大床房，到了酒店才发现是双床，有点遗憾', '短评打分': 5}
{'短评内容': '前台服务有待提高，合作餐馆是清真餐馆，也许有些人会不太习惯，客房服务可以，房间大小还可以，地毯比较旧了', '短评打分': 3}
{'短评内容': '酒店位置比较方便，房间也相对宽敞，设施比较好，美中不足是地毯、沙发、床有点老旧，心里感受大打折扣，此外，前台服务非常一般甚至不足，给我的感觉比较不好，有待提高，相反，清扫服务做的比较好。', '短评打分': 5}
{'短评内容': '酒店挺不错，设施也很新，交通也很方便', '短评打分': 5}
{'短评内容': '都还不错，就是餐厅是清真的不太好！', '短评打分': 5}
{'短评内容': '各方面都很好!', '短评打分': 5}
{'短评内容': '靠近五爱市场周围环境比较杂乱，人多，不好打车，拼车现象比较严重。大床房房间面积太小，床与桌子之间的空隙仅能放下一把椅子，连转身都比较困难，房间墙皮有脱落。同价位其他酒店应该能住的比这更好。', '短评打分': 1}
{'短评内容': '房间小了一些里面的设施和服务还是比较不错关键就是酒店没有电脑一般我出去的时候都是要找带电脑的房间,服务还可以,因为也是第一次去宁波对当地不是太熟悉不过打车的时候司机也知道酒店位置找的时候还是比较方便的,性价比挺不错的.', '短评打分': 3}
{'短评内容': '住了两晚，觉得很冷，感觉窗户透风，空调制暖不是特别好，价格还行', '短评打分': 3}
{'短评内容': '位置还不错，出行还是比较方便的，房间的卫生和设施挺一般的，服务还可以，整体感觉这家酒店性价比还是挺一般的', '短评打分': 3}
{'短评内容': '房间挺干净的，位置也方便，我就是觉得设施有点一般', '短评打分': 3}
{'短评内容': '很不错，价格还便宜', '短评打分': 5}
{'短评内容': '房间的卫生和设施上都是不错的,呆着很舒适,而且位置也不错,离火车站比较近,出行都很方便,服务人员也很有礼貌,唯一一点就是酒店里吃饭不太方便,都是套餐,感觉不太好.', '短评打分': 3}
{'短评内容': '酒店性价比很高，值得推荐！', '短评打分': 5}
{'短评内容': '酒店的卫生和设施都不错的，服务有需要改进的，酒店的位置以及交通都很方便的，酒店的价格还可以的。', '短评打分': 5}
{'短评内容': '干净、快捷。关键是离办事地点近，下雪下雨都不怕打不着车，腿着就到了。', '短评打分': 5}
{'短评内容': '服务卫生方面还是不错的,位置也挺不错交通方面挺便利的,价格也不贵挺和算的.', '短评打分': 5}
