{'descr': '价格还是可以，客户指定要这家酒店的，下次推荐下', 'star': 5}
{'descr': '因餐厅装修无法早餐', 'star': 3}
{'descr': '离地铁站及巴黎春天定西路折扣店都不远，处于二者的中间位置。虽然定的是特惠房没有窗户，但是内部设施都没有比别的房间差，总之对得起159一晚的房价了，毕竟在上海啊，位置也不错的。另外，这家店生意真的很好啊，入住那天是晚上10点多了，但是前台还有很多在排队开房间的人。', 'star': 5}
{'descr': '以前住过两次。这次住的房间，卫生间是透明的，睡在床上，能看到马桶，设计上有问题。卫生间的门也没有了。电视不太清楚。', 'star': 1}
{'descr': '服务态度不错。因天气冷，空调易出故障，本人入住时发现房间空调有故障，为使我滿意，这家酒店半小时内为我调換了二个房间，直至滿意。', 'star': 5}
{'descr': '服务很好', 'star': 3}
{'descr': '这个价格   相对来说   还行   有住的朋友可以考虑', 'star': 5}
{'descr': '位置好，价格经济实惠。下次去上海，还会选择入住。', 'star': 5}
{'descr': '地理位置优越，步行至地铁站很近。周围环境商场很多，吃行便利！性价比比较高！', 'star': 5}
{'descr': '很方便找，环境也很卫生，服务很快，态度很好。不过隔音效果不好，十二点后还是很吵，还有电视的蓝光关不掉很诡异', 'star': 5}
{'descr': '这次入住商务大床房，比上次榻榻米式的格局要好，价格还低，可能房间小的原因。房间比较昏暗，电费太省，硬件也较破旧。停车不方便。离开办事点近，短住凑合一下吧。', 'star': 5}
{'descr': ' 很值得\n不错 性价比很高，服务太多很好，可以提供很多种住店会需要的小东西，比如温度计和烫衣板 ', 'star': 5}
{'descr': '位置有点偏，一楼的房子窗户太高，像个监狱，房间内设施成就，很不合算', 'star': 1}
{'descr': '房间很昏暗，所有灯打开也看不清，幸亏还留了个台灯，写字能看得见。\n订的商务双床房，空间是比商务大床大点，不过房间没桌子，是榻榻米式的，用电脑太累，不习惯盘腿坐很久。\n适合旅游住住，商务不太方便。\n房间卫生很凑合，枕头太高容易落枕，反正没睡好。\n酒店免费停车位总共4个，永远等不到。', 'star': 1}
{'descr': '一直去上海出差几乎都住这里。。\n\n唉，不过因为世博的原因涨价了。。太贵了。。。', 'star': 5}
{'descr': '特价房还不错，就是原本预定双床的，最后只有单床了', 'star': 5}
{'descr': '服务态度很不好，房间里面很脏，进房间发现连卫生都没搞干净！', 'star': 1}
{'descr': '酒店交通方便，附近有中山公园地铁换乘站，可乘3号线，4号，2号线，购物出行都很便利，适宜出差旅游居住。', 'star': 5}
{'descr': '地段非常不错。价格也可以。不过感觉偏高了一些。', 'star': 5}
{'descr': '酒店的地理位置很好，很方便，门口的定西路上有很多吃饭的，距离地铁口也很近，刚到的时候不知道有多远，是从地铁口打车过去的，起步价，离开的时候沿着定西路往北走的，路上有家祥和的早点很好吃，酒店很干净，下次还会住的，很不错~~', 'star': 5}
{'descr': '位置还不错，挺干净的，就是房间比较小。性价比不是很高，但是世博期间价格都高也只能这样了。', 'star': 5}
{'descr': '就周围来说，算性价比很高的酒店了，以后还会让同事选择这里', 'star': 5}
{'descr': '一直很喜欢如家粉色的被单,很温馨的感觉.交通总体还算方便,下次还会再去', 'star': 5}
{'descr': '这次入住的大床房，价格已经攀升到之前商务大床的价了，洗手间实在小到转不过身，除非住到商务大床的房型，否则还是别住了。停车也不方便。', 'star': 3}
{'descr': '不错！', 'star': 5}
{'descr': '服务还算不错，就是晚间缺乏送餐服务，建议尽快开展起来', 'star': 3}
{'descr': '上网超慢，只好通过手机上网。淋浴水很小，洗手间小得站不了人，只能凑合睡一晚。\r\n\r\n停车位就4个，还好抢到1个。', 'star': 1}
{'descr': '位置适中，性价比较较高，无论是去地铁站还是去机场大巴，都挺方便的。服务也不错，周边小吃也可以。', 'star': 5}
{'descr': '你好我已经入住如家酒店感觉不是太干净', 'star': 5}
{'descr': '这个酒店感觉大致还是可以的，离地铁也不远，很便捷。', 'star': 5}
{'descr': '非常好 ，厦门空气好 。海边有 游泳池，酒店非常 好 啊 ', 'star': 3}
{'descr': '房间不错，就是小了点。别的都很好。', 'star': 5}
{'descr': '酒店房间很宽敞，床铺很舒服，电视也不错，就是能再便宜一点就好了，比杭州贵不少哦', 'star': 3}
{'descr': '酒店位置很好找，离地铁还算近，去延安路站走路的话15分钟脚程，楼层很矮但走进去才发现别有洞天，房间很大也挺舒适', 'star': 5}
{'descr': '世博期间涨价了。。\r\n\r\n唯一一间我住的的如家是有地毯的，但是感觉不太干净，也许是颜色问题，比其他如家价格相对要高点。', 'star': 1}
{'descr': '不是很干净', 'star': 5}
{'descr': '该酒店前台人员太少,办理手续较慢,其他服务还不错.', 'star': 5}
{'descr': '环境不错，挺干净', 'star': 5}
{'descr': '办理速度快一切还不错', 'star': 5}
{'descr': '可能是处于中心地带，人流较大，房间地毯显得很脏，不如木质地板看起来干净', 'star': 1}
{'descr': '距离地铁稍微有点远，不过服务态度很好。。。', 'star': 3}
{'descr': '卫生状况真不行，房间里还有蟑螂。面积狭小，性价比太差。', 'star': 3}
{'descr': '我订了三间双标，其中一间是大床房加了一张小床，但价格是一样的。这间房墙边地板已经下陷了。就这间差点。其他还可以。', 'star': 5}
{'descr': '实在是不敢恭维如家中山公园店，性价比很不适合，房间小，卫生状况差', 'star': 3}
{'descr': '房间设施陈旧，不隔音。大热天还是厚被子，还有蟑螂！', 'star': 1}
{'descr': '挺不错的。。。有点小，环境很好，位置不错', 'star': 5}
{'descr': '门口是单行线 打车相对不方便 距离地铁走十来分钟路吧 向本地路人问路还被指远道比较郁闷 酒店可能是因为开业时间长的原因，卫生应该说不太干净', 'star': 1}
{'descr': '位置离地铁站还是比较远的， 设施很简单。房间也不大。 但是服务非常非常好。\r\n东西丢在房间里，过了一个下午了，还能找到，并且帮我放好等我去呐。 很感谢哦。\r\n但是性价比低了~~', 'star': 5}
{'descr': '位置不错，世博期间涨价太厉害。', 'star': 5}
{'descr': '还可以, 就是价格高, 性价比差', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '服务人员态度, 酒店卫生都还可以, 离地铁有点远要走20多分钟,\r\n就是世博期间价格实在太高了\r\n', 'star': 5}
{'descr': '酒店卫生还可以，就是离地铁还要走20分钟左右，有点远', 'star': 5}
{'descr': '设施不错，服务人员态度很好，停车也方便，世博期间这价位住到这样已经很满足了。', 'star': 5}
{'descr': '所处地点交通方便，周边餐馆较多，非常方便', 'star': 5}
{'descr': '地點位置還可以...樓下跟對面都有便利店...不過房間的燈感覺還是有點暗...這點應該要改進一下!', 'star': 5}
{'descr': '总的来说还不错，就是服务态度有待加强', 'star': 5}
{'descr': '房内空间太小', 'star': 1}
{'descr': '很好的地方，大力推荐！', 'star': 5}
{'descr': '环境卫生都还不错，交通比较方便。', 'star': 5}
{'descr': '排水有问题', 'star': 1}
{'descr': '还不错的！推荐', 'star': 5}
{'descr': '实在是不怎么样，在世博期间价格还高，那么热的天配的还是厚被子。', 'star': 1}
{'descr': '性价比很不错的酒店', 'star': 3}
{'descr': '性价比很不错的酒店', 'star': 5}
{'descr': '还行，服务 卫生 位置还有硬件都还蛮可以的。', 'star': 5}
{'descr': '不错，卫生很干净，我住的是内侧，晚上也很安静，主要床也大，要比一般如家的大床房要大，睡起来比较舒适，性价比不错。', 'star': 5}
{'descr': '卫生尤其的说两句！毛巾上居然有长头发 还有污渍！而且很明显\r\n浴室没有填装洗发水 ', 'star': 1}
{'descr': '很好的酒店，很好的服务，还会再入住。', 'star': 3}
{'descr': '很少住如家,上次在北京牡丹园住了次还好,结果这次的体会非常差,看来所谓用户评价也不能全信啊,也许上海方便的地方就这样吧,价格放在那里嘛', 'star': 1}
{'descr': '前台工作人员态度很差，说话像是吵架。酒店里面装修气味太重，除了地段比较好，其他都很一般。', 'star': 1}
{'descr': '酒店的位置确实不错，卫生也比较好。就是房间偏小了一点，而且不开空调的话，正常晴天房里比较热（可能也是小的缘故）晚上睡觉盖被子都会很热，我都流汗了，我是2010年3月19日入住的，那天正好是晴天，第二天就降温起风了，所以晚上就不热，但我运气实在不好，碰到酒店二楼装修，三楼的房间普遍油漆味很重，经久不衰，恼火啊，第二个晚上也没睡好！客观的讲，没有意外的话还是值得推荐的。还有一点，房间的网线固定住了，而', 'star': 5}
{'descr': '周边餐馆很多，很适合爱吃的朋友。打车也很方便。就是去的时候，恰逢在修理房间，由于窗口是对着走道的，很吵。以后若去上海，还会选择这里。', 'star': 5}
{'descr': '总体价格便宜，附近小吃店非常多。', 'star': 5}
{'descr': 'Ok', 'star': 5}
{'descr': '价位高。服务赶不上，性价比偏低', 'star': 1}
{'descr': '临近中山公园，喜欢逛街的，可以推荐住该酒店。', 'star': 5}
{'descr': 'OK next time will order it again', 'star': 3}
{'descr': '位置不错 周围吃住都有 楼下就是下的便利店 到徐家汇和静安 南京西路都很近', 'star': 5}
{'descr': '  常住，方便', 'star': 5}
{'descr': '位置还不错。好打车。性价比算不错的。空调很暖。房间打扫的很干净。以后还会去。', 'star': 5}
{'descr': '离中山公园步行10分钟的距离，还算不错', 'star': 5}
{'descr': '不错，性价比很高', 'star': 3}
{'descr': '有家一样的感觉', 'star': 3}
{'descr': '值得推荐', 'star': 5}
{'descr': '好，性价比很高', 'star': 5}
{'descr': '交通比较方便，卫生条件也较好，只是感觉服务态度一般', 'star': 5}
{'descr': '挺不错的一家酒店，有家的感觉', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '还不错，地毯很舒服，卫生间蛮有意思', 'star': 3}
{'descr': '除了吹风机房间没有内置，要去前台借，比较麻烦。其他都不错，粉色白点点的床单很温馨', 'star': 5}
{'descr': '位置不错，其它性价比还可以，值得住。', 'star': 5}
{'descr': '交通比较便利，酒店房间很多，免费停车位只有4个，房间比较安静，空调是新的，制热效果很好。房间要是配个电吹风就好了。', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '是不错啊', 'star': 5}
{'descr': '我们入住的大床房竟然是没有通外窗户的，只有一个小小的窗户，是在走廊里的，房间很暗，只有两个床头灯可以亮，很小感觉很压抑，很不舒服。而且隔音极差，早上起来能听见隔壁屋传来打扫卫生时换垃圾袋的声音。', 'star': 1}
{'descr': '还行。性价比不错', 'star': 3}
{'descr': '不错，性价比挺好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境服务都很满意', 'star': 5}
{'descr': '位置很不错,酒店的条件也还可以,住着还算舒适,总体来说没什么不满意的.', 'star': 3}
{'descr': '很好的酒店，下次还会入住。', 'star': 5}
{'descr': '还不错的一家经济酒店。', 'star': 5}
{'descr': '我觉得酒店环境挺好的，服务也不错，而且位置方便，下次去还住这', 'star': 3}
{'descr': '酒店的房间隔音不好，服务还是可以，交通也不是特别方便，如果步行到地铁口也挺远的，如果改善隔音的还是可以考虑。', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '凑合。', 'star': 3}
{'descr': '凑合。', 'star': 5}
{'descr': '酒店靠近中山公园，比较方便。地铁口也很近！', 'star': 5}
{'descr': '服务员态度好.房间也干净.地理位置也好,总的来说都不错.', 'star': 5}
{'descr': '服务员态度好,房间干净,定西路的餐厅很多,离轨道交通站比较近,值得推荐.', 'star': 3}
{'descr': '位置很不错 交通很好 ', 'star': 5}
{'descr': '干净,交通也便利,值得推荐.', 'star': 5}
{'descr': '特价房只有188元，十分实惠，位置也不错，走路到地铁中山公园站在15分钟内', 'star': 5}
{'descr': '在定西路上的商务酒店，比较卫生干净，门口是单行道，有时回来不方便。总的来说性价比很高。', 'star': 3}
{'descr': '我在交大安泰学院办事，住在此酒店，离学校比较近，步行10分钟，定西路上餐馆很多，生活很方便。房间也比较干净，算是不错的经济型酒店。', 'star': 5}
{'descr': '离地铁很近，走路快的话，大概5分钟左右就能到了，服务也不错，价格也还比较合理，就是房间的隔音不是太好，早上都是被吵醒的', 'star': 3}
{'descr': '位置有些偏了,交通很不方便.酒店还不错,跟其它如家一样,干净,整洁,舒适.', 'star': 3}
{'descr': '酒店虽然规模不大，不错比较安静，位置也挺方便的，要是价格在低点就更好了', 'star': 3}
{'descr': '酒店的卫生条件一般，设施还算是可以，管理服务上还算凑合吧，但是位置不太方便，有点远。', 'star': 3}
{'descr': '酒店位置有些偏在一条小路里从中山公园对面那条路要走很远大概10几分钟,酒店里面还是很是干净卫生的.', 'star': 3}
{'descr': '前台服务人员态度很好,房间离地设施也都很齐全,就是地理位置有点偏了.其他方面都很OK.不错.', 'star': 3}
{'descr': '这个价位也就住这样的酒店了.也没什么不满意的.', 'star': 5}
{'descr': '酒店的面积比较小的,隔音的效果不是很好,房间的卫生和设施都还可以的,酒店的位置不错的,性价比不错的酒店的', 'star': 5}
{'descr': '酒店的各项条件还可以,整体环境还是不错的；就是酒店服务员在白天打扫卫生的时候说话声音大,而且做卫生时吸尘器的声音也很大；太吵人了；', 'star': 5}
{'descr': '酒店环境,交通,卫生状况都很好.就是去的时候办理入住手续的时候慢了点,不过可能是入住人太多了办理速度稍慢了一点,也可以理解的啊.', 'star': 3}
{'descr': '价格便宜,是一家性价比比较高的酒店了.', 'star': 5}
{'descr': '酒店的环境、服务很好，地理位置也不错', 'star': 5}
{'descr': '酒店是新开的酒店,新装修得,里面的内部设施,环境,卫生都比较好,交通不是很方便,酒店前面是一条单行道，开车有点绕', 'star': 5}
{'descr': '感觉不错啊', 'star': 5}
{'descr': '房间很不错，这次住四楼，只是厕所的马桶吸力不行，根本抽不下去。', 'star': 5}
