{'descr': '其他都好，就是外面停车的乱收费，不是酒店的问题', 'star': 5}
{'descr': '环境很好，一进去光线很好，卫生也不错，就是路稍微难找了一点。服务也不错。希望周日百元房还能订上。比以前住过的速8要便宜，比别的条件又好，推荐。', 'star': 5}
{'descr': '挺好的，无线网络很给力。就是房间里设施稍旧，而且房型不太好，有一个很长的走廊才能进房间。改造的不是很好，其他的都很不错', 'star': 5}
{'descr': '酒店非常好  服务到位 下次继续选择汉庭', 'star': 3}
{'descr': '服务较好，房间比较舒适，干净，就是前台工作效率不高。', 'star': 5}
{'descr': '总体还可以，走廊很长，房间不是很宽敞，不过这个价位也不能奢求过多，周边餐饮购物挺方便的，打车到机场70吧', 'star': 5}
{'descr': '前台服务员以及保安的工作非常好.酒店环境也比较好,很安静,没想到离家乐福很近,打车也很方便.但是离地铁站有点远.', 'star': 5}
{'descr': '卫生条件一般，下午3点左右到，结果说房间还没打扫好，等了20多分钟，酒店位置不是很好找，不会再入住。', 'star': 1}
{'descr': '房间虽然不华丽，但是看了很舒服，服务业蛮好的。感觉还是不错的，下次去北京住汉庭是不错的选择', 'star': 5}
{'descr': '地理位置不错，价格也还说得过去，只是停车位少了一些，不过在北京这样的快捷酒店都一样，总体来说还是不错的', 'star': 5}
{'descr': '房间不大，隔音也不太好，商务酒店基本就这样啦，此外交通也有点不方便。', 'star': 5}
{'descr': '房间很不错~地方也很好找 晚上去的 人很多哦·\n', 'star': 5}
{'descr': '离公司很近，帮客户预定的。酒店很安静，周边小吃店很多，交通还算方便，下次来还会选择。。。', 'star': 5}
{'descr': '帮客户预定的。酒店很安静，周边小吃店很多，交通还算方便，下次来还会选择。', 'star': 5}
{'descr': '位置离三元桥有两站，走过去太远，打车的司机又嫌近不愿意载。房间挺干净。', 'star': 5}
{'descr': '入住的周日百元房，性价比此较高。', 'star': 3}
{'descr': '房间干净，服务态度热情，周边环境很方便，有很多吃饭的地方。', 'star': 5}
{'descr': '酒店很干净，但是隔音一般，离三元桥很近，去机场坐快轨很方便。', 'star': 5}
{'descr': ' 服务好', 'star': 3}
{'descr': '不错，环境很好，服务很到位，顶一个。GOOD', 'star': 5}
{'descr': '酒店干净舒适，客服人员热情礼貌，周围吃饭很方便，选择也多。', 'star': 5}
{'descr': '酒店位置不太好找，但是服务人员都很热情，房间干净舒适', 'star': 5}
{'descr': '房间基本上都有窗户，很干净。缺点是离地铁比较远些，公交也有点远。', 'star': 5}
{'descr': '服务还可以,虽不热情但还能有问必答,房间设施也还可以,就是门口总有色情卡片塞进来,很煞风景', 'star': 3}
{'descr': '在北三环附近，位置很好，房间也不小，比较安静，不错，附近也比较繁华，下回还会选择这里。', 'star': 5}
{'descr': '还不错的经济型酒店，周边环境比较安静，交通也很便利。就是上电梯要刷房卡，略显不便。整体而言，非常好', 'star': 5}
{'descr': '环境很好，服务态度很好，下次还来', 'star': 3}
{'descr': '比较干净，离国展近，但是周围吃饭的稍微少了点，服务态度很好', 'star': 3}
{'descr': '第二次入住了，这次的洗手间实在太小了，别的还凑合。房间里的灯光太暗，只有两个小灯，这点很不喜欢。电视 不知道为啥是黑白的，调好了，再打开又是黑白的。交通有点不便利。', 'star': 5}
{'descr': '环境好 服务态度好 房间干净整洁 有停车场 地方还是比较好找的', 'star': 5}
{'descr': '房间够大，很干净，位置也很好，推荐在国展参展的人，周围商业设施也不错，而且很安静', 'star': 5}
{'descr': '平时住酒店，首选是汉庭，这家汉庭让我非常失望!位置不好找，出租车司机不熟悉找了半天，入住后，房间卫生条件很差！房间一股异味，空调是老空调，晚上门口悉悉索索的声音把我惊醒了，起来一看，在门内地板上发现了色情服务卡片，更让我震惊的是，居然在房间还接到色情服务的电话！！！汉庭现在怎么沦落至此了？！', 'star': 1}
{'descr': '服务很好～干净～ 有机会下次还会入住～ 谢谢～', 'star': 5}
{'descr': '周围有很多住宅小区，吃饭挺方便的。还不错。', 'star': 5}
{'descr': '新春特价房很不错的，就是酒店提供的地址不详，在百度地图里查到的地址是错误的。', 'star': 5}
{'descr': '性价比非常好，服务也很周到，通风很好，打扫也很及时和干净', 'star': 5}
{'descr': '房间还算可以吧，比较干净。但是服务人员的态度真是没得说啊，态度真的很好。如果五颗星是满分的话，那我就给五颗星。哈哈', 'star': 5}
{'descr': '酒店还可以，比较舒适，还会再次选择。', 'star': 3}
{'descr': '条件、环境、服务还是一如既往的好!下次来北京还是会选汉庭!', 'star': 3}
{'descr': '百元新春特价房，超值啊，要是在平时这个价格只能住地下室旅馆，赞汉庭！', 'star': 5}
{'descr': '入住的新春百元房，性价比很高。周边交通也很方便。房间暖气充足，热水也很好。服务态度超级好。值得推荐！', 'star': 3}
{'descr': '隔音效果极差，走廊和隔壁的声音毫无遮拦地进来。2晚上都没有睡好，第3晚换了另一家酒店。卫生尚可，服务员很礼貌，距离国展也比较近。', 'star': 1}
{'descr': '还不错 就是房间里面会有味道,,,, 特价房位置不好 吵', 'star': 5}
{'descr': '还不错，房间比较干净，设备也还可以。交通也挺方便。', 'star': 5}
{'descr': '住宿条件还可以，比较安静，周围也比较多的吃饭的地方。但是位置有点难找，在国展家乐福再往西面。', 'star': 5}
{'descr': '挺好的.方便,卫生 交通,吃饭,购物都很好', 'star': 5}
{'descr': '价格便宜，离国展很近，走过去就到。\n房间比较干净，但是有些地方坏了没及时修。\n总的来说还可以接受吧。\n', 'star': 5}
{'descr': '酒店是新开不久的，非常干净舒服，建议大家来入住。', 'star': 5}
{'descr': '服务态度非常好，但是房间最近在装修，走廊里的味道大了点。', 'star': 5}
{'descr': '还不错房间 很安静 设备挺新 就是按照这个价格 性价比有点低', 'star': 5}
{'descr': '整体来说，这个价格，在那个位置，应该是不错的，但是，床和枕头太硬，对于喜欢睡软床的人来说，确实是个折磨。空调的噪音特别大，夜间难以入睡。对于舒适度要求不苛刻的人来说，还是不错的选择。', 'star': 5}
{'descr': '很好的酒店，性价比很高，每次来都住，环境非常好!', 'star': 3}
{'descr': '其他都不错，除了我打电话请前台帮忙预定了出租车，但他们没有帮我订，也没告诉我，我不得不在用车高峰时段走了很远才打到车。', 'star': 5}
{'descr': ' 入住时服务挺热情的，房间还凑合，晚上门缝里进小姐的广告，下次不想住了。', 'star': 5}
{'descr': '出门在外一直住汉庭，如果对地方不熟悉的也许不好找，有公交车132在酒店门口。附近有7-11，马兰拉面，酒店旁边有一个天和晟一个烤鱼，吃饭比较方便，酒店出来右转往前走个几百米就是商场天虹，在往右转就到家乐福了。很安静，房间很大。', 'star': 5}
{'descr': '总体还不错。只有一个问题，洗手间居然是玻璃的（全透明，没有磨砂），不太习惯。', 'star': 5}
{'descr': '屋子太小了，还是高级大床房，比七天和如家差多了。一点都不值这个价格。', 'star': 5}
{'descr': '可能是酒店申请的带宽不够，房间上网速度太慢。汉庭的酒店都有这个问题。', 'star': 5}
{'descr': '还是如同汉庭一贯的风格，干净，整洁。值得入住', 'star': 5}
{'descr': '+', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '综合设计不够人性，比如床头灯晃眼，没有洗发水，基本入住还是算比较舒适，是一个闹中取静的地方。记得睡觉一定要关窗，早上有公交路过，报站的声音有点大。', 'star': 5}
{'descr': '房间不错，适合商务人士入住，很干净,设施也非常好，酒店很新', 'star': 5}
{'descr': '环境很好，价格太高！', 'star': 5}
{'descr': '感觉就是房间有点小，设施比较简单，临街有点吵。不过这个价格也就那样，性价比还不错。', 'star': 5}
{'descr': '去国展很近,酒店条件也不错,服务人员热情,就是早上结账慢点.', 'star': 5}
{'descr': '可以，不错，离国展很近！！ ,下次还住这里！！！', 'star': 5}
{'descr': '\n酒店设施不错，但前台个别服务生业务水平有待提高。', 'star': 5}
{'descr': '环境很不错，就是离三元西桥真的不近呢.....', 'star': 3}
{'descr': '感觉很不错，设施新，服务好。', 'star': 5}
{'descr': '交通方便的酒店。', 'star': 5}
{'descr': '周日的百元特价房，房间很大，装修也不错。总的来说性价比很高', 'star': 5}
{'descr': '超级喜欢这家的大莲蓬头，洗着很舒服，性价比超高', 'star': 5}
{'descr': '空调制冷差一点', 'star': 5}
{'descr': '地方有点不好找，但是比较安静~', 'star': 5}
{'descr': '官网上标记的位置与实际相差太远。走了很远的路才找到。建议及时更正官网上的标记。', 'star': 5}
{'descr': '新开的店,设施还是满新的,高级大床房房间很大,床也很舒服,就是卫生间的面积太小了,只能每次进一个人,而且我的房间吹风机还是坏的', 'star': 5}
{'descr': '干净、卫生，感觉不错', 'star': 5}
{'descr': '房间装修的很别致。因为定的是周日特价房所以性价比很高~', 'star': 5}
