{'短评内容': '早餐不错，有停车场，位置很方便', '短评打分': 4}
{'短评内容': '酒店位于九眼桥附近，交通尚算方便，出大门后往左走一小段路就有公交车可以坐。成都比较难打到车，基本上在酒店的门口打车的话除非要很走运的有人到酒店门口下车，否则一般都拦不到车。这次入住的是日式房，房间不错，空间较大，采光什么的都很好。但是房间内不设小六件，只有3种不同的洗漱包，一经打开就视为使用，要额外付钱。名义上是为了环保，实际的原因我就不清楚了。虽然说洗漱包开封后可以拿走，但是那个质量绝对不值那个', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 3}
{'短评内容': '酒店地理位置很好，交通方便，餐饮也非常方便，干净，整洁。', '短评打分': 3}
{'短评内容': '第二次住了，每次来成都都住这家。感觉很好。不过提几个建议啦。洗手台的空墙壁上可以加个化妆镜哦，这样会更方便女生。浴室可以加个架子，让用户放置自己的洗护用品。总体来说很好，很喜欢，下次还会来的~', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '很舒服', '短评打分': 3}
{'短评内容': '套房空间比较大，洗澡水很舒服，价格适中，推荐不面街的房间。', '短评打分': 5}
{'短评内容': '日式房还不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '环境不错，感觉偏了点打车不太方便。 还有居然打扫卫生大妈开错房间把我和女朋友吓了跳。希望以后注意。 总之整体感觉不错。', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好很不错，，空调很好的！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境还可以，态度蛮好的。', '短评打分': 3}
{'短评内容': '环境不错，服务周到，就是地址不是太好找，早餐卷只有一张，连住2天应该是2张早餐卷的，虽然没用，希望你们越做越好！！！', '短评打分': 5}
{'短评内容': '还是之前的话，酒店非常棒，性价比很高，\n\n\n应提醒用户可要求总台提供四小件。', '短评打分': 5}
{'短评内容': '一群朋友到成都玩，安排住在这里，大家都很满意，房间很舒适，位置也不错。', '短评打分': 5}
{'短评内容': '装修很特别｀住的日式房。价格也算划算。推荐', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '第一次入住该酒店，感觉不错，房间宽敞，卫生，性价比很高！', '短评打分': 5}
{'短评内容': '环境，服务这些都还可以，就是床上用品略次了些', '短评打分': 5}
{'短评内容': '酒店很干净，服务态度也不错，美中不足的是在服务员打扫房间时我的押金凭条被当成废纸收走了。导致后来很麻烦。\n\n总的来说还算满意，尤其是房间，和同价位的商务酒店相比要好很多。', '短评打分': 5}
{'短评内容': '运气不太好住的时候停电，第二天续住交200元退房的时候用卡结的账好像现金没退我', '短评打分': 5}
{'短评内容': '其实是老酒店改的，房间比较宽大，所谓的环保不送洗漱用品，无非是节约成本，想多收钱而已，但是和这个价格比起来，性价比不高。', '短评打分': 1}
{'短评内容': '以前在深圳出差就经常入住山水时尚酒店，成都这家还好，只是晚上隔音较差', '短评打分': 5}
{'短评内容': '环境不错，服务员态度很好的。', '短评打分': 3}
{'短评内容': '6楼的房间比2楼的好很多,热水也热.2楼的要等非常久才有热水,不方便\n酒店位置不错,打车很方便', '短评打分': 5}
{'短评内容': '不错，挺好的，下次还会住的\n服务还可以，位置也还好', '短评打分': 5}
{'短评内容': '在一环路边上，交通很方便，装修很温馨，推介', '短评打分': 5}
{'短评内容': '雅致房床太硬，浪漫房不错，但热水不稳定。', '短评打分': 5}
{'短评内容': '服务不错，就是外面有点吵，其他的都还好。停车也比较方便', '短评打分': 5}
{'短评内容': '酒店总体服务卫生还好，但是居然没有一次性洗漱用品。还有内部装修风格不喜欢，卫生间设计不好，没有私密性。整体性价比不高。早餐较差。商务出行不宜选择。', '短评打分': 1}
{'短评内容': '酒店总体服务卫生还好，但是居然没有一次性洗漱用品。还有内部装修风格不喜欢，卫生间设计不好，没有私密性。整体性价比不高。早餐较差。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间不错，不过水温不够，虽然是双人房，但是每次只给一张早餐券', '短评打分': 5}
{'短评内容': '洗漱六小件需要收费，6元至12元，最好自带。房间不错，位置还行，周围吃饭的地方比较少。', '短评打分': 5}
{'短评内容': '总的来说感觉很一般，只是由于离家很近才过去住的。感觉都还马马虎虎。但是性价比不大高，交通也不太方便，曾经看见一个哥们儿在那里等了半个小时的士都还没有打到车。', '短评打分': 5}
{'短评内容': '房间环境很好呢，干净，整洁。地点还不错，去什么地方都不远。坐两站公交有很多美食。离四川大学主校区北门挺近的，打车起步价。但是周边就只有一个小天鹅火锅店，味道还不错。酒店里只有一个小餐厅，一个厨师，上菜慢啊。不过总体环境很好，感觉性价比还是挺高的。', '短评打分': 5}
{'短评内容': '卫生不怎么样，床单不是很干净，酒店环境一般', '短评打分': 3}
{'短评内容': '卫生，没得说差，床单都没洗干净，不知道谁在那干麻过的血绩还在那留着。不过酒店整体环境还算可以，但房间没有吹风筒很不方便', '短评打分': 1}
{'短评内容': '性价比觉得不高！水总是很冷！其他的也没什么可说的，和打多少酒店都一样！', '短评打分': 1}
{'短评内容': '电梯太少，不方便，客房设施一般，大堂服务一般，性价比尚可。', '短评打分': 3}
{'短评内容': '卫生服务都不错,网速也挺快的,早餐也挺好的.但是热水温度不够,洗澡都不行', '短评打分': 1}
{'短评内容': '地理位置不错 就是打车有点困难 房间空间还可以 性价比不错 是个很好的选择', '短评打分': 5}
{'短评内容': '服务态度一般，卫生做的还可以。只住了一晚，总体感觉还是可以。', '短评打分': 5}
{'短评内容': '卫生间漏水，服务一般。位置好找，交通还可以，但下次不会再订这家酒店。', '短评打分': 1}
{'短评内容': '酒店环境好，服务业好，一切都很好~下次还会来住！', '短评打分': 3}
{'短评内容': '酒店环境不错，如果高级房的床能在软点就会更号', '短评打分': 5}
{'短评内容': '酒店室内硬件还可以，服务也可以，就是外面有些吵', '短评打分': 5}
{'短评内容': '连住了两晚，并没有其他特别的优惠啊。位置还好吧，比较方便。', '短评打分': 3}
{'短评内容': '房间装修不错，也挺干净，可惜只有送一份早餐。也没有吹风机，不方便。', '短评打分': 5}
{'短评内容': '不错的一家连锁酒店，值得去，超值。包括餐厅。', '短评打分': 5}
{'短评内容': '因为塞车原因，到店时间晚了20分钟，没有任何一方通知就把房间定给别人了，前台服务一般吧，可能比较忙的原因。但是前台的办事效率真的太低，房间内部卫生还算一般吧，洗漱台上很奇怪有点脏。。。。卫生间和浴室分开设计很舒服。总体还不错，就是前台办事效率真的有待提高。。。 ', '短评打分': 3}
{'短评内容': '因为塞车原因，到店时间晚了20分钟，没有任何一方通知就把房间定给别人了，前台服务一般吧，可能比较忙的原因。但是前台的办事效率真的太低，房间内部卫生还算一般吧，洗漱台上很奇怪有点脏。。。。卫生间和浴室分开设计很舒服。总体还不错，就是前台办事效率真的有待提高。。。', '短评打分': 5}
{'短评内容': '不错的酒店，装修很精致，床很舒服。家具再多点的话可以达到四星标准。', '短评打分': 3}
{'短评内容': '价格168元一般.\n位置很好.在一环路上.\n酒店很新,卫生环境不错.\n前台服务态度不错.\n默认住店带早餐性价比不错.\n楼下就有重庆小天鹅火锅,请朋友吃饭也很方便.', '短评打分': 5}
{'短评内容': '不错的酒店，旁边是小天鹅火锅店。房间设计得不错。价格高了点。前台服务员质量不好。', '短评打分': 3}
{'短评内容': '不错的酒店，旁边是小天鹅火锅店。房间设计得不错。价格高了点。前台服务员质量不好。', '短评打分': 3}
{'短评内容': '不错的酒店，旁边是小天鹅火锅店。房间设计得不错。价格高了点。前台服务员质量不好。', '短评打分': 5}
{'短评内容': '不错不错~装修很精致~床垫很舒服~', '短评打分': 5}
{'短评内容': '感觉不错，就是位置有点偏', '短评打分': 5}
{'短评内容': '酒店环境不错，性价比也不错，但是床实在是在硬了，睡的我腰疼，床单也不干净，很黄而且都是褶皱，，毛巾很多都是破洞。。。值得推荐', '短评打分': 5}
{'短评内容': '卫生条件一般，浪漫房的床很舒服，房间很大，整体给人的感觉特不错，但前台服务效率有待提高', '短评打分': 5}
{'短评内容': '现在外面在修楼，吵了点', '短评打分': 5}
{'短评内容': '圆床挺舒服的', '短评打分': 3}
{'短评内容': '早餐只有送一份 服务态度有些怠慢 前台有些服务员喜欢耍点小脾气 第3天住的圆床房 除了床是圆的 其他设施都一样 结账速度有些慢 环境总的来说还可以 ', '短评打分': 5}
{'短评内容': '洗澡水太小了，而且不热，这么热的天，怎么洗澡嘛。地毯不很干净。房间内纸也不够，我住的其他宾馆都有两卷纸。其他都还好。228住圆床是贵了点，性价比不划算。', '短评打分': 1}
{'短评内容': '价格适中，服务周到，就是实施一般，面积太小', '短评打分': 5}
{'短评内容': '酒店服务还是不错的，到城站火车站来回都可坐公车，门口就是公车站，到西湖步行也方便，就是大床房真的有点小，布局不是很合理。', '短评打分': 5}
{'短评内容': '房间隔音有待提高，床太硬舒适度降低', '短评打分': 5}
{'短评内容': '离机场打车30分钟,且离春熙路也不远.交通方便.下次还会选择山水时尚.', '短评打分': 3}
{'短评内容': '酒店不错,值得选择.住的是豪华单人间,房间大且比安静.', '短评打分': 3}
{'短评内容': '房间比较大，住着舒服。交通也比较方便。', '短评打分': 5}
{'短评内容': '酒店房间干净卫生、设施也比较好，服务员服务态度也很好！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '都很不错，值得推荐', '短评打分': 5}
{'短评内容': '房间地毯不是很干净，床睡起来比较舒服，热水比较小。酒店位置不错，停车免费。', '短评打分': 5}
{'短评内容': '在这个酒店住了3个晚上，是和母亲住的，豪华标间，房间很大。目前酒店根据环保理念，提供的是可以反复利用的洗漱六件套。这个小的只需6元钱，很不错，这也提醒了各位出行游玩也要注重环保，还是自备洗浴产品。不过对于商务人士来讲难免有些麻烦。酒店新开张，很多出租车司机不好找，在一环上，酒店对面有去火车站，人民路的公交，很方便。而且离东大街很近，方便去春熙路市中心商业区那边。总之，住了这么多天感觉还是很不错的。', '短评打分': 5}
{'短评内容': '工作人员服务态度很好，安静，卫生，不错', '短评打分': 5}
{'短评内容': '干净卫生，装修布置挺新的，有免费早餐品种挺多的。在一环路，位置不错。', '短评打分': 5}
{'短评内容': '非常好的酒店，推荐', '短评打分': 5}
{'短评内容': '房间很大，性价比还不错。原来还以为很偏僻，到了之后发现出行还是很方便的，坐车到火车站蛮方便的，娱乐、参观武侯祠等景点也不远。我最感兴趣的是榻榻米床，非常柔软，睡觉很舒服。就是起床太晚，每次醒来过了早餐时间。', '短评打分': 5}
{'短评内容': '性价比还不错,就是房间有点小。干净。', '短评打分': 5}
{'短评内容': '这家酒店位于九眼桥灯饰城旁边，交通还算便利，以后地铁通车应该会更方便。入住的日式房相当不错的。唯一的问题就是不提供洗漱设备，而且没免费的，都要收费，收费也就算了竟然连肥皂都没有。建议酒店考虑赚钱的同时也要考虑旅客的感受，既然收了钱就应该提供完备的服务，而不是缩水', '短评打分': 5}
{'短评内容': '看价钱', '短评打分': 5}
{'短评内容': '性价比还可以，下次还入住。', '短评打分': 5}
{'短评内容': '酒店装修气味很刺鼻。对面房间门锁坏，一直发出噪音，影响睡眠。\r\n早餐过于简单。', '短评打分': 5}
{'短评内容': '新酒店，很不错', '短评打分': 5}
{'短评内容': '毛巾简直脏到无话可说！\r\n前台服务员居然连218房间是不是靠公路都不清楚，直接导致我第一晚被吵得不行！\r\n第一天进去发现枕头上居然有血斑！\r\n被子居然有黑黑的痕迹！\r\n床单上还有前面客人留下的毛！！！\r\n无话可说！！！绝对不会再去！', '短评打分': 1}
{'短评内容': '地处一环路边上，交通较为方便，离九眼桥酒吧区较近，喜欢泡吧的朋友可以选择。酒店内部环境一般，服务一般。', '短评打分': 3}
{'短评内容': '酒店很舒适，装修很喜欢！就是电视小了点。', '短评打分': 5}
{'短评内容': '成都山水时尚酒店装修格调雅致，洁净温馨，是一家不错的酒店。', '短评打分': 5}
{'短评内容': '5号在网上预定的浪漫圆床房，18号入住时居然说没有了，非常生气，但服务人员很耐心很客气的道歉，并免费给我升级了房间，气也就消了，但还是提请酒店工作人员要认真细致做工作啊！！！酒店后院的停车场停车很方便；房间面积很大，非常干净，升级后的套房有到家的感觉，很好！卫生间喷淋和花洒都有，洗澡很舒服；顺一环路往东一公里有酒吧吃饭影城KTV一条街，休闲起来很方便；只是不知是后面紧挨着公交公司的修理厂或是有工地', '短评打分': 5}
{'短评内容': '总体不错，到火车站也就20分钟（出租车），就是位置感觉偏了点。', '短评打分': 5}
{'短评内容': '打车较难', '短评打分': 5}
{'短评内容': '感觉还可以，就是位置不太好，我们去的时候是晚上，很难找到吃东西的地方。其他的都还可以了', '短评打分': 5}
{'短评内容': '位置很不错，交通很方便，设施也还可以', '短评打分': 5}
{'短评内容': '客房卫生是在太差。地毯上的杂物叫前台打扫，回房间后发现还依然存在。很失望。性价比实在一般，价格如果放在130元左右还可以。', '短评打分': 5}
{'短评内容': '酒店的设施还是不错的，地理位置在市中心附近，到哪都方便！\r\n但是，服务质量不算高，卫生打扫的不够好！\r\n上下班时间出门几乎打不到车！', '短评打分': 5}
{'短评内容': '酒店虽然不算大，外观看起一般，进入后还行，前台服务员态度好比较热情。   房间卫生很不错   装修有特点 房间设施也不错 有温馨的感觉 总体来说还行。', '短评打分': 5}
{'短评内容': '价格不高，酒店的设计很时尚，适合年轻人，就是床有些硬，酒店的前台旅游服务还有待提高，前台对成都的了解非常茫然，地理环境不熟。', '短评打分': 5}
{'短评内容': '其他情况基本都还可以，舒适度也不错，唯一就是房间与走廊间隔间较差，外面声音一大，屋子里就听得蛮清楚，其他都不错，推荐。', '短评打分': 5}
{'短评内容': '交通不太方便，被子不太干净，卫生间和浴室的水往外泄。\r\n总台态度不好，其他人员还一般。\r\n', '短评打分': 1}
{'短评内容': '卫生清理工作很一般。设施倒是蛮新的，地理位置也不错！就是早上出门很难打车', '短评打分': 5}
{'短评内容': '酒店位置不错，卫生环境也不错，住着很舒服，服务但是很一般般，尤其是酒店前台服务人员很不专业~', '短评打分': 5}
{'短评内容': '整体还是不错的！每种房间的装潢都十分个性，但是缺点是房间内没吹风，需要向总台要，热水有时会冷，房间隔音很一般。不过都还好，不算大问题。HOUSEKEEPING做的不错。楼下有小天鹅火锅，味道不错，还不贵。', '短评打分': 5}
{'短评内容': '虽然规模不大，外观也相对普通，但进入房间后总体感觉还是不错，我是帮朋友订的套房，卧房布置的很温馨，有家的感觉，不像一般酒店那么固化，不足的地方是卫生间在进门处，如果能在卧房里就好了。', '短评打分': 5}
{'短评内容': '很干净，很时尚，价格便宜', '短评打分': 5}
{'短评内容': '只说缺点,剩余全是优点了:\r\n\r\n房间的隔音不是太好，邻近一环路侧过往车辆声音比较大。后面一侧房间白天有幢楼正在施工。\r\n\r\n房间设计上：如果卫生间与卧室之间有一个小隔断，那视觉上应该有所改善。', '短评打分': 5}
{'短评内容': '真的很满意这家宾馆，干净，简单，现代，符合我的要求。性价比也很高。强烈推荐。使我这次旅行在住的方面很舒心。', '短评打分': 5}
{'短评内容': '酒店是今年新开的。时尚简洁。\r\n\r\n定位于经济型价位，时尚型装修。水准高于国内一般经济连锁酒店，好象是隶属于中青旅旗下的一家连锁酒店。\r\n\r\n去的时候定的时尚房，房间没有了升级到套房。还不错，多了一个客厅。床品、洁具品质都很不错。\r\n\r\n早餐略显简单，但相对于这样的价位来说，已经是很不错了～～性价比非常高的一家连锁经济酒店。。值得推荐～！', '短评打分': 5}
{'短评内容': '总体还不错，只是价格与其他同类酒店有些高', '短评打分': 5}
{'短评内容': '因为是新开的，所以设施，卫生都不错，客房服务员的态度非常好，前台服务员的态度一般，速度很慢，该酒店商务部的工作质量应多加改善！总体说来，还是不错的！但是那里打车好难啊！', '短评打分': 5}
{'短评内容': '好像是什么中青旅的酒店。服务一般。说涨价就涨价。', '短评打分': 5}
{'短评内容': '酒店总体来说还是比较好的，位子不错！我住的时尚房很有特色！就是酒店服务员的态度还有待改进！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
