{'短评内容': '非常好，环境不错，好停车', '短评打分': 5}
{'短评内容': '服务态度不好。很不耐烦。房间比较旧。卫生间超小。特别是附楼也就是二号楼，非常旧。', '短评打分': 1}
{'短评内容': '宾馆价格合理，房间还不错，提醒大家注意，这里的含早餐是指的一个人十元的餐票，吃早餐是看你消费多少钱，如果超出十元需要自己付费！', '短评打分': 3}
{'短评内容': '房间有点旧哦', '短评打分': 3}
{'短评内容': '离我办事的地方比较近，整体感觉不错，早餐券勉强够吃。', '短评打分': 5}
{'短评内容': '价位与环境都不错，以后还会入住的。aaaaaaaaa', '短评打分': 5}
{'短评内容': '还好了，基本符合四级要求，但早点10元不够。', '短评打分': 5}
{'短评内容': '交通方便，房间不大，还整洁，早餐不错。性价比好。', '短评打分': 5}
{'短评内容': '洪都宾馆的晚茶很有名的，好象开了很多年了，味道不错。', '短评打分': 5}
{'短评内容': '停车方便，晚上大厅还开晚茶，不错，但在包厢消费超贵。', '短评打分': 5}
{'短评内容': '去各地方都很方便，机场大巴就在酒店门口坐，购物也方便。', '短评打分': 5}
{'短评内容': '交通方便，房间还好，整洁，早餐尚可。虽在市区但不吵杂。', '短评打分': 5}
{'短评内容': '服务，环境OK', '短评打分': 3}
{'短评内容': '很好，南昌宾馆业的品牌，值得推荐的一家酒店，', '短评打分': 5}
{'短评内容': '这是南昌的一家品牌宾馆，各方面都还不错。', '短评打分': 5}
{'短评内容': '性价比比较高，地理位置很有优势，虽然很早装修的，但是还是很值得推荐', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店设施很陈旧，与四星级酒店的标准根本不相符，性价比太差！早餐也不是自助餐，只是10元的早餐劵，基本上吃个早饭自己还得另外掏钱。差评！', '短评打分': 1}
{'短评内容': '太老了，一般，设施很旧，服务也很一般，前台的工作不行', '短评打分': 1}
{'短评内容': '二号楼的房间有点旧，中央空调不开，房间电视节目乱，感觉是好几年前的设施', '短评打分': 1}
{'短评内容': '服务态度特别差，咨询周边道路情况时前台接待爱理不理的，早餐不是免费的给的是每人10元赠卷，是个陷阱，而且早餐东西不好吃', '短评打分': 1}
{'短评内容': '位置还行，设施太旧，服务一般。本来打电话问可不可以加床，说可以。后来到了前台又说不行，只能换了豪华房才能加床。服务员推了个折叠床过来就不管了，让我们自己弄。我算明白了，原来花了80块就是租金，不带服务的！', '短评打分': 1}
{'短评内容': '早餐只送10块，超出的还要自己付钱，太烂了', '短评打分': 1}
{'短评内容': '虽然是四星级宾馆，但是设备和内部装修都已经很陈旧了，空调也不算很舒服，当然比普通的7天，如家好一些。最大的便利是位置好，地理位置确实挺方便', '短评打分': 5}
{'短评内容': '这么老的4星级酒店，我还是第一次碰到，好装修了！', '短评打分': 1}
{'短评内容': '酒店价位偏高，其他都蛮好的。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，卫生条件不错，服务一般，设施比较齐全，住着还算舒适。', '短评打分': 5}
{'短评内容': '真的好差阿 实在是太差了！！！史上见过最差的四星级！回到了七十年代！！', '短评打分': 3}
{'短评内容': '交通非常便利，服务态度很好，价格也可以，在那个地段的话这个酒店算是比较便宜的了，环境也还不错。', '短评打分': 5}
{'短评内容': '卫生设施一般可能也是比较旧的宾馆环境餐饮方面都还可以主要就是有些陈旧了，位置也很好找的打车的话司机都很清楚，服务价格都还好。', '短评打分': 5}
{'短评内容': '    这家酒店唯一的好处就是地理位置还可以，由于我是要去省人民医院办事，所以住这里比较方便，但其他方面都不是很好。如酒店地毯太脏、房间有很大的霉味、酒店设施陈旧等等，而且，最让我头痛的是，我的电脑和网线连不上，想找网管看一下，4星酒店竟然找不到网管，真的太郁闷了。', '短评打分': 5}
{'短评内容': '真的太差了 回到了七十年代 \n这已经是主楼了', '短评打分': 1}
{'短评内容': '隔音稍差，比较陈旧，早餐不错', '短评打分': 5}
{'短评内容': '酒店位置环境都很好，又方便去机场！', '短评打分': 5}
{'短评内容': '位置好，做机场大巴方便。酒店的设施一般，服务一般，早餐一般。。。', '短评打分': 5}
{'短评内容': '我2010.03.05－06第一次入住洪都宾馆8003房。客房很安静，感觉很好。服务员在下午还能换一次卫浴毛巾，整理卧具。使人感觉卫生、舒适、人性化。我下次不光自己，还要介绍长沙的朋友们入住洪都。谢谢！！！\r\n【缺点是房门没有防盗“安全门扣”。防盗“安全门扣”是星级宾馆必须安装的重要安防设施】\r\n\r\n特别致谢：总台的服务小姐：您好！我2010.7号早上退房回长沙。回家发现我新款诺基亚手机的手写笔不', '短评打分': 5}
{'短评内容': '我觉得这是我住过最差的四星级酒店，暖气开了一整天加一整夜居然还是冷的，我是穿着毛衣毛裤睡觉的，我小孩的衣服我都不敢脱，这是什么四星酒店我之前住的阳光假日酒店，开了一会暖气就暖的不得了，晚上热的关空调，我再回南昌绝对不会再住洪都酒店了太差了！！！！', '短评打分': 1}
{'短评内容': '交通便利，硬件设施环境不错，价格适中，性价比很合适的', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都比较不错，卫生服务也很好，价格合理适中，还是值得推荐入住的酒店性价比合理！', '短评打分': 3}
{'短评内容': '地点不错的，房间的硬件还不错，进出方便.位置好,离滕王阁风景区较近,胜利路步行街也不远,市话长途还免费.早饭十元赠票基本够用.', '短评打分': 5}
{'短评内容': '太旧，房间太小。充其量就是一个二星宾馆。', '短评打分': 1}
{'短评内容': '酒店很一般，而且他们房间不行的，里面的东西都比较简陋，我住了几天，中间还换了次房型，感觉还是不行，价格也只能说是一般，但是位置还是不错的。', '短评打分': 1}
{'短评内容': '感觉不是太好,反正比以前住的四星要差,跟二三星的差不多吧,入住登记时一个前台MM聊了很久电话才过来工作(一听就知道不是工作电话)...唯一的优点时坐机场大巴很方便', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
