{'短评内容': '总体还行，早餐不错', '短评打分': 5}
{'短评内容': '四星？？如果在合肥，勉强就是3星。\n说不出什么地方不好，因为没觉得什么地方好。早餐简陋，太简陋！不过住了金地之后，也就理解了国际酒店的4星是怎么回事了', '短评打分': 1}
{'短评内容': '还好，就是订车票费用太贵了，早餐还可以，房间也不错', '短评打分': 5}
{'短评内容': '一直以来，到滁州出差就定这家酒店，感觉它比较干净、清静，性价比也高。', '短评打分': 5}
{'短评内容': '酒店不错，房间比较干净，不过酒店没有内部小商场，购物不是很方便。但下次还会入住。', '短评打分': 5}
{'短评内容': '卫生和环境可以，交通也是比较方便，就是电梯间有点异味', '短评打分': 5}
{'短评内容': '总体来说环境还是可以的   设施都是完好的  卫生一般   服务态度正常化      还有提升的空间', '短评打分': 5}
{'短评内容': '里面比较干净的，也比较安全的，服务也还好的', '短评打分': 5}
{'短评内容': '在滁州，算是很好的地方了。不错的，，，，，', '短评打分': 5}
{'短评内容': '酒店卫生，环境和早餐都还不错滴，下次还会去', '短评打分': 5}
{'短评内容': '每次到滁州都会去这家店住，环境还行，也卫生。', '短评打分': 5}
{'短评内容': '性價比還是很高的酒店 性價比還是很高的酒店', '短评打分': 5}
{'短评内容': '到滁州只能选它，其他的也没什么好的了，结账很慢啊，，，，', '短评打分': 5}
{'短评内容': '到滁州就只能选它了，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '性价比可以。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '门口挺大的，开车去的很合适；而且房间服务员态度也可以，就是前台偶尔结账有点慢。', '短评打分': 5}
{'短评内容': '房间不大，卫生间比较干净，四星算不上，性价比还不错。', '短评打分': 5}
{'短评内容': '酒店硬件环境还行，早餐太差，8点就基本没吃的了', '短评打分': 3}
{'短评内容': '酒店不错，硬件比较好。就是早餐简单了点。总体评价不错', '短评打分': 3}
{'短评内容': '信用赢得客户，谢谢你们优质的服务。', '短评打分': 3}
{'短评内容': '环境非常不错，床也非常大，唯一的不足就是 早餐有待改善', '短评打分': 5}
{'短评内容': '还不错 ，蛮干净的，性价比还蛮高的，下次出差还可住！', '短评打分': 5}
{'短评内容': '现在不知道有没有新的改进，特别是餐饮服务水平，和其他硬件水平差距太大了', '短评打分': 1}
{'短评内容': '虽然滁州地方小，但是这个酒店也算是可以撑撑门面的了。要吧餐饮服务提高一下了', '短评打分': 5}
{'短评内容': '唯一的优点是地处地点比较安静。而且周围没有交通噪音', '短评打分': 5}
{'短评内容': '酒店早餐实在不敢恭维，可能滁州就这水平吧', '短评打分': 5}
{'短评内容': '酒店环境优雅，很适合度假，主要是安静！去琅琊山景区打车只需六元！其他的也没什么可以挑毛病的了，地区市里算是很不错的一间酒店！值得推荐！', '短评打分': 5}
{'短评内容': '酒店总体来讲还不错,服务也还可以,就是早餐太差,与酒店星级不相配,餐厅服务质量太差.', '短评打分': 3}
{'短评内容': '硬件设施不错，性价比高！硬件设施不错，性价比高！', '短评打分': 5}
{'短评内容': '酒店服务好', '短评打分': 3}
{'短评内容': '总的来说还不错，房间的硬件虽然离大城市的四星还有不足，但在这里已经算不错了！大部分设施都较新！位置也不错，位于宋城边，算是闹中取静吧！早餐的品种和挂牌四星的差距太大太大。价格方面有一些优势，会经常去滁州，如果没有更好的选择，肯定还会住这里！', '短评打分': 5}
{'短评内容': '完全达不到4星标准，房间里连速溶 咖啡都没有，酒店内也没有餐饮设施，据说是在装修，下次出差肯定不会去了。', '短评打分': 1}
{'短评内容': '服务良好，环境整洁，价格公道，是住宿的好去处！我向各位朋友推荐！', '短评打分': 5}
{'短评内容': '酒店的服务很不错，周到热情，房间布置的很好，外部环境很不错，交通出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店地处市中心，也靠近琅琊山风景区，周边环境很好，交通也很便利，房间内硬件设施齐全，服务到位，还可以上网，住宿环境还是蛮好的', '短评打分': 5}
{'短评内容': '环境舒适，服务态度良好，性价比高！是个好宾馆！', '短评打分': 3}
{'短评内容': '服务很好，值得推荐！', '短评打分': 5}
{'短评内容': '滁州国际酒店还不错,就是预订的时候废了不少力.', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '早餐太差,品种太少而且口味不好，其他方面还好', '短评打分': 1}
{'短评内容': '属于闹中取静的一个地方 打开窗可以看到山\r\n秋天晚上开着窗睡觉很舒服，空气也很好\r\n只是到了秋天房间就不送矿泉水了\r\n\r\n淋浴的水很大\r\n\r\n早饭选择很少 晚上过了9点以后也很难在酒店内吃到东西了', '短评打分': 5}
{'短评内容': '还不错~对得起四星~就是游泳池不开，这个很郁闷', '短评打分': 5}
{'短评内容': '刚才我没登陆时就发了一条点评，这才发觉好像没评分什么的。。。-0-\r\n现在再写一次吧。\r\n\r\n我是9月10日入住的滁州国际。\r\n房间的卫生，前台、总机、服务员的服务都够得上四星标准。\r\n\r\n稍微有一点不方便的就是打车。酒店所在的不是路口，而那条路又不是非常人来人往的。\r\n\r\n用餐方面我没有到2F点餐过，但是上了最高楼层的旋转餐厅看了看，当时是晚上6点，菜看起来已经冷了。菜色好像也不是很丰富。大概当', '短评打分': 3}
{'短评内容': '卫生服务各个方面已经够得上是四星级标准了。\n很干净，很舒服。\n我住的是278/晚的单间。\n\n最高楼层的旋转餐厅我去的时候大概是18点，大概当地人就餐时间都比较早一些，菜已经冷掉了。菜色也没有特别多。价格是55元/位\n\n早晨是送2张餐券的。自助餐，品种还不错，还可以有现煮的小馄饨。\n\n服务员打扫的也不错，态度都很好。', '短评打分': 3}
{'短评内容': '挺干净的，房间稍微有点偏小。地理位置不算偏。住的挺满意。', '短评打分': 5}
{'短评内容': '+第一印象挺不错哒～干净是我对酒店的第一要求，这点绝对符合。服务也很舒服～下次有机会还会会再来的。餐厅没去见识过，住房舒适四颗星', '短评打分': 5}
{'短评内容': '周边环境有些荒凉，想逛街要走个10分钟左右。从火车站打车过去4块钱（起步价），从酒店打车到琅琊山景区7块钱不到。酒店大厅很开阔，前台服务不错，房间面积比较小，隔音效果太差，电视机屏幕太小（与酒店星级不配套），而且看电视像在看网络视频，卡的很，画面一帧一帧的走。可以收到几个国外的台，晚上会有电话问需要美女按摩不。早餐的品种少了点，而且是本地口味，北方人可能不一定吃的习惯，我就喜欢吃馒头，结果没找到。', '短评打分': 5}
{'短评内容': '酒店还不错位置的话可能是稍微有些偏，酒店内部还不错房间也很好，价格也还不错。', '短评打分': 5}
{'短评内容': '性价比挺高的，值得选择。交通便利，出去办事还算蛮方便的。', '短评打分': 5}
{'短评内容': '很安静，也很干净，早餐对于四星来说少了些，但味道还可以，推荐入住！', '短评打分': 5}
{'短评内容': '滁州国际酒店游泳池是我用过的最差的酒店游泳池，管理的一塌糊涂：\r\n1.卫生条件差，游泳池弥漫着难闻的气味，更衣室地上垃圾成群，包括食品垃圾\r\n2.人员嘈杂，泳池中到处是打闹，跳水的人群，许多泳池中危险的动作泳池工作人员视而不见\r\n滁州国际酒店游泳池应该比一般的社会泳池有更高的管理水平，因为他还要面对他的住店客人', '短评打分': 1}
{'短评内容': 'KOHLER浴缸，水龙头、浴室感觉不错；30寸液晶电视、家具一般', '短评打分': 5}
{'短评内容': '游泳池免费，可以运动下。给高分。', '短评打分': 5}
{'短评内容': '在滁州也算数一数二的酒店，新装修过了，感觉还不错。', '短评打分': 5}
{'短评内容': '空间很大，通风很好，打扫也很干净，设施也不错，住的挺舒适的。', '短评打分': 5}
{'短评内容': '房间布置的很好，颜色搭配很协调，设施也比较齐全，让人感觉很清爽。', '短评打分': 5}
{'短评内容': '酒店位于市中心，交通很便利，价格也比较实惠的。', '短评打分': 5}
