{'短评内容': '服务很到位。交通便利，出门就有公交，一站就到地铁口。', '短评打分': 5}
{'短评内容': '酒店比想象还要大，房间很新，喜欢酒店里的香薰味道，不过再淡一点就更完美了', '短评打分': 5}
{'短评内容': '花园很大很漂亮，都是多层建筑，喜欢这种不压抑的感觉，推荐！', '短评打分': 5}
{'短评内容': '服务很好，房间很新，还免费洗了一件衣服，哈哈', '短评打分': 3}
{'短评内容': '房间面朝花园，之前看评论说环境好，但还是没想到会这么好，从房间看过去，花园超大！房间才装修完不久，很新，风格也不错', '短评打分': 3}
{'短评内容': '定的泰式房间，很有异域风情哦~房间里的智能化设备给我的映像很深，以前还没住过这种房间，赞一个！', '短评打分': 5}
{'短评内容': '交通比较便利，价位跟同星级的相比性价比较高。酒店服务到位。', '短评打分': 5}
{'短评内容': '床特别舒服，软，酒店位置有点偏', '短评打分': 5}
{'短评内容': '其他都很好,就是卫生间的淋浴房小了点,有点不方便.餐厅环境也很好就是稍微有点贵,嘿嘿', '短评打分': 5}
{'短评内容': '去酒店去太早了，前台和大堂经理一直道歉，弄得我都不好意思了，谢谢', '短评打分': 5}
{'短评内容': '装修风格比较简约，印象最深的还是服务相当热情', '短评打分': 3}
{'短评内容': '游泳池不错，水温合适，还可以干蒸，good~', '短评打分': 5}
{'短评内容': '楼层结构有点复杂，我有点路痴，差点转晕了，不过大堂副理很认真地给我讲解，还带我逛了一圈，感觉好多了', '短评打分': 3}
{'短评内容': '原以为这个地方人应该很少，结果发现酒店的人气好旺哦，好像都是开会的人，不过还好客房和那些会议室是分开的，没影响到我', '短评打分': 5}
{'短评内容': '嗯，确实是园林式酒店，最喜欢可以打开的窗户了，可以呼吸新鲜的空气', '短评打分': 3}
{'短评内容': '酒店的那个东南亚风格的会所很特别，早餐好吃，哈哈', '短评打分': 5}
{'短评内容': '环境很好，空气很清新！服务员都要主动问好，不错！', '短评打分': 3}
{'短评内容': '酒店的床睡着特别舒服，刚才用了早餐品种很多，然后去逛了逛花园，确实很漂亮，看得出来酒店是花了心思的。推荐大家住，跟其他五星级酒店的感觉真的不一样', '短评打分': 5}
{'短评内容': '服务很到位，客房的各种设施齐全，服务人员有礼貌', '短评打分': 3}
{'短评内容': '望江宾馆的硬件设施条件不错，早餐的标准很好，周边绿树成荫，适合休闲散步', '短评打分': 3}
{'短评内容': '望江宾馆环境优雅，虽然交通要靠自驾和打车但环境和硬件真是不错', '短评打分': 5}
{'短评内容': '住这里开会很不错。如果是自由行旅游，位置也许有点不方便。', '短评打分': 5}
{'短评内容': '条件很好服务也不错位置比较偏打车不方便', '短评打分': 5}
{'短评内容': '帮同事订的，说不错', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '设施差，电视机图像走形也不修理，号称四星但不达标。\r\n找出租车不方便。', '短评打分': 1}
{'短评内容': '酒店的卫生服务非常不错，服务态度也还可以，条件设施都还不错，就是位置有点偏，不过对我来说还是很方便的，如果还到这个附近，还是可以考虑的。', '短评打分': 3}
{'短评内容': '酒店不错。会议室餐厅非常好。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '总的来说还是不错的。去成都考试，离川邮比较近，早上叫了宾馆礼宾部的车直接送到考场门口。车租的还是超值的。', '短评打分': 5}
{'短评内容': '健身设施真的很不错！', '短评打分': 5}
{'短评内容': '望江的位置很不错，挺方便的，硬件条件也挺好的，而且价格我们能接受，他们酒店的服务也不错，整体来说很满意。', '短评打分': 3}
{'短评内容': '该宾馆设施齐全，但位置较偏，原是成都军区宾馆，环境优雅，适合喜欢清静的公务人员和常住的外地来蓉的人员居住，信价比较好。', '短评打分': 5}
{'短评内容': '上午check in 因为有事耽搁了一下没及时去午餐，大概下午两点过去餐厅就说厨师下班了，什么吃的都没有。非常郁闷，因为酒店周围也没餐厅，不得去很远的地方吃饭。这么大一个酒店难道不该提供24小时的餐饮吗？', '短评打分': 1}
{'短评内容': '酒店的环境很好,但是房间条件不好,里面的设施太陈了,卫生一般,服务还可以,整体感觉都比较一般.', '短评打分': 1}
{'短评内容': '在成都来说望江的硬件条件，和他的服务都是很不错的，而且那个位置交通还挺方便的。', '短评打分': 5}
{'短评内容': '还可以,酒店价格有点贵.位置不错', '短评打分': 5}
{'短评内容': '五一携全家成都，乐山峨眉游，车多人挤，一路风尘，不过人文风情，几地景观，的确让人不虚此行。在这家宾馆住了两夜，感觉非常值！花园式的宾馆该有两百至三百亩吧，清晰的空气，迷人的鸟语花香，让人感觉还在峨眉山下。所住的455房间面对沙河，据说是成都的生命河，工程浩大，两岸风光漪 丽，游人如织。就是河水小了些，大概成都也天干吧。&lt;br /&gt;\n  房间真够五星水准，宽大的床垫，鸭绒床上用品睡的非常', '短评打分': 5}
{'短评内容': '前几天到这家酒店参加会议，觉得很不错。八九米高的礼堂式大会议厅，标准游泳池大小的恒温泳池。房间挨着庭院，打开玻璃门还有个小阳台可以坐着喝茶晒太阳。不错！', '短评打分': 5}
{'短评内容': '宾馆硬件不错，看得出下了一些血本的，比市中心一些老五星级酒店好。位置有些偏，但门口一条大道直通春熙路。我从宾馆打的过去不到十分钟。不错，值得推荐。', '短评打分': 5}
