{'短评内容': '诶诶诶诶诶诶诶i诶诶诶诶诶诶ieee额诶诶诶i诶诶诶', '短评打分': 1}
{'短评内容': '，不错。位置好，方便，干净', '短评打分': 5}
{'短评内容': '还不错，房间很干净，服务态度也很不错，就是电梯里有点臭', '短评打分': 5}
{'短评内容': '还可以.....................', '短评打分': 5}
{'短评内容': '位置不错。在新城站坐公交能直接到妙果寺，下了车对面就是。不过，是锦江之星旅馆！门面小的有点让人惊讶。。。。。。入住登记的时候服务员态度很不好。。。。。。不过后来晚上从外面回来后的貌似不是服务员是经理什么的，一见到就马上笑脸如花地说晚上好。感觉房间不是很干净。而且挺小的。。。。一大早对面的马路上就有人用很响的麦克风唱歌。。。。。。怪郁闷的。。。。女儿都没睡好。。。。下次应该不会再住了。性价比很低。', '短评打分': 1}
{'短评内容': '店面比较小。', '短评打分': 5}
{'短评内容': '沿街的房间比较吵，不过199块的价格还是合理的', '短评打分': 5}
{'短评内容': '很安静。感觉就是清净。不错的', '短评打分': 3}
{'短评内容': '恩安静，在静安寺旁边。不错的地理。', '短评打分': 5}
{'短评内容': '房间比较干净 服务还不错 值得一提的是周边环境特别不错 有一座小山和寺庙在店的对面 但是自助早餐个人感觉花样相对少了点 只有酸奶 没有牛奶提供', '短评打分': 5}
{'短评内容': '门面比较小，但舒适度还可以，价格有点高', '短评打分': 5}
{'短评内容': '房间很小，服务也一般了。比起宁波、嘉兴等地的不行', '短评打分': 5}
{'短评内容': '相对其他同等规模城市的锦江之星,价格偏高.', '短评打分': 5}
{'短评内容': '对面就是寺庙，还有个佛塔，不错不错', '短评打分': 5}
{'短评内容': '维持了锦江的一贯水准，性价比不高，凑合着住吧。', '短评打分': 5}
{'短评内容': '周围环境不错，对面就是妙果寺，吃饭也方便，步行10分中到五马街，不靠马路的房间很安静，前台服务也比较热情，还会入住。', '短评打分': 5}
{'短评内容': '服务很好，位置有点偏。', '短评打分': 5}
{'短评内容': '就是早点品种太少了', '短评打分': 1}
{'短评内容': '还可以啊。比较干净', '短评打分': 5}
{'短评内容': '当地没什么好的酒店，要不很贵，要不很差，只能选这家，虽然在经济型里算贵的，但在温州这鸟地方没办法。', '短评打分': 5}
{'短评内容': '酒店还不错，离温州五马步行街比较近，服务员比较热情的', '短评打分': 3}
{'短评内容': '酒店卫生不错，态度好', '短评打分': 3}
{'短评内容': '酒店的位置还不错的，房间比较干净，就是有肥皂，没有沐浴液，电吹风机需要去前台借的，但是总体上还可以的', '短评打分': 5}
{'短评内容': '早餐很好...酒店位置十分便利..', '短评打分': 5}
{'短评内容': '地理位置其实在温州市区不算很远，对于外地来的人，这个地址已经算不错了。周边交通方便，风景还不错，对面就是寺庙。西边就是西站。东边就是闹市区离五马街也不算很远。其他没什么缺点。就是我的枕套有斑迹，清洁房间的人员每看仔细。第二天还是没换，只能反着用，有待改进。其他都不错，住的舒适，虽然门面不大，但是经济实惠。安静。', '短评打分': 5}
{'短评内容': '服务态度不错，房间安静，不错！', '短评打分': 3}
{'短评内容': '服务不错，提出换房间安排的速度很快！', '短评打分': 5}
{'短评内容': '酒店条件还不错,就是快捷酒店,比较适合出差的时候住,位置也挺方便,而且价格便宜.', '短评打分': 3}
{'短评内容': '规模比较小，不如其他的锦江之星，总体感觉不是很好\r\n', '短评打分': 1}
{'短评内容': '我觉得这家酒店还不错，出行是很方便的，房间的卫生和设施也还可以，服务也不错，我觉得这家酒店的性价比是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '最好两点\r\n1. 距离我公干的地方非常近\r\n2. 早餐相当实惠，核算，且美味', '短评打分': 5}
{'短评内容': '锦江之星酒店可以提供客人早餐服务,比其它连锁酒店要好.另外就是酒店对面有一景点所以出游还算方便.也位于市中心.乘公交都挺方便.总体感觉挺好的一家酒店', '短评打分': 3}
{'短评内容': '这家酒店里面房间内没有有偿消费品，有点不方便，枕头不是很舒服。单人床只有1.5米 感觉不够大。', '短评打分': 5}
{'短评内容': '整体感觉酒店还是不错的,很干净舒适；性价比也不错；就是位置不是特别好,但还是值得推荐一下的酒店；', '短评打分': 3}
{'短评内容': '酒店的内部环境还可以，但停车很不方便。下次去温州会选择别的酒店看看', '短评打分': 1}
{'短评内容': '房间比较干净，服务也不错，而且酒店位置也挺方便，值得推荐 ', '短评打分': 5}
