{'短评内容': '环境很好，也很安静', '短评打分': 5}
{'短评内容': '温泉很舒服，小朋友玩的很开心！', '短评打分': 5}
{'短评内容': '我订的是带泡浴池的温泉房，房间整洁舒适，在房间里泡温泉感觉很好。酒店服务良好，附带的早餐质量也可以，要扣分的是泡浴池底部小部分位置清洁不到位而感觉滑，房间门要提起锁头才能锁好。', '短评打分': 5}
{'短评内容': '浴室的热水出水时间太长，放了很久还是冷的', '短评打分': 3}
{'短评内容': '领导满意', '短评打分': 5}
{'短评内容': '酒店不错，房间小，蚊子多', '短评打分': 3}
{'短评内容': '..还行价格有点高～带温泉的房间住着还不错，周边没有商业服一。\n', '短评打分': 5}
{'短评内容': '酒店到火车站有接送的，从火车站出发是11:00，从酒店返回是13：00，去的时候比较晚，没赶上接送，从南京站打车到酒店挺远的，大概100块，就在颐尚后面。\n原先订的2400元的豪华房，免费升级到了联体别墅，心里还是很开心滴：）\n进入大厅就是浓浓的泰国风情，服务生的态度很好，带到房间后还做了简单的介绍，房间很大，浴室还有地暖，从阳台和浴室都能进入泡池，还有三种浴盐提供，很不错。\n酒店周围没有什么吃的', '短评打分': 5}
{'短评内容': '新酒店，环境设施服务都不错，就是还没有完全搞好', '短评打分': 5}
{'短评内容': '不错的酒店。温泉很好，能在卧室里泡。泳池还行水太冷。早餐还不错。就是太难找。路标不明显。', '短评打分': 5}
{'短评内容': '一个可以人住上一个月不想离开的酒店，服务细致，也别是大堂副理名字时间太久真记不起来了。环境特别好。值得关上手机安静的呆着。', '短评打分': 5}
{'短评内容': '酒店环境很不错，装饰是泰式的。最主要的酒店的床垫非常舒服，我定的是含汤池的，更加私密，用的生活用品，沐浴露，护发素、洗发水都是欧舒丹的原装。真的不错，餐厅主要经营的是泰式的，就是早餐没有鸡蛋。。。。\n其他的都很好！', '短评打分': 5}
{'短评内容': '这次公司组织一年一度的旅游，把地方订在了汤山的御庭精品酒店，我们去的时候正巧碰上御庭在办一个国学年文化之旅的活动，是一个套餐的样子，于是我们就订了这个。御庭精品酒店位于汤山，酒店依山而建，青雾缭绕，给人感觉很舒服，空气也特别的新鲜。到了大堂，我们订的这个御庭国学年文化之旅的套餐内容还真的很丰富，可以省去我们很多时间找玩的地方。它里面包括2张价值360的温泉券、汤山探险游、国家4A级景区阳山碑材及明', '短评打分': 5}
{'短评内容': '刚从汤山旅游回来，这次入住的是御庭精品酒店，很有自己特色的一家精品酒店。酒店位于汤山镇，地处汤山温泉入口，温泉资源当然是好的不用说啦。御庭酒店的整体风格是泰式的，酒店到处可见泰式的小饰物和装修，而且大多数的房间都配有独立私密的温泉泡池。我们住的是豪华山景房带温泉泡池。房间面积很大，足足与50平米，床很大，而且很舒适，很特别的是还有一只用毛巾折叠的小象，很有创意。而且房间的各项设施都很齐全，包括高速', '短评打分': 5}
{'短评内容': '御庭精品酒店汤山店真的是泡温泉的好地方，因为不用和别人挤在一块泡温泉，而且可以在自己的房间里享受温泉，不用提有多舒服了。来到御庭感觉酒店很气派，设计风格是东南亚的度假风，周围的环境也很好狠安静，而且御庭被绿水青山围绕，空气也特别的清新。来到房间，房间很宽敞明亮，地方也大，床上还有很特别的小象，后来问服务员原来是用毛巾折的，御庭真的是在各个设施上都花了很大的心思。最喜欢的是房间里的私人温泉大泡池，设', '短评打分': 5}
{'短评内容': '这次和大学同学一起去汤山泡温泉，我们选择入住的是御庭精品酒店，酒店的风格是泰式的，很有度假的感觉。房间也很大，还带有私人的温泉泡池，可以不用和被人挤在一起泡温泉。御庭的SPA也是出名的，技师都是泰国请来的，我们体验了一把皇家泰式疗程，两个半小时下来果然感觉舒缓解压，身心放松了，很棒的SPA，推荐去御庭的朋友可以试下。御庭还设有温泉包房，你可以在房间里泡，也可以和朋友一起去温泉包房泡。包房的设施也是', '短评打分': 5}
{'短评内容': '私人大泡池、绿水青山、泰式SPA，这些在这次的汤山温泉之旅全部都享受到了。这次我们入住的御庭精品酒店。这家酒店是我和朋友两个人在网上搜索到的。酒店整体很有格调，房间布局也很合理，而且很宽敞明亮。早晨的汤山空气很新鲜，周围绿水青山。房间里还有私人温泉泡池，私密性很好，属于自己的VIP温泉泡池哈哈，真的很舒服。酒店的泰式SPA也是首屈一指的，技师都是从泰国请来的，手法很专业，帮助我舒缓解压，身心都很放', '短评打分': 5}
{'短评内容': '来汤山，当然要泡温泉啦，但是又不喜欢公共的温泉泡池，于是在网上搜索了一下有独立温泉泡池的酒店，就看到了御庭，而且御庭在网上好评如潮，就决定先去尝试一下。到了御庭，发现它周围的环境很好，青山绿水环绕，空气很好，很适合旅游的朋友来住。酒店的大堂也是相当的气派，整个的风格很泰国风。房间很宽敞明亮，最喜欢的就是私人的温泉泡池，泡池的设计也很特别，还有水勺的出水口，很新颖。来的时候还查过，御庭的SPA很不错', '短评打分': 5}
{'短评内容': '很好很清静的地方！服务人员也很体贴，还有入住水果，值得一住。', '短评打分': 5}
{'短评内容': '这次的汤山之旅很是愉快，回来以后人也感觉轻松很多，我们住的御庭酒店给了我们太多的惊喜。御庭周围环境很好。绿水青山环绕，给人很惬意的境界。走入大堂引入眼帘的是很浓的泰式风格的装饰，随处可见可爱的小饰物。随后的房间也给了我们惊喜，宽敞的房间，干净的卫浴设备，还有欧舒丹的卫浴用品，房间里还设有室内温泉泡池，这个特别的设计想必很多朋友们都喜欢的。我也不例外，抱着澡，看电视，看看书，想想都觉得开心呢。。。。', '短评打分': 5}
{'短评内容': '天冷了，出去旅游不太高兴在外面逛，所以我和大学同学决定一起找一个可以泡温泉，又带度假性质的酒店。于是乎我们就找到了御庭汤山店。刚来到御庭给我们的感觉就是很豪华，酒店的装修风格很东南亚风格，心里暗暗窃喜选对地方了。不过我们最主要还是冲着他们家的室内温泉去的。房间里温泉泡池私密性很好，可以一边泡温泉一边看电视，休息很舒服。很适合我们这种懒人型的。服务员的服务业相当的热情，当我们问他们当地还有什么好玩的', '短评打分': 5}
{'短评内容': '这次从汤山旅游回来，忍不住想和大家分享下这次住的酒店---御庭。酒店的装修风格很泰式，瞬间有种亲临泰国的感觉。房间也布置的很温馨，房间很宽敞明亮。房间里还有独立的温泉泡池，配套的还有淋浴房，私人衣柜和梳妆台。晚上不妨点上一支香薰，泡个舒服的温泉，实在是享受至极。对于来度假放松的人来说实在是一个很好的选择。', '短评打分': 5}
{'短评内容': '酒店开在汤山的温泉度假村内, 环境优雅犹如进了仙境，山间步道，腾云驾雾，所有的烦恼被袅袅脆音，潺潺温泉洗涤的荡然无存。剩下的就是幸福和惬意，宛如世外桃源.房间的布置也很是温馨. 大床房的床非常大,睡3个人都不成问题.还贴心的在房内准备了小点心和水果, 洗漱工具也都非常精美,特别是沐浴露和洗发水都是欧舒丹家的,酒店的用心可见一斑. ', '短评打分': 5}
{'短评内容': '汤山新晋的温泉度假酒店,很棒的度假胜地.酒店大气宽敞,100多间客房.且大都配有独立温泉泡池,直接在房内可以享受私密的泡汤体验. 最让我欢喜的是酒店的美食.早餐品种丰盛而精致,味道也非常可口.中午吃的泰餐更是不在话下, 地道的泰式美味,一问才知道原来请的是泰国当地的大厨.冬阴功汤酸辣中透出海鲜的鲜甜,非常开胃. 黄咖喱蟹的咖喱浓郁芳香,蟹肉中夹杂着浓厚的咖喱味道,异常的好吃. 泰式虾饼也是很赞的一', '短评打分': 5}
{'短评内容': '酒店在汤山著名的温泉度假区内, 依山傍水，地理位置优越，交通十分便利。酒店环境绿树成荫，空气清新，湖水清澈透明，自然环境条件良好，是个非常理想的度假胜地。我住的套房配有独立的温泉泡池,将温泉的水直接引入房间,随时随地可以享受泡汤体验, 泡池很大,至少可以容纳3个人,温润的泉水彻底洗净身心。\n今年冬天公司的team building就推荐汤山御庭了.\n', '短评打分': 5}
{'短评内容': '选择汤山御庭，看中的就是它既有汤又有山，真正的名副其实。驾车到达酒店的时候正好是黄昏，酒店的周围就是群山，看着咸蛋黄一样的太阳渐渐沉入山中的景致，不禁感叹夕阳无限好，映衬得江南的山水如此的秀丽。晚饭吃的是泰国菜，蔬菜都是当地现采摘的，非常新鲜，配合大厨精湛的烹饪，满嘴的咖喱的香味在口中留香，实在太让人有满足感了。晚饭后，在自家客房的泡池里舒舒服服地泡了个澡。以前来汤山的时候因为住的酒店的温泉都是公', '短评打分': 5}
{'短评内容': '走进汤山御庭酒店的大堂，就感觉非常的富丽堂皇，气派非凡，三盏水晶吊灯装点着整个空间，泰国特色的工艺品增添了一些异域风情。酒店服务员亲切的向你微笑问好，顿时平添了一些非常温馨的家的感觉。许多人热衷于这里的温泉，这个当然是这里最大的特色了，本来就打响着温泉酒店的名头，泡泡温泉，消磨消磨度假时光。但除此之外，还可以多欣赏欣赏周围的景色，整个酒店就坐落在大自然的怀抱中，和周围的景色相辉映，山山水水，这也是', '短评打分': 5}
{'短评内容': '虽是刚开,业服务十分周到,环境更不用说了.免费早餐相当可口,我先生躺房间的温泉池中,都不愿起来哈哈哈.真的很不错!个人认为,御庭比颐尚还稍佳', '短评打分': 3}
{'短评内容': '汤山的这家温泉酒店应该是御庭在南京的第二家酒店了，还是冲着酒店的无敌大美景。打开房间的窗户就可以看到汤山的秀丽风景。酒店房间内还配有了室内温泉泡池，不用跑到外面去就可以好好的享受一把汤山温泉，不得不说御庭在这个方面是一个很大的突破。我的肤质容易过敏，就选择了比较温和的温泉泡池，每个人都可以根据自己的肤质来选择不同功效的温泉泡池。酒店刚开业，设施什么的都很新，服务员的服务也很到位，基本上都是有求必应', '短评打分': 5}
{'短评内容': '到汤山温泉酒店，马上就被他满眼的绿色给吸引住了，真正的依山傍山，相当开阔的视野。和苏州的御庭一样，这里也建造了一个露天游泳池，躺在游泳池里面，看着周围的青山绿水是一个非常不错的选择，强烈推荐一下。酒店的大堂装修非常精致，古朴的木质装点，华丽丽的水晶吊灯，带着一点东南亚的风情。办理入住的前台专门为客人设立了座椅，非常的贴心和人性化。自然不用说温泉是他最大的特色，还有传统的泰国餐厅，都是沿用了御庭一贯', '短评打分': 5}
{'短评内容': '一直想找一个温泉酒店好好得度个假期，这次汤山温泉酒店开始对外营业，就急急忙忙地赶了过去，想赶上这第一波的热潮，好好得享受一下这个拥有国际一流水准的温泉酒店。酒店房间建造的非常有新意，在房间内就有温泉设施，这样你爱怎么泡就怎么泡，想泡多久就泡多久，也就不用跑到外面去了，省去了很多麻烦，对于像我这样懒散的人来说，的确是提供了很大的便利。这家酒店又很潮流地跟上了绿色旅游，建了一个农家庄园，又多了一个农家', '短评打分': 5}
{'短评内容': '终于盼到汤山的温泉酒店开幕了，传说汤山御庭温泉水质已经达到了国际顶尖水平，所以一定要去体验一下，泡泡温泉什么的。去之前特地百度了一下，御庭汤山的水质已经获得了欧洲日本的双重认可。于是就很放心地在温泉里面舒适的泡泡，解除身体的疲乏。值得一提的是酒店周围的环境，被青山绿树包围着，栽种了各种各样的树木，绿化设施做得很不错。依山傍水的，很容易让人想到那首诗，我有一所房子，面朝大海，春暖花开。住在这样的酒店', '短评打分': 5}
{'短评内容': '御庭在汤山古镇又新开了一家度假温泉酒店，整个酒店就完全融入了当地的自然风景中，依山傍水，花草树木的怀抱在其中。用低调、奢华这两个词来形容再恰当不过了。温泉酒店当然要体验一下他的温泉了。酒店的客房里设立了温泉设施，为像我这种懒得出门的人提供了非常大的方便，不用出门就可以好好的泡泡著名的汤山温泉了。这里还开了一个酒店农庄，采采瓜果蔬菜，体验体验农家乐，朋友说下次可以组织公司的同事到这里搞搞集体活动什么', '短评打分': 5}
{'短评内容': '看到电视里面的介绍说汤山御庭的温泉水质已经达到了国际顶尖水平。冲着这个就想要去体验一下，泡泡温泉什么的。去之前特地百度了一下，原来御庭汤山的水质已经获得了欧洲日本的双重认可，还拿到了国际权威机构的证书。于是就带着老婆很放心地在温泉里面开心地泡泡澡，解除身体的疲乏。值得一提的是酒店周围的环境，被青山绿树包围着，栽种了各种各样的树木，绿化设施做得很不错。因为新开所以树长的还不高，过个三五个月这边一定是', '短评打分': 5}
