{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '很好，我们的客户非常欣赏这家酒店，酒店的性价比比较高，比较适合深圳龙岗、平湖、布吉、沙湾一带的住宿需求。', '短评打分': 5}
{'短评内容': '除了交通不方便以外，其他都很好。', '短评打分': 5}
{'短评内容': '酒店比较干净。有展会的时候，有些吵！', '短评打分': 3}
{'短评内容': '酒店很新，与级别的酒店相比性价比很高，所以本人每次去附近出差都选这家酒店，已住过N次。', '短评打分': 5}
{'短评内容': '住过2次，感觉还行！', '短评打分': 5}
{'短评内容': '附近范围内最好的了', '短评打分': 5}
{'短评内容': '在龙岗出差，挺方便的，只是周围不太繁华，倒也安静。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '前台一开始给安排了一间靠走廊尽头的房间，并特地说这间安静，后下来找前台给调换一间，结果前台说只能给另外一间比较吵的房间，真是缺德！', '短评打分': 5}
{'短评内容': '很晚到,很早走,只是感觉床还挺干净.', '短评打分': 5}
{'短评内容': '酒店不错，只是位置比较偏。。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '性价比极高的酒店，服务、设施、环境、饮食等各方面均一流，价格公道合理', '短评打分': 5}
{'短评内容': '安静、舒适的环境', '短评打分': 5}
{'短评内容': '是一个性价比极高的酒店，服务、设施、环境、饮食等各方面均一流，价格公道合理。', '短评打分': 5}
