{'短评内容': '房间设施比较旧，距周边小区近', '短评打分': 3}
{'短评内容': '卫生不错，就是太吵了。最大的不足是房间竟然没有茶叶。房间的座椅要更换了。', '短评打分': 5}
{'短评内容': '交通方便，房间干净，就是面积太小。热水也很久才出来。', '短评打分': 5}
{'短评内容': '房间还可以，就是热水方面不太方便，要打开水龙头几分钟才有热水，太慢了，也太麻烦了，也太浪费啦。', '短评打分': 5}
{'短评内容': '环境不错，就是前台服务冷冰冰的', '短评打分': 3}
{'短评内容': '和其他如家一样，干净、安静！！非常不错的地方', '短评打分': 5}
{'短评内容': '＋酒店很干净，环境不错。价格也很便宜。不错。', '短评打分': 3}
{'短评内容': '环境马马虎虎，没有想象的那么好，而且房间好冷啊。', '短评打分': 1}
{'短评内容': '看起来挺干净的，就是前台有点乱', '短评打分': 3}
{'短评内容': '离火车站有点远，收拾的不是太干净，浴室里居然还有用过的浴帽', '短评打分': 1}
{'短评内容': '干净、卫生、温馨，网速也快。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '如家的品质值得保证，24小时热水，交通方便，晚上比较安静，基本听不见噪音！', '短评打分': 5}
{'短评内容': '环境挺优美的，干净整洁，服务也挺好的', '短评打分': 3}
{'短评内容': '干净卫生整洁，房间空间宽敞，价格也不高，感觉很不错。', '短评打分': 5}
{'短评内容': '我住的那个楼层，真想个迷宫，进去后都不知道从哪儿才能走出来！', '短评打分': 1}
{'短评内容': '帮朋友定的，北门附近，位置理想，朋友很满意，其它就不多说了。', '短评打分': 5}
{'短评内容': '干净 舒服 整洁  如家  宾至如归\n战斗力无限  哈哈', '短评打分': 5}
{'短评内容': '环境不错，交通很方便。只是里面的空调不给力，有点冷。', '短评打分': 5}
{'短评内容': '干净卫生，服务态度较好，交通方便，下次还会考虑入住', '短评打分': 5}
{'短评内容': '服务不错。东西能及时送到。离开房间后，房间打扫快速。每次出去再回来房间都是打扫干净的，东西摆放整齐。', '短评打分': 5}
{'短评内容': '酒店卫生还好就是早点太差', '短评打分': 3}
{'短评内容': '酒店很好，很干净！里面的设施使用都有详细的说明。房间面积也挺大的。总体是硬件不错，软件在前台服务方面缺少微笑，虽然操作中规中矩没有一点差错。所以前厅这块要加强，总之还是愉快的合肥之旅!', '短评打分': 5}
{'短评内容': '帮客户订已经不是第一次了，环境不错，客户点名要订他家 \n', '短评打分': 5}
{'短评内容': '确实很好，交通很方便，跟实图一样，床很舒服，房间很温馨', '短评打分': 5}
{'短评内容': '地点很好，离火车站很近。对面也有超市和肯德基。', '短评打分': 5}
{'短评内容': '地点还不错，离火车站只要三公里左右，离市区也是起步价。缺点就是这附近的夜总会太多，晚上可能人员比较杂乱', '短评打分': 5}
{'短评内容': '每次去都会有臭臭的味道，而且过分的是居然马桶都没有冲干净，太恶心了……', '短评打分': 1}
{'短评内容': '一贯的如家风格，对面是世纪联华超市和KFC，还是比较方便的。', '短评打分': 5}
{'短评内容': '酒店离火车站很近，很方便。设施不错，环境也不错。如果不要求住市中心，还是不错的。', '短评打分': 5}
{'短评内容': '背对马路的房间，面向住宅小区，还是比较安静的，除了有风扇的声音，总体来说还可以', '短评打分': 5}
{'短评内容': '酒店不错，很干净也很安静！强力推荐！', '短评打分': 3}
{'短评内容': '地理位置还行，早餐一般！总体还可以，值得推荐', '短评打分': 5}
{'短评内容': '周围交通还是比较方便，房间也比较大，就是网速太不给力了，只能上个QQ。', '短评打分': 1}
{'短评内容': '环境还不错，房间也挺大的，价格很便宜。门口就有个大超市，买东西很方便', '短评打分': 5}
{'短评内容': '服务一般…', '短评打分': 3}
{'短评内容': '周围干什么都方便，价格也是很优惠！严重推荐！', '短评打分': 5}
{'短评内容': '我住的商务大床房，很不错，环境挺好，很卫生，床睡的也很舒适', '短评打分': 3}
{'短评内容': '服务各方面都还行。就是隔音太差、太吵', '短评打分': 3}
{'短评内容': '已入住很好很便宜', '短评打分': 3}
{'短评内容': '环境很不错，房间够大，采光也不错，值得一住。', '短评打分': 5}
{'短评内容': '很好,谢谢', '短评打分': 3}
{'短评内容': '价格便宜，房间很大，卫生也很干净，我们都很喜欢，下次再来~~', '短评打分': 5}
{'短评内容': '地理位置不错，交通便利，就是房间通风不太好，空调机声音很大，影响睡眠。', '短评打分': 5}
{'短评内容': '还不错，感觉回家了', '短评打分': 3}
{'短评内容': '挺干净的，也很安静，交通也挺方便，对面就是世纪联华超市', '短评打分': 5}
{'短评内容': '这个位置，这个价格，性价比无敌。马路对面就是大型超市和肯德基，方便。唯一的不足，就是没有大型酒店停车场，只能停在酒店门口的人行道上。不过这么优惠的价格，这一点儿不足可以接受。下次再来合肥，一定还住这儿。', '短评打分': 5}
{'短评内容': '经济又实惠，安静又整洁，下回还会再来的！地段也方便，开车没几分钟就能到火车站！旁边有元一广场等等的，闹中取静！', '短评打分': 5}
{'短评内容': '酒店离车站不算远，打车5分钟.\n对面有超市和KFC，很方便。\n离市中心市府广场也不过5分钟，很进。\n标准的如家风格，很舒适。\n唯一缺点就是门口在修路，往东方向不通，不然就更方便了！！', '短评打分': 5}
{'短评内容': '服务态度蛮好，酒店也非常干净，如家一如既往的好\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '住了很多次了\n感觉性价比不错\n还可以\n经常来住', '短评打分': 5}
{'短评内容': '整体感觉不错，交通方便，价格便宜，性价比较高', '短评打分': 3}
{'短评内容': '位置不错，服务态度也很好，就是房间内部设施稍微陈旧了点', '短评打分': 5}
{'短评内容': '服务态度蛮好，酒店也非常干净，如家一如既往的好', '短评打分': 5}
{'短评内容': '还不错的选择 ，我一直都是在如家的……就是那边在修路，坐车不方便', '短评打分': 5}
{'短评内容': '网上订得很顺利，是特价房很满意，但入住时给我开的票不是特价房，我没细看，结账那天很麻烦，差点耽误飞机，服务员还忘记找我钱了，后来我又打车回去取的钱，很不满意。', '短评打分': 1}
{'短评内容': '房间大小合适，超出预期，整体感觉不错，就是目前在修路，交通受到影响', '短评打分': 5}
{'短评内容': '没什么太大的感觉,朋友住了两天,基本满意。\n', '短评打分': 5}
{'短评内容': '条件一般，不是很好找。离车站隔了一条街，合肥人很不情愿指路。房卡连续两次无法打开门，换了一间房也是如此。后来不愿在下楼去办卡，喊了老半天来了个服务员（应该是领班）去处理的。不过服务态度还好。', '短评打分': 5}
{'短评内容': '酒店服务还行\n这段时间前面修路\n交通不是很方便\n打车蛮难打的', '短评打分': 5}
{'短评内容': '酒店服务还行\n现在前面修路\n交通不是很方便\n打车挺难打的', '短评打分': 5}
{'短评内容': '如家就是你家！\n环境不错\n卫生不错\n服务不错\n下次还来                                     ', '短评打分': 5}
{'短评内容': '不错的酒店，房间比较大，价格合适，值得推荐', '短评打分': 5}
{'短评内容': '总体感觉还可以，不过餐厅只提供早餐不是很方便，还有就是前台的小商品价格太高了，有些价格翻了一番还多。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间很干净，房型很大，冷气很好。地理位置优', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '服务还不错，就是没有订到晚餐。', '短评打分': 3}
{'短评内容': '不错.......性价比很高......................', '短评打分': 5}
{'短评内容': '不错,很卫生,下次还去................................', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境及服务态度都挺好', '短评打分': 3}
{'短评内容': '，环境很好，价格公道。', '短评打分': 3}
{'短评内容': '很一般，有的房间大，有的房间小，赶上特价房还好，也就这样了。', '短评打分': 5}
{'短评内容': '一共住了4天，有3天上不了网，问前台服务员附近的一个大厦的距离远不远，服务员直接告诉我：“出门打个的就到了”我还不知道打的能到啊，还有就是我在大堂听到前台服务员接电话，电话那头问酒店的具体地址，前台的服务员还是那句：“你打个的就到了”。狂晕。。。。。', '短评打分': 1}
{'短评内容': '挺干净的,就是房间里有点异味，不过整体来说性价比比较高。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '这家店服务态度还不错，就是晚上打开水龙头左拧右拧全是热水，天太热不太方便。', '短评打分': 3}
{'短评内容': '已经住过多次了，条件就那样，环境较差，不如旁边的锦江', '短评打分': 5}
{'短评内容': '很不错。', '短评打分': 3}
{'短评内容': '卫生干净，价格实惠', '短评打分': 3}
{'短评内容': '帮朋友定的酒店，这单是续订的，非常方便的。下次还会再来', '短评打分': 5}
{'短评内容': '帮朋友定的酒店，朋友说非常不错，下次再来合肥还会定这一家。', '短评打分': 5}
{'短评内容': '服务很好,卫生干净,下次还来,考鸭方便,只是噪声太大,尤其是夜间', '短评打分': 5}
{'短评内容': '价格适中，房间隔音太差！戈壁男女闹了一夜！只能作为临时停留住宿还行！', '短评打分': 1}
{'短评内容': '房间环境等整体不错，不过在路口旁边，晚上车来车往比较吵，', '短评打分': 5}
{'短评内容': '环境不错。房间很宽敞。热水也挺好。不过 就是 离火车站  稍微有点儿远。。公交起码有两站路', '短评打分': 5}
{'短评内容': '还行 还行呀。。。。\n下次可以换一家试试吧', '短评打分': 5}
{'短评内容': '已经多次入住这里了。觉得还行吧，没有旁边的锦江好，下次去试试锦江', '短评打分': 5}
{'短评内容': '房间挺大的。只不过怎么是标准间。嘿嘿……', '短评打分': 5}
{'短评内容': '离火车站是有些距离，119的特价房还是不错的。十路直接到火车站。', '短评打分': 5}
{'短评内容': '保持如家的传统，清洁。交通便利，周围环境还可以。', '短评打分': 5}
{'短评内容': '房型蛮好，就是离火车站有点距离，走过来太远，需要坐车。', '短评打分': 5}
{'短评内容': '我非常喜欢如家简洁舒适的风格，合肥火车站店是有点偏，但还是值得推荐！希望如家能一如既往的不急不躁的提高自己的服务！', '短评打分': 5}
{'短评内容': '如家酒店一直都挺不错的，唯一的缺点就是洗发液和沐浴液是相同的，貌似洗发液和沐浴液的化学成分不一样吧？？总体来说还是挺满意的。', '短评打分': 5}
{'短评内容': '服务非常好，房间也很干净，特别喜欢如家家一般的感觉，还会入住的', '短评打分': 3}
{'短评内容': '酒店外吃饭的地方不多,酒店内设施不错,挺舒适~', '短评打分': 5}
{'短评内容': '好 ,环境挺好的，特别温馨，附近买东西方便，还有kfc，下次再来.\n ', '短评打分': 5}
{'短评内容': '噪音有点大。其他条件还可以，热水挺好！价位还可以。', '短评打分': 5}
{'短评内容': '恰好住到了带拐角的房间，比一般房间要大，超值了。周围没什么好吃好玩的，得坐车出去才有。', '短评打分': 5}
{'短评内容': '比较好  比较干净  地理位置不错  服务态度不错\n', '短评打分': 5}
{'短评内容': '服务还可以    特价房间很大也比较干净    设施还比较齐全，就是没有梳子和电吹风', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '特价房很不错', '短评打分': 3}
{'短评内容': '超级好，房间宽敞，毛巾很干净，价廉物美，离火车站汽车站也很近', '短评打分': 5}
{'短评内容': '虽然特价房但很满意', '短评打分': 3}
{'短评内容': '已入住服务还好，卫生希望再提高些。', '短评打分': 3}
{'短评内容': '装修温馨，性价比高。交通方便，离火车站近。', '短评打分': 5}
{'短评内容': '如家合肥火车站店房间够大，卫生条件很好服务热情周到，火车站打车8元，交通便捷。因为临街有些吵。', '短评打分': 3}
{'短评内容': '酒店环境很好，性价比挺高的，就是服务不是很好，没有零钱找零。订餐比较麻烦。', '短评打分': 5}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': ' 地点不好找,环境很好', '短评打分': 3}
{'短评内容': '地点适宜，交通便利，服务还不错。要求不高的可以去。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很好，性价比挺高的，房间挺大，服务态度也还行，就是电视及隔音不太好。', '短评打分': 5}
{'短评内容': '很安静，服务周到，有家的感觉', '短评打分': 3}
{'短评内容': '挺好\nRachel', '短评打分': 3}
{'短评内容': '挺好的,我定的双床,房间很大,带着宝宝入住,宝宝也挺喜欢这个地方的,很干净,住在7楼也很安静', '短评打分': 5}
{'短评内容': '合肥双岗点 整体还不错；房间的隔音效果有点差。', '短评打分': 5}
{'短评内容': '离火车站还是稍微远了点。。。毕竟以前没叫火车站店。。。现在可能是为了更好的营销', '短评打分': 5}
{'短评内容': '房间隔音效果很差  酒店就在主干道旁边   晚上吵的人睡不着', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '不错的房间，位置也不错，服务态度也很好，就是房间的电灯好像要修了。。。好几个都不会亮了', '短评打分': 5}
{'短评内容': '马桶坏的，房间很小。周边用餐也还算方便，别的一般', '短评打分': 1}
{'短评内容': '第二次住了，如家的标准水平，对面有肯德基和世纪联华超市，晚上门口还有大排档吃东西。就是周围都是夜总会...', '短评打分': 5}
{'短评内容': '其他都很不错，位置到火车站还挺近，也挺安静的，就是有些设施不太好了～～', '短评打分': 5}
{'短评内容': '前台服务态度极差，别的其实都还好，但是前台那个态度啊！', '短评打分': 1}
{'短评内容': ' 酒店交通便利  设施较好  卫生不错', '短评打分': 5}
{'短评内容': '服务态度好、服务质量高，干净卫生，性价比较高。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '位置还可以，设施一般，服务很好，卫生很好，临街比较吵。', '短评打分': 5}
{'短评内容': '                    位置交通还可以，但周边环境不是很好。', '短评打分': 5}
{'短评内容': '性价比一般，因为前后左右的酒店都比它便宜点，但是作为连锁，质量还是很有保证的。', '短评打分': 3}
{'短评内容': '很舒适，服务业很好，设施也不错，卫生环境都很满意，想的比较周到的，就是希望可以代订机票火车票等，这样会更加便利', '短评打分': 3}
{'短评内容': '入住的时候，换成了套房，不错，酒店有特色', '短评打分': 5}
{'短评内容': '去合肥就住那里，楼比较久，反正如家就是那样，一般吧', '短评打分': 3}
{'短评内容': '就在汽车站旁边，出行都很便利的。不过布局有些局促了，但是性价比很好。', '短评打分': 5}
{'短评内容': '早餐品种满多，但是有点咸，房间的椅子只有一张，太少了。', '短评打分': 3}
{'短评内容': '房间够大，坐的椅子只有一张，不够坐，有人来只能坐在床上。', '短评打分': 3}
{'短评内容': '房间的凳子只有一张，来个人只能坐在床上。', '短评打分': 5}
{'短评内容': '第一次入住比较满意，设施蛮新的，布置也比较温馨，提供了很多方便，特别对于会员也比较优惠，顶~~~~加油，希望越来越好', '短评打分': 5}
{'短评内容': '早餐的稀饭中可能食用碱可能放多了，客人就餐时用于驱虫的紫外灯应关上。\r\n靠街道的能听到汽车声音', '短评打分': 5}
{'短评内容': '离火车站有一定的距离。但是房间环境很好。很舒适', '短评打分': 5}
{'短评内容': '房间有点潮湿', '短评打分': 5}
{'短评内容': '各方面还可以，房间配有饮水机，但是如果能配备个电热水壶就好了。', '短评打分': 5}
{'短评内容': '交通比较方便，中规中矩的，没有什么特别的地方', '短评打分': 5}
{'短评内容': '正在装修，味道很大', '短评打分': 1}
{'短评内容': '推荐住，离火车站很近', '短评打分': 5}
{'短评内容': '房间要么临街，要么不透气，房间里味道太难闻，总之很差', '短评打分': 1}
{'短评内容': '位置不错，服务热情。', '短评打分': 5}
{'短评内容': '房间的味道不是一般的大，那么臭还敢让人住？？？', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，值得推荐', '短评打分': 5}
{'短评内容': '地理位置一般，离火车站较近，设施比较老了', '短评打分': 3}
{'短评内容': '还可以，和其他如家差不多，可能是里火车站最近的一个连锁酒店，只是去市区交通不便', '短评打分': 5}
{'短评内容': '房间里面没有行李架，墙面渗水，房间设施太老', '短评打分': 1}
{'短评内容': '就是停车不是太方便，要到马路对面', '短评打分': 5}
{'短评内容': '很不错，推荐。', '短评打分': 5}
{'短评内容': '很不错 很舒服', '短评打分': 5}
{'短评内容': '骗人，说在中澳，也是就是考雅思的附近，附近我走了大半个小时，打的都要10分钟，骗人', '短评打分': 3}
{'短评内容': '是去考雅思的，冲着中澳职业科技学院附近的名头去的，结果离那儿还是很远很远，打的都要10分钟才到，走的话怎么也得三刻钟了', '短评打分': 1}
{'短评内容': '酒店各方面的条件还是蛮不错的,人员服务也比较热情,而且价格也不贵,综合还是比较满意的.', '短评打分': 3}
{'短评内容': '位置不错,房间也很大,还不错.', '短评打分': 5}
{'短评内容': '此酒店是我所住经济型酒店中最差的一个，主要指环境差。空调主机象坦克的声音一样，这个季节不开就冷，开了就没法休息。', '短评打分': 1}
{'短评内容': '整体来讲还是一间很不错的酒店,房间的卫生和设施方面很好,住着很舒适,服务人员也比较热情,我很满意.', '短评打分': 3}
{'短评内容': '没什么感觉，该有的都有，电视不很好。没有提供安全套', '短评打分': 5}
{'短评内容': '很不錯的一個酒店。下次還會去住。', '短评打分': 5}
{'短评内容': '如果你只是图方便的话出门有公交有的士可直接到汽车站和火车站，打的6元。但其它宾馆同等条件下，如果你想在方便的同时拥有舒适那还是要考虑一下。房间好小！ 饮水机罢工，我住一天都没喝上热水 如果你想冲凉千万不要选择中午，因为那时锅炉工好像下班了。我有幸尝试了一回“冻着”特快。卫生还可以 服务员也很热情。', '短评打分': 1}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '性价比较好！', '短评打分': 5}
{'短评内容': '不知道为什么预订该酒店需要信用卡担保？是不是多此一举？', '短评打分': 5}
{'短评内容': '酒店条件挺不错的,而且离当时要去的地方比较近,物有所值', '短评打分': 5}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置以及交通都还可以的，酒店的价格不错的。', '短评打分': 5}
{'短评内容': '住的很舒服哦', '短评打分': 5}
{'短评内容': '双岗如家快捷酒店挺不错，下次还可以住', '短评打分': 5}
{'短评内容': '这家酒店在房价上玩的猫腻正可谓高明至极。入住的时候告诉我她们在搞折上折，每间房较挂牌价减20元而且&quot;送&quot;早餐。但正应验了一句古话，天下无免费的餐饭。众所周知，如家三月份对所有门店都实行20元抵用券优惠活动。但这家门市店却以已经优惠20元为由，拒绝使用折扣券。我们把这笔帐仔细算一下，不难发现其实本质是酒店把廉价早餐强行卖给了每一位入住客人。入住当天我有幸去三楼餐厅“参观”了一下，', '短评打分': 3}
{'短评内容': '这家酒店在房价上玩的猫腻正可谓高明至极。入住的时候告诉我她们在搞折上折，每间房较挂牌价减20元而且&quot;送&quot;早餐。但正应验了一句古话，天下无免费的餐饭。众所周知，如家三月份对所有门店都实行20元抵用券优惠活动。但这家门市店却以已经优惠20元为由，拒绝使用折扣券。我们把这笔帐仔细算一下，不难发现其实本质是酒店把廉价早餐强行卖给了每一位入住客人。入住当天我有幸去三楼餐厅“参观”了一下，', '短评打分': 1}
{'短评内容': '感觉不错！离火车站也很近的。', '短评打分': 5}
{'短评内容': '酒店的早餐不错，还有雀巢咖啡。', '短评打分': 5}
{'短评内容': '酒店大致上都还可以,服务态度挺好的,而且内部环境也不错,价位也比较适中', '短评打分': 5}
{'短评内容': '房间面积太小了,感觉有些拥挤,而且酒店周边太差了,服务还可以,房间也比较干净,性价比还是蛮高的', '短评打分': 5}
{'短评内容': '很干净很舒适的连锁商务型酒店,出行方便,硬件舒适度也很不错.值得再次入住的酒店.', '短评打分': 5}
{'短评内容': '酒店挺好的，很干净，房间也很大，而且服务员都会主动换床单特别的好，酒店的交通不太方便，也可能是去的时候那边在修路，可能不是很好，如果路修好了可能就好点儿了', '短评打分': 5}
