{'短评内容': '晚上11点到店，原订的豪华房没了，免费升级套房，赞，赞，赞', '短评打分': 5}
{'短评内容': '帝苑酒店出名的是它家的蝴蝶酥，很是喜欢。只是住客也并没有优惠。客房之露台走廊均可俯瞰幽雅园林景致，位于尖沙嘴东部商业、娱乐、饮食及购物中心的高档酒店。邻近九广东铁总站和尖沙嘴地铁站，交通方便，地铁尖沙咀站B2出口步行 10 分钟即到 。帝苑酒店采用了秋天的设计，每间套房不单设计精致，而且更结合了现代人必备的电器设备，使每个客人有宾至如归的感觉。独特地中海式设计的室外会馆，有一个长25米全年开放的露', '短评打分': 4}
{'短评内容': '??? ??? ????. ??? ?? ???? ??? ?????? ???? ??? ??????. ??? ????? ??? ??? ???? ????. ?? ???? ??? ???? ?? ???? ??? ?? ??????. ??? ?? ?? ????. ??? ?? ??? ????? ?? ?? ???? ???????, ?????? ??? ??? ?? ?? ???', '短评打分': 3}
{'短评内容': '早上一大早电话就滴滴滴的叫 吵醒人  浴室没有配梳子很不方便  枕头不是很舒服~不是很满意  服务员按了门铃不经过允许马上就进来 不礼貌吧', '短评打分': 4}
{'短评内容': '不错，住了多次', '短评打分': 5}
{'短评内容': '位置相对比较好', '短评打分': 5}
{'短评内容': '服务特别不好！转换房间莫名其妙变成了升级房间，收费之前却没有告知我们。结账才发现多了账单。前台人员却以推卸责任的方式进行“沟通”无奈只能自认倒霉，买个经验！下次绝不会再入住此酒店', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行 就是电梯好麻烦', '短评打分': 3}
{'短评内容': '服务挺好', '短评打分': 5}
{'短评内容': '酒店位置不错。蛮不错的一家店！就是价格要是在实惠点就更好了', '短评打分': 5}
{'短评内容': '非常好，现代化，地段好，离海港城很近。附近的茶餐厅吃饭也很方便。', '短评打分': 5}
{'短评内容': '不错的\n性价比还算是可以的\n就是办手续慢\n前台的人老是想让你升级房间', '短评打分': 5}
{'短评内容': '酒店还是不错的，但房间好小，比我上次住的马可波罗小，不过性价比还是挺高的。下次还会住', '短评打分': 5}
{'短评内容': '干净舒适，地理位置方便，值得推荐的好酒店', '短评打分': 5}
{'短评内容': '酒店位置很好，离地铁站很近，购物、餐饮很方便。', '短评打分': 5}
{'短评内容': '某些本来要配备的东西要自己找服务员才有 房间比日航的和柏宁的还小..', '短评打分': 1}
{'短评内容': '环境很不错，很漂亮，房间也不错，很干净！床也很舒服，还赠送的水果，很不错哦！', '短评打分': 5}
{'短评内容': ' ，本人已经入住，房间新装修过，条件还不错，房间小一些，在香港这个价格还是不错的！', '短评打分': 3}
{'短评内容': '性价比较高，位置不错', '短评打分': 3}
{'短评内容': '非常方便的地理位置！每次到香港都会选择住在这里。很喜欢！', '短评打分': 5}
{'短评内容': '入住过几次，很不错的酒店，设施好，卫生也很干净，交通也很方便，值得！', '短评打分': 5}
{'短评内容': '酒店交通方便, 房间舒适, 特别喜欢顶楼恒温游泳池', '短评打分': 5}
{'短评内容': '新装修过，很不借的酒店，房间在香港算比较大的，舒服，满意~', '短评打分': 5}
{'短评内容': '很好的体验和回忆。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还不错，就是房间空间有点小。不过还行，毕竟在香港。', '短评打分': 5}
{'短评内容': '出行比较方便，就是楼不高，视野一般。但是软硬件设施都还不错。', '短评打分': 5}
{'短评内容': '在这个地段、这个面积的房间还算宽敞了。新装修后房间很整洁，整体满意！下次还会考虑选择这边。饮食的选择少了些，希望酒店方能够一并考虑提高。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店位置很不错，步行到海港城大概十多分钟，沿途有很多逛的地方，五星级酒店标准，服务也很好，很满意。', '短评打分': 5}
{'短评内容': '在香港这样的酒店房间算是可以了，至少算比较大，而且因为新装修过的原因，感觉挺舒服的，下次去香港还是会考虑入住的！', '短评打分': 5}
{'短评内容': '環境優雅，服務態度極佳，大陸酒店應該學習的地方相當多～', '短评打分': 5}
{'短评内容': '房间用具很卫生，服务员态度好,一直是我在香港住宿的首选酒店！', '短评打分': 5}
{'短评内容': '地理位置优越，房间比较宽敞，设施不错，特别是那扇厚重的大门，隔音效果非常好。', '短评打分': 5}
{'短评内容': '在香港来说，这是一家性价比非常高的五星级酒店。交通也很方便。比起香港其他酒店，房间也算比较大了。刚装修完，很不错。', '短评打分': 5}
{'短评内容': '房间很舒适，就是隔音有点差，，其他都很好，，', '短评打分': 5}
{'短评内容': '昨天刚回来，定了3间房，住了2晚，入住时每个房间都有小熊赠送的，环境比较新，刚装修过，前台服务都挺好，我带了BB，还给配了个单独的BB床，这样，妹妹就跟妈妈睡一张单人床，不需要另外加床了，这点挺满意的，位置在尖东，酒店旁边就有SASA，往大门斜对面路口一路走过去，经过公园过马路就是尖沙咀方向，沿路都是店，逛街很方便', '短评打分': 5}
{'短评内容': '非常好，卫生也干净，服务态度也非常好，就是有点贵。', '短评打分': 5}
{'短评内容': '挺喜欢这家店的，酒店的设施很好，像是床啊，浴室，包括使用的物品都很舒适。还是会考虑入住的。', '短评打分': 5}
{'短评内容': '我因为经常会去香港出差，入住那边的酒店几率也比较大。酒店整体来讲算是非常不错的，像是电梯是玻璃似的，也是我喜欢的类型。', '短评打分': 5}
{'短评内容': '酒店的位置很优越，整体环境也很不错，尤其是楼顶的游泳池，就是用餐贵了一些！', '短评打分': 5}
{'短评内容': '酒店外观设计的豪华尊贵，很有帝王的气势，位置也很不错', '短评打分': 5}
{'短评内容': '位置很好距离尖沙咀地铁站很近，出行交通都非常方便。', '短评打分': 5}
{'短评内容': '健身房里面器材很多，很齐全，很摩登，还交到了爱运动的他，欢喜', '短评打分': 5}
{'短评内容': '帝苑环境舒适，我去香港的话是我的首选，主要是性价比很合适，在四星级酒店里面条件算是相当不错的。', '短评打分': 5}
{'短评内容': '酒店有个空中花园很个性化，里面的恬静与外面的繁华形成对比，这假休的真棒', '短评打分': 5}
{'短评内容': '在商业区内，购物，娱乐饮食选择很多，交通方便，环境优美', '短评打分': 5}
{'短评内容': '这个酒店的价格相对较低，但是服务水平不低，而且让我很暧昧鸟翼，赞', '短评打分': 5}
