{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '如果有中评肯定就给中评了，酒店达不到四星的水平，首先是早餐太差，房间的空调可以说无法正常用，半夜被热醒，卫生间的淋浴头坏的，管子漏水洗澡不舒服，还有更惊讶的是走到电梯门口的时候看到标注的英文居然是错误的，希望酒店可以注意一下，好的方面是干净，工作人员态度很一般，下次不会住了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '江景很好  但是 房間 網線壞掉 美中不足 ', '短评打分': 5}
{'短评内容': '武隆县城里最好的酒店了，入住的特色单人间，房间的设施比较新住的很舒服，临窗可见碧绿的乌江水、晚上看看小城夜景……自己到仙女山、天坑、地缝、芙蓉洞去游览很方便，酒店到汽车站3-4元，那里就有到各个景点的小巴了\n离酒店10分钟的地方有个吃面的小店‘王面条’，是这次重庆之行吃到最喜欢的小面的地方，就算是清汤小面也保留着麻味，吃的很过瘾！还有银耳羹、豆浆、绿豆汤……', '短评打分': 5}
{'短评内容': '可能是当地最高级的酒店了，说是4星，勉强够的上。当然价格合理也是我推荐它的原因。\n停车场很破烂，还有石灰水滴下来，当时没看到，现在洗不掉了。', '短评打分': 5}
{'短评内容': '房间很不错，还会入住，各方面的设施都考虑到！', '短评打分': 5}
{'短评内容': '冬天空调热汽不够，北方人住觉得有些冷。', '短评打分': 3}
{'短评内容': '酒店早餐一般，卫生还可以，脱鞋太劣质了一穿就坏！', '短评打分': 3}
{'短评内容': '＋不错！', '短评打分': 3}
{'短评内容': '在小县城来说算不错的，房间很新可以看到江景，值得住', '短评打分': 5}
{'短评内容': '房间不错，是武隆最好的，位置离火车站和汽车站都方便。江景房正对乌江碧流，虽然枯水期水量不大，但还是很挺美的，沿江灯光工程很下功夫，在晚上可以尽观江岸灯火，真不象个县城呢。顺着门前街道走可以到江边小广场，还有很多吃饭的地方。', '短评打分': 5}
{'短评内容': '总体感觉不错，但是问了朋友协议价之后，觉得性家比低了些。', '短评打分': 5}
{'短评内容': '总体感觉可以，在武隆不错，但说四星似勉强', '短评打分': 5}
{'短评内容': '宾馆位置、设施及服务不错，但周边交通特殊，首次入住客人找寻不易，建议在宾馆宣传资料中详细标定！', '短评打分': 3}
{'短评内容': '4星级的标准，但房间没有冰箱，建议配置冰箱。位置不错，服务员较为热情，门口保安也较为负责。', '短评打分': 5}
{'短评内容': '酒店的卫生不错，管理也不错，二楼餐馆的饭菜味道也很好。在武隆县城有这样的酒店也属难得。但地下车库就简陋了些。', '短评打分': 5}
{'短评内容': '前台服务态度不是很好,其他都还好，但话400块就感觉不爽了赛。', '短评打分': 1}
{'短评内容': '    在当地算是一间高级的酒店，各方面还不错。从该酒店打出租车到乘车前往景点的车站只要3元，位置很适中。', '短评打分': 5}
{'短评内容': '旅游区的酒店，只能说将就住，好在卫生还过得去，还有很大改进余地。', '短评打分': 5}
{'短评内容': '性价比高，服务好，交通很方便', '短评打分': 5}
{'短评内容': '住得还算舒服', '短评打分': 5}
{'短评内容': '酒店的硬件条件环境都是很不错的，服务态度也很好，位置算是比较不错的，价格我是可以接受，所以我觉得比较不错。', '短评打分': 3}
{'短评内容': '确实是当地最好的酒店，临江而建，但江景令人失望。另外，楼下餐厅味道不错。服务态度在小城镇来说算是很好的了。', '短评打分': 3}
{'短评内容': '基本符合4星的标准。性价比很高，房间面积较大，设施很新，楼下餐厅价格适中，但就是地毯不太清洁。另外，如果想自助游览当地的景点，可以考虑包一部车用1天的时间游览仙女山，三桥与地缝，推荐一位出租车司机，电话13251253022，250元/天，当地一般300元/天。仙女山可游览景点很少，所谓草原基本比草坪大一点，所以不用住宿山上。三桥与地缝非常值得一看，尤其是摄影爱好者。至于另外一个景点芙蓉洞与芙蓉江', '短评打分': 5}
{'短评内容': '硬件设施不错，服务还可以，早餐比深圳的某些4星级宾馆还要好一些。整体感觉还不错。', '短评打分': 5}
{'短评内容': '我们一行11人在武隆入住过3个四星级酒店，大家一致认为重庆瑜珠花园酒店是性价比最好的一个。它热情的服务、优质的硬件设施、极好的卫生条件和丰盛的自助式早餐都给我们留下了深刻的印象。', '短评打分': 5}
{'短评内容': '在仙女山下  临乌江风景美 卫生间墙是透明的 电视是液晶的 床黑大 很喜欢 ', '短评打分': 5}
{'短评内容': '酒店还是挺不错的,内部环境很好,住着很舒适,而且价格也比较适中,挺满意的', '短评打分': 5}
