{'短评内容': '前台服务极其不专业 一个问题等半天回答 惹不起躲得起', '短评打分': 1}
{'短评内容': '房间不大，内部装修简单，我住的楼层居然没有电梯，酒店工作人员说是因为有半栋楼连带着电梯租出去给人家做写字楼了，所以需要在酒店内部绕来绕去，走安全通道上楼。', '短评打分': 1}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '就没住过这么差的酒店。 早餐很一般也就算了，  房间倒是比较大，但格局非常不合理，还有点味道。 床很硬 ， 被子也不舒服 。  价格还很贵 \n网络还不能用，找服务员过来解决半天，明天是网线接触不行 ，还要求我杀毒！ \n 我杀他丫的', '短评打分': 1}
{'短评内容': '一楼的湘菜有些特色，但服务员动作慢，不主动。', '短评打分': 3}
{'短评内容': '  酒店的地理位置不错，房间很大，也很干净，楼下的湘菜馆味道不错，很地道，值得推荐', '短评打分': 5}
{'短评内容': '太差了，', '短评打分': 3}
{'短评内容': '交通方便机场打的来100元内，阜成门地铁站离酒店走路要15分钟左右，吃饭往阜成门方向阜外医院马路对面有较多选择，网速一般，有多点平价房就好了。', '短评打分': 5}
{'短评内容': '性价比还可以，位置也还可以，卫生也还可以，就是早餐比较差', '短评打分': 5}
{'短评内容': '酒店在一小胡同里，转来转去才找到，订的标间，给安排了一张大床，要求换房，回答没有房间了，唉，怪自己没有标明吧，一进房间快被熏死，发现房间里点了香，还放了三个熏香的盒子，呕啊，干嘛弄这么多，盖什么味？因为天色太晚，也没办法再去找别的地方，凑合着睡吧，第二天去逛街，回来退房时晚了13分钟，一定要加收半天的房费，郁闷，前台说打过我手机确认，没接到啊，不知打给谁啦。算了，反正以后是不会住的，总之，不推荐。', '短评打分': 1}
{'短评内容': '设施比较陈旧 还比较干净 客房服务员态度不错', '短评打分': 3}
{'短评内容': '酒店位置不错，打车或坐公交车都很方便，早饭品种也挺多。开始住的房间比较旧，后来找服务员换了一间就非常好了。', '短评打分': 5}
{'短评内容': '酒店比较偏，但又临近马路，床很硬，装修很旧。是住过感觉较差的酒店', '短评打分': 1}
{'短评内容': '环境不错，装修旧了点，但卫生搞得干净。服务还好，主要地理位置较好，离阜成门地铁和阜外医院较近。', '短评打分': 3}
{'短评内容': '虽周折但终于入住。条件不错，下回来京将再次选择。', '短评打分': 3}
{'短评内容': '早餐还不错，离办事的地方也很近，但是房间比较小，隔音效果差，那里还开个茶室走廊比较喧闹，晚上开空调，不知道这个季节没有热风，555，所以开了一晚上自然风，半夜被冻醒。', '短评打分': 5}
{'短评内容': '酒店还可以,比较干净!下次来还住,只是一楼餐厅比很多大饭店还贵.', '短评打分': 5}
{'短评内容': '地点及周遭交通 餐饮都算方便  只是设备有些老旧  ', '短评打分': 5}
{'短评内容': '酒店环境不错，服务员态度也好，离阜外医院也近，价格也合适', '短评打分': 3}
{'短评内容': '住得还不错，不过早餐太一般了，希望改进。但愿下次去，会住得更舒服。哦，对了，房间不是很大。', '短评打分': 5}
{'短评内容': '提供早餐，但地方较小，只能说还可以，在一条小路里，不是很好找。', '短评打分': 1}
{'短评内容': '房间太小，但总体感觉还可以，如果房间大点就好了！', '短评打分': 5}
{'短评内容': '北京海运国际酒店位置不错，在阜外心血管病医院附近是性价比比较高的。房间干净整洁，不错', '短评打分': 5}
{'短评内容': '房间不大，但还比较干净', '短评打分': 3}
{'短评内容': '位置不错，距阜外心血管病医院很近。房间干净整洁，酒店饭菜也不错，非常满意。', '短评打分': 5}
{'短评内容': '酒店的性价比较高，地理位置也不错，在西单地区还是较好的。', '短评打分': 5}
{'短评内容': '酒店位置不是很好，但是房间的空间和布局好不错，下次还会住。', '短评打分': 5}
{'短评内容': '虽然是在市中心，但是却能闹中取静。房间布局巧妙，很干净。就是房间里的水壶水垢太厚了。明天尝尝早餐再说\n签名:simbawaffen', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店设施还行，但床太硬了，不过附近环境还不错，吃东西也很方便。', '短评打分': 5}
{'短评内容': '不错，地段好，服务业不错。去晚了，没有我订的房间，酒店给我免费升级高级点的房间，房价没变，谢谢！', '短评打分': 5}
{'短评内容': '住的第2晚上，换了房间，一楼换到7楼，同样是标间，价钱也一样，房间完全不一样！！！7楼房间大点，也舒服多了，建议不要住一楼！！', '短评打分': 5}
{'短评内容': '房间还是挺干净的，就是比较小，暖气温度太高！服务还不错，门口打车不方便', '短评打分': 5}
{'短评内容': '帮朋友订的，回来以后说非常好，值得推荐，下次还会入住', '短评打分': 5}
{'短评内容': '房间比较清洁，设施也比较新，还可以。', '短评打分': 3}
{'短评内容': '海运国际客房的卫生和服务还不错\n但是怎么也没有四星级的气氛和感受\n希望继续努力', '短评打分': 5}
{'短评内容': '出门在外，图个方便，干净。\n海运国际能体现。\n餐饮价格偏高，\n但是中午6.8折还是可以接受', '短评打分': 5}
{'短评内容': '海运国际上一个闹中取静的宾馆，\n有所不足的是早餐的品质和时间需要改进\n', '短评打分': 5}
{'短评内容': '北京海运国际酒店离阜成门地铁站只有约600米，交通方便，卫生不错，服务还可以。\n这是一家星级酒店价格而实际是经济型酒店，标准间很小，连放个椅子的地方都没有，两张床占据了房间的大部分面积，卫生间只有淋浴，洗漱台极小，......。早饭非常简单，没有肉，只有白水煮鸡蛋，牛奶像兑水一样，很稀，只有稀饭，小包子（不热）和几样点心，......。', '短评打分': 5}
{'短评内容': '在这个区域还算实惠吧，不过家有点小，早饭一般', '短评打分': 5}
{'短评内容': '位置不错，靠三里河月坛北街等地方近，办事的时候住挺方便，就是中央空调没暖气比较冷冬天受罪', '短评打分': 5}
{'短评内容': '酒店服务不错 硬件也很好，但对4星级来说好像早餐有些逊色！', '短评打分': 5}
{'短评内容': '酒店很适合去阜外看病的患者，就是位置有些不好找，总体很不错！', '短评打分': 5}
{'短评内容': '酒店位置不是很好找 对四星级来说很不错 有些房间刚装修过 很干净！', '短评打分': 5}
{'短评内容': '交通挺方便的，就是天气有点空冷，中央空调没有供暖，有点冷', '短评打分': 5}
{'短评内容': '性价比很好的一家酒店，环境也很安静，下次来还住这家！', '短评打分': 5}
{'短评内容': '蛮好的，性价比很高，离阜外比较近，各个景点也不远，地铁口也不远，很方便', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '住宿已结账，但积分和返还为何还未到账啊1', '短评打分': 5}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '房間甘干净舒適 面積比較小 附近餐廳比較少 早餐很一般', '短评打分': 3}
{'短评内容': '基本还是很好的，就是房间有点小，环境有点差', '短评打分': 5}
{'短评内容': '此次因为在阜成门处办事情，为就近入住这家酒店。酒店设施一般，电梯没有循环风很闷，房间面积窄小，新装修的味道让人不舒服，卫生间防滑垫脏兮兮的很多黑污垢，卧具低档，床垫有塌陷，枕头太软很不舒服，床头控制开关多有坏损，不好用，浴巾太小，房间清理不到位，该补充的物品经常丢三落四，服务员进入房间时给客人留的反应时间少，象征性的问两声就粗鲁的打开房门，早餐差，中餐厅价位偏高但味道尚可，服务一般但还说得过去，性', '短评打分': 1}
{'短评内容': '条件勉强过的去', '短评打分': 5}
{'短评内容': '房間干净 离金融街近', '短评打分': 3}
{'短评内容': '房間干净 双人标间比較小 早餐还可以', '短评打分': 5}
{'短评内容': '还不错。对的起这个价格。早餐一般了点，没啥好吃的。比较安静，靠近月坛北街。', '短评打分': 5}
{'短评内容': '位置很好很方便出行.就是服务上略有不足.其它各方面都还不错.', '短评打分': 5}
{'短评内容': '酒店的南楼可以', '短评打分': 3}
{'短评内容': '宾馆还行，饭店不好。', '短评打分': 5}
{'短评内容': '位置还是挺好找的，卫生设施都很不错，唯一一点就是可能我住的那个是刚装修过的所以楼里面的味道是挺大的得二十小时开窗户通风，服务态度还可以还算是比较不错的酒店。', '短评打分': 5}
{'短评内容': '酒店还不错，位置挺好找，环境也不错，还是挺不错的一家酒店。', '短评打分': 5}
{'短评内容': '北京这家店位置很好，市中心地带，出行交通方便，价格还算是比较合适的，配置硬件也算是达标，新装修的酒店环境卫生比较一般，还是可以考虑入住。附近选择也比较多。', '短评打分': 5}
{'短评内容': '太一般的酒店了，房间面积小，住着有些压抑，设施相对来说不是很新，服务一般，价格在北京来说还可以，有其他选择会再考虑考虑。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '卫生不太好，房间也是比较小，而且隔音也不好，主要是在烧水的壶里发现了一个蟑螂，心里很不舒服。', '短评打分': 1}
{'短评内容': '酒店卫生条件很好，很满意，早餐不是太好，种类太少。酒店也不是特别好找。性价比还是比较高的！', '短评打分': 3}
{'短评内容': '淋浴间比较小,环境卫生都很好,出行交通都很方便,价格也很优惠,因为来这边参加会议酒店的位置是预定员帮忙挑选的,位置很好,很方便.', '短评打分': 5}
{'短评内容': '第一次来到这个酒店，是经人介绍的，说在二环边属于性价比非常高的酒店，于是就预订了标间，我带我小孩去的，计程车刚下就有行李员来开车门并问询是否有预订，然后帮我提着行李来到了前台，前厅服务员很可亲，笑容很美。房间里很新，看起来干净且整洁，服务员说这酒店刚开业不久，如有不周请及时指出。嘿嘿，很奇怪，我觉得一切都如意。中午阳光明媚带着孩子去了酒店的咖啡厅小坐，要了一杯绿茶，给孩子要了杯果汁，都挺便宜的，不', '短评打分': 5}
{'短评内容': '客房服务比较及时，服务员也比较亲切；早餐也挺丰富的，还是比较满意的。', '短评打分': 5}
{'短评内容': '酒店的位置很好，就在月坛边儿上，而且对于这个酒店的来说性价比也很好，服务也很周到', '短评打分': 5}
{'短评内容': '房间好小,一进去还有一股味道,服务也很差,居然直接挂断客房电话,早餐很不好,到了8点半就几乎没有什么东东吃了,晚餐9点也就没了,总之很烂!', '短评打分': 1}
{'短评内容': '应为酒店是按照我们的意思推荐的,环境设施都还不错,位置出行也很方便,就是觉得价格有些偏高了.', '短评打分': 5}
