{'descr': '还行。。。。。', 'star': 4}
{'descr': '床垫太薄，只有薄薄的一层，能感觉到床垫里面的东西，咯得慌，很不舒服；卫生间的马桶盖子有些坏了.....', 'star': 1}
{'descr': '总体上讲还是不错的 地理环境是比较安静的 只是出去打车会有点不太方便 ！房间的大小还是挺温馨的 ~~但是要是不开窗户或者开空调的话  房间会比较闷  ', 'star': 1}
{'descr': '感觉还不错，卫生挺好的，也比较方便，没有结账等查房的情况\r\n', 'star': 5}
{'descr': '房间比较小，虽然干净整洁，但是很局促，交通还算便利，去西站方便', 'star': 5}
{'descr': '这家酒店给人的感觉就是舒服，安静，不挨马路，喜欢安静的人首选，我也很喜欢．', 'star': 5}
{'descr': '卫生条件差，屋子里有比较重的味道，房间小，灯坏了几个没人修。除了交通便利没其他优点。第一次遇到这么差的如家。\r\n\r\n上面这些都不过分，性价比差而已。但是打内线5000，叫人上来做正规按摩，结果来了两个鸡，极其不爽。', 'star': 1}
{'descr': '周边环境还好但是房间太小信价比不高', 'star': 5}
{'descr': '总体干净、舒适、安静', 'star': 5}
{'descr': '环境不错就是不太好找~卫生还不错~就是我们去的太早~人家还没开始上班所以稍微等了一会儿', 'star': 5}
{'descr': '房间有点小，不过还是比较干净整洁。还算不错吧，如果退房的时候因为行程的关系跟前台商量能否一点钟退房被拒绝，如果能够稍微宽松一点就很好了。', 'star': 5}
{'descr': '酒店一直不错,服务很好,只是餐厅的质量有所下降,菜量很少。', 'star': 5}
{'descr': '+干净床很大，一个人想怎么睡就怎么睡', 'star': 5}
{'descr': ' 房间干净舒适，交通便利，推荐', 'star': 5}
{'descr': '我比较满意你们的服务，我将支持你们的工作，并向我的朋友推荐。', 'star': 5}
{'descr': '房间温馨、干净，就是有点小。洗澡的下水有点堵，不畅。', 'star': 3}
{'descr': '房间很舒适，卫生还可以，就是卫生间有点小，下水不畅，洗澡时脚全泡在水里。', 'star': 5}
{'descr': '感觉不如以前了。', 'star': 3}
{'descr': '到处都有乳胶漆的痕迹，像吊灯上面等等。卫生做得不细', 'star': 5}
{'descr': '位置不错，性价比不错，值得推荐。', 'star': 3}
{'descr': '位置不错，但是房间比较小。', 'star': 5}
{'descr': '地理位置不错，就是有点隐秘 不太好找，而且房间特别的潮湿……不过对得起这个价钱', 'star': 3}
{'descr': '房间小了点，不过如家好像都差不多,经济型酒店嘛~', 'star': 3}
{'descr': '说实话，房间实在是小了点，不过如家好像都差不多~住的2楼，屋子实在是有点潮……估计是浴室闹的，毕竟屋子小，然后里面的浴室的水汽直接散到屋子里了，所以就显得屋子格外的潮湿，打开窗户通通风就好了', 'star': 5}
{'descr': '还可以。', 'star': 5}
{'descr': '价格还是偏贵了一些，位置是挺好找的，房间也还不错还是挺舒适的，酒店的服务也不错，性价比还是挺高的，要是价格能再便宜一些那就更好。', 'star': 1}
{'descr': '经济型酒店都差不多，如家算是比较放心的！', 'star': 5}
{'descr': '干净舒适', 'star': 3}
{'descr': '干净舒适，值得一住', 'star': 5}
{'descr': '一楼太潮湿的房间，房间太小。', 'star': 5}
{'descr': '还可以 房间要比惠新西街那家大一点点 总之北京如家最大的特点就是小\r\n去晚了停车会麻烦 但是在北京 还算可以凑合了', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '很不错！值得信赖', 'star': 5}
{'descr': '位置比较隐蔽，不太容易找；冬天暖气烧得不是很好，不穿外套在房间里会冷；标间的卫生间稍微小了点，伸展不开。其他还是不错的', 'star': 5}
{'descr': '酒店性价比还好，但是房间很小，很狭窄。没有衣柜。被单不是白色（是粉红带花的）的让人看上去很不爽。有暖气还有空调，很暖和。', 'star': 3}
{'descr': '整体来说还不错，但是店内貌似有更便宜的特价房。性价比还不错，但是房间很小。', 'star': 5}
{'descr': '如果洗澡水再热一些就更好了。其他的都很满意。', 'star': 5}
{'descr': '冬季室内温度低，体表感觉不温暖。', 'star': 5}
{'descr': '感觉一般般，都还好，位置交通比较方便', 'star': 3}
{'descr': '内天去的时候房间里边儿很冷（我不知道其他房间是不是），热水也不太热，然后就只能凑合了。', 'star': 5}
{'descr': '宾馆是旧房子改造的  不太好找 早餐比较差  卫生设施还可以 ', 'star': 3}
{'descr': '宾馆是旧房子改造的  不太好找 早餐比较差  卫生设施还可以 ', 'star': 1}
{'descr': '各方面都不错，就是酒店隔音不太好！', 'star': 5}
{'descr': '隔音确实比较差，但地理位置还是不错的', 'star': 3}
{'descr': '第一次来位置不好找，不太显著。房间服务还是不错的', 'star': 3}
{'descr': '隔音有点差，隔壁嘿咻嘿咻都能听的到 ', 'star': 5}
{'descr': '酒店的硬件条件还算可以，位置也比较方便的，服务很好，很干净。', 'star': 3}
{'descr': '房间空间有点小，位置不明显，不好找，别的都还好，价格合适，服务也不错', 'star': 3}
{'descr': '隔音太差', 'star': 5}
{'descr': '价格较为合理,设施比较好,服务周到', 'star': 5}
{'descr': '在北京的如家中算不错的了，虽不邻大街也好找；房间面积不是最小，看起来还不错', 'star': 5}
{'descr': '如家的服务都还不错，设施条件也还可以，就是位置不好找，在一个胡同里，出行还行，价格也比较适中，如果在附近还是可以考虑这里。', 'star': 3}
{'descr': '位置好处就是吃饭的地方很多，乘车方便，不好处就是刚去不好找，房间有点小', 'star': 5}
{'descr': '和别的如家一样 没什么明显的缺点 但也别指望什么惊喜', 'star': 5}
{'descr': '酒店比较一般,没有什么特别地方,也没有遇到什么问题,地理位置还不错,价格与其他的酒店都差不多.', 'star': 5}
{'descr': '刚去的时候不太好找，它的位置不太明显，又没有明显的大招牌，周边还有好多高楼，找了半天才找到的。酒店的卫生确实不错的，打扫的挺干净住起来挺舒适的，价格方面还是比较合适的。', 'star': 5}
{'descr': '酒店的硬件条件，环境服务都还不错，位置还算方便，价格经济实惠，还算是可以的。', 'star': 5}
{'descr': '酒店比较干净，服务挺好，感觉挺舒服的，位置交通也挺方便，就是房间稍微小一点，感觉会有点压抑，但是总的来说还是不错的。', 'star': 5}
{'descr': '感觉酒店还可以，比较干净，服务特别好，就是价格稍微有点高了', 'star': 5}
{'descr': '很不错的酒店,环境整洁,干净,价格不贵,而且出行方便', 'star': 5}
{'descr': '酒店价格稍微贵点，服务一般，环境还是不错的，离我要去的地方也比较近，挺方便的。', 'star': 5}
{'descr': '酒店挺不错的，在这个位置上来说还不错，房间非常干净，也很舒服，服务也还不错，挺好的。', 'star': 5}
{'descr': '不错 服务质量挺好的~', 'star': 3}
{'descr': '服务一流,热情周到,设施先进,设计人性,美中不足:餐位较少.', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '有一点不太方便的地方是用共用科贸写字楼的电梯，客人进出酒店排队时间较长且电梯拥挤。', 'star': 5}
