{'短评内容': '吃穿用的都在京东买的，活动给力，物美价廉！', '短评打分': 5}
{'短评内容': '很喜欢这个酒店，属于万国风貌建筑之一，门口有政府颁发的牌子，是1920年的老房子改造的，很有味道。位置在日光岩身边，属于岛中的位置，去哪里都方便。很多拍婚纱照的人都选择这条街，景色不是一般的美丽。我们住在三楼，有三扇窗，不过都被茂密的大树遮住了视角，如果是牡丹房就可以阳台眺看风景了。老板娘很好，临走时还有糖果赠送，再来鼓浪屿我们还会来的。', '短评打分': 5}
{'短评内容': '总体环境不错很安静，位于岛上比较高的地方。缺点是房间隔音效果不好，这个是阁楼一不小心会碰到头', '短评打分': 5}
{'短评内容': '是历史风貌建筑，很美的。只是位置有点难找，且门口道路装修。', '短评打分': 4}
{'短评内容': '酒店舒服。岛上安静', '短评打分': 5}
{'短评内容': '酒店可以，岛上舒服', '短评打分': 5}
{'短评内容': '整体感觉还不错就是周边都在修路', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店总体来说还是比较舒服 和干净的 ', '短评打分': 5}
{'短评内容': '比想象的好，比较干净', '短评打分': 4}
{'短评内容': '住的银合欢~挺漂亮的~旅馆的小花园也很有感觉，真心推荐~', '短评打分': 5}
{'短评内容': '旅馆房间很漂亮~很舒服~我订的是满天星房间，可以一边泡浴缸，一边看星星~哈哈~', '短评打分': 5}
{'短评内容': '这家旅馆的隔音效果非常差，房间的浴室也小，喷头水量也小，也没早餐可以选择，也比较远，性价比不高哦，外围环境还不错，整个空间还算大', '短评打分': 1}
{'短评内容': '入住的是白牡丹，\n简单的欧式海洋风，环境不错，晚上很清静。就是有些难找，需要爬个坡，离日光岩比较近~', '短评打分': 3}
{'短评内容': '酒店环境还是不错的，挺温馨，就是位置比较难找。', '短评打分': 5}
{'短评内容': '日光岩下安静的永春路上，蛮有味道的老别墅，不过顶楼的满天星房着实矮了些，下次一定要定大房间。', '短评打分': 5}
{'短评内容': '在花之声旅馆住了两天，感觉很好，楼上还有个小楼台，后面就是日光岩，一早起床就去爬山，不热，就是我们住的蔷薇房没柜子。', '短评打分': 3}
{'短评内容': '非常满意，干净，有情调，订了3间房都不错，下次去还会订花之声@', '短评打分': 5}
{'短评内容': '环境好，有小资感觉，性价比较高。有免费WIFI,网速快,电视还有回放跟点播功能，适合在鼓浪屿上面悠哉的看电视剧。服务好，亲切。离日光岩只有三分钟路程，可以早上去看日出。', '短评打分': 5}
{'短评内容': '室内设计很漂亮，在日光岩山脚下，环境清幽，就是路有点绕，附近时就是著名的黑猫餐厅。老别墅楼梯隔音不太好。', '短评打分': 5}
{'短评内容': '總體環境很好，在島中部，比較安靜。老建築改建，樓下小花園和天台都很有感覺。服務也不錯，基本上有求必應。就是房間間隔比較薄，很容易聽到外面的聲音，有點吵。最喜歡是房間電視有點播功能喔。', '短评打分': 5}
{'短评内容': '比较干净、在巷子里面比较安静。总体比较好。', '短评打分': 5}
{'短评内容': '老式别墅改造过来的，老板娘很NICE，据说以前这栋别墅的主人是个银行家。在这里住很安静，干净舒适，我住的是牡丹房型，房间很大，有个小阳台，很有欧洲风情，房间里可以使用免费的WIFI，早上可以在鸟儿和蝉的叫声中醒来，很安逸！虽然价格稍贵，但物有所值！', '短评打分': 5}
{'短评内容': '地理位置好离码头和龙头路很近，小楼很漂亮，感觉像以前有钱人家的大院子。我们住的满天星，阁楼房还是有点压抑，容易撞头，洗澡的地方也容易撞。早上窗帘透光，被亮醒。门几乎不隔音。换别的房间也许满足感高些吧。', '短评打分': 5}
{'短评内容': '环境舒适，早餐给力，离海边近，离市区远了点，每一趟打的都要二十几块钱，不过这居住环境，值了', '短评打分': 3}
{'短评内容': '环境很好。服务也很周到。。如果下次去鼓浪屿，还会再住的。。', '短评打分': 5}
{'短评内容': '很不错呢，很有风格，直接能看到厦门的风光，卫生也好', '短评打分': 5}
{'短评内容': '总体环境不错，但位置有些偏，老板挺热情的，房间有免费的wifi，不过我定的向日葵在负一层，有些潮湿，建议不要定负一层的房间', '短评打分': 5}
{'短评内容': '酒店总体算是鼓浪屿岛上不错的了，比较安静，离景点也很近，推荐', '短评打分': 3}
{'短评内容': ' 很有特色的民宿，只是卫生间下水有些慢', '短评打分': 3}
{'短评内容': '环境不错，房间干净，就是隔音太差，特别是一楼的房间，想睡个懒觉基本不可以，因为一楼几个房间中间是一个类似客厅这样的，有人说话就比较吵。希望改进一下。', '短评打分': 5}
{'短评内容': '除了交通不方便，比较难找，离闹市有点远，蚊子就多，我住一楼，比较潮湿。这是在鼓浪屿普遍的问题，没有办法住哪一家都一样。总体感觉挺好的，酒店很精致，干净，洗刷用品也都很好。', '短评打分': 5}
{'短评内容': '灰常灰常不错呐~~~~下次还来~~~就在日光岩脚下~很安静~出门也还方便~', '短评打分': 5}
{'短评内容': '住的是滿天星，不錯，就是木有窗帘，有點太亮了', '短评打分': 3}
{'短评内容': '点评得有点晚了，鼓浪屿上风景真心好，本来订的是向日葵 后来发现这个房间光照不好，就换成了阁楼式的房间，窗外风景灰常美，就是老是会撞到头。。。', '短评打分': 5}
{'短评内容': '不好找，但环境还算不错，榻榻米的小房感觉还更惬意一些。', '短评打分': 5}
{'短评内容': ' 在岛的中部 去哪里都不远 旅游团又走不到 很安静。 我们住的是4楼满天星 躺在浴缸里看日光岩的夜景 觉得这400大洋没白花啊', '短评打分': 5}
{'短评内容': '距离日光岩仅一步之遥,十分方便;环境相当安静舒适;唯一美中不足,是门的隔音不是很理想,总体安静.下次仍会考虑入住.', '短评打分': 5}
{'短评内容': '还不错，挺温馨的，也干净，电热水器一次的热水不够满那个大浴缸哈，只能放到小半缸。整体就是价格稍高了', '短评打分': 5}
{'短评内容': '入住花之声的银合欢，感觉很温馨干净，是我喜欢的田园风格，房间里可以打免费的国内长途。去日光岩最近，去菽庄花园和钢琴博物馆也近。', '短评打分': 3}
{'短评内容': '住的是满天星2，很舒服的阁楼间，卫生条件good，也能看到部分海景，住进去心情很不错。唯一一点美中不足的是阁楼的开窗下面有空调外机，开窗睡有一点吵，但是关上就还ok。总体来说还是很喜欢的', '短评打分': 5}
{'短评内容': '朋友推荐所以选择了花之声 住的勿忘我 位置的确算是闹中取静 离日光岩很近 去哪里都很方便 隔壁装修白天有些吵 好在夜里还是很安静的 装修很别致 也很干净 适合度假休闲享受那种整个生活节奏都慢下来的时光 唯一一点遗憾的就是没有喝到咖啡和吃到甜品 整体评价很不错 值得推荐！', '短评打分': 5}
{'短评内容': '环境很好，房间多样化。白天周边在装修，晚上还是很安静的。', '短评打分': 5}
{'短评内容': '环境很好，唯一的遗憾就是楼梯比较窄，提着重箱子上四层要费点劲。', '短评打分': 5}
{'短评内容': '还不错哦 很舒服 安静 就是比较偏里面  但是很干净', '短评打分': 5}
{'短评内容': '房间很舒适，地点很宁静，不错的地方，值得推荐！', '短评打分': 5}
{'短评内容': '其实我们没有住到房间，他们把我们的订单漏了，但是很负责地帮忙订了其他客栈，服务态度好。在楼下看了旅馆的环境，很好，希望以后有机会再入住', '短评打分': 5}
{'短评内容': '软硬件设施还可以 但是位置还是算比较偏一点 那条小路google地图和手机导航上都没有 真的是条小路啊 窄的地方刚刚能2个人并排走 4楼平台是个亮点 有躺椅 晚上可以看星星  但遗憾的是对面房子间隔是在太近 因为小路那么窄，对面房子距离大家也可以想象的。可以看到厦门的海滨建筑 因为旁边还有桩房子 所以挡住了海 。。不然真是的无可挑剔啊', '短评打分': 5}
{'短评内容': '环境很好 房间也很漂亮', '短评打分': 3}
