{'descr': '一般吧，建议去衡山路上的酒店，交通、购物、吃饭更方便', 'star': 2}
{'descr': '交通确实很方便，从南站走十五分钟就到了！电视很好，有很多电影可看！无论坐火车旅游还是自驾游都是很方便的酒店！', 'star': 3}
{'descr': '印象很好，方便便宜。安静。再自费早餐，品种和质量都满意。', 'star': 5}
{'descr': '如家还不错，下次去还会选择他家，性价比挺高，配套也比较齐全\n', 'star': 5}
{'descr': '相当OK·····························', 'star': 5}
{'descr': '条件还不错，住宿环境比较好，而且舒适度也很好，所以整体给我印象还是可以的.', 'star': 5}
{'descr': '酒店也是刚开业的有些服务设施方面需要再加强一下，位置是离火车站比较近，价格还是很便宜的。', 'star': 5}
{'descr': '离昆山南站跟火车站都很近，交通方便\n不靠路边的房间还行', 'star': 5}
{'descr': '停车方便，离开车站也较近，但坏境很好——干净，安静，蛮好滴。', 'star': 5}
{'descr': '这个酒店还是不错的,喜欢红色被套的颜色,感觉比较温馨,整体感觉挺好的', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '还不错。干净，地段也方便。20000000000000000000000000000000000000000000000000000000000000000000000000000000字。', 'star': 5}
{'descr': '环境还可以', 'star': 5}
{'descr': '我今天住了，感觉不错，想要来阳澄湖吃大闸蟹的朋友，可以考虑这里，然后再去巴城镇吃大闸蟹', 'star': 3}
{'descr': '很不错卫生很好', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '新开的店，没有早餐，周围早餐点儿也没有，不太方便，另外临街窗户不隔音，对睡眠不好的旅客有影响，其它都不错。', 'star': 5}
{'descr': '房间虽小，但很干净。', 'star': 5}
{'descr': '位置不怎么好，早上没早餐！周围没什么吃的地方。\r\n打车不方便。而且只能刷信用卡，不能刷银行卡', 'star': 1}
