{'短评内容': '酒店环境不错，每次出差都喜欢入住这家酒店。', '短评打分': 5}
{'短评内容': '仙岳山的半山腰上，酒店被大量养分子环绕，出酒店就有一条几公里的健身跑道，很多当地居民自发组织健身跑，有音乐伴奏，好有鼓动力。晨起也可以去跑一下，爬爬山。', '短评打分': 5}
{'短评内容': '很赞，第一次住艾美品牌，山里的酒店，空气清新，环境优美，空气清新，早上还有小鸟叽叽喳喳～没在酒店用餐，太贵，嘻嘻～酒店各处都是独特的艺术品～棒棒哒', '短评打分': 5}
{'短评内容': '房间很好，空气清新', '短评打分': 5}
{'短评内容': '很漂亮的酒店 环境 服务都很好 只是不在市中心 周围活动不方便', '短评打分': 5}
{'短评内容': '住得很舒服，位置不难找，别墅房的衣帽间超大噢。', '短评打分': 5}
{'短评内容': '服务态度早点啥的就不说了 都挺好！订的行政大床房，房间是不是也太小了点？', '短评打分': 5}
{'短评内容': '最喜歡泳池,28度的水溫,外加40度的按摩浴缸,沖涼房乾濕蒸都有,一輪下來一天的疲勞都沒了.', '短评打分': 3}
{'短评内容': '环境不错，可是怎么挂了防打搅灯后，服务员还老敲门问洗不洗衣服', '短评打分': 3}
{'短评内容': '不愧为艾美，服务，地理位置，房间设施都么的挑剔， 非常好， 下次一定再会入住。', '短评打分': 5}
{'短评内容': '酒店坐落于仙岳山上，环境优美，非常适合度假，酒店设施很新，非常推荐入住！', '短评打分': 5}
{'短评内容': '风景蛮好，服务态度也蛮好，对我们来说有点小贵。山下有个大超市，但是交通不是很方便。', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 3}
{'短评内容': '环境不错，位置稍微偏了点，房间风格还比较喜欢', '短评打分': 5}
{'短评内容': '非常好的酒店，五星里算是性价比较好的酒店。酒店在半山，风景不错，设施也很新。在酒店吃的年夜饭，下次去还住这里。', '短评打分': 5}
{'短评内容': 'I have to wait 30 mins at the counter to check out. Made me almost miss my flight. Not really a good experience.', '短评打分': 3}
{'短评内容': '确实是五星级的价格，环境，和服务。同样星级中还是会选择吧。', '短评打分': 5}
{'短评内容': '一个字。。。。好。。。', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 3}
{'短评内容': '环境不错，房间装修非常豪华，住宿舒适安静', '短评打分': 5}
{'短评内容': '五星级服务，到位，自助餐再改善下就更好了', '短评打分': 5}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '環境相當不錯，安靜，優雅，自主餐里還有哈根達斯，好恰～～', '短评打分': 5}
{'短评内容': '环境一流,安静优雅。', '短评打分': 3}
{'短评内容': '不错。满意。................................................................................', '短评打分': 5}
{'短评内容': '厦门艾美酒店在硬件，环境等方面达到五星标准，但在餐厅，服务细节，设施细节，环保方面还可以再提升。', '短评打分': 3}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '离海边很远，酒店的硬件设施虽然还是按照五星级标准建造的，但是管理无序，进去就会发现管理水平达不到五星服务。同价位的厦门的酒店可以选择会议中心酒店，新修的五星级酒店，看海，服务也要好得多。', '短评打分': 1}
{'短评内容': '艾美属于喜达屋品牌旗下的度假型酒店，品质还是不错的。厦门艾美的环境、硬件和软件(服务）都符合五星级酒店的标准。酒店的泳池、健身中心都是不错的，酒店的自助餐性价比不错。唯一的就是交通不方便，因为位于半山腰，所以出行都要打车。不过酒店的门童总是会帮你预约或叫车，所以倒也不太受影响。毕竟交通方便的地方也就没办法远离喧嚣了。值得一住。', '短评打分': 5}
{'短评内容': '很不错的酒店。价格也不贵。就是房间小了些。游泳池设备都很棒。SPA好像内部装修暂停营业。没机会试下。我订的是包早价。可以延迟到下午16：:00才退房的。但是前台打过来说入住的人比较多。问我能不能14:00就退房。让我下午的行程有点乱。', '短评打分': 5}
{'短评内容': '酒店在山上，环境非常好，泳池也非常好。房间光线设计独到，设施完备。只是要注意出租车需提前预订，其他没什么问题。', '短评打分': 5}
{'短评内容': '服务还不错,充电器类型太少,我用摩托罗拉常用接口,竟然没有备用充电器,有待加强.', '短评打分': 5}
{'短评内容': '在山中间环境很迷人！房间非常舒适，还会介绍客人来。', '短评打分': 5}
{'短评内容': '酒店环境优雅，安静。但入住的客人毕竟大部分时间在房间里。首先，没开夜床，投诉后，接线员只是一味的质疑我打开了请勿打扰，；再者，浴缸里有灰，甚至有一根体毛，让人恶心到极点。投诉后虽然马上有服务员来洗，但是以上事情，从头至尾都未说一声对不起，我们的工作有疏忽等抱歉的言语。这种工作态度与其五星级的头衔，非常的不相称。', '短评打分': 1}
{'短评内容': '厦门艾美酒店很好很喜欢，孩子住得很满意，居然说比家里舒服，汗颜。', '短评打分': 5}
{'短评内容': '厦门艾美酒店档次不低，价格不高，服务不错，感觉很好。', '短评打分': 5}
{'短评内容': '艾美酒店不错，在半山腰上！性价比高！就是冲凉房的玻璃门防水做得不是很好，容易溺水出来！总体来说，很满意！', '短评打分': 5}
{'短评内容': '酒店环境很不错，下次还会住\n唯一不足的是中午自助餐要排队', '短评打分': 5}
{'短评内容': '第一次去厦门，厦门很漂亮，比想象中的好。酒店是在半山上的，出入稍微有点偏，但是蛮适合度假的。个人很喜欢。正好碰上晚上都下雨，吃饭就在酒店解决了，晚上的自助餐还是值得推荐的，就是人很多，周末可能先订好位子比较好。酒店的游泳池很棒，旁边的水疗池一定要去泡泡，很舒服～酒店的服务也很好，秉承一贯喜达屋的优良服务！希望下次还能有机会去厦门，再入住！', '短评打分': 5}
{'短评内容': '环境非常好，就是比较偏僻', '短评打分': 3}
{'短评内容': '房间太小*但是服务很好', '短评打分': 3}
{'短评内容': '洒店很美，床很舒服，儿子很喜欢，唯一不足是小孩游乐场没有', '短评打分': 3}
{'短评内容': '酒店位置很安静，在山顶上的。装修很特别，不过房间颜色感觉有点压抑。床头那个灯很漂亮。位置有点偏僻，不过厦门不大，到哪里都是20几块钱打车。房间很干净，服务也不错，早餐没什么特别。总体来说是一家不错的酒店。', '短评打分': 5}
{'短评内容': '整体很好 只是前台完成预授权没有给我解冻  这可不是国际品牌标准 其他都还是不错', '短评打分': 5}
{'短评内容': '很新的酒店，开业只有一年多，硬件不错，管理也算是不错了。早餐简单了点，没有机会吃午餐和晚餐。下次去厦门还会住这里', '短评打分': 5}
{'短评内容': '服务态度好，环境好，夜景也很漂亮，房间很舒适，很干净，感觉不错。\n、', '短评打分': 1}
{'短评内容': '很幽静的酒店，适合度假，半山腰的位置，酒店的风格很休闲，很艺术。', '短评打分': 5}
{'短评内容': '酒店在仙岳山半山腰，环境非常好，是2010年1月份开业的，还有些味道。房间风格很现代，早餐不是很丰富但也不错。下次去厦门一次那个还住这里。', '短评打分': 5}
{'短评内容': '酒店装修简约舒适，环境优美，很适合度假居住。。。不错', '短评打分': 5}
{'短评内容': '这个价格偏贵，而且宽带要80元一天。退房也不肯延迟到2点，这是我遇到的唯一的不肯到2点的五星酒店。老外说欧洲这样档次的酒店也差不多这个价', '短评打分': 5}
{'短评内容': '很舒適', '短评打分': 3}
{'短评内容': '酒店upgrade了房间，酒店环境很好，安静，空气好！值得入住！', '短评打分': 3}
{'短评内容': '酒店内部环境一流，行政楼层的芝士蛋糕味道真好，可惜不是每天都有。早餐三星米其林大厨配制的唤醒特饮相当出色。', '短评打分': 5}
{'短评内容': '酒店环境很不错，离鼓浪屿码头也不远，设施比较新，服务很不错，下次还会来！', '短评打分': 5}
{'短评内容': '酒店在半山，服务与设施符合艾美一贯的风格，满意。唯独外出不够便利，毕竟在山上，一定要提早顶出去的班车去', '短评打分': 3}
{'短评内容': '价格较高，环境非常好，早餐一般，品种较少，上网收费让人不能理解，都什么年代了，还收这费用，太不理解。强烈建议取消。', '短评打分': 5}
{'短评内容': '就是交通有点不方便···网络速度有点慢···其他的··都还行', '短评打分': 5}
{'短评内容': '房间很大床很舒服,环境很安静', '短评打分': 3}
{'短评内容': '感觉很好，环境服务都很好，下次还会入住的', '短评打分': 5}
{'短评内容': '第二次入住感覺還是不錯。。價格高點還上網收費一樣的', '短评打分': 5}
{'短评内容': '環境不錯  不過上網收費較高  80元／日', '短评打分': 5}
{'短评内容': '还不错的一家酒店，住着比较舒服，交通也便利，离机场也不远。还不错。', '短评打分': 5}
{'短评内容': '很好 就是客房设施过于简单  不是艾美的精致  大堂不错  不过客人还是在房间时间多一些  夜景很好', '短评打分': 5}
{'短评内容': '非常好的酒店，小乖趴趴GO极力推荐！ 非常好的酒店，小乖趴趴GO极力推荐！ ', '短评打分': 5}
{'短评内容': '酒店不错,唯一的缺点就是没有小卖部,买东西需要下山走一段路.', '短评打分': 5}
{'短评内容': 'just brilliant. nice staff. comfortable bed', '短评打分': 5}
{'短评内容': '位置非常好，闹中取静。酒店硬件算一般，但是服务相当好。就是团队非常多，有点乱。下次还会住这里！', '短评打分': 5}
{'短评内容': '环境幽美，房间舒适，交通方便，价格也可以接受，很值得去住。', '短评打分': 5}
{'短评内容': '设施不错哦，景色也很好，是度假不错选择, 服务人员态度也好', '短评打分': 5}
{'短评内容': '物超所值，比起所谓地段好的酒店好太多，其实厦门很小，打车也很方便。一天我特意打车到冠军路口下车，徒步到酒店，花了16分钟，手表上的高度仪显示约60米。', '短评打分': 5}
{'短评内容': '入住后感觉还是挺不错的，周边的自然环境一流，酒店内庭院景观也做得不错。从前台接待到礼宾服务都非常热情和周到，给我留下深刻的印象。房间整理的很好，但是否因为春节入住客人太多所以客房服务员就不做夜床了？还有个觉得比较遗憾的地方：为什么不是免费的宽带呢？其他的都非常满意，以后有机会再来厦门一定还是住这里！', '短评打分': 5}
{'短评内容': '非常好的酒店，值得推荐，下次还会选择！！！！', '短评打分': 5}
{'短评内容': '非常好的酒店，值得推荐00000000000', '短评打分': 5}
{'短评内容': '非常好的酒店，值得推荐。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '国际型的五星级和国内的五星级更加注重环保低碳,以简约实用为主!', '短评打分': 3}
{'短评内容': '很好很新的洒店，房间很大，下次还会入住，', '短评打分': 3}
{'短评内容': '房内山景比较优美,大床房房间小巧。', '短评打分': 3}
{'短评内容': '酒店在厦门的西面，在山上，空气新鲜，但是离市区有15元出租车的距离，周围没有餐饮，娱乐，估计比较新，所以服务还不太成熟。', '短评打分': 5}
{'短评内容': '酒店在仙岳山半山腰，风景优美，房间一面邻山，可以听到风声、树林声，有一种特别的意境。', '短评打分': 5}
{'短评内容': '帮老板订的酒店，是他指定的酒店，我想应该是挺不错的。', '短评打分': 5}
{'短评内容': ' 美丽的环境，休闲的酒店，除了地理环境外，无可tiaot', '短评打分': 3}
{'短评内容': '酒店靠近机场，很方便，酒店设计新颖，不错，，，', '短评打分': 5}
{'短评内容': ' 已经入住，今天可以送按摩吗？', '短评打分': 3}
{'短评内容': '最吸引我的就是环境，很清幽，舒适，我来厦门就是为了度假，它给了我一个安静的假期', '短评打分': 5}
{'短评内容': '新酒店，隶属喜达屋的，没的说，推荐。有阳台，装修典雅现代。酒店在半山腰，空气环境好，晚上很安静。好像上网得收费。', '短评打分': 5}
{'短评内容': '对艾美的期待有点高，结果房间比较小，而且我们住的阳台对着对面的房间，非常近，感觉像是住在公寓里面。比较失望的', '短评打分': 5}
{'短评内容': '鉴于酒店的地理位置，坐落在山上，建议酒店开设自己的商场，人们生活的必须品，客人还是需要的', '短评打分': 5}
{'短评内容': '800多的价格入住艾美还是挺划算的。酒店很新，在山上。服务也很到位，有五星级的标准。房间的浴室很喜欢，很宽敞，设计也很不错。电视机可以通过墙上的插口直接接电脑，很方便。可惜被我发现音频插座的口没有插对，说明在交房的时候，没有经过仔细测试，这一点还是需要指正的。要做到一丝不苟。\n浴室还应准备一个浴帽。', '短评打分': 5}
{'短评内容': '酒店无论是环境、布置、服务都比较满意。唯一的缺点是：我们的卫生间面池有点漏水，只能拿用过的毛巾垫着。', '短评打分': 5}
{'短评内容': ' 服务一流', '短评打分': 5}
{'短评内容': '+酒店很美，前台服物很专业。早餐离五星标准有不少差距，需要大力改近，品种少味道差，无特色。', '短评打分': 5}
{'短评内容': ':-)', '短评打分': 5}
{'短评内容': '服务一流,房间还略有油漆味,周边无海,和椰风寨两个方向.', '短评打分': 1}
{'短评内容': '酒店的条件还不错,挺舒适的,不过就是位置不太好,不方便打车.其它各方面都还可以.', '短评打分': 5}
{'短评内容': '酒店是新的干净、豪华。我住的时候游泳池还未修好。在山上比较安静，我订的是含单早的房间，结果服务员搞错了，后来解决了。总的影响还不错。', '短评打分': 3}
{'短评内容': '酒店比较偏不好找，晚上空调太冷，也不知道什么原因，调27度，半夜起来变22度，冻的够呛，退房时有个小伙问住店是否舒适，提出这个问题马上问了工程部，至于是否会改不说，这种态度值得肯定，下次还会来。', '短评打分': 5}
{'短评内容': '环境非常好，服务也非常好，早餐很不错。装饰的一如既往很有艺术气息，位置比较安静，有度假的心情。', '短评打分': 5}
{'短评内容': '房间内设计的很有风格，床很大，睡着很舒服，服务积极周到。', '短评打分': 5}
{'短评内容': '价格比较符合我要求，酒店也还是比较不错的，房间也很干净也很舒适，位置也还行，还是挺不错的一家酒店。', '短评打分': 5}
{'短评内容': '这家酒店蛮好的，服务热情周到，卫生干净，设施也很完善，地理位置不错，性价比蛮高的酒店，下次还会入住', '短评打分': 5}
{'短评内容': '位置较偏僻，在山腰，窗外没什么景色，酒店内环境不错，服务态度很好。', '短评打分': 5}
{'短评内容': '新开张,很多设施尚未到位.以后入住会更好些.总体还是不错的.', '短评打分': 5}
