{'短评内容': '酒店设备成旧 环境很差 洗手间有异味 太垃圾了', '短评打分': 2}
{'短评内容': '到达酒店，人很多', '短评打分': 3}
{'短评内容': '酒店位置虽偏远些，但很适合自驾游，房间很大也很干净，服务员态度不错。有点遗憾的是室外22度，而室内却是28.5度，有点闷热了。', '短评打分': 3}
{'短评内容': '不值这个价  卫生间洗澡的地方 人也转不动 你要住01号的房 走到大堂走廊太长', '短评打分': 1}
{'短评内容': '该酒店设施还不错，服务也好。酒店离杭州乐园一步之遥，非常便利。', '短评打分': 5}
{'短评内容': '多了休闲二个字级别差好多，，不过598含双早含门票，性价比还算可以。早餐是对面五星级的第一世界酒店吃的，很丰富。值了\n。', '短评打分': 5}
{'短评内容': '酒店设施比较齐全，去乐园玩方便，还送门票，早餐丰富，休闲娱乐场所设施也挺齐全，是个不错的酒店', '短评打分': 5}
{'短评内容': '感觉酒店服务态度非常好,房间也非常的棒,周围环境很好,空气新鲜,是旅游度假的好去处.', '短评打分': 3}
{'短评内容': '我们己入住你们那边订乐园门票吗', '短评打分': 3}
{'短评内容': '我已入住杭州第一世界休闲酒店感觉条件服务都挺好谢谢', '短评打分': 3}
{'短评内容': '房型不错，就是太旧了！不是新装修的，埃及风格！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '一如既往的选择了它。不错，值得推荐，下次还会入住。', '短评打分': 5}
{'短评内容': '工作在附近，选择了它。还可以，不过第一世界大酒店比休闲酒店好很多，不差钱的可以选择第一世界大酒店。', '短评打分': 5}
{'短评内容': '公园式的酒店，环境很好，而且临湖，风景空气都不错，住着舒服自然.', '短评打分': 5}
{'短评内容': '客房的设计很独到，外表看上去有些朴素，不过室内却是豪华得不得了，有些亚热带风格，适合休闲渡假.', '短评打分': 5}
{'短评内容': '地段不是很好，出行有点偏交通不是很便利，不过客房的卫生做得很好，干净整洁.', '短评打分': 5}
{'短评内容': '客房的格局和设计都还算不错，就是偶尔有的房间窗户朝向不好，仅此而已，其它各方面都还不错.', '短评打分': 5}
{'短评内容': '客房的装修风格很好，有些欧式的风格，感觉挺独特的，而且舒适度也是非常不错的，所以整体印象很好.', '短评打分': 5}
{'短评内容': '花园式的酒店，空气很好，很符合星级条件还不错.住着舒适自然.', '短评打分': 5}
{'短评内容': '客房隔音不错，而且空间也比较大，住着舒服，停车位充足，自驾过来也很方便 .', '短评打分': 5}
{'短评内容': '客房空间很大，住着感觉特别舒服，而且性价比高，环境条件都很不错，整体来讲很不错.', '短评打分': 5}
{'短评内容': '在当地性价比不错，而且口碑也比较好，所以整体给我感觉还是挺不错的，印象很深.', '短评打分': 5}
{'短评内容': '酒店位置稍有点偏，在杭州乐园里面，不过出行还算方便，其它室内条件各方面还都是挺不错的.', '短评打分': 5}
