{'短评内容': '地很偏，很难找！', '短评打分': 3}
{'短评内容': '很有特色的一家客栈，古香古色。可是周边的环境不大好！位置在里面，刚去比较难找。', '短评打分': 5}
{'短评内容': '有历史的房子，装修也不错，很干净，就是不太好找', '短评打分': 5}
{'短评内容': '酒店环境非常不好，不是我想象的样子.房间很小，只能容纳一个人.非常狭隘.', '短评打分': 1}
{'短评内容': '很有特色，虽然房间不大，因为是老房子，位置也不太好找，房间布局也不行，但真的很有特点，床虽小，但很舒服，隔音比较差', '短评打分': 3}
{'短评内容': '不错的酒店，卫生蛮干净的，设施也很新，位置在重新的老城区，座公交车也很方便，价格便宜，不错。', '短评打分': 5}
{'短评内容': '关键是超有特色，值得一住。\r\n交通不便，我打车到门口还是找不到，店家出来接的。\r\n没有服务人员，就一个总台接待。\r\n未提供发票。', '短评打分': 5}
{'短评内容': '骗子，根本没有性价比', '短评打分': 1}
{'短评内容': '下次还来  肯定更加熟悉了哈 ', '短评打分': 3}
{'短评内容': '下次我还去哈 ', '短评打分': 5}
{'短评内容': '非常不错 很有古典风味 还有家的感觉。就是刚进去的外围环境不是很好。但是 里面非常干净 安静 卫生，和有特色 唯一不足就是 天冷的时候 床有点薄 可以叫服务员垫厚点，下次去了 一定在去住', '短评打分': 5}
{'短评内容': '仿古风格一直都很喜欢，酒店卫生不错，服务也很好，周边环境比较清静，晚上睡觉不会感到嘈杂，很舒服。个人觉得唯一不足的就是床有点硬，可能是我习惯睡软床的原因吧，总体来说还是很不错的，值得推荐。', '短评打分': 5}
