{'短评内容': '服务很好，早餐非常丰富，总体四点五星', '短评打分': 5}
{'短评内容': '不错，位置好，很安静，交通方便，但是墙上壁纸待修复。', '短评打分': 5}
{'短评内容': '房间非常好，5星级的标准吧！早餐中规中矩。', '短评打分': 5}
{'短评内容': '酒店设施很好 早餐也可以 下次在去还住这', '短评打分': 5}
{'短评内容': '比金煌好，有大酒店的样子，会向朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '已入住，比较满意', '短评打分': 3}
{'短评内容': ':百都国际设施豪华气派 房间布置舒适宽敞 值得推荐。但是前后服务态度仍旧需要更上层楼！', '短评打分': 3}
{'短评内容': '在当地应该是最好的酒店了，就是房间有点小', '短评打分': 5}
{'短评内容': '非常好。酒店很干净，整齐。房间设备齐全。有直饮水，每天还有矿泉水和苹果赠送。不过豪华单人房怎么比双标的设备差点？希望酒店尽快更新。', '短评打分': 5}
{'短评内容': '酒店位置在市中心，设施与环境都不错，价格还算合理。', '短评打分': 5}
{'短评内容': '挺好的，可以肯定~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不知道为什么，总感觉房间里没有刚开业时候精致了，总体还可以，就是游泳池一直都说还没装修好，比较遗憾。', '短评打分': 5}
{'短评内容': '服务很好 环境也很好 值得推荐 性价比高', '短评打分': 5}
{'短评内容': '莱州基本上最好的酒店，旋转餐厅的早餐还比较丰富，性价比还行。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好的酒店，很干净，服务好，交通便利。', '短评打分': 5}
{'短评内容': '已是第二次入住，房间比较宽敞，卫生不错，早餐也很丰盛，洗澡的大花洒很爽，但是下水非常差，刚洗了几分钟水就漫出去了，新装修的味道还是挺大的，最不满意的是停车，地下停车场还算宽敞，但是地上就很差劲了，几个保安根本就形同虚设，从来不指挥，进出的车都挤成一团了，却没有一个人疏导，更可气的是我们离店那天，我们和其他两辆车互有干扰，站在旁边的保安却没有任何反应，后来我们慢慢倒出来，保安此时急忙指挥另一辆车进入', '短评打分': 1}
{'短评内容': '还行还行还行还行还行还行还行还行还行还行', '短评打分': 5}
{'短评内容': '附近比较热闹,酒店设施也不错. 可以推荐.', '短评打分': 5}
{'短评内容': '房间不错，就是隔音差点。', '短评打分': 3}
{'短评内容': '服务很好，酒店比较新，房间很大，不过没有购物中心', '短评打分': 5}
{'短评内容': '酒店新开业的，还有很重的味道，结账出奇的慢，还是新手。', '短评打分': 1}
{'短评内容': '酒店设施还行，但连个商店都没有！', '短评打分': 3}
{'短评内容': '房间一般', '短评打分': 3}
{'短评内容': '硬件设施好！服务一般！', '短评打分': 3}
{'短评内容': '莱州百都国际大酒店，性价比很高！环境不错！', '短评打分': 5}
{'短评内容': '.确实不错~哈哈哈', '短评打分': 3}
{'短评内容': '莱州百都国际大酒店是山东地区少有的极品酒店，它的性价比非常合理，我会经常住这家酒店', '短评打分': 5}
{'短评内容': '性价比较高的酒店，就是早餐差点', '短评打分': 3}
{'短评内容': '房间很大,很好;服务也很不错。早餐环境及口味都不错。美中不足的是房间可上网，但不提供电脑。', '短评打分': 5}
{'短评内容': '新开业的，设施还算不错，设备都比较齐全，服务态度都很热情.印象不错.', '短评打分': 5}
{'短评内容': '莱州当地不错的酒店，干净，服务不错。旁边有个小餐馆味道相当棒。', '短评打分': 5}
{'短评内容': '应该算莱州最高档的酒店了  自助不错  在23层的旋转餐厅 一切还好 作为准五星 标房没有浴缸应该是一个遗憾  另外屋里太干了  睡了一宿早上起来嗓子疼的厉害 建议放个加湿器~总的来说一切还不错  以后会经常光顾的~', '短评打分': 5}
{'短评内容': '房间装修卫生还是非常好，服务态度也不错，唯一不太方便的就是去吃早餐的时候可能还需要做下电梯不方便，酒店的位置还是挺好找的，价格还算比较合适。', '短评打分': 5}
{'短评内容': '莱州百都国际大酒店很好，设施很新，房间布置很温馨，早餐也丰富。性价比很高。', '短评打分': 5}
{'短评内容': '房间特别干燥影响身体健康应该配加湿器', '短评打分': 3}
